coef,rank
-0.0972,5193
0.208,1617
0.115,2550
0.262,1894
0.191,3012
-0.066,6666
-0.0279,6220
-0.211,9429
-0.248,9666
0.119,2396
-0.0381,6576
0.0203,4054
0.154,828
0.0878,3117
0.165,2618
-0.376,7935
0.112,477
0.0499,2085
-0.138,9103
-0.0586,7009
0.0336,4322
0.482,902
-0.0418,6301
-0.105,8113
0.274,1805
0.373,391
-0.0438,6891
-0.313,6295
-0.135,7793
0.294,109
-0.128,8616
0.219,2510
-0.25,9878
-0.103,6458
0.00155,4859
0.128,587
0.0248,4254
-0.0984,6821
-0.0617,6785
-0.133,8391
-0.182,10204
-0.117,10266
-0.00717,5209
0.0592,3136
-0.0838,7117
-0.184,8826
0.0589,1823
-0.0538,8471
-0.179,8586
-0.00055,5015
-0.243,9989
0.0636,3517
0.0379,4067
0.0293,3588
-0.101,8072
0.0419,4059
-0.0392,4843
-0.14,8116
-0.0171,6131
0.119,1111
0.141,2224
-0.148,8851
0.2,205
0.122,401
0.0961,1640
-0.05,7463
0.00257,5174
-0.0291,6211
-0.14,8792
-0.213,6224
-0.0171,5969
0.223,222
0.0124,4622
0.258,742
-0.14,8122
-0.109,8625
0.155,772
0.145,951
-0.0332,6636
0.133,1455
-0.205,7073
0.1,2904
-0.136,10120
-0.2,10331
0.145,1310
-0.0599,6217
-0.0877,8112
0.225,2023
0.0533,2331
-0.0507,8075
0.113,2652
0.256,644
-0.189,8650
0.077,3469
0.0918,2982
-0.0915,8732
0.108,2870
-0.111,9338
-0.0547,7030
-0.011,5379
0.00712,4771
0.278,127
0.0003,5083
0.097,2948
-0.374,10048
-0.16,8372
-0.0444,5733
-0.00603,5194
-0.0358,5848
0.085,2924
0.362,1328
-0.0173,5046
0.0597,2330
0.0492,2414
0.203,993
-0.0365,6358
-0.00597,5193
0.0514,3574
-0.0949,7758
-0.0116,5545
-0.084,8948
-0.0266,6444
0.223,1683
-0.0904,6134
-0.0556,7593
-0.0142,5284
0.0441,4038
-0.176,9273
0.245,632
0.0573,3391
-0.12,9484
-0.0357,6591
-0.308,10062
0.196,531
0.562,2030
-0.149,7348
-0.112,9125
0.029,4042
0.124,2925
-0.00373,5359
-0.0301,5679
-0.124,7988
0.0336,3908
-0.0543,7365
-0.092,7197
-0.104,7507
-0.0568,7554
-0.17,8471
-0.0309,5995
0.0309,3709
-0.264,6582
-0.0998,8000
-0.19,7854
0.117,1998
-0.0691,6932
0.034,3971
-0.404,10299
-0.049,6651
-0.115,7829
-0.0403,6203
-0.154,8777
-0.106,9849
0.151,1500
0.00327,5125
0.185,339
-0.0654,8194
0.149,1582
-0.138,9916
-0.129,8318
-0.343,9806
-0.114,9120
-0.00206,5290
-0.0205,6707
0.0463,3532
-0.0548,7405
-0.12,7816
0.0104,4792
-0.079,9381
-0.0305,6264
-0.00051,5038
-0.0688,7956
0.0346,3636
-0.0768,8846
-0.0201,7001
-0.000193,5227
-0.138,9626
0.0639,3408
0.0186,4459
0.128,3264
0.0097,4873
0.0603,2899
-0.0172,6409
0.0775,2487
0.109,2540
-0.0462,5685
-0.0708,8058
-0.035,6158
-0.157,8061
-0.0172,6191
-0.16,8194
0.0292,3963
-0.236,9040
0.0323,3459
0.113,2472
-0.369,10411
-0.0367,5873
-0.0997,7989
0.014,4549
0.0649,2554
-0.0188,6079
0.0428,3554
-0.00164,5178
0.152,1695
0.00852,4633
-0.0499,8146
0.0937,1631
-0.073,7508
0.0388,3858
-0.342,9805
-0.276,5170
0.0071,4940
0.0569,2509
0.212,17
-0.101,7476
-0.239,8690
-0.125,7960
0.217,387
-0.0901,8957
-0.0905,9367
-0.251,9443
0.0412,3783
0.0605,3691
0.101,3185
-0.0494,8096
0.2,992
0.15,1740
-0.424,9339
-0.0945,7491
0.362,416
-0.133,6612
-0.21,8281
-0.107,8990
-0.134,9397
0.0726,2673
0.165,796
-0.207,9754
0.0183,4765
0.0747,2573
0.221,1137
-0.0668,7803
-0.0363,7242
-0.243,9112
0.0192,4534
-0.146,7559
0.495,854
-0.0666,7394
0.058,2675
0.0265,4023
-0.0637,6992
0.0551,3695
0.0676,3270
0.132,870
0.0699,3226
-0.0796,6478
-0.0809,7811
-0.0696,6797
-0.109,5915
-0.203,9277
0.0934,589
-0.239,10116
-0.0869,7870
-0.0592,6159
-0.114,8661
0.0811,2509
0.0975,2959
0.0605,3197
-0.0238,5735
-0.103,7423
0.000668,5049
0.237,350
-0.0229,5341
0.0387,4116
-0.00647,5220
-0.224,9667
0.254,482
-0.0738,8691
-0.0577,6628
0.0774,3154
0.113,2502
0.0758,3277
-0.341,9883
-0.073,8760
-0.00589,5600
-0.307,9539
0.161,817
0.153,2082
-0.0542,6163
-0.0471,6635
0.0967,1865
0.00596,4801
-0.0178,5519
-0.215,9639
0.187,2613
-0.0493,7360
0.071,3747
-0.00351,5262
0.292,1555
0.0787,3355
0.0137,4404
0.0139,4431
-0.0778,7792
-0.151,8962
0.0971,3263
0.602,81
0.0756,3126
0.246,1849
0.0743,3488
-0.0422,5593
-0.118,8685
-0.0659,6497
-0.101,6493
-0.00429,5360
-0.0998,8609
0.0416,3626
0.0302,4177
-0.0437,7318
-0.412,8935
-0.118,9721
-0.0836,8572
0.0997,2986
-0.00687,5075
0.0688,3416
-0.184,4062
0.0737,2322
-0.0542,7628
0.045,3567
0.0407,3369
-0.0473,7065
-0.34,9873
0.0903,1364
-0.115,3711
-0.0049,5126
-0.0307,6945
-0.111,9905
-0.111,7634
-0.0387,6905
-0.223,9940
