coef,rank
1.64,216
-0.423,10367
0.177,1702
-0.175,7363
0.613,880
0.0838,2764
-0.0835,8382
-0.112,7650
-0.127,7748
-0.0118,5263
0.00926,4879
0.163,313
-0.213,10306
-0.017,5596
-0.218,8319
-0.439,8677
-0.0386,7545
0.0799,957
0.0528,3355
0.271,220
0.191,1597
0.475,929
0.0901,2528
0.227,489
-0.0885,6234
0.0666,3611
0.0588,2936
-0.138,4638
-0.0807,6676
0.0824,2479
0.226,666
-0.081,6073
0.134,2175
0.197,2267
0.0121,4443
0.123,669
-0.0354,6487
-0.0987,6826
-0.0165,5481
0.226,689
0.0415,3130
-0.00746,5876
0.324,488
0.0451,3610
0.0308,4183
-0.172,8645
-0.0383,7262
-0.0883,9680
0.183,1624
0.0599,3066
-0.154,8819
0.144,2075
0.106,2458
-0.0195,6131
-0.194,9729
-0.126,7889
-0.392,9090
0.225,1218
-0.00186,5301
0.0445,3190
-0.277,9897
-0.0542,6469
0.11,1274
-0.0731,9042
-0.0376,6632
0.205,154
-0.15,9967
0.108,1583
-0.175,9405
-0.227,6364
0.0165,4402
-0.0218,5780
-0.128,8404
0.138,2076
-0.109,7506
-0.0984,8367
0.0486,3295
-0.103,8600
-0.0532,7475
0.109,1934
0.331,2274
-0.00886,4913
-0.00106,5258
0.0631,2519
-0.0738,7464
0.148,2422
0.141,1322
0.0897,3479
0.0878,1237
-0.169,10438
-0.404,10437
-0.0392,6143
-0.0993,7074
-0.0192,5551
-0.0395,6204
-0.0566,7498
-0.0576,5863
-0.11,9328
-0.0872,8041
-0.0717,7158
-0.114,9426
0.159,947
0.0227,4227
0.0234,4400
-0.0785,6282
0.282,821
-0.0478,5796
-0.0505,6356
-0.000844,4889
-0.0822,7195
0.129,3322
-0.073,6450
0.0131,4377
0.0384,2925
0.01,4915
0.435,10
0.049,2963
-0.185,9014
0.245,589
-0.0185,5917
0.0137,4638
0.0924,1485
-0.247,8910
-0.114,6442
0.116,1061
0.137,2703
0.0914,3196
-0.131,8377
0.048,3703
-0.116,8255
-0.153,10042
-0.0111,5784
-0.401,10379
-0.034,6512
-0.058,3948
-0.233,8576
0.0271,4041
-0.136,9330
0.394,814
0.0194,4199
0.0899,3027
-0.0237,5489
-0.0147,5317
0.0941,1935
-0.0405,5933
-0.294,10151
0.0487,2985
-0.229,9321
-0.133,8860
0.0188,4243
-0.313,7074
-0.0875,7699
-0.129,6861
0.0509,3491
0.116,1960
0.0439,3636
0.383,552
0.16,1137
-0.0826,7019
-0.172,9289
0.0653,3520
0.0265,3448
-0.28,10312
0.147,2055
-0.0282,6394
0.00667,4970
-0.0871,7727
-0.078,8454
-0.0307,5720
0.29,1168
0.121,1503
-0.0616,7841
-0.0717,9417
0.0177,4442
0.14,726
-0.243,9885
-0.131,6848
-0.0186,6391
-0.0735,8005
-0.0919,7304
-0.105,9059
0.0131,4572
-0.065,8394
-0.0102,6143
0.0883,2295
-0.22,10367
-0.0112,5368
0.228,182
0.0459,4205
0.0504,3288
-0.415,10473
-0.118,10308
0.0189,4356
-0.162,8726
-0.144,7411
-0.0194,6004
-0.098,7953
0.122,2926
-0.0362,7229
-0.29,9900
0.132,1644
-0.17,8066
-0.0482,7358
-0.0155,5336
-0.0697,6766
0.268,914
0.161,1081
0.00413,4800
0.168,496
0.0294,3812
0.187,425
0.0831,3203
0.182,1296
-0.118,7943
-0.0377,7430
0.21,174
0.0193,4724
0.219,731
0.254,1523
1.08,1300
-0.0256,5898
-0.157,10188
-0.00279,5369
-0.414,10460
0.0156,4624
-0.0718,6712
-0.0864,8051
0.0972,1119
0.0278,3614
0.286,782
-0.19,9744
0.381,420
0.138,2611
0.0499,2220
-0.128,8241
-0.0405,6183
-0.159,6455
-0.0373,5991
-0.361,10242
0.432,1070
-0.0222,5349
0.0516,3161
0.147,1125
-0.108,8566
-0.182,9946
-0.038,5849
-0.152,8503
0.000984,5076
0.234,1017
-0.216,10357
-0.172,10425
-0.343,9991
-0.0536,5691
0.315,811
-0.401,9679
-0.00181,5216
0.0849,1930
-0.231,10329
0.18,1069
-0.156,9010
0.0857,2894
-0.176,10147
0.125,2011
-0.0722,6325
-0.0535,6917
0.0997,2343
0.28,1958
0.525,67
-0.0725,9449
0.0188,4478
0.0288,3995
0.191,1335
-0.111,8596
0.0352,3778
-0.183,9024
-0.0757,7547
-0.267,10283
-0.0631,6584
-0.0313,6183
-0.164,9460
-0.0218,5312
0.0479,3913
-0.0187,5500
-0.0195,5448
-0.174,9224
-0.0527,7845
-0.0764,7122
0.099,2692
-0.188,9045
-0.285,9839
0.00124,4878
0.0268,3826
-0.0667,8038
0.0776,3822
0.0168,4559
-0.177,8957
0.0488,4261
-0.00254,5130
0.0528,3095
-0.0632,6729
0.0016,4924
0.101,2815
-0.0796,5912
-0.0157,5695
0.143,2438
-0.227,10377
-0.186,7296
0.0215,4423
-0.0489,7145
0.0175,4233
0.0188,4384
-0.157,9069
-0.0802,6220
-0.179,8207
-0.0596,6663
-0.158,7802
-0.254,9885
0.0113,4540
-0.0447,6549
-0.0541,6222
0.148,2999
0.0396,3321
-0.118,9051
-0.126,9394
-0.00813,5202
-0.0301,6621
0.604,876
0.111,1142
0.0123,4551
-0.189,8877
0.204,1070
-0.196,8978
1.76,936
0.0091,4822
-0.0349,6814
-0.0954,8216
0.1,1448
-0.057,7399
0.492,322
-0.0023,5194
0.559,2042
0.215,1597
-0.0471,7859
-0.0624,8395
0.0304,4375
-0.105,9370
0.135,1752
2.14,435
0.26,2577
1.44,1050
0.693,1778
0.0872,3548
0.00893,4651
0.266,1136
-0.0777,7597
-0.0203,5353
-0.00639,5598
-0.051,8067
-0.455,8406
-0.186,8351
-0.0499,5948
1.01,104
0.266,374
0.0301,3524
0.444,821
0.0552,3698
0.0371,3916
-0.196,10023
-0.14,8126
-0.0409,7009
-0.00997,5321
0.0436,4202
-0.111,7985
0.168,2217
-0.203,9357
0.00673,4847
0.149,2174
0.0032,5133
-0.118,8175
0.28,2391
-0.103,8723
-0.1,8402
0.107,2260
0.0796,2735
0.242,1493
0.128,2004
0.0294,4272
0.162,731
-0.0522,6642
-0.185,8403
0.0601,3202
-0.105,6814
0.251,797
0.192,475
-0.319,9598
0.0293,4096
0.0354,4357
-0.105,8032
0.204,627
0.176,523
-0.00569,5402
0.0915,3160
-0.00289,4994
0.0505,4254
-0.067,10202
-0.0501,7197
0.0256,4297
-0.253,9520
-0.0218,5621
-0.00646,5410
-0.0389,6735
0.0435,2185
-0.0114,6905
-0.173,9742
-0.0357,5548
0.235,442
-0.228,9186
0.036,3352
0.284,328
0.113,2448
0.609,12
-0.327,10149
-0.381,10284
-0.191,10280
0.0333,4285
-0.23,9428
0.0719,3396
0.0853,2706
0.0455,3100
-0.154,9991
-0.0945,7557
0.00145,5013
0.116,2923
-0.0858,8157
-0.0502,6097
-0.0239,6020
0.115,565
-0.26,6887
0.0268,4315
0.213,1379
-0.249,8292
-0.00455,5325
0.0237,4272
-0.283,9967
-0.0368,5369
-0.13,7710
0.0929,3208
-0.0156,5807
-0.567,10459
-0.345,9852
-0.26,10234
-0.492,10471
0.25,355
0.139,938
0.0998,674
-0.0491,6194
-0.186,9489
0.132,2183
0.0228,4718
-0.0868,8394
0.107,2736
-0.0616,6537
-0.167,8321
-0.0648,6808
0.0076,4673
-0.112,9024
0.107,1897
-0.0242,5493
-0.0174,5599
-0.0754,8084
0.0179,4279
0.166,1169
-0.221,9451
0.0579,3259
-0.0185,5137
0.0334,3844
-0.0165,5480
-0.0479,7154
-0.133,7268
-0.0118,5791
-0.322,10286
-0.0597,6469
0.0771,3002
-0.0314,6503
0.0871,1659
0.11,1485
0.0404,3340
-0.0643,7082
-0.122,8464
0.0911,99
-0.0975,8201
-0.0136,5602
0.0126,4864
0.0818,3552
0.000636,5124
-0.104,8441
-0.0999,8760
0.208,729
-0.0601,6939
-0.108,7185
0.0695,2677
0.0424,2562
-0.101,8876
0.121,3024
-0.0694,7239
-0.0169,5123
-0.0801,6568
0.427,267
0.0332,3561
-0.00462,4771
-0.198,8308
0.169,2412
-0.0347,5144
0.0704,1803
0.12,1181
0.108,1559
-0.111,8181
0.308,732
0.0382,4247
-0.0981,9041
-0.155,9346
0.216,2260
-0.0797,6934
-0.326,10223
0.217,2451
-0.0533,7769
0.104,1967
0.103,2630
-0.328,10462
0.00366,5091
0.0757,3053
0.165,635
-0.0191,6438
-1.13,10356
2.34,228
0.244,2825
0.097,2629
0.374,278
