coef,rank
0.725,1237
-0.0908,6626
-0.258,9718
-0.243,8250
-0.231,7153
0.13,1854
-0.0111,5520
0.0318,4093
-0.219,9344
0.0747,3251
-0.0403,6662
-0.151,10114
-0.053,7191
0.397,215
0.122,3126
0.0621,4021
0.0787,1226
-0.0843,9629
-0.166,9646
-0.145,9216
0.435,162
0.263,2100
0.26,337
0.122,1792
-0.23,8261
-0.023,5548
0.167,618
0.713,1302
-0.0335,5680
-0.0504,6998
0.257,432
-0.388,9623
-0.085,7089
0.485,503
0.0192,4195
0.179,172
-0.278,10432
-0.232,9079
-0.0173,5510
-0.245,10026
0.134,800
0.104,545
-0.198,9167
-0.036,6593
-0.272,10117
-0.0996,7160
-0.108,9968
-0.0849,9602
-0.128,7646
-0.105,8412
-0.133,8377
-0.155,8253
-0.035,6181
0.067,1893
0.342,196
0.0197,4533
-0.172,6430
0.313,573
-0.0179,6168
-0.0574,7495
-0.19,8885
-0.149,8871
0.071,2314
-0.0641,8702
0.00473,4814
0.202,166
-0.188,10292
-0.0901,8432
-0.231,10043
-0.536,9346
0.0523,2847
-0.000597,4941
-0.00115,4988
-0.116,7804
0.0297,4584
0.0855,2614
0.0674,2675
0.102,1726
-0.225,10433
0.0532,3486
0.255,2800
0.158,2123
0.0781,1724
0.127,1030
0.0746,2748
-0.00179,5021
0.0184,4530
-0.34,9645
0.0787,1494
0.0336,3240
-0.165,8737
-0.201,9536
0.0826,3470
-0.126,7938
-0.13,8349
-0.0933,8787
0.19,1795
0.111,1181
0.101,1998
-0.0237,5753
-0.0503,7325
0.0449,3575
-0.0324,6397
0.113,2662
-0.189,8130
-0.354,10301
0.155,2302
0.04,4035
0.282,448
-0.137,8408
-0.177,7104
-0.148,8266
0.0369,3238
-0.0434,7556
-0.233,10053
0.0361,3876
-0.175,10191
0.183,1343
-0.0255,5848
-0.106,9520
0.0607,2558
0.0314,3656
-0.0705,6089
-0.265,8501
-0.173,10252
0.0253,4522
0.0932,3179
-0.0391,6014
0.0537,3561
-0.0212,5583
-0.0374,6728
-0.0897,8189
0.00133,4958
0.0387,3828
1.32,1099
0.0616,3863
0.0788,2233
-0.0686,7610
0.233,1803
-0.00258,5293
