coef,rank
1.64,217
0.103,3006
-0.0766,6588
0.00699,4762
0.213,2860
-0.131,8331
-0.00236,5150
-0.226,9596
0.11,2548
-0.0375,5913
-0.134,9327
-0.0373,6861
0.0243,4240
0.00671,4988
0.108,3309
-0.397,8193
0.019,4008
0.0932,667
-0.104,8345
0.0793,2622
0.27,848
-0.397,9497
-0.0704,7163
-0.0893,7693
0.136,3129
-0.011,5283
0.108,1574
-0.139,4651
-0.267,9701
-0.1,8525
0.0535,3600
0.157,3100
0.308,466
-0.187,7737
-0.034,6190
-0.0939,9200
0.058,3131
-0.209,8757
0.00471,4869
-0.229,9887
0.0419,3119
-0.0676,9216
-0.178,8865
0.222,315
0.107,2568
-0.0864,6846
0.0655,1570
-0.00641,5524
0.0574,3631
-0.0831,7766
-0.0218,5362
0.0394,4000
-0.0693,7089
-0.135,10122
0.0862,3013
-0.202,9244
0.571,649
0.0785,3336
-0.0389,7291
-0.0562,7460
-0.135,7886
-0.023,5566
-0.121,9538
0.0212,3920
0.0542,2888
0.0293,3829
0.214,176
0.379,16
0.2,869
0.0947,3622
0.117,995
-0.00554,5136
-0.0968,7643
0.147,1943
-0.205,9122
0.161,1155
0.00315,4990
0.0115,4535
-0.00719,5450
-0.162,9753
0.836,449
0.262,1034
0.0144,4465
0.203,239
0.211,549
-0.0493,5987
-0.0975,8402
-0.163,7391
0.0315,3279
0.197,21
0.155,1960
-0.117,8093
0.17,2169
0.613,21
0.237,900
0.116,1101
0.444,243
0.0242,4011
0.112,1771
-0.232,10019
-0.176,10267
-0.0615,7308
-0.172,9993
-0.0823,6658
-0.163,7756
0.42,231
-0.086,6588
-0.178,9137
0.27,507
-0.156,8775
-0.0901,5941
-0.19,9005
-0.0116,5637
0.0499,2378
-0.223,9964
-0.0421,6547
-0.106,9082
-0.0228,5338
-0.0217,5720
-0.139,10085
0.0573,2702
-0.0174,5979
-0.0554,5841
0.0732,3919
0.1,1419
-0.0928,6794
0.184,2002
-0.158,8932
0.183,1239
0.00893,4703
0.163,428
-0.206,10108
-0.184,8716
-0.014,5753
-0.318,5722
0.0293,4374
0.171,473
-0.152,9629
-0.167,7272
0.0695,2083
-0.00779,5222
-0.233,9749
-0.154,9139
-0.0221,6065
-0.156,8522
-0.0336,5865
0.058,2646
-0.126,7640
0.086,2538
-0.024,6216
-0.296,6897
0.385,95
0.111,3020
-0.0669,7012
-0.123,8365
-0.0138,5576
0.164,2298
0.0152,4530
-0.0854,7076
-0.047,6409
0.0149,4706
0.0109,4365
0.0302,4174
0.129,2342
-0.0228,6166
0.062,2677
0.0482,3866
-0.0144,5857
0.13,1848
-0.368,9976
-0.136,9516
-0.126,9696
0.126,161
0.0629,3050
0.0529,2782
-0.179,9065
-0.172,7464
-0.0752,9268
-0.0459,6912
-0.0477,6236
0.124,1050
0.107,1294
-0.107,9680
0.00392,4857
-0.0852,8209
-0.0615,7576
0.136,1953
-0.16,9924
-0.412,9677
0.0935,1987
-0.205,9899
-0.0676,9278
-0.0118,5474
-0.0995,7396
0.435,439
0.00525,4909
0.0159,4594
0.343,759
0.00159,5086
-0.302,9977
-0.104,7766
-0.183,8284
-0.0299,6495
0.145,1908
-0.181,9074
0.076,3519
-0.0357,6055
-0.11,7619
-0.0324,6419
0.0632,2515
-0.0988,8893
0.012,4826
0.0351,3850
-0.0148,5241
-0.043,7746
0.177,345
0.0897,2796
-0.259,10212
-0.0624,5982
-0.57,7797
-0.381,10460
-0.0292,6541
0.119,425
0.0895,3112
-0.114,6762
-0.253,9918
-0.125,9050
0.0147,4184
0.0217,3900
-0.0145,5091
0.164,1072
-0.0583,6046
-0.133,7837
0.115,422
0.412,56
0.222,884
0.495,980
-0.279,10229
0.463,155
-0.0132,5064
0.29,1463
0.104,1641
-0.101,8680
0.0116,4594
0.0072,4644
-0.102,7770
-0.149,8456
0.0725,2653
-0.223,9616
0.124,1278
0.0468,2604
-0.257,9273
0.384,802
0.0897,3255
0.495,853
-0.132,9074
-0.071,7676
-0.0132,5537
-0.0481,6545
0.0961,2725
-0.289,10190
0.0469,3008
-0.025,5958
-0.0311,5431
0.0435,3522
-0.239,9989
0.172,2779
0.338,433
-0.0479,8399
-0.116,8294
0.165,906
-0.0225,5295
0.133,1552
-0.131,8932
0.365,304
-0.107,8407
-0.0374,6161
0.112,2781
-0.0728,7582
0.011,4605
0.0227,4354
0.0826,3061
-0.0118,5362
-0.13,8143
-0.127,8379
0.37,0
-0.0234,5627
0.255,725
0.015,4571
-0.229,9252
-0.319,9722
0.0707,1981
-0.0378,6950
0.354,971
0.0764,2574
-0.153,8524
0.377,751
0.0839,2513
-0.167,9821
-0.0474,6305
0.148,1383
0.274,571
0.0985,3563
-0.0579,7757
0.194,1724
-0.095,8600
0.0604,3883
-0.102,7125
0.0088,4639
0.0607,2144
0.219,294
0.158,1518
-0.291,9405
0.063,3798
0.101,2546
0.0231,4803
-0.102,7574
0.0422,3976
-0.107,8407
0.0159,4619
-0.104,6523
0.107,1124
-0.102,8655
0.179,483
-0.152,8884
-0.0949,9326
-0.166,6259
-0.219,10453
-0.0211,6041
-0.0253,5590
-0.085,7118
-0.0275,5603
-0.578,7780
-0.102,9107
0.0981,1410
0.0403,3730
-0.0373,6687
0.12,1407
-0.0996,6678
-0.218,10458
-0.165,4067
0.367,527
-0.0632,8593
-0.0555,8116
0.0192,4639
0.108,1054
0.265,425
0.407,2489
0.738,817
-0.542,7229
-0.599,8336
-0.404,7401
0.336,374
-0.181,8393
0.148,1459
-0.00639,4974
0.0196,4144
-0.0893,9569
-0.24,6129
0.0875,3402
0.0192,4398
0.246,2293
0.187,999
0.204,78
-0.121,6336
-0.0228,5483
-0.0344,6401
-0.0842,7873
-0.373,10393
-0.0657,7981
-0.0727,7158
-0.24,9584
-0.156,8865
-0.202,8452
0.064,3310
-0.0751,7957
-0.144,8119
0.0688,1688
-0.019,5664
-0.347,8288
-0.0279,6281
-0.111,8742
-0.0989,7921
0.237,474
-0.00665,5105
0.136,1873
-0.106,8506
-0.0154,5617
0.0945,2325
0.0445,4207
-0.0354,6158
-0.23,8824
0.00825,4945
0.0699,2771
-0.0736,6197
-0.0819,8006
-0.0546,6439
0.00623,4772
-0.0627,7216
0.0318,3947
-0.0304,6245
-0.123,7354
-0.045,5946
-0.376,8514
-0.0807,10378
0.0549,3036
-0.138,7841
0.388,444
-0.22,9532
-0.0264,5902
-0.0812,8417
-0.086,9718
-0.0222,8290
-0.123,8862
0.529,247
0.208,657
-0.0467,5943
0.00743,4884
-0.0238,5687
0.0754,3223
-0.0609,7023
0.0397,4143
0.0994,2947
0.0437,3182
-0.0442,6560
-0.168,8506
-0.114,7817
-0.0263,5786
-0.0258,6465
0.0142,4709
-0.149,8626
0.0754,2796
-0.213,9353
-0.203,10193
-0.291,10086
0.0384,3690
0.17,98
0.179,2991
-0.197,8596
0.0427,4104
-0.0479,5475
0.0412,3357
0.00624,4803
-0.017,5264
-0.352,9281
0.0458,3957
-0.138,7861
0.181,430
-0.456,10365
-0.401,10137
-0.0893,7818
-0.00927,5201
0.0262,4308
-0.0792,8148
0.0117,4265
-0.0733,6778
-0.0437,6361
-0.155,8824
0.206,662
0.103,1508
0.231,1030
-0.0145,5273
0.172,2086
-0.295,10288
-0.213,9900
-0.186,10147
0.337,34
-0.0774,7000
0.144,1923
-0.0978,8802
-0.0302,5810
-0.0638,7014
-0.0912,7168
0.257,167
-0.116,6903
-0.0655,7024
-0.0739,7213
0.0445,3086
-0.0439,5717
0.076,2609
-0.113,7795
0.0481,4012
-0.277,10380
-0.126,9397
-0.0425,7190
-0.0855,8466
0.0354,3506
0.0816,2393
-0.289,10365
-0.0496,9623
0.0445,3545
0.133,1033
-0.175,7821
-0.165,7270
0.138,1027
0.114,2002
0.128,1449
-0.0741,7128
0.112,2224
0.0318,4381
0.0106,4709
-0.014,5810
0.158,632
0.144,2690
-0.314,10450
-0.202,7860
0.0914,3421
0.0464,4045
-0.255,10471
0.652,507
-0.192,8240
0.342,811
-0.391,9541
-0.0237,6197
-0.0763,8488
-0.16,9907
-0.00527,5030
-0.0556,5964
0.316,297
-0.0807,8509
-0.103,8251
-0.0978,6556
0.236,1049
-0.00164,5028
-0.391,9548
-0.0488,7578
-0.128,8906
-0.0422,6449
-0.00977,5439
-0.103,8289
0.117,2270
-0.13,9631
0.148,131
-0.838,9817
-0.467,7170
-0.014,4819
0.179,1186
-0.0477,6044
0.0951,2234
-0.233,9640
-0.337,10225
0.103,2213
-0.263,10396
-0.0941,7466
0.0107,4762
0.0646,3203
0.211,2981
0.102,3422
-0.0218,5870
0.192,1430
-0.186,10003
0.212,1196
0.0908,2823
0.213,714
0.0479,3771
-0.251,10080
-0.165,9422
0.0322,3970
0.264,568
-0.103,8124
0.137,815
-0.0979,8406
-0.0235,5936
0.0373,3741
-0.146,8286
-0.048,7123
-0.0896,8491
-0.027,5745
-0.154,9018
-0.103,7927
-0.111,8379
0.0035,4996
-0.206,9956
-0.136,10021
0.723,119
-0.111,8706
0.176,2075
0.396,1109
-0.0216,5970
-0.0979,7844
0.171,2145
0.0708,2447
0.0326,3794
0.303,840
0.0714,2447
0.0379,3711
-0.104,8176
0.135,1192
-0.406,10390
0.531,409
0.0885,891
0.074,3035
0.0889,3006
0.138,1919
0.214,715
-0.0281,5901
0.0917,2660
0.0462,3327
0.13,2371
-0.284,9656
0.14,1593
0.161,2001
0.0171,4293
-0.0178,5968
0.252,1316
0.158,435
-0.214,8552
-0.0258,5264
0.135,1289
0.101,1784
0.0681,3561
0.138,1226
-0.177,8778
-0.0873,6876
0.0305,3951
0.0657,2282
-0.0273,6483
-0.0922,7677
0.0215,4512
-0.0816,7663
-0.155,9957
0.288,518
0.309,11
-0.436,7869
0.193,2895
-0.0902,8377
-0.0883,9052
-0.0129,5700
0.0234,4225
0.022,4209
0.0821,2985
0.103,1356
0.00944,4587
0.192,278
0.105,2694
0.0881,3189
0.0522,3784
0.0236,4461
0.141,1607
-0.456,7692
0.187,881
0.411,440
-0.177,8956
-0.0303,6572
0.143,1610
-0.0987,4893
-0.0371,6790
-0.182,7267
-0.212,8846
0.0223,3897
0.43,277
-0.172,5608
0.52,2021
-0.146,8180
-0.181,8190
0.15,1197
0.644,19
0.145,1822
0.0276,3358
-0.149,8867
0.0606,3996
-0.116,5620
-0.0923,8658
-0.0952,8102
0.0146,4368
0.18,1719
0.134,1234
0.194,2379
-0.0933,8739
0.134,1529
0.0131,4726
-0.000134,4960
-0.149,7543
0.286,563
0.00625,4935
-0.0116,5675
0.0287,4199
-0.16,8389
-0.0531,7679
-0.194,9462
-0.209,8605
0.0103,4776
-0.315,10148
-0.236,9662
-0.366,8183
-0.183,9709
-0.0553,6352
0.136,1337
-0.133,9241
0.21,1399
0.305,1069
-0.132,8240
-0.0327,5166
-0.218,8984
0.127,1873
0.0567,3393
0.426,1528
0.0971,2710
-0.0341,6057
0.0352,3704
-0.179,9635
0.162,472
0.0338,3968
0.0992,3747
-0.263,6026
-0.0956,8859
-0.0882,8965
0.0535,2772
-0.17,8547
-0.0655,8467
0.263,1548
-0.105,8238
-0.0523,7246
-0.0711,6362
0.326,407
0.109,2355
0.144,1829
0.0766,3038
-0.0844,8406
0.177,2743
0.0542,3800
-0.274,7548
0.276,1338
-0.0256,6434
0.00176,4937
0.0683,3422
0.0913,1880
-0.00049,5291
-0.212,7958
