coef,rank
-0.0896,5132
0.169,2041
-0.0341,5608
-0.353,9395
-0.505,9622
0.0639,3230
-0.0933,8671
-0.157,8565
-0.165,8519
-0.176,8900
0.101,1974
-0.103,9296
0.0317,3960
0.0317,4389
-0.293,9241
-0.46,8896
0.0463,2471
-0.0558,8560
-0.235,10250
-0.0802,7689
0.107,2858
0.39,1301
-0.138,8856
0.115,1957
-0.493,10260
-0.325,10124
-0.0541,7274
-0.677,9805
0.187,1743
-0.104,8638
0.0476,3759
0.0272,4595
-0.179,8979
-0.12,6714
-0.0766,7760
0.0824,1552
0.132,1276
-0.0419,5762
-0.0259,5750
-0.0456,6200
0.0109,4293
0.00626,4893
-0.0617,6522
-0.0353,6565
-0.138,8370
0.0865,3028
0.0157,3921
-0.0788,9412
-0.145,7968
-0.0555,6891
-0.14,8556
-0.166,8449
-0.252,10136
0.0444,2867
0.178,1301
-0.0992,7318
0.146,2927
0.0995,2936
0.0317,3407
-0.0262,6198
-0.0595,6245
0.109,2107
-0.0281,6461
-0.0374,7422
0.0313,3742
0.031,3760
0.134,913
-0.07,7776
-0.0781,7330
-0.000948,4305
0.012,4610
0.0106,4507
-0.135,8516
0.0769,3141
-0.208,9153
-0.0427,6707
-0.107,8897
-0.031,6138
0.0324,3685
-0.0545,7180
-0.507,9660
0.0965,2963
-0.00265,5345
0.246,89
0.368,28
0.138,2555
-0.106,8622
-0.228,8359
-0.0456,7442
-0.00715,5615
-0.0564,6493
0.0358,4166
-0.273,9671
-0.00324,5181
0.012,4905
-0.00825,5400
-0.378,10240
0.0809,1883
-0.0199,5831
-0.0885,7603
0.0245,3991
0.0167,4520
0.0113,4658
-0.202,8970
-0.204,8347
-0.0808,6861
-0.00229,4918
-0.206,9527
0.0799,2894
0.0428,3894
0.496,749
-0.114,7503
0.0628,2233
0.0581,2031
0.173,1348
0.0309,4017
0.059,2590
0.194,1233
0.326,211
-0.15,10209
0.177,240
0.0642,2293
0.0952,3344
-0.267,8524
0.216,119
-0.251,9373
0.101,3054
-0.274,10240
0.0567,3486
-0.0464,6379
-0.077,8344
0.33,74
-0.207,9062
-0.134,9395
0.0296,3480
0.023,4464
-0.0584,7471
0.0475,3451
-0.268,8700
-0.0211,6238
0.0836,3155
-0.118,7850
-0.0106,5200
-0.0481,7121
0.0398,4034
-0.185,9013
0.0804,1908
-0.305,10023
-0.203,9910
-0.0719,8200
0.637,1196
0.0667,3432
-0.0616,5691
0.0762,2841
0.0246,4153
-0.0989,8323
0.372,611
0.149,1317
0.166,1487
-0.013,5366
0.0263,4416
0.0597,1874
0.0981,2470
-0.101,7748
-0.084,8506
0.18,312
0.00436,5072
0.169,432
0.365,111
0.0886,3229
0.253,140
-0.116,9468
0.038,2651
-0.0963,8230
-0.0076,5307
0.119,2131
0.0404,4309
0.0332,3135
0.0324,3632
-0.149,8487
-0.134,9651
-0.0646,8032
0.117,663
0.0232,3272
0.0414,3749
0.127,1071
0.246,626
-0.0945,8657
-0.232,7757
0.182,481
-0.0477,6275
0.0927,578
-0.112,8750
0.252,747
-0.155,7590
0.198,296
0.0538,3553
-0.432,10379
-0.064,8520
0.291,673
0.176,1036
0.291,1047
-0.0563,7708
0.043,3888
0.104,2682
-0.137,7937
-0.0529,6606
0.195,1253
-0.045,6941
-0.143,9863
-0.13,9600
0.246,864
-0.0528,6129
0.0641,3184
-0.00673,5424
-0.235,10439
-0.0812,7720
0.146,1561
0.0716,3691
2.03,474
0.153,1514
-0.0143,5799
0.00567,4849
0.201,1356
-0.281,9196
0.12,2331
0.0497,3307
0.0125,4309
0.0894,1244
0.00499,4696
0.242,363
0.285,934
-0.166,8413
0.0602,1776
0.234,680
0.0113,4659
-0.104,5785
0.183,1126
0.544,68
-0.204,7512
-0.0669,6058
-0.0202,5966
-0.0477,7047
-0.0192,5691
-0.0567,7062
-0.177,9327
0.000954,5157
-0.11,8827
-0.0268,5670
0.0217,4191
-0.0598,8418
0.00203,4923
0.242,1695
-0.143,7512
-0.142,6801
0.103,2064
-0.02,5699
-0.0759,7809
-0.181,9602
0.249,591
-0.225,9691
0.0155,4225
0.0477,3835
-0.0589,6020
-0.092,8127
-0.0397,5929
-0.481,9952
-0.224,9523
-0.0464,8311
-0.0717,7150
0.0881,2299
-0.318,10191
0.0793,2750
-0.163,9553
-0.12,7833
0.0978,2259
0.149,1385
-0.133,8033
0.0827,2536
-0.0728,7325
-0.217,9165
0.161,1642
-0.0334,5829
-0.0478,6194
0.143,1676
-0.0489,7668
-0.0232,5623
0.0475,3800
-0.241,9716
-0.175,8444
0.0513,4078
-0.0183,6205
0.114,1374
0.000406,5000
0.135,1228
-0.00748,5374
-0.153,7868
-0.109,8437
0.0113,4516
0.0156,4523
0.0438,3719
0.16,1745
-0.0351,5254
0.0118,4310
-0.168,8666
0.0683,2664
0.0642,3826
0.3,731
-0.0706,8002
0.00743,4800
-0.00929,5385
-0.0687,7019
-0.0711,6076
-0.116,7154
-0.0845,7338
-0.121,7215
0.178,1685
-0.053,5806
-0.126,8851
0.269,880
-0.147,7123
0.134,661
0.00178,5173
1.54e-06,5278
0.0679,3256
-0.0628,8186
-0.16,6192
-0.0585,8032
-0.0395,6867
-0.118,7569
-0.273,10106
0.377,318
-0.0685,3264
-0.0501,7380
-0.0977,9115
0.0174,4455
-0.0687,7911
-0.00384,5379
0.408,574
0.236,35
0.837,1578
-0.283,9734
0.0527,2180
-0.0821,9176
0.108,2793
-0.0676,8217
-0.13,8515
-0.232,5263
-0.3,7651
0.0727,3015
-0.264,5402
0.293,2736
-0.127,7742
-0.0589,6188
0.105,2270
0.263,601
-0.0199,6391
0.125,275
-0.814,10251
0.000633,4977
0.242,1157
-0.455,9783
0.109,2160
-0.02,6170
-0.351,9370
0.214,1275
0.175,801
0.213,344
0.217,1299
0.0652,2519
0.338,148
-0.128,7880
-0.185,9372
0.424,448
0.0234,4260
0.00678,4843
-0.286,9919
0.0109,4623
0.0534,3661
0.0298,4319
-0.0932,8483
-0.0724,7471
0.00311,5021
-0.0746,7391
0.588,99
-0.028,5995
-0.0255,6057
-0.141,9444
0.192,805
0.057,3957
-0.0311,6033
0.0384,4198
-0.127,8205
-0.0719,7864
-0.0555,5885
0.219,392
-0.282,10085
-0.205,9819
-0.121,8789
0.168,618
-0.264,10382
-0.447,10390
-0.136,7999
-0.363,8411
0.0432,1176
0.0893,1993
-0.273,9783
0.252,1243
0.00363,4988
-0.108,7803
0.117,1005
-0.0352,7361
-0.0254,8665
0.237,377
0.0963,3316
-0.0243,5748
0.532,91
0.0663,2123
-0.0434,6272
-0.108,7670
0.164,1636
-0.0347,5766
0.133,2446
-0.025,6182
0.138,1765
-0.0937,7079
0.254,771
-0.15,8953
-0.0581,7912
-0.105,9055
0.31,482
0.00736,4841
-0.058,6609
-0.125,9106
0.041,3816
-0.102,8657
-0.0142,6042
0.353,1959
-0.173,8196
0.154,2146
-0.118,6512
-0.0295,6473
0.115,1985
-0.107,7301
0.176,2852
-0.178,8608
-0.104,7206
0.0333,3850
0.00154,4903
0.0197,4479
-0.151,9131
0.118,2407
0.0334,4076
-0.0546,7290
-0.00289,5216
0.111,2337
-0.0285,5947
0.0555,3757
0.0493,3805
0.194,328
0.112,2629
-0.114,7785
-0.146,7923
-0.247,10034
0.0666,3154
0.23,240
0.252,203
0.137,1744
0.237,821
-0.0636,7654
-0.0663,7028
-0.0704,7202
-0.0598,6484
-0.0333,6539
-0.0147,5053
-0.0674,7076
-0.125,8573
0.138,686
-0.0596,5991
0.0544,3287
-0.0619,6608
0.312,579
0.0948,2511
0.188,452
-0.0863,8863
0.151,789
0.0912,1784
-0.159,9557
0.0717,2945
0.042,1410
0.0888,2321
-0.142,9611
0.366,1029
0.282,1517
-0.0359,6573
0.0223,4432
0.116,1690
-0.0424,6191
-0.0936,7853
-0.0738,6498
0.0417,3546
-0.136,10280
-0.0624,7672
0.0176,4642
0.0376,3856
0.00209,4817
-0.134,7605
0.0574,3853
0.00357,4910
-0.156,6512
0.453,335
0.143,2746
0.141,3023
-0.0979,9344
0.0064,5089
-0.108,8940
-0.0849,7463
-0.0261,5328
0.037,4283
-0.00111,5059
-0.067,7230
0.52,474
-0.0691,6677
0.296,684
-0.261,8319
-0.00589,5545
-0.0909,8004
0.24,724
-0.0114,5495
0.0299,4254
-0.271,10077
-0.0207,6199
-0.087,9715
0.16,3304
-0.495,7430
-0.188,6496
0.125,2075
0.0513,3832
-0.0283,6355
-0.247,9793
-0.144,8057
0.167,1123
-0.0979,8429
0.219,1055
0.109,2310
-0.00194,5346
-0.0484,5087
-0.397,8782
0.121,1113
-0.242,9675
0.138,1240
-0.0491,6529
-0.186,9195
0.108,2274
0.345,138
-0.13,8368
0.053,3424
-0.182,10127
0.187,1266
0.142,1456
0.205,221
-0.113,8785
0.173,649
-0.0521,6688
-0.0301,5590
0.0691,2253
-0.184,10145
0.328,358
0.177,1156
0.191,789
0.117,1958
0.0744,3230
0.0307,4135
-0.0835,8808
0.261,1719
-0.114,8809
0.00302,4973
0.0329,4538
0.11,1447
-0.0324,5862
0.356,557
0.0416,3397
0.0245,4129
0.205,1747
0.111,1334
-0.0242,6112
0.0132,4722
0.0666,2858
0.161,2140
0.153,2946
-0.0795,9397
0.0545,3539
-0.0781,6863
-0.00479,5208
-0.13,8754
-0.169,9703
0.109,2267
0.0155,4510
0.207,1287
0.163,2225
0.137,1633
-0.229,9471
-0.0543,6773
0.0427,3140
-0.232,9258
-0.0832,8731
-0.00808,5092
-0.105,6790
-0.0857,7894
-0.0134,5534
-0.0855,7158
0.134,1289
0.164,1751
0.0684,3356
0.115,1692
-0.00274,5051
-0.032,6702
0.111,2156
-0.00165,5299
0.052,3453
-0.032,6415
0.0562,3663
0.173,322
0.6,1781
0.24,2489
0.0506,3210
-0.0137,5666
-0.0694,8667
-0.0503,7361
-0.0485,5644
-0.0286,5912
-0.05,7547
-0.0212,6714
-0.034,6427
0.437,84
0.123,2624
0.117,2492
-0.122,8894
0.448,33
-0.43,7455
-0.236,10215
-0.404,10306
-0.169,8827
-0.0592,7799
-0.112,7850
-0.801,8398
0.13,1180
-0.269,8427
0.172,2115
0.044,2878
0.286,905
-0.19,5780
-0.44,7631
-0.0605,6498
-0.196,8411
-0.083,7934
-0.0262,5665
0.102,2671
0.0332,3038
0.0498,3505
-0.197,8859
0.0939,3569
0.155,544
-0.0429,6451
0.0801,1813
-0.189,8885
-0.111,8784
0.16,2778
-0.0157,5791
-0.102,8108
-0.111,8733
-0.0794,6910
0.204,1991
0.254,794
-0.393,10433
0.136,755
0.0685,2985
0.234,1098
-0.132,9896
0.0528,4045
-0.371,10172
-0.219,10357
0.16,2108
-0.143,8230
-0.663,10128
-0.252,10262
-0.172,8649
-0.0534,6493
0.0492,3187
-0.125,7882
-0.298,9688
0.232,768
