coef,rank
0.439,2100
0.225,1455
0.116,2540
-0.167,7254
1.31,80
0.266,433
-0.00788,5383
-0.111,7638
-0.00224,4872
-0.159,8596
-0.174,9943
-0.0355,6786
-0.133,9413
-0.179,9113
0.15,2777
-0.121,5106
0.00796,4743
0.125,205
-0.0436,6483
0.242,329
-0.139,8094
-0.201,7286
-0.137,8831
0.137,1516
-0.195,7807
0.0131,4764
-0.108,8935
-0.283,5950
-0.113,7360
-0.119,8982
0.164,1362
0.418,1126
-0.0715,6772
-0.192,7832
0.109,1585
-0.0772,8672
0.0999,1980
0.109,2996
-0.0619,6789
0.136,1722
-0.0397,6549
0.00196,5226
-0.0501,6237
0.0216,4399
-0.157,8744
0.27,696
0.0689,1455
0.0398,2638
0.0483,3807
0.000959,4961
0.0844,2623
0.201,1384
-0.00724,5347
-0.0267,6512
0.224,805
-0.175,8793
-0.123,5848
0.262,885
0.0325,3363
0.0116,4532
-0.238,9523
0.0841,2625
0.0957,1587
-0.179,10447
0.0666,2489
0.0142,4483
0.00604,5019
-0.055,7201
-0.0294,5906
-0.338,7597
-0.0668,8061
0.0422,3349
-0.0756,7076
0.305,463
0.321,613
-0.0222,6009
0.00393,4962
-0.128,9156
-0.0483,7244
0.046,3703
0.358,2095
0.236,1257
-0.0686,8558
-0.044,6845
0.0966,2210
-0.334,10094
0.106,1989
0.0924,3443
0.0989,977
0.0762,1418
-0.0464,6254
0.00999,4803
-0.0525,6151
-0.266,9885
0.0145,4847
-0.104,9085
0.0994,3004
0.0298,3761
0.00914,4775
0.3,228
-0.039,6827
0.0945,2153
0.0147,4516
0.0551,3748
-0.324,9678
-0.0882,7018
-0.338,9944
-0.17,9020
-0.0276,5612
-0.152,8708
-0.284,8482
-0.104,7255
-0.0142,5778
-0.0425,7513
0.336,186
0.0677,2940
0.0679,2303
0.0884,2770
0.0304,4238
-0.161,10284
-0.0107,5835
-0.0816,8723
-0.134,7205
-0.482,10195
0.0614,2552
0.0239,4550
0.492,228
-0.0299,5739
-0.282,10211
0.18,1065
0.0501,2884
-0.112,8731
-0.0599,6331
-0.0738,7836
-0.385,6198
0.249,1730
-0.163,9990
0.0341,3881
0.0274,4175
0.0997,1188
0.00284,4965
-0.0176,5314
0.105,2133
0.0993,1802
0.0492,3813
0.0919,3052
0.0452,3135
-0.0294,5605
0.173,1002
0.00889,4681
-0.223,6127
-0.0886,7732
0.532,224
0.0162,4450
0.0268,4080
0.247,277
-0.187,8382
-0.0122,5458
0.185,1255
-0.235,10043
0.0505,3852
0.059,1905
-0.193,9656
-0.0573,6723
0.242,111
-0.0544,7746
-0.00398,5314
0.0445,3372
0.115,2097
-0.031,5125
-0.131,9432
0.0397,3502
-0.0952,10002
-0.0284,6029
0.174,359
-0.243,9888
-0.178,7562
0.0292,3342
-0.0158,5656
-0.00503,5163
-0.0608,7694
-0.0553,7669
-0.0155,6054
0.0538,1361
-0.0111,5638
-0.0665,7758
0.253,573
-0.0465,7088
-0.0261,5105
0.0147,4669
0.0214,4013
0.0327,2884
0.172,721
-0.0341,5791
0.00905,4705
0.19,334
-0.0743,7282
-0.0131,5279
-0.104,9722
-0.299,9954
-0.109,7930
-0.0988,6844
-0.0197,5982
-0.0781,6946
0.0558,3710
0.306,689
0.00586,4618
0.155,1829
-0.113,9155
0.0258,3963
-0.1,8926
0.135,2269
0.158,1627
0.0218,4269
-0.0174,6123
-0.0603,7627
-0.0328,6343
-0.0828,7398
-0.0316,5449
-0.414,6408
-0.0485,6570
0.03,3649
-0.0139,6114
0.126,2436
-0.0382,5481
-0.0445,6015
-0.102,8463
-0.0929,9035
-0.0367,7263
-0.204,8826
0.00386,4879
0.149,2307
0.344,578
0.023,3612
-0.298,10319
0.0527,3622
-0.189,6815
-0.153,8732
0.207,1490
-0.347,9084
-0.143,7259
0.0976,1795
0.00367,5147
0.00491,4840
-0.104,8517
-0.279,10296
-0.0331,5947
-0.157,9707
0.212,1214
0.234,164
-0.0163,6125
-0.0225,5359
-0.348,9725
-0.243,9096
-0.215,7791
0.138,1342
0.0297,3688
-0.0188,5765
-0.169,9430
0.0253,4482
-0.0328,5723
0.245,71
0.0904,2706
-0.348,10160
-0.121,8860
0.204,881
0.433,1115
-0.0488,6251
0.0614,1508
-0.195,9691
0.0234,4161
0.1,2709
0.104,2151
-0.0044,5026
0.00972,4824
0.0282,4229
0.0361,3914
0.24,1065
-0.103,8455
-0.0573,6843
-0.211,9084
-0.206,9587
-0.153,8345
-0.157,8690
0.167,1339
0.0451,2909
-0.15,8813
0.118,2348
0.206,1190
-0.215,9071
-0.301,9556
0.0418,3164
0.152,704
-0.17,7868
-0.0944,8482
0.0738,3562
-0.157,7931
-0.0325,6171
0.012,4496
-0.00716,5202
0.242,428
-0.0902,7375
0.0928,3637
0.00544,4637
0.16,2210
-0.128,9366
-0.0492,5393
0.265,974
-0.0485,7133
0.0152,4366
-0.0484,6792
0.308,263
-0.0235,5216
-0.0661,6223
0.218,871
-0.0811,6551
-0.188,9134
0.0619,3624
-0.0689,7359
-0.0711,6635
0.589,389
0.0269,3875
-0.118,9060
0.032,3968
0.0689,3235
-0.0808,8894
-0.27,7435
-0.0198,6339
0.0108,4611
-0.266,9761
0.0633,3439
0.00623,4783
-0.0721,3280
0.119,1192
-0.0104,5673
-0.0257,6001
-0.179,10217
-0.00791,5537
-0.43,10276
-0.068,8326
-0.34,5961
-0.106,7193
0.0658,1666
0.0807,1303
-0.228,9557
-0.0224,6131
0.162,1350
-0.832,8611
-0.362,8357
-0.304,5317
3.91,39
0.0182,3887
0.0872,2982
0.341,634
0.0989,2403
0.222,906
0.17,127
-0.0753,9128
1.04,649
0.124,2815
-0.196,8818
-0.361,8955
-0.146,8919
0.119,715
-0.255,8227
0.0131,4631
0.106,1967
-0.0414,6442
-0.158,8442
0.0791,2075
-0.0513,6547
-0.0933,7190
-0.094,7615
0.596,115
0.106,2473
-0.057,7373
0.221,1291
0.138,269
0.497,29
0.479,1339
0.0499,3441
0.112,1410
0.302,220
-0.00323,5195
0.0699,3717
-0.131,8715
-0.0879,7997
-0.12,9020
-0.0461,6449
-0.162,8011
-0.0705,7296
0.272,1250
0.12,2457
-0.0153,5851
0.0352,4349
0.0313,4014
0.116,2687
0.0244,4275
-0.0402,6449
0.0741,2506
-0.11,8634
-0.143,7788
0.0117,4661
1,225
-0.0033,5505
0.0509,3174
-0.0377,5672
0.0467,4123
-0.0135,5415
-0.137,8391
-0.112,9284
0.0372,2512
0.00638,4226
0.117,1905
0.196,2091
0.2,728
-0.408,10372
0.147,359
0.133,1805
-0.193,9260
-0.232,10005
-0.224,9313
0.199,1616
-0.187,10252
0.0195,4653
0.402,292
-0.224,9667
0.0228,4353
-0.0986,9304
0.143,889
-0.173,9029
0.04,3781
-0.191,9102
0.0111,4847
0.332,294
-0.136,9410
0.0137,4348
1.06,257
-0.279,9598
0.341,432
