coef,rank
0.813,1039
-0.307,9867
0.013,4539
0.174,2738
0.188,3035
0.00809,4635
-0.162,10034
-0.0671,6538
-0.484,10466
0.19,1373
0.0981,2034
0.0874,1543
0.135,1092
-0.164,8890
0.0486,4162
0.665,1212
-0.00132,5324
-0.00711,5534
-0.17,9684
-0.0167,5603
0.542,41
-0.505,10095
0.111,2067
-0.0143,5495
0.129,3212
-0.323,10107
-0.0635,7588
-0.289,6019
-0.0566,6196
-0.238,10338
0.141,1747
0.236,2338
-0.182,9014
-0.0465,5583
-0.124,9078
0.127,593
-0.0292,6268
0.508,199
-0.0873,7482
0.164,1333
-0.113,9129
0.0209,3924
0.51,70
0.0394,3796
0.0783,3110
-0.321,10161
-0.0555,8183
0.0475,2249
0.162,1946
0.032,3934
-0.0918,7368
0.03,4205
-0.05,6585
0.0031,4929
0.104,2619
0.104,2842
-0.236,7260
0.251,971
0.0557,2365
-0.0215,5994
0.255,922
0.141,1561
-0.0595,7761
-0.056,8353
-0.0309,6371
-0.0532,7594
0.0596,2839
0.00317,4972
0.0374,3992
-1.01,10448
0.0167,4388
0.121,1264
0.042,3848
-0.0815,6956
-0.0771,6857
0.0414,3815
-0.013,5643
-0.0954,8366
0.148,658
0.091,2384
0.866,403
-0.167,8071
0.108,955
-0.0345,6424
-0.0646,7181
0.464,227
-0.125,9067
-0.167,7464
-0.0308,6684
0.129,335
0.00127,5095
-0.0105,5343
0.0605,3872
0.0142,4787
0.173,1596
-0.0241,6145
-0.249,9212
-0.0443,7122
0.164,859
0.132,1758
0.0128,4505
-0.0359,6425
0.0959,1936
0.192,1554
0.278,1499
0.31,658
-0.512,10453
0.057,3619
0.136,1861
-0.0392,6050
-0.111,6225
-0.241,9687
-0.124,9855
0.0162,4149
-0.0326,6127
0.157,1097
-0.0599,7544
0.0901,2732
-0.0412,6286
0.0299,3424
-0.111,9641
-0.00864,5533
-0.265,9109
-0.0782,5954
-0.111,9390
0.00781,4825
-0.431,10317
-0.148,8732
-0.224,9761
0.0177,4508
-0.0356,6648
0.133,1656
-0.0578,6283
0.147,1115
2.73,221
0.212,2069
0.0143,4549
-0.0268,6095
-0.562,10398
0.0458,3023
0.23,1065
-0.223,9648
0.0159,4420
-0.207,10332
0.149,1924
-0.0931,7274
-0.043,6939
0.0926,3102
-0.0886,7788
-0.0514,7416
-0.318,7112
-0.00777,5448
-0.209,8141
0.0546,3393
-0.0516,6397
0.0615,3137
0.0265,4547
0.0998,2216
-0.106,7633
-0.211,9807
0.154,1847
-0.093,9567
0.0669,3207
-0.0826,7350
-0.0455,7107
-0.0128,5867
-0.0259,5993
0.154,594
-0.207,9646
-0.243,8789
0.0519,3400
-0.0179,5994
-0.0415,8065
-0.0547,6980
-0.0112,5469
-0.318,10309
-0.25,8510
0.0975,685
-0.107,8978
-0.155,8599
-0.029,6473
-0.103,9159
0.122,560
0.0447,1836
0.0319,4063
0.0358,3534
-0.0122,5389
0.22,210
0.218,2389
-0.0498,7287
0.00213,4631
0.00664,4686
-0.163,9748
0.216,1069
0.702,60
0.033,3798
-0.0221,5746
0.274,1213
-0.0644,8533
-0.0583,6106
-0.0459,6168
0.122,2835
-0.167,10285
0.119,2358
-0.114,7818
-0.11,7430
0.0215,4120
0.0653,3398
-0.108,9046
0.0133,4550
-0.00524,5498
0.00659,4959
-0.181,8996
-0.0954,7404
0.0162,3860
-0.125,9575
0.0861,2883
0.174,1158
0.171,2367
-0.905,9704
-0.0594,6875
-0.059,7915
-0.0322,7172
-0.0539,6419
0.473,584
0.0463,3827
-0.163,9724
-0.00313,5152
0.0534,2475
0.252,1038
-0.086,7589
0.219,1470
0.0174,4795
-0.0193,6320
-0.0108,5289
-0.234,9836
-0.454,9563
0.186,1087
-0.0344,5605
-0.0339,5325
0.324,1252
-0.0499,7132
0.125,1523
0.089,2234
-0.0342,6190
-0.146,8778
0.013,4871
-0.00823,5429
-0.0935,7333
-0.0492,7132
-0.0593,8388
-0.0654,6165
-0.00409,4923
0.144,2446
0.0974,3627
-0.0114,5549
-0.0511,6972
-0.146,9559
0.196,857
-0.198,9633
0.272,577
-0.0104,5344
0.0634,3416
0.326,633
-0.0619,7173
0.0553,3376
0.0562,3992
-0.114,7755
-0.0402,7946
-0.113,8229
-0.0114,5374
-0.193,8987
0.00714,4974
-0.0246,5705
-0.323,10282
0.0135,4678
0.0462,3638
0.033,4421
0.212,479
-0.113,8423
0.114,2538
-0.0749,7079
-0.00882,5292
-0.017,5376
0.152,1568
0.0302,3591
0.0264,4168
0.0649,3421
-0.151,8421
-0.235,9325
-0.0744,6269
0.137,493
-0.0981,9034
0.276,1516
-0.0779,7990
-0.281,10057
0.0239,4722
-0.0445,6549
-0.0405,6495
-0.201,9660
0.135,1597
0.141,2058
-0.341,9130
-0.0783,8618
