coef,rank
0.0697,3958
-0.0523,5882
0.266,871
-0.491,10202
-0.377,8703
-0.0101,5123
-0.0695,7875
0.0544,3577
-0.0219,5367
0.0672,3395
-0.112,8897
0.152,415
0.0538,3201
-0.145,8562
0.215,2078
-0.535,9504
-0.00317,5434
-0.0276,6976
-0.0871,7872
-0.173,9658
-0.063,6470
0.444,1050
-0.0144,5423
-0.2,9893
-0.308,9158
-0.0871,6945
0.00364,4991
-0.886,10317
-0.112,7343
-0.0911,8278
-0.163,9247
-0.275,8641
0.0263,4342
0.437,658
-0.25,10389
0.123,670
-0.0405,6675
-0.0193,5275
0.0697,3117
-0.302,10321
-0.106,8965
-0.0738,9408
0.155,2065
0.00925,4885
-0.101,7534
-0.151,8234
0.037,2768
0.0292,3177
-0.0319,5543
-0.104,8397
-0.0733,6871
0.214,1250
-0.15,8961
-0.000512,5112
0.0701,3427
-0.187,9011
0.0581,3810
0.197,1519
-0.0257,6601
-0.0609,7632
-0.15,8184
0.182,1016
0.0071,4860
0.0764,1373
0.147,727
-0.0287,6547
-0.0957,8930
-0.0116,5536
-0.181,9502
-0.604,9756
0.0494,2938
0.121,1255
-0.0139,5402
0.0233,4345
-0.39,10372
-0.0811,7900
0.0203,4339
0.124,1310
-0.177,10261
0.0891,2433
0.3,2479
0.172,1934
-0.0133,5920
0.273,42
0.231,417
-0.288,9760
0.0901,2362
-0.208,8057
-0.0161,5871
-0.0172,6205
0.122,2485
0.0748,3239
-0.0699,6496
0.019,4680
-0.145,8625
0.136,778
0.142,2368
-0.0956,8927
0.0833,2456
0.0489,3535
-0.0898,8775
0.0017,5028
0.0417,3548
0.124,2476
-0.0322,5442
0.0642,3723
-0.187,8306
-0.118,7994
0.175,1338
0.0456,3838
-0.47,10039
-0.354,10355
0.138,522
0.0157,4192
0.105,2516
-0.0212,5838
-0.169,10133
0.0876,2780
0.0746,3095
-0.0367,6867
-0.0045,5535
-0.0281,6513
-0.255,9000
-0.107,6375
-0.0575,7674
-0.0655,6274
-0.0496,5728
-0.05,6316
0.0783,3052
-0.17,9368
