coef,rank
-0.183,5982
0.103,3015
0.0947,2875
0.4,953
-0.264,7557
-0.049,6226
-0.0945,8700
-0.00601,4999
0.00709,4672
0.118,2398
-0.0228,6006
-0.0775,8503
-0.0873,8302
-0.00639,5340
-0.347,9740
-0.257,6413
0.0917,892
0.009,4390
0.121,1660
-0.207,10041
-0.0779,6810
0.338,1604
-0.0829,7482
0.189,794
-0.179,7558
0.279,892
0.0714,2544
-0.242,5495
-0.0506,6050
0.0782,2588
0.314,193
0.179,2864
-0.198,9245
-0.321,9373
-0.112,8766
-0.029,6547
-0.0245,6109
0.007,4786
0.0349,4025
-0.109,7877
0.0852,1765
0.0721,1321
0.169,1885
0.0762,2633
-0.00481,5073
-0.0476,5943
0.0422,2503
0.0781,1033
0.0964,2936
0.0639,2960
-0.0239,5431
0.0426,3946
-0.153,9006
0.101,970
-0.357,10443
0.211,1287
-0.418,9303
0.105,2830
-0.0471,7676
-0.0952,8796
0.306,592
0.0092,4612
0.0639,2548
0.046,2592
0.0236,4041
-0.0246,6335
0.124,1100
0.0533,3096
0.107,2316
-0.0499,4692
0.0148,4487
0.0742,2362
0.0121,4627
-0.0842,7013
-0.0985,7294
0.0109,4838
-0.0652,7632
0.0961,1878
-0.0777,8408
-0.133,9251
0.878,382
0.155,2181
0.0907,1338
-0.0732,7998
0.219,498
0.225,1470
0.0939,2274
-0.0282,5192
0.0588,2113
-0.0756,9102
0.124,2452
-0.0629,6765
0.0702,3694
0.154,2173
-0.0855,7365
0.0146,4399
0.24,1269
-0.0725,8159
0.134,1333
0.252,425
-0.152,10048
-0.0283,6128
0.028,4039
0.0319,4216
-0.262,9124
0.0197,4662
-0.155,7804
-0.119,8010
-0.109,7695
-0.127,8194
0.545,597
0.338,270
-0.0426,7200
-0.0592,8325
0.118,2269
-0.148,9369
-0.0488,7057
0.328,293
0.148,1629
0.102,957
0.0406,3414
0.101,1237
0.194,1990
0.129,3233
-0.0635,7913
0.211,1847
-0.0928,6584
0.235,585
0.174,1377
0.0404,3870
-0.123,9559
-0.0834,8032
0.313,620
0.328,43
-0.297,5576
-0.219,8375
-0.0213,5995
-0.0418,6639
-0.141,6820
0.0129,4497
0.0935,2952
-0.0868,7127
-0.0663,6968
-0.154,9858
0.016,4598
-0.043,6100
-0.0531,7414
-0.0457,5951
-0.0062,5241
0.0171,4338
-0.119,5126
-0.113,8304
0.00789,4547
0.18,1017
-0.185,9525
-0.0555,7026
0.0239,4590
0.0637,3070
-0.316,10281
-0.0567,6674
-0.187,9323
-0.0867,9411
-0.186,9572
0.142,2132
-0.0168,5935
0.0177,4457
-0.0123,5584
0.0703,2437
0.292,307
-0.184,7927
0.0503,3452
-0.00976,5645
-0.0126,6163
-0.0762,7653
-0.191,10310
0.194,1070
0.0771,3812
0.0142,4191
0.0462,3154
0.00721,4826
-0.0692,7966
0.011,4655
-0.0842,9082
-0.0337,8072
0.00634,4987
-0.0151,5671
-0.145,8688
-0.0217,6106
0.395,1194
0.0796,2395
0.15,1148
0.0405,2405
0.00354,4909
0.000393,4932
0.263,1352
-0.0215,6080
0.445,21
0.16,2407
0.0535,2471
0.184,1660
-0.157,9013
0.204,1793
0.0866,1545
-0.0778,6938
-0.158,8677
-0.405,10371
0.0201,4156
0.049,3765
-0.0172,5756
0.0315,3727
-0.104,9006
-0.136,8275
0.0954,2573
-0.0152,5259
-0.0821,9514
-0.083,8426
-0.0637,7255
-0.0759,7200
0.294,1215
-0.593,7997
-0.0518,6660
0.0568,2515
-0.056,8451
-0.0366,5979
-0.0042,4932
0.197,1195
0.139,1194
0.0387,3070
0.0445,2866
-0.0451,5756
0.0593,3295
-0.211,8876
-0.267,9712
0.0788,1140
-0.0586,6571
-0.0583,6639
0.0783,3781
-0.226,9806
0.821,3
-0.0722,5809
0.682,104
-0.17,10083
0.0982,2108
0.088,2268
0.0312,3811
-0.128,8392
0.00493,5067
-0.102,8646
0.0119,4700
0.117,1403
0.0314,3338
0.388,546
-0.317,9446
-0.286,9547
0.141,3138
0.0421,3782
0.0764,2147
0.0563,3045
-0.304,10402
-0.0656,7021
0.0829,2963
0.119,1081
0.0772,3026
0.145,2229
-0.116,8736
-0.125,8211
-0.201,7117
-0.0706,6771
0.0882,702
-0.118,8355
-0.0727,7437
0.0976,2750
-0.0224,5942
-0.095,8023
0.00677,4891
-0.0481,6701
0.056,3367
0.478,81
-0.0457,6676
0.0026,4890
-0.164,8343
-0.122,8169
0.199,1460
0.124,2165
-0.00361,5042
-0.00995,5674
0.0938,2582
0.15,1848
0.103,2688
0.139,2266
-0.192,8280
-0.1,9523
0.00817,5004
-0.244,8907
0.12,1505
0.0802,3408
-0.351,10009
-0.118,8684
0.0677,2642
0.176,1219
0.001,4940
0.0685,3448
0.000415,4794
0.143,417
-0.398,10396
-0.0149,5708
-0.188,7323
-0.0859,6794
-0.049,7148
-0.0138,5973
0.0516,3227
0.00501,4985
-0.151,7530
0.0295,4399
-0.0262,5781
-0.0356,5823
-0.174,8919
-0.172,8011
-0.148,9329
-0.206,9115
-0.000525,5004
0.0747,1973
-0.0976,8547
-0.0254,6274
-0.149,8845
-0.0273,6473
-0.222,6890
-0.0412,7330
0.179,286
0.0191,4581
-0.186,9177
0.0792,3219
-0.153,3836
-0.15,9940
-0.071,8281
-0.107,8509
0.0609,2638
-0.0374,6694
-0.0353,5520
0.0926,1312
2.06,319
0.175,2049
0.0768,1294
0.0566,2142
0.0947,3035
0.035,3377
-0.0315,5891
-0.271,5492
-0.217,6655
-0.36,5783
3.21,78
-0.239,5741
0.291,591
-0.366,10208
-0.119,8653
-0.0999,7317
-0.00969,5782
-0.0372,7313
-0.223,5947
-0.144,7676
0.195,1593
