coef,rank
1.35,401
-0.257,9393
0.0412,3939
0.601,330
-0.129,6048
-0.0319,5745
0.0549,2817
0.0449,3797
-0.0753,6592
-0.131,8036
-0.105,8693
0.0503,2726
-0.0457,6930
0.033,4356
0.102,3398
0.451,2011
0.0109,4556
-0.0194,6399
0.0372,3812
-0.212,10084
0.0497,3969
-0.117,6211
-0.00259,5078
-0.0991,7966
-0.0896,6255
-0.144,8062
0.0184,4372
0.615,1585
-0.0495,6029
-0.0603,7329
-0.0802,7504
-0.106,6380
0.384,208
0.161,2682
-0.0943,8305
-0.0915,9115
0.0695,2790
-0.362,10181
-0.0512,6499
0.00636,4711
0.0362,3333
0.0361,2936
0.0274,4431
0.0357,3899
0.0207,4417
0.368,253
-0.0549,8154
-0.0732,9230
-0.0347,5612
-0.0124,5424
0.147,1492
-0.0046,4991
-0.0622,6906
0.136,437
-0.0858,7693
0.0393,4122
0.203,2460
-0.0659,6533
-0.0829,9061
-0.175,10193
-0.0699,6480
-0.138,8655
0.0952,1602
0.1,761
-0.0754,8047
0.155,470
-0.0383,6890
0.114,1423
0.477,10
-0.375,7980
-0.0052,5388
0.0656,2607
0.183,1112
0.0634,3420
0.283,846
0.00946,4885
-0.105,8853
0.101,1771
-0.109,9332
-0.12,9010
-0.0896,5854
-0.0865,6519
0.0563,2532
-0.0751,8089
0.049,3482
0.13,2673
-0.0431,6708
-0.413,10066
-0.134,10101
0.00126,5096
-0.311,10234
-0.0792,7203
-0.299,9892
0.0444,4083
0.0635,3621
-0.0695,7978
0.111,2822
-0.0247,6258
-0.116,8805
0.212,742
0.198,198
0.0529,3334
0.0838,2254
-0.273,9796
0.297,1360
0.0797,3436
0.351,615
0.0505,3771
-0.16,8807
0.0258,4311
0.231,2282
-0.133,7929
0.0175,4155
-0.0692,8751
-0.00186,5253
-0.0741,7563
0.0138,4342
-0.0811,6770
-0.011,5407
0.106,897
0.0941,1419
-0.0998,9266
0.547,196
0.173,2785
-0.109,9350
-0.132,7563
0.182,2018
-0.103,7740
0.346,177
-0.128,8518
-0.254,10461
-0.0959,8338
0.0135,4695
0.223,338
-0.127,4348
0.173,2449
-0.0557,7358
0.105,1811
0.495,459
0.0278,3810
-0.0693,6580
0.124,2076
0.0442,3589
0.0426,3565
-0.126,7966
-0.0887,7182
-0.0353,6608
-0.242,9497
0.382,49
0.113,1156
0.645,1171
-0.254,10187
0.00324,4627
0.119,1954
0.108,2122
0.00993,4766
-0.0568,6077
0.176,910
-0.291,10162
0.0462,3667
0.532,33
-0.141,10318
0.104,2341
-0.178,9184
0.144,774
0.157,523
0.0909,2744
0.18,335
-0.126,8225
0.286,1188
0.0697,2840
0.0523,3046
0.00167,5025
-0.0625,7223
-0.0977,8894
-0.0473,6008
-0.251,8527
-0.00727,5637
0.0404,3332
0.144,1945
0.0528,3024
