coef,rank
0.477,1957
-0.0158,5173
0.236,1099
-0.0754,5933
-0.52,9708
-0.145,8619
-0.0669,7781
0.0986,2714
0.22,1105
-0.162,8671
0.0281,4206
0.0182,4176
-0.0322,6418
0.322,424
0.5,438
-0.137,5226
-0.0676,8946
0.000514,4978
-0.148,9305
0.105,2016
-0.225,9405
0.63,492
-0.0114,5312
-0.0714,7195
-0.184,7639
-0.171,8530
-0.0643,7609
-0.0926,4346
-0.00372,5024
0.1,2030
0.331,149
-0.154,7062
0.327,389
0.381,891
0.201,395
0.0694,1934
0.0155,4627
-0.235,9127
-0.0159,5462
0.0893,2594
-0.144,9754
0.0383,2814
0.255,901
0.0963,2141
0.22,915
-0.199,9071
0.0492,2199
-0.0389,7691
0.215,1311
-0.027,5944
0.0416,3654
-0.246,9589
0.0782,3044
-0.0978,9452
0.0713,3402
-0.2,9222
-0.215,6986
0.0679,3549
-0.116,9871
0.0566,2746
-0.413,10420
-0.112,8047
0.0652,2498
0.111,556
-0.0579,7425
0.0244,4038
0.0183,4467
0.25,175
0.239,552
-0.171,5774
-0.0065,5454
0.0255,3950
-0.12,8217
0.0314,4162
-0.106,7462
0.0758,2865
0.0825,2247
-0.11,8744
-0.184,10310
-0.0629,7473
-0.128,6250
-0.0594,5941
0.136,507
-0.0849,8414
-0.112,8530
-0.0878,6814
0.0341,4012
-0.301,9255
-0.0574,7987
0.0544,2208
-0.267,9997
-0.158,8902
0.438,314
-0.0778,6923
0.364,220
-0.0393,6784
-0.0239,5145
-0.106,9203
-0.00626,5338
-0.262,10221
-0.0606,7732
0.00577,4880
-0.128,9310
0.0171,4542
-0.0934,6550
0.191,1712
-0.118,7167
0.121,2370
0.239,730
-0.12,8049
0.101,3654
0.266,609
0.116,855
-0.0362,7181
0.296,322
0.0901,2348
0.0506,2903
0.233,843
-0.105,8017
-0.0737,8483
-0.113,9677
-0.121,9716
-0.22,8540
0.197,2558
-0.127,9744
-0.0198,5397
0.233,1479
0.154,1394
-0.15,8708
0.0329,4074
-0.0865,8632
0.0274,4506
-0.238,9462
0.0316,4071
-0.709,8502
-0.00492,4939
0.144,785
-0.184,10033
-0.11,6301
0.132,599
-0.149,8280
-0.0617,6512
-0.0557,6638
0.036,3815
-0.273,10012
0.111,2700
-0.119,9451
-0.204,8986
0.109,2061
-0.0315,6548
0.173,3116
