coef,rank
-0.157,5735
-0.0207,5265
-0.0527,6026
-0.0889,6120
-0.224,7087
-0.171,9100
0.0446,3194
0.183,1414
-0.0407,5780
0.0322,4211
-0.128,9207
-0.0523,7517
0.0225,4327
-0.0794,7175
0.156,2721
-0.276,6633
0.0926,866
-0.0355,7467
-0.214,10127
0.0744,2774
0.00651,4887
-0.599,10350
-0.116,8355
-0.0593,6869
0.349,1279
-0.0912,7017
-0.115,9118
-0.338,6655
-0.0698,6458
-0.167,9751
-0.208,9861
0.0428,4382
-0.126,7972
-0.143,7051
0.129,1199
-0.0462,7422
0.122,1467
-0.14,7626
-0.04,6156
0.195,961
-0.0337,6305
0.00219,5215
-0.0384,5963
0.103,1954
0.144,1925
-0.0754,6595
-0.123,10175
-0.0433,7944
0.277,771
-0.0357,6232
-0.163,8992
0.391,215
0.0572,3566
-0.0652,8354
0.0349,4352
-0.37,10395
-0.38,8963
0.332,479
0.102,953
-0.0772,8219
-0.0829,6790
-0.153,8952
-0.0159,5909
-0.0887,9560
-0.0249,6135
-0.0206,6141
0.0613,2768
0.077,2330
0.0397,3942
-0.0574,4752
-0.0898,8876
0.0851,2046
0.031,4137
-0.137,8218
0.0035,5138
-0.0228,6027
0.178,531
-0.0273,6015
-0.0525,7444
-0.0368,6568
-0.528,9767
0.178,1855
0.0849,1502
0.119,1173
-0.131,8945
-0.199,8697
-0.0832,7990
-0.328,9541
0.0664,1842
0.0323,3314
0.171,1737
0.0759,3211
-0.12,7459
0.157,2132
0.103,2776
0.0996,1416
-0.264,9395
-0.0436,7095
-0.161,9678
0.214,719
0.121,967
-0.134,9214
0.0307,3942
-0.0782,6588
0.352,1022
-0.138,7997
0.0756,3514
0.105,2638
-0.105,7607
0.0441,3869
0.338,1489
0.109,2333
-0.0959,9281
-0.0528,8036
0.279,420
-0.114,8611
3.64e-05,4933
-0.00222,4795
0.161,1435
0.0841,1360
0.114,965
-0.0205,6132
0.0659,3771
-0.244,8246
0.0244,4029
-0.236,9181
0.0157,4529
-0.287,10290
-0.0681,6792
0.119,2032
0.0669,2340
0.101,2358
-0.0648,6430
-0.123,9176
0.0626,3332
-0.228,8505
-0.197,10281
0.021,4315
-0.0643,5591
-0.0152,5964
0.298,592
-0.123,7972
0.256,347
-0.0422,6898
-0.104,7480
-0.368,10392
0.0554,2746
-0.167,8413
0.0351,3901
-0.00613,5386
0.402,2022
0.281,394
-0.0844,6101
-0.0185,5542
-0.0708,6982
-0.0946,8186
0.104,3172
-0.0307,6048
-0.0401,5986
0.205,816
0.0719,3382
-0.0865,9405
0.232,616
-0.105,7864
0.054,3043
0.0267,4055
-0.0186,5771
-0.119,9566
0.0817,2762
-0.237,8715
0.108,1786
-0.0766,8365
0.128,149
-0.114,8678
-0.0339,6486
0.118,2143
-0.261,8650
0.02,3841
-0.0668,7760
-0.0763,6938
0.0329,3810
-0.106,9230
0.125,520
0.0436,1905
0.00539,5014
0.0796,2118
-0.0568,6620
0.0804,2239
-0.362,9280
-0.0616,7708
-0.0149,5191
-0.0784,9636
-0.177,9906
0.309,413
0.264,1340
-0.122,9434
-0.0203,5701
-0.143,7800
0.22,32
-0.115,7349
0.0621,3094
0.32,857
-0.0737,8378
-0.0942,7326
0.118,2413
0.0376,4278
-0.169,9458
-0.0544,6290
-0.0283,6242
-0.0515,7470
-0.147,9869
-0.152,8566
0.3,395
0.444,31
-0.0615,8722
0.0683,2344
0.0848,2917
0.158,1359
0.38,681
-0.335,5658
0.0946,2606
-0.167,10268
-0.0986,9810
-0.338,10344
-0.0618,5876
-0.157,8654
-0.0944,8287
-0.18,10377
0.0419,2989
-0.204,8830
0.12,1843
0.135,2505
0.0712,3741
-0.0996,9873
0.0385,3924
-0.13,8323
-0.21,7065
-0.0653,6745
-0.21,8949
-0.339,9013
-0.04,5615
-0.116,9224
-0.0578,7388
0.168,847
0.0485,3234
0.0376,3643
0.0779,3487
-0.0596,7265
-0.162,8738
0.0626,2774
-0.0739,8984
-0.0984,6760
-0.155,7327
0.253,1251
-0.126,6568
0.0759,2721
0.149,716
0.11,1659
-0.0199,5704
-0.121,8335
-0.123,8009
-0.0888,8397
0.228,643
-0.0537,5902
0.00073,5019
0.191,1003
0.994,69
0.00775,4944
-0.004,5519
-0.0171,5576
0.181,734
0.084,3026
0.00109,5172
-0.102,8239
-0.156,8563
-0.083,7753
-0.00835,5264
-0.0309,5822
-0.0801,7820
-0.235,10209
0.405,194
-0.169,9090
0.213,1303
0.226,879
-0.0622,6751
0.000462,5135
0.0689,3109
0.167,1612
-0.221,9524
0.091,3013
-0.0927,6621
-0.0188,6237
-0.00854,5726
-0.189,8163
-0.162,9854
0.0539,3991
0.259,1535
0.0535,3287
0.046,3335
-0.183,9388
0.0215,4334
-0.112,7884
-0.141,6741
-0.0818,8748
0.12,2797
0.111,1541
-0.362,9460
0.148,2265
-0.0617,7683
0.0318,3499
-0.0521,6931
-0.0137,5529
0.0605,3842
-0.348,10061
0.0151,4661
-0.355,9956
-0.0845,7189
0.142,2417
0.0176,4421
0.116,2675
0.324,1474
0.0904,1520
0.00399,5087
0.00986,4861
0.114,2257
-0.0847,9039
-0.365,8499
