coef,rank
-0.176,5919
-0.123,7250
0.0966,2844
0.359,1200
-0.551,9852
0.163,1340
-0.0549,7351
-0.0474,6012
-0.167,8547
-0.00819,5174
-0.191,10113
-0.17,10291
0.155,806
0.126,2383
0.0791,3732
-0.212,5918
-0.00181,5358
0.0932,666
-0.0329,6158
-0.0805,7700
-0.158,8434
0.119,3385
0.0188,4461
0.0227,4361
-0.173,7450
0.437,212
0.0314,3894
-0.379,7205
0.415,255
0.148,1092
0.0216,4510
0.261,2117
-0.0775,6915
0.154,2750
-0.0808,7900
-0.0531,7737
0.0883,2252
-0.0108,5118
-0.183,9449
0.0266,4118
-0.108,9003
0.0357,2961
-0.114,7682
-0.0178,5917
0.439,58
-0.0154,5198
-0.000195,4915
0.0489,2191
-0.278,9873
0.0769,2609
0.0757,2830
0.168,1742
-0.238,10043
0.00854,4632
-0.127,8643
0.66,18
-0.274,7759
0.39,264
-0.0582,8161
-0.172,10167
-0.327,10206
-0.00179,4918
0.144,676
0.0706,1565
0.063,2601
0.0326,3696
0.023,4270
-0.0732,7875
0.0392,3958
-0.0854,5000
-0.112,9474
-0.0396,6469
-0.0897,7453
-0.267,9992
-0.0853,7027
-0.0302,6307
0.225,226
-0.0236,5880
-0.0211,6101
-0.191,10049
-0.183,6858
-0.0535,5823
0.0832,1542
-0.0676,7778
0.0412,3717
-0.228,9079
-0.0716,7625
-0.271,8936
-0.0297,6624
0.00549,4834
0.16,1885
-0.0613,6726
-0.219,9064
0.00765,4926
0.742,1
0.174,386
0.0423,3924
-0.0596,7718
-0.0204,5852
-0.0852,7523
0.068,2305
0.0727,2727
-0.0427,6776
-0.235,9392
0.879,64
-0.267,9796
0.211,1626
0.422,109
-0.0421,6004
-0.0663,6784
0.153,3071
-0.191,9021
-0.0312,6632
-0.0691,8747
0.0362,4174
0.0792,2637
-0.172,10166
0.099,2590
-0.0466,6436
-0.0129,5613
0.0227,4212
-0.0866,8879
0.168,2308
-0.165,7147
-0.0733,8286
-0.0179,5356
0.0977,3114
0.0371,3857
-0.000622,4961
-0.0213,5590
0.0398,3268
-0.0154,5940
0.103,2894
0.13,1391
-0.719,8549
-0.215,8320
-0.0695,7868
-0.078,7894
0.147,2662
-0.0236,6369
-0.0556,6279
-0.0823,7023
-0.241,10167
0.132,1146
-0.0745,6772
-0.13,8047
-0.0477,7147
-0.315,10105
0.134,1603
-0.0709,8170
-0.054,4568
-0.0628,7062
-0.151,7193
-0.135,8740
-0.0765,7148
0.0789,2670
-0.132,7515
-0.124,8709
-0.0161,5358
0.0658,3157
-0.0766,7052
0.0679,1559
-0.168,9299
0.155,1930
0.0449,3353
-0.109,9453
0.0358,4175
-0.00174,5320
0.0171,4395
-0.184,7919
-0.114,9117
-0.0577,7700
0.0253,3434
0.25,252
0.12,1007
0.0196,4232
-0.119,6677
0.00784,4623
-0.0827,8280
0.0985,2762
0.05,3123
0.0429,3289
0.0501,2626
0.0424,1973
0.0361,3925
0.0339,3617
0.0396,4004
0.00306,5065
-0.411,9670
-0.131,9501
-0.143,8929
-0.0577,8853
0.189,561
0.0722,3271
-0.04,5573
0.274,67
-0.0226,5764
0.18,2132
-0.0122,5883
0.00867,4660
-0.00231,4854
0.359,644
0.00432,4757
-0.171,8931
-0.0405,6085
-0.254,9585
0.0189,4192
0.0611,3479
0.0724,2319
-0.0576,7710
0.0229,4336
0.00246,5054
0.41,108
0.0824,2783
0.0199,3659
-0.0914,8702
-0.0741,7542
-0.233,10035
-0.167,7765
-0.197,4539
-0.0784,7432
-0.0555,7758
-0.0296,7016
0.00209,5075
-0.0643,5925
0.0153,4515
0.0948,2073
0.0354,3204
-0.0557,8148
0.0504,3765
-0.00605,5194
-0.0111,5082
0.164,2219
-0.0451,7880
0.0177,4475
0.104,2521
0.289,2034
-0.0834,7227
0.068,3513
-0.465,9899
-0.129,7033
-0.0748,8029
-0.109,8881
0.19,611
-0.0121,5359
-0.141,8686
0.178,1796
-0.00405,5262
-0.124,8034
0.0796,2291
-0.0135,5966
-0.0968,6737
0.203,2086
-0.124,7152
-0.165,7136
-0.0663,7381
-0.0551,7107
-0.123,9111
-0.0438,6428
0.0706,3312
-0.165,8835
0.125,977
-0.251,10231
0.0926,3022
-0.0551,6976
-0.265,10163
-0.182,6849
0.341,420
-0.0564,8838
0.0184,4493
0.113,1724
-0.211,9239
0.229,392
-0.0717,7297
-0.169,8789
-0.0436,6575
0.0286,4154
-0.216,9330
0.0639,3090
0.033,3933
0.0333,4123
-0.0284,5885
0.273,786
0.173,1452
-0.0728,7051
0.217,45
-0.0423,6176
-0.0551,6316
0.191,1352
0.02,4370
0.222,1828
0.0435,3095
-0.042,7116
-0.251,9002
-0.0773,7968
-0.0465,6285
-0.062,6306
0.00971,4694
-0.0857,8049
0.204,909
-0.0782,7292
-0.0923,7430
-0.176,7173
-0.038,6844
0.35,472
-0.0142,5678
0.252,1862
0.0965,3040
-0.00859,5401
-0.139,10239
-0.108,8654
-0.126,8448
-0.00773,4959
0.0247,4495
-0.172,9186
-0.144,7575
-0.219,9524
0.0772,3386
0.196,635
0.422,224
-0.194,7815
0.0384,3368
-0.195,10166
0.0279,4136
0.0482,3729
-0.0899,9180
-0.48,9512
0.00151,5275
-0.109,9253
-0.279,9866
-0.152,8565
0.171,1752
-0.105,3490
0.081,2103
0.0907,1613
-0.0501,6806
0.033,3664
-0.0103,5638
-0.19,8184
0.00335,4904
-0.331,5848
0.216,1584
-0.0983,9730
0.0201,3839
0.4,214
0.0537,2616
-0.135,8627
-0.905,8903
-0.304,7684
-0.0838,3785
-0.571,8120
-0.174,5176
0.0541,3654
0.0506,4039
0.283,265
0.0868,2814
-0.191,10445
0.0191,3708
1.15,512
-0.15,7777
-0.16,8229
-0.193,6854
0.063,3207
-0.028,6611
0.078,3626
-0.163,8564
0.0856,2456
-0.0555,6955
0.277,762
-0.173,10209
-0.03,5913
-0.241,9599
0.0554,3514
-0.21,8573
-0.222,9608
0.049,3356
0.132,2443
0.0682,1722
-0.167,9120
0.439,1506
0.0441,3653
-0.1,8404
-0.00663,5321
-0.158,9361
-0.00653,5103
0.0249,4498
0.103,2214
-0.0299,6139
-0.0334,6059
-0.102,6959
-0.0371,6232
-0.238,8933
-0.0783,7082
0.0785,2529
-0.0692,6133
-0.148,9541
0.0158,4816
0.275,328
0.14,1385
-0.0634,7618
-0.212,10130
0.0469,3931
0.0924,2932
-0.552,9733
-0.0619,10104
-0.0982,8841
-0.0948,6932
-0.307,9984
-0.257,9918
-0.137,8392
0.074,2027
0.0745,960
0.00987,3705
0.102,2243
-0.317,9628
-0.178,9668
0.241,1158
0.192,97
-0.182,9483
0.142,1975
-0.0121,5651
0.00052,4982
0.229,1301
-0.00174,5090
-0.226,10057
0.372,379
-0.0304,5906
-0.143,8807
0.135,662
-0.0193,6111
-0.247,9885
-0.0839,7719
0.0342,4574
-0.0104,5642
-0.033,5633
-0.173,9958
-0.0162,6167
-0.28,7088
0.0771,3399
-0.193,8989
-0.219,7943
-0.0857,8660
0.0195,4393
-0.0844,6791
-0.277,8473
0.106,2866
0.03,4397
-0.0123,5681
0.128,2797
0.587,158
-0.0275,6103
0.00316,4890
-0.0774,7479
-0.114,9160
-0.0703,8998
-0.151,8567
-0.101,7917
0.16,1728
0.111,2114
-0.193,10263
-0.0952,7247
-0.0363,5859
0.157,2279
0.0118,4780
-0.0487,6380
0.127,1377
-0.0128,5712
-0.0373,5838
0.0461,3956
0.0784,2088
0.152,1150
-0.0653,7056
-0.211,9301
-0.136,9517
-0.267,9145
0.18,792
-0.144,8978
0.0201,4085
0.152,2694
0.551,0
-0.235,9747
-0.118,7717
0.0446,3953
0.0258,4250
0.0544,2718
0.033,3841
0.0739,2266
0.0228,4121
0.0628,3159
0.00735,4488
-0.203,10072
-0.0791,8118
0.467,598
-0.207,7900
0.0122,4649
0.0375,3968
-0.0202,6041
0.0137,4565
-0.00392,5276
-0.214,8895
-0.125,9325
0.06,1789
-0.0526,7306
-0.249,9144
0.0748,2817
-0.19,7688
0.115,3065
-0.309,9960
0.0287,3764
-0.255,7695
-0.24,8923
0.146,2720
0.0679,3853
0.0208,3867
0.0101,4911
0.102,1702
0.119,1699
0.19,1731
0.0947,2858
0.0265,3772
-0.0911,7886
-0.294,9054
0.115,2626
0.163,2028
-0.183,7362
0.00848,4824
0.0576,3159
-0.0414,6424
0.099,2002
0.134,1593
0.00124,4875
-0.00711,5581
0.0147,4323
-0.362,6930
-0.521,7697
0.0956,3913
-0.0333,6129
-0.255,9722
0.0604,3153
0.0765,3110
0.117,2485
0.0107,4641
-0.0666,7542
-0.0859,7275
-0.0301,5983
0.149,1315
0.0101,4577
-0.251,7236
0.0575,2804
-0.112,7542
0.366,17
-0.0817,7285
-0.0337,5805
-0.0898,7845
0.205,885
0.0775,2958
0.0701,2987
0.0723,2597
0.151,1771
0.229,470
0.024,4046
0.0414,3484
-0.212,10234
0.00136,4869
-0.298,10124
-0.157,9964
-0.0511,7256
0.00982,4811
-0.0188,5615
-0.000292,4891
-0.0884,7851
-0.157,8890
-0.115,8426
-0.0449,7234
-0.000497,4841
-0.055,7116
0.188,1920
0.209,2472
0.00171,4979
-0.0577,6685
0.00686,4877
-0.0488,7059
0.000817,5159
-0.0376,5743
0.105,1482
0.374,13
0.148,1469
0.0683,2810
-0.0264,5449
-0.0102,5181
-0.0504,8214
-0.141,8959
-0.134,8092
0.0583,3527
-0.14,8956
-0.0646,7217
-0.082,7605
-0.0997,8754
0.0829,3270
-0.224,8941
-0.199,9751
-0.0404,5947
0.00541,4684
-0.00119,5140
0.0888,3515
0.0298,3854
-0.426,10225
-0.0779,6254
-0.114,8647
0.0182,4283
-0.0722,6868
-0.022,5996
0.0218,4454
-0.0763,6636
-0.104,8350
0.132,766
0.048,2734
-0.176,9437
-0.0762,7738
0.0498,3518
-0.0133,5701
-0.174,8924
-0.109,9281
-0.444,7971
-0.41,9433
-0.0948,8504
-0.0752,8607
-0.0501,7759
-0.0917,8745
