coef,rank
-0.463,8613
-0.218,8889
-0.136,7879
-0.196,7647
0.167,3180
0.0308,4090
-0.142,9756
-0.109,7587
-0.0458,5894
0.0373,4098
0.00542,5002
-0.0725,8329
-0.0766,7991
-0.0547,6551
0.0394,4301
-0.124,5126
0.104,616
-0.0392,7684
0.211,487
-0.0426,6469
0.262,921
-0.404,9551
-0.13,8700
-0.0209,5708
-0.135,6903
-0.0416,5943
-0.115,9103
1.75,130
-0.187,8684
0.086,2399
-0.107,8157
0.00361,4911
0.114,2502
-0.0341,5360
0.0381,3538
-0.0486,7547
0.021,4405
-0.123,7294
0.151,1547
-0.284,10262
0.0182,4004
-0.0193,6688
-0.0174,5457
0.115,1685
-0.297,10257
-0.0799,6709
-0.0633,8572
0.0167,3927
-0.188,8714
-0.111,8588
-0.284,10245
-0.216,9223
0.00433,5003
-0.0361,7017
0.0799,3172
-0.00154,5048
-0.0901,5425
0.0266,4394
0.0464,2733
0.0146,4393
0.0745,3375
-0.099,7714
0.00446,4982
-0.0515,8154
-0.0751,8029
0.162,411
-0.0841,8596
0.0866,2077
0.0164,4586
-0.497,9088
0.0946,1486
-0.126,9164
-0.145,8710
0.064,3401
0.00497,5103
-0.0286,6249
0.223,239
-0.142,9448
-0.175,10252
-0.0358,6530
0.84,442
0.0295,4157
-0.0299,6779
-0.0627,7568
0.167,993
0.222,1506
0.114,1813
0.303,1404
0.0575,2168
-0.0325,7139
0.215,1232
-0.12,8169
-0.219,9070
-0.0251,5698
0.369,207
-0.0657,7845
0.365,483
0.0411,3298
0.00767,4835
0.199,859
-0.0326,6531
-0.0401,6573
-0.1,8715
0.12,2541
0.183,2342
-0.223,9340
0.119,2804
-0.138,8417
-0.151,8613
-0.284,10235
-0.384,9487
-0.139,8076
0.13,617
-0.0742,8927
0.259,514
-0.0512,6845
0.0316,3633
0.175,1432
0.08,2965
-0.0144,5687
-0.0298,6809
0.0112,4576
-0.207,8358
0.43,909
0.0582,2673
0.716,73
-0.34,9917
-0.04,6040
0.169,1452
-0.0238,5669
0.0366,3397
0.0795,2914
-0.169,8454
-0.0795,8018
-0.588,7688
-0.0637,5940
-0.122,9362
0.255,154
0.0239,4221
0.0835,1625
-0.0546,6258
0.0915,2702
-0.0629,6855
-0.125,9374
0.085,3098
0.0771,3359
-0.105,9135
-0.0463,5968
-0.0611,6975
0.282,26
-0.452,8475
-0.132,8714
-0.23,8448
0.118,1977
-0.156,9053
-0.0461,6705
-0.0129,5267
0.209,600
-0.276,10079
-0.0911,7566
0.0962,2876
-0.18,10450
0.125,1929
-0.164,8981
-0.092,8772
0.0148,4576
-0.15,9103
-0.0605,7781
-0.157,8872
-0.364,9950
0.0379,3870
0.14,809
0.0318,3002
-0.0796,7759
0.133,808
0.0402,3759
-0.0274,5350
-0.0274,6947
-0.0997,8792
-0.27,10037
-0.0474,7209
0.0157,4461
-0.0128,5908
-0.00355,5542
-0.0622,7472
0.168,505
0.11,2432
0.00574,4959
-0.249,7993
0.138,1032
0.117,1673
-0.0496,8470
-0.066,7430
0.481,48
