coef,rank
-0.632,9727
-0.19,8445
-0.112,7374
-0.155,7078
0.184,3057
0.0467,3657
-0.0978,8802
-0.0675,6548
0.0797,3123
-0.114,7680
-0.245,10377
-0.124,9719
-0.111,8954
0.276,637
0.104,3371
-0.504,9264
0.000531,5210
-0.0971,9952
-0.00906,5353
-0.0173,5624
0.278,785
0.827,191
0.00468,4881
0.141,1455
-0.215,8081
-0.272,9792
0.0578,2970
-0.202,5136
0.0644,3660
0.0823,2481
-0.0947,7879
0.264,2089
0.0855,3054
-0.293,9090
0.0684,2568
-0.0246,6336
-0.164,9770
-0.0858,6612
0.00311,4917
0.0851,2675
0.157,542
0.0138,4383
-0.0467,6157
0.0411,3746
0.167,1552
0.0105,4598
0.0825,1003
-0.0552,8553
0.15,2102
0.0731,2695
-0.0613,6559
-0.129,7743
0.0666,3314
0.0307,3524
-0.0772,7488
-0.245,9741
-0.503,9892
-0.0385,5892
-0.134,10125
-0.104,9048
-0.177,8673
-0.0212,5505
-0.143,9914
0.0837,1157
0.0436,3285
-0.0446,7260
-0.153,10000
0.149,854
-0.201,9748
0.534,1234
-0.0588,7788
-0.18,10010
0.0598,3376
0.525,31
-0.0662,6635
-0.00781,5494
-0.186,10155
-0.0886,8152
-0.0511,7374
-0.192,10055
-0.566,9934
0.149,2257
-0.0744,8766
0.185,361
-0.146,9204
-0.135,7686
-0.0542,7089
0.463,644
-0.0679,8442
-0.0418,7656
-0.129,8087
0.243,749
-0.0337,5753
0.0137,4796
0.129,2278
0.0199,4164
-0.139,7499
-0.077,8318
-0.195,10067
0.405,55
-0.157,10093
-0.0626,7350
0.123,1389
0.0443,3952
0.32,1207
0.00396,4998
-0.0829,6529
0.301,426
0.0427,3762
-0.0702,6890
1.75,1
-0.028,5299
-0.0407,7102
0.0461,2567
-0.241,10116
0.0975,2160
-0.0257,6056
-0.0312,5543
-0.00144,5120
0.0583,2205
0.0301,3868
0.119,864
-0.253,8987
0.0661,3996
0.00706,4771
-0.188,8502
0.494,225
-0.179,9326
0.215,893
-0.318,10415
-0.0635,7838
-0.164,9681
-0.0828,6831
0.0984,2060
0.09,3201
-0.159,7517
-0.0539,7290
-0.0396,6545
-0.247,8424
0.0325,3595
-0.244,9682
-0.242,9842
0.178,968
0.0776,2406
-0.0984,7337
0.501,67
0.0582,2633
0.065,3642
-0.0332,6076
-0.0136,5742
-0.103,4982
-0.166,9323
0.0606,3709
0.00466,4809
0.306,232
0.0396,3790
0.045,4173
-0.202,9953
-0.0133,5273
0.356,130
0.0868,3068
-0.106,9858
0.225,664
0.0714,3439
0.0138,4575
0.0469,3235
-0.234,10136
-0.0537,7521
0.227,674
-0.358,9907
0.092,2198
-0.0223,6218
-0.00142,5270
-0.13,9043
0.0273,3790
0.0018,4697
-0.314,9249
0.0566,1967
0.0873,1908
-0.0855,7149
0.108,1414
-0.144,9902
0.0115,4554
-0.0118,6268
0.0471,3572
-0.0647,7690
0.032,4201
0.0542,3063
-0.251,8027
-0.111,9088
0.105,1897
-0.0453,8239
0.158,891
-0.0642,6545
0.0477,4071
-0.122,9432
0.277,286
0.168,2298
-0.15,10297
0.168,1860
-0.213,9833
0.0555,3894
0.101,1209
-0.115,7813
-0.00456,5140
0.68,11
-0.0431,6286
-0.0291,5624
0.0438,3242
0.03,3787
-0.129,9587
-0.0385,6026
0.131,1991
-0.0694,6743
0.0816,929
0.0484,3045
-0.122,8678
0.375,84
-0.0939,6545
-0.357,5876
0.00352,5036
-0.0965,9154
-0.041,7673
0.0531,3893
0.0334,4362
0.0319,4143
0.22,363
-0.0457,7263
-0.0114,5853
-0.219,9054
0.0812,2700
-0.44,10392
0.171,2103
-0.0371,7412
-0.107,7751
0.0658,3342
-0.29,8044
0.0724,3115
0.0126,4598
-0.439,9747
-0.167,7699
0.0675,2615
-0.178,10026
-0.108,8549
-0.104,8507
-0.149,8860
0.0203,4714
0.0721,2672
-0.036,5890
-0.0162,5784
-0.00325,5363
0.352,705
0.0201,4522
-0.0802,6340
0.446,1044
-0.204,10073
-0.0311,6147
0.0331,3803
-0.223,10050
0.0768,3165
0.0868,2873
0.0226,3933
0.0569,3580
-0.406,10353
0.0993,2029
0.239,590
-0.0916,5692
3.58e-05,5124
-0.053,8687
-0.137,8730
0.0596,3093
0.117,2441
-0.0567,7070
0.0146,4440
-0.0575,6394
-0.0328,6248
-0.107,8174
