coef,rank
-0.346,7568
0.386,419
0.195,1495
-0.296,8843
0.168,3172
-0.0181,5336
-0.131,9581
-0.28,10084
-0.16,8410
-0.0184,5427
-0.0437,6790
0.042,3066
-0.0855,8259
-0.194,9348
-0.284,9159
0.93,623
0.00951,4652
0.0442,2334
-0.0533,6807
0.0934,2269
0.211,1365
0.474,933
0.191,871
-0.0835,7535
0.273,1810
-0.0918,7028
0.0153,4506
0.597,1634
0.216,1434
-0.0768,7846
-0.0785,7454
0.175,2906
-0.111,7666
-0.323,9393
-0.165,9809
-0.0653,8263
-0.00423,5373
-0.257,9375
-0.205,9741
-0.0992,7602
-0.0448,6768
0.00786,4778
-0.0598,6478
0.0856,2394
0.113,2438
-0.172,8649
0.0742,1263
-0.0591,8724
-0.0378,5686
-0.138,9207
0.0374,3772
0.621,8
-0.124,8441
-0.024,6366
-0.032,6254
0.272,777
-0.224,7108
-0.0678,6573
-0.103,9598
0.104,1402
0.101,2913
-0.124,8314
0.0786,2089
-0.0764,9167
-0.161,9966
-0.00632,5456
-0.0505,7413
0.00294,4978
-0.124,8456
-0.233,6438
0.0307,3731
-0.242,10377
-0.176,9267
0.0167,4498
-0.167,8595
0.139,1507
-0.0985,8660
-0.0762,7752
0.0487,3046
-0.105,8689
-0.207,7099
-0.139,7580
0.119,753
0.0974,1589
-0.18,9731
-0.073,6505
0.0392,3851
-0.184,7711
0.0198,3839
-0.0329,7154
0.157,1930
-0.242,9960
0.179,2063
-0.256,9790
0.028,4506
0.0621,2494
-0.0621,5952
-0.0307,6543
-0.0902,8133
0.0989,2370
-0.00939,5486
0.0698,2809
-0.0143,5702
-0.125,7610
0.000659,4907
0.0142,4783
0.0475,4004
-0.0594,6564
-0.0456,6110
-0.232,9890
-0.242,7935
0.00124,4603
0.155,375
0.049,2424
-0.214,9875
-0.0573,7021
0.06,2563
0.0244,4194
-0.259,10228
-0.0228,6133
-0.0405,7317
-0.0992,9251
-0.219,8517
-0.142,6837
0.0475,3065
-0.0243,5506
0.263,1223
-0.102,7722
-0.123,8101
-0.035,6013
0.0297,3683
-0.0417,6788
-0.0597,6326
-0.206,10223
-0.144,4468
-0.273,9069
0.118,1278
0.233,241
0.00406,4492
0.196,113
-0.295,10086
0.0417,3801
-0.0172,5395
0.09,2058
0.32,380
-0.0305,5779
-0.0462,7082
-0.0767,6611
-0.0277,5895
0.126,919
-0.107,5022
0.162,1477
-0.126,6819
0.188,916
0.168,1226
-0.0652,7330
0.654,56
-0.143,9130
-0.129,8124
0.0127,4598
-0.0603,6628
-0.0415,7572
0.0099,4798
-0.238,9892
0.0868,1995
-0.0754,8498
0.0121,4847
-0.102,9190
-0.0615,6565
-0.0718,5887
-0.103,8836
0.216,156
-0.0367,7792
-0.118,8770
-0.12,9452
0.0944,2578
-0.192,7748
-0.0372,7537
-0.139,9676
0.14,2002
-0.111,9185
-0.0456,7271
0.0477,2742
-0.0745,9838
0.0649,2980
-0.153,9875
0.0978,2654
-0.0492,7194
-0.271,8270
0.092,2029
-0.0505,6378
-0.0678,9283
-0.109,8687
-0.195,9252
-0.169,7777
0.0426,3454
0.144,1528
0.0613,3873
-0.0498,7901
0.115,2587
0.357,76
-0.278,9512
-0.0824,8697
0.0787,3124
-0.0431,6139
0.123,2665
-0.0449,6360
-0.0573,6365
-0.108,9051
0.29,22
0.0454,3456
0.166,1762
0.283,471
0.015,4447
0.0322,2888
-0.0266,6265
-0.0485,6826
-0.00563,5203
-0.22,8553
-0.576,7850
-0.032,6086
0.0116,4529
0.128,330
-0.105,7570
0.132,3032
-0.0448,6028
0.143,1132
0.0453,2788
-0.0642,8487
-0.15,7875
0.296,147
-0.0642,6158
0.0853,3479
-0.0966,9817
-0.299,10321
-0.0277,5798
1.21,36
0.00288,4882
0.47,140
-0.0329,5311
-0.0367,5561
-0.0118,5611
-0.0232,6141
-0.032,6172
-0.0333,6163
0.116,1879
-0.313,10221
0.057,3141
-0.0363,5894
0.3,36
0.0409,2884
0.101,3247
-0.216,8230
0.709,27
-0.181,7357
-0.121,8857
-0.0876,8260
-0.0889,8214
0.221,641
-0.00362,5303
0.376,192
-0.02,5745
0.116,2160
-0.167,8197
0.204,414
-0.0512,6274
-0.359,9012
0.309,589
0.0383,2571
0.0402,3879
-0.0229,5795
-0.222,9361
0.0846,2612
0.0555,3191
0.0538,3834
-0.0589,7018
-0.0849,7564
0.278,748
0.0268,4207
-0.119,8589
0.0403,3979
0.0453,3959
-0.158,8429
0.097,2698
-0.225,9879
0.00777,4692
0.0585,3360
0.0129,4620
0.5,52
-0.372,10323
-0.0334,5470
0.0218,4068
0.0663,2714
-0.206,8414
-0.0929,8441
-0.0286,5855
0.0456,4318
-0.0964,8112
0.0812,2244
0.0138,4565
-0.163,9279
0.156,1817
0.446,917
0.138,474
-0.0288,5855
-0.034,6486
0.817,94
0.0225,4396
0.0312,3717
0.0155,4345
-0.0253,5983
-0.00479,5248
-0.0924,6429
-0.221,8826
-0.135,8479
0.0273,4738
-0.109,7731
-0.0237,5242
0.0421,3635
0.133,2400
-0.0766,6141
0.113,981
-0.05,7059
0.137,1046
0.0562,3544
0.0399,2890
0.487,1254
-0.0708,8511
0.0267,3904
0.431,204
-0.0542,6337
0.525,65
-0.31,5198
-0.00679,5519
0.0407,3328
-0.103,8398
-0.0974,8844
0.125,1305
0.879,24
-0.0124,5728
-0.155,3984
-0.283,9740
-0.0827,9304
-0.0769,8994
0.147,2137
-0.0109,5595
0.0141,4531
-1.08,9466
-0.248,7058
-0.325,5496
-0.317,5876
-0.196,5360
0.146,2021
-0.169,8230
-0.208,9948
0.247,713
-0.0176,6241
-0.0329,7045
0.801,1106
0.0996,3210
0.205,1494
