coef,rank
1.03,711
0.34,628
-0.0674,6378
-0.164,7202
0.446,1526
0.0353,3977
0.0612,2610
0.0786,3092
-0.167,8551
-0.107,7522
0.275,166
0.0931,1383
0.0181,4508
-0.119,8045
-0.325,9562
-0.41,8349
0.0736,1378
-0.0651,8973
0.0311,4013
-0.0862,7873
-0.0674,6572
-0.369,9242
-0.00366,5103
0.254,317
0.676,284
0.161,2086
-0.209,10317
0.301,2667
-0.0448,5923
0.169,832
-0.0603,6932
0.207,2608
-0.0566,6422
-0.196,7875
0.00537,4713
-0.0478,7503
0.000995,5183
0.115,2903
-0.166,9189
0.0789,2809
0.129,863
0.173,48
-0.028,5704
0.0966,2135
0.083,3019
-0.389,10373
-0.0764,9123
-0.00899,5706
0.101,2856
0.115,1664
0.0467,3513
-0.0714,6521
-0.0247,5877
-0.094,9349
0.129,2119
-0.145,8246
-0.492,9837
-0.0609,6413
-0.00272,5345
-0.0208,5950
0.259,902
-0.194,9594
0.0123,4626
-0.00954,5736
0.0394,3432
-0.124,9695
-0.0736,8266
-0.0642,7567
0.000825,5052
-0.342,7624
-0.179,10306
0.0581,2858
-0.102,7784
0.298,498
0.157,2257
0.011,4833
-0.0114,5569
0.16,762
0.148,665
-0.0393,6662
0.535,1233
0.236,1260
-0.134,10101
0.0518,2936
0.0193,4415
-0.399,10333
-0.0701,7561
0.134,2935
0.151,259
-0.0685,8847
0.0742,3417
-0.0568,6606
0.0488,4097
0.0644,3707
-0.257,10034
0.125,944
-0.265,9416
0.0518,2837
0.137,1292
0.151,1457
-0.0777,8389
0.148,1109
0.0956,1946
0.0292,4274
-0.198,8267
0.0829,3362
0.406,417
-0.25,9977
0.0352,3936
-0.178,9161
0.392,1177
0.113,2272
-0.104,9497
-0.0455,7670
-0.118,8329
0.139,1356
0.148,611
-0.0142,5113
0.15,1591
0.0732,1688
0.106,1137
0.135,615
0.186,2085
-0.193,7533
-0.0201,5993
0.00483,4891
-0.222,8719
0.297,261
-0.222,9743
0.214,736
0.122,974
-0.118,8864
0.345,474
-0.12,9112
-0.584,7661
-0.116,6782
0.0287,3975
0.0294,4027
0.026,4195
0.0443,3087
-0.0997,7277
0.16,1546
-0.117,8325
-0.157,9908
-0.0235,5544
-0.127,7993
-0.0673,7965
0.21,1410
-0.0944,7942
0.0538,2808
0.287,2530
0.128,2069
0.311,1054
0.0868,2587
0.129,1763
-0.174,9738
0.0806,3525
-0.191,9837
-0.0133,5274
-0.116,8211
0.0893,3010
-0.0195,6281
-0.0958,7772
0.152,1985
-0.08,8369
0.0389,3549
0.0397,4086
-0.133,9837
-0.23,9891
-0.139,7147
0.0375,3884
0.0219,4244
-0.00571,5629
-0.118,8785
-0.0175,5755
0.147,1682
0.135,3081
-0.0303,7159
0.0275,3820
-0.161,8716
0.162,517
-0.0159,5948
0.0167,4266
0.0138,4003
-0.0704,7759
-0.021,5917
0.34,180
-0.0492,7193
-0.375,9390
0.00809,4946
-0.0281,5611
0.0255,3322
-0.0729,7647
-0.0663,6604
0.0827,3509
0.0553,3014
-0.00631,5274
0.865,18
-0.13,10145
0.174,1758
0.0101,4508
0.047,4049
-0.029,6452
-0.142,8391
0.16,1704
0.00651,4905
0.107,1952
0.216,1043
-0.203,10337
-0.0512,7459
0.0328,3940
-0.251,9889
-0.0336,5629
0.0553,3402
-0.0305,6990
0.12,1053
-0.0753,7575
-0.0734,7132
0.159,2484
-0.691,8685
0.205,882
-0.0261,6387
-0.0129,6054
0.0896,3110
0.306,1417
0.0564,3633
-0.0802,7869
0.102,1028
-0.0985,9583
0.0058,4676
0.0188,4436
-0.194,8607
0.186,1875
-0.0429,7762
0.131,1958
0.129,2041
0.014,4473
-0.202,9541
0.227,1267
0.398,1223
0.145,2934
0.0369,3673
-0.242,10375
0.0298,3989
-0.0912,8119
-0.0499,6190
-0.251,9849
-0.0416,6653
-0.0441,6090
0.0142,4492
-0.00198,5270
-0.0263,5431
0.225,1841
-0.098,6674
0.62,520
-0.0335,6319
-0.0599,7289
0.0796,2357
0.0092,4804
0.0402,4107
-0.18,9086
-0.135,9581
-0.261,10280
0.121,2587
0.16,897
0.0448,3656
0.222,2362
-0.0686,6724
0.0984,501
-0.138,8748
0.00315,4837
-0.0826,6708
0.17,948
-0.137,9053
-0.186,9081
0.0606,3194
-0.0271,5847
-0.11,7564
0.00373,4954
0.0908,2292
0.066,3438
0.149,1829
-0.126,7776
0.0323,4074
-0.221,9821
-0.0876,9172
0.00606,4748
0.0843,2990
-0.0109,5202
0.189,1574
0.093,3402
0.048,2865
0.0538,3172
0.337,1085
0.0945,2083
0.0186,4790
-0.189,8436
0.0877,2423
-0.0456,6666
0.123,2057
0.000397,4956
0.0636,3558
-0.449,9959
-0.0489,7339
-0.0127,5506
0.0552,3113
-0.425,9944
0.137,2412
0.00659,4715
-0.0612,8368
0.0537,3154
0.322,216
-0.4,10158
-0.322,9899
-0.239,10010
0.0747,3987
-0.288,10102
-0.102,6728
0.0359,3824
0.413,243
0.183,2633
0.0468,3034
-0.00436,5410
-0.169,10044
0.174,1272
-0.0402,7136
0.455,1380
0.00525,5093
-0.114,9382
-0.154,8296
-0.0867,7159
0.175,1705
-0.431,6403
0.11,1374
0.0593,2589
0.0716,2831
-0.0688,7919
-0.0135,5776
0.0584,3886
-0.0458,7399
-0.491,7613
-0.0719,6536
-0.0512,8061
-0.0248,6480
-0.135,8095
0.0453,2933
-0.0336,5948
-1.15,9660
-0.0169,4616
-0.47,6645
1.61,632
0.222,2980
0.173,1665
0.303,876
0.0297,4234
0.0781,2989
0.0729,1766
-0.029,6796
-0.334,7167
-0.127,7398
-0.0725,6458
0.0865,3653
-0.247,10141
-0.0264,6520
-0.127,6424
-0.00642,5092
0.0938,2246
-0.0992,8324
0.229,1158
-0.0454,7210
-0.187,9565
-0.154,8384
-0.117,8097
-0.27,9338
-0.0824,6914
0.00119,5061
0.0791,3360
0.00352,5111
0.459,47
0.268,2468
-0.0237,6130
-0.216,10253
-0.239,10111
-0.0382,6272
-0.0985,6820
0.0128,4854
-0.192,9959
-0.0167,5662
0.00191,4912
-0.235,9070
0.118,1819
-0.238,8927
0.00376,5076
-0.134,9434
0.393,704
-0.0388,6561
-0.108,7715
0.283,290
0.0115,4711
-0.0256,6178
-0.0195,5853
0.134,2487
-0.195,9042
0.0415,4337
-0.0245,7888
0.14,929
-0.087,6749
-0.496,10463
-0.192,9191
0.0607,3848
-0.0697,8013
-0.143,10433
-0.0221,8281
-0.018,5762
0.103,3216
-0.082,7580
0.274,894
0.0262,3829
0.0478,3689
0.223,992
0.0304,4496
0.0806,3391
-0.331,10070
-0.042,6894
0.121,2119
-0.00906,5139
0.318,426
-0.0977,7823
-0.128,9852
-0.0543,7536
-0.106,7782
-0.0178,5645
0.0542,4130
0.184,669
-0.278,9996
-0.0181,5790
-0.0556,8230
-0.499,9081
-0.0548,5912
-0.145,8218
-0.321,9131
0.177,343
-0.259,10239
0.132,2253
0.132,3300
