coef,rank
0.479,1949
-0.159,7909
-0.167,8465
-0.211,7844
0.61,887
-0.0839,7140
0.0323,3669
-0.00989,5106
0.221,1098
0.0374,4091
-0.0866,8195
0.167,289
0.106,1729
0.00518,5042
-0.277,9066
-0.0333,4550
-0.0943,9761
0.0421,2440
0.0457,3569
-0.105,8350
0.207,1412
-0.128,6359
0.0636,3155
0.0353,3974
-0.181,7585
-0.0557,6282
-0.0577,7392
1.22,417
-0.0495,6027
-0.0972,8450
0.13,1962
-0.0247,5283
-0.282,10105
0.425,709
-0.0443,6583
0.0352,3290
0.309,51
-0.163,8059
-0.0844,7416
0.127,1887
0.151,596
0.029,3392
-0.142,8228
0.146,1110
0.0566,3590
-0.241,9573
-0.0151,5881
0.062,1612
-0.139,7847
0.0441,3525
0.0916,2465
-0.172,8540
-0.0175,5673
0.0547,2380
0.126,2183
-0.13,7974
-0.302,8113
0.439,173
-0.0614,8286
0.106,1352
-0.213,9227
-0.0757,7098
0.255,54
0.0724,1503
0.0444,3261
-0.0147,5866
-0.0148,5900
-0.0648,7588
-0.196,9680
0.289,2338
0.00993,4706
0.0508,3089
-0.223,9856
-0.228,9629
-0.00213,5244
0.0311,4152
0.0232,4231
-0.0143,5502
-0.0627,7874
-0.0248,6135
-0.0814,5761
-0.112,7068
0.0523,2710
0.112,1269
-0.0224,5768
-0.031,5608
-0.195,10079
-0.408,10040
-0.0317,6734
0.0648,1786
-0.0228,5676
-0.0467,6349
0.0753,3598
0.113,2826
-0.0828,7299
0.0624,2489
0.247,1211
-0.108,9251
0.23,318
-0.0945,7747
0.0354,3525
-0.0105,5470
-0.0891,8427
-0.0181,5305
0.0741,3745
0.0206,4642
0.0294,4319
-0.0871,7253
0.0366,3907
0.207,1065
-0.35,9180
-0.031,5374
-0.114,9689
-0.105,9774
0.0837,2972
-0.0201,5806
-0.141,9787
-0.177,8868
0.0259,4357
0.0543,2384
-0.0231,6465
0.0143,4443
-0.0111,5053
-0.525,10318
0.064,2453
-0.126,7448
-0.017,5127
-0.265,10201
0.0122,4630
-0.0403,6177
-0.0395,6823
-0.176,9830
0.0777,3379
-0.187,10095
1.74,736
-0.348,9763
-0.000235,5147
0.106,1785
0.285,1406
0.0864,1550
0.112,2641
0.069,3182
-0.14,8836
-0.0147,5788
0.00838,4800
-0.0888,7183
-0.0445,7013
0.0444,4049
-0.115,8476
-0.057,7649
0.132,3365
0.0192,4664
0.0178,4379
-0.137,8775
0.268,381
0.0652,3034
0.411,423
-0.0389,6315
-0.226,9670
-0.191,9559
-0.0338,5966
0.00224,4944
-0.0762,7274
0.0196,4674
0.0131,4601
0.0637,2605
-0.0979,8012
-0.0834,8633
-0.0373,5886
0.399,608
0.0272,4259
-0.0704,8171
-0.0201,6678
-0.128,8992
0.0382,3345
-0.14,8313
-0.0164,5183
-0.0255,6827
0.00825,4593
0.0907,2898
0.106,1470
0.0214,4213
0.141,341
0.0336,2477
0.0122,4785
-0.119,9260
0.00692,4873
0.0928,1890
-0.0298,5148
0.00199,5198
0.216,488
-0.0564,8801
-0.0436,6683
0.136,2092
0.0683,3734
-0.0454,7076
-0.0709,7189
-0.232,9143
0.0112,4572
-0.307,10012
0.00802,4573
-0.288,9607
0.0604,2358
-0.346,10382
0.308,409
-0.122,7684
0.024,4037
0.263,680
-0.244,10444
-0.165,10163
-0.0728,8101
-0.126,8066
-0.227,9655
-0.00758,5054
0.0329,2847
0.0114,4562
-0.0841,7787
-0.0828,7394
-0.227,8650
1.79,635
-0.0432,6423
-0.026,6378
-0.105,9942
-0.0704,6782
-0.169,7639
0.0614,3503
0.116,1604
0.0429,2886
-0.0306,6947
-0.329,10131
0.205,619
0.066,3598
0.162,2245
0.0532,2061
0.0199,4405
-0.00978,5248
0.417,1325
0.224,751
-0.013,5139
0.26,2136
-0.286,9182
-0.0889,8486
0.208,415
-0.12,8825
0.0892,2122
0.428,32
0.188,1672
0.0747,2574
0.00665,4829
0.25,106
0.0118,4430
-0.147,7637
0.595,203
-0.337,9961
0.0133,4705
-0.103,8414
0.0272,3778
-0.0378,6439
-0.0161,5583
-0.0183,5717
-0.378,10433
0.114,1186
0.062,3450
0.39,370
-0.0558,6997
0.308,250
-0.0599,5318
-0.0962,7380
-0.0575,8889
-0.176,9462
-0.0277,5944
0.159,1757
-0.168,9622
-0.0881,7813
-0.0713,6733
0.0651,3070
0.226,533
-0.0961,7279
-0.046,6682
-0.088,7788
-0.204,8963
-0.218,9728
-0.154,8368
-0.067,6644
-0.102,7858
0.188,114
-0.118,8167
-0.262,9915
0.296,507
-0.161,8204
-0.242,8958
0.0591,2439
-0.0755,8363
0.00735,4900
-0.139,9529
-0.154,8557
0.25,1608
-0.182,9841
-0.163,9762
-0.139,8586
0.416,26
-0.182,9200
-0.471,10068
0.0452,2771
0.484,129
-0.174,10064
-0.498,10261
0.15,2237
0.0189,4185
0.106,861
0.0525,3194
-0.041,6286
-0.00155,4853
-0.0266,5465
0.00176,5021
-0.215,8606
0.0708,3566
0.00365,4698
0.08,2546
0.0166,4598
-0.0618,5916
-0.0566,7900
0.0667,2887
0.152,815
0.00994,4717
0.0368,3009
0.0669,4045
0.0587,2742
0.052,2863
-0.201,9064
-0.171,8917
-0.109,7383
-0.525,7303
0.151,684
-0.016,5944
-0.0898,8057
0.128,945
0.162,766
0.322,986
0.0129,4403
-0.499,7700
0.306,847
-0.0932,9601
0.00876,4498
0.193,1526
0.00219,4955
0.287,316
0.487,2315
0.865,563
-0.703,8322
0.526,2136
0.805,1180
0.138,2131
-0.199,8699
0.148,1454
0.028,4177
0.0206,4090
-0.0177,6058
0.657,1484
-0.096,6829
0.166,1961
0.0246,4305
-0.0719,7106
0.0274,3663
-0.149,6751
0.125,2423
0.0648,3045
0.167,773
0.183,1670
-0.00396,5362
-0.0937,7703
-0.0928,7178
0.0734,3093
-0.0326,5405
-0.0725,6665
-0.12,9249
0.0944,3051
-0.0388,7587
0.00692,4895
0.183,3055
-0.172,9961
-0.124,9046
-0.116,8332
0.2,756
0.202,1872
-0.0199,5754
-0.235,10264
0.0283,3940
-0.0286,5884
0.283,1117
0.00963,4733
-0.334,9873
0.158,1824
0.229,242
0.231,1825
-0.0265,6104
-0.116,7894
-0.0601,6773
-0.0727,7524
0.0676,2699
-0.141,9266
0.169,2034
0.129,2305
-0.402,8754
0.00229,4858
-0.118,9307
-0.159,8217
0.125,2775
0.0159,4689
0.387,232
-0.0795,8367
0.0134,3943
-0.0128,7086
0.0986,2294
0.153,2578
0.0061,4784
-0.0684,6387
-0.0996,9554
-0.0751,7216
0.201,1227
-0.0761,7422
-0.14,8003
-0.201,8677
0.0721,2211
-0.0875,7728
0.266,886
0.188,1408
0.0641,3208
-0.0651,8216
-0.0257,6383
0.0314,4517
-0.191,9803
0.0437,4353
0.0211,4514
-0.018,5272
-0.128,9263
-0.037,7333
-0.0937,5203
0.0371,4111
0.207,1453
0.286,1661
0.0246,4023
-0.0571,6751
0.0206,4368
0.0347,4463
-0.0933,7004
0.0933,3200
-0.0476,7084
-0.101,6798
0.00782,4711
0.003,5231
0.0229,4396
-0.0384,6306
0.0373,3508
-0.0107,5738
-0.121,7948
-0.133,8577
0.0967,2875
0.114,2044
-0.217,10372
0.096,2923
0.000532,4827
-0.331,10120
-0.0733,7031
-0.123,8376
0.112,1697
-0.189,10054
-0.146,8587
-0.0603,6699
0.0775,2119
0.219,459
0.243,441
0.0103,4867
-0.0578,7431
-0.129,7133
0.0218,4189
-0.156,9205
-0.00831,5364
0.436,560
0.141,1129
0.12,2452
-0.0956,7246
-0.0349,6502
-0.0913,8534
0.0281,3845
0.109,1503
0.148,715
-0.115,8594
-0.0018,5000
0.0359,1846
-0.00464,5162
0.126,1145
0.27,1709
0.0187,4449
0.0978,1808
-0.00245,5299
0.0665,2976
0.181,1022
0.382,75
0.0642,3770
0.121,1372
-0.0699,8812
-0.141,9743
0.138,2783
-0.0919,7917
-0.174,7445
0.507,204
-0.0243,5473
0.0685,2251
-0.0787,5595
0.078,3574
-0.221,8923
0.674,294
-0.0473,7409
0.0367,3795
-0.117,9142
0.0878,2359
-0.142,7720
0.00939,5058
0.0998,1286
0.0224,4379
0.263,1857
-0.0413,6023
-0.0568,6305
-0.338,9113
-0.0768,8645
0.0287,4059
-0.0959,7858
0.0123,4642
-0.0325,6257
0.0363,3983
-0.265,10458
-0.0275,6945
-0.19,5487
-0.346,5717
-0.301,7701
-0.0157,5637
-0.18,8755
-0.0651,7650
-0.294,10140
-0.029,5557
0.0874,2559
-0.109,8692
-0.0647,6748
-0.0755,7262
0.0205,4593
-0.292,7658
-0.665,10212
-0.0327,6310
0.367,295
0.0188,4451
-0.0679,6975
-0.148,8514
0.104,2358
0.0572,3503
0.0178,4404
0.271,262
0.00708,4890
0.175,1401
-0.0529,6681
0.0514,3014
-0.0622,7287
-0.193,10096
0.122,1631
-0.0986,7255
0.0816,1882
-0.108,8969
-0.25,9923
0.0255,4300
-0.0719,7081
-0.104,8231
-0.137,8515
-0.00481,5278
0.0796,1578
0.155,2769
0.0447,3630
-0.105,7146
-0.47,10056
0.143,856
-0.00475,4983
