coef,rank
0.99,756
-0.0833,6470
-0.504,10468
0.142,3077
-0.342,8356
0.351,140
-0.0484,7083
0.203,1163
-0.201,9104
-0.356,10355
-0.197,10148
0.0267,3745
-0.0729,7899
0.0788,3298
0.577,257
1.22,305
0.0695,1508
0.0799,956
0.0363,3848
-0.201,9973
0.0834,3278
-0.11,6121
0.131,1685
0.0833,2658
-0.0379,5432
0.0309,4387
0.0183,4375
1.97,86
0.356,455
0.00445,4973
-0.148,9000
-0.0318,5385
-0.163,8704
0.0669,3854
-0.0686,7503
0.0897,1356
0.0952,2085
0.0218,4500
0.0638,3279
0.147,1561
-0.0221,5758
-0.0375,7805
-0.0614,6510
0.0711,2798
-0.00832,5174
0.125,2350
-0.0726,8964
-0.0117,5874
0.265,861
0.192,605
-0.114,7918
-0.041,5838
0.148,1685
-0.0726,8664
-0.0383,6448
-0.212,9355
0.245,2158
-0.362,10319
-0.00918,5719
-0.144,9839
0.0563,3731
0.232,564
-0.107,9261
0.00963,4597
0.174,427
-0.0102,5638
-0.0315,6650
0.0131,4592
-0.0362,6104
-0.589,9683
-0.0937,8999
-0.0139,5457
0.376,99
-0.051,6182
-0.193,8964
-0.0577,7196
0.0402,3592
0.00491,4764
0.271,36
0.145,1230
0.107,3916
-0.268,9440
-0.0355,7066
0.234,128
0.0249,4276
-0.143,7827
-0.107,8657
0.577,357
-0.023,6231
-0.023,6583
0.39,231
0.145,1901
-0.226,9165
0.19,1673
-0.0168,5631
-0.154,10027
0.0611,3578
-0.0889,8725
-0.0241,5984
0.0146,4585
0.107,1259
0.0122,4664
0.212,334
0.232,1156
-0.367,10003
-0.146,8149
-0.0913,6675
0.273,573
-0.18,9122
-0.358,10416
-0.215,7580
0.123,2101
0.0395,3117
0.104,718
0.0326,4282
-0.00717,5335
0.161,483
0.0793,2973
-0.0536,6665
-0.00698,5299
-0.0884,9084
-0.0854,8842
-0.226,8642
0.0822,3801
-0.0658,8013
-0.253,9406
-0.259,9185
0.107,2154
-0.102,7651
-0.178,9492
-0.0649,7897
-0.0564,7267
-0.104,7279
-0.0605,7405
-1.45,10394
-0.47,10328
-0.154,9902
-0.0722,7731
-0.595,10424
-0.0931,9202
0.272,758
0.0303,4062
-0.116,8300
0.0366,3785
-0.288,10114
-0.0327,5847
0.154,485
0.248,1036
0.0714,2914
-0.0963,9021
-0.486,8784
0.0194,4656
0.262,1394
0.00994,4635
0.171,1191
-0.0842,7892
-0.0907,6709
-0.107,8286
0.214,957
0.215,725
-0.178,9186
0.107,595
-0.00807,5318
-0.000111,5210
0.126,1084
0.0376,3593
-0.0858,7687
-0.0431,7070
-0.207,9639
-0.135,7066
0.0576,3213
-0.115,9447
-0.0703,9363
0.0315,3978
0.0369,3401
-0.173,8969
-0.106,6494
0.0834,1039
0.173,467
0.218,936
-0.109,9136
0.00827,4787
0.103,933
0.0097,4329
0.165,839
0.0176,4306
-0.13,8373
-0.173,10038
-0.108,6194
-0.00671,5547
0.0842,2362
0.0234,3472
-0.128,9118
0.0456,3843
-0.185,8093
-0.0574,7582
0.167,1160
0.467,309
0.0815,1480
-0.0662,6284
0.0254,4076
-0.354,10093
0.0239,3849
-0.0804,7003
0.013,4700
0.051,4012
0.0303,3861
0.284,546
0.124,1088
-0.127,9613
-0.0192,6052
0.0253,4497
0.206,1022
0.0817,2795
0.0652,1407
0.0511,2944
0.0655,3423
-0.0248,5733
0.19,2151
0.0393,3129
-0.0184,5654
0.0722,1981
-0.0935,9699
-0.0396,6066
0.00626,4765
0.0879,2903
-0.115,8821
-0.0495,7432
-0.042,7524
-0.225,9126
-0.141,8964
-0.0478,5831
-0.0973,7170
-0.00705,5519
-0.158,8842
-0.251,9978
0.0378,4219
-0.196,9469
-0.101,7040
0.21,2561
0.5,438
-0.0721,7942
-0.0455,6962
0.0879,2271
0.219,365
0.0233,4046
-0.0412,6137
0.0493,3380
-0.36,10401
-0.0203,5961
-0.117,10083
-0.115,7080
0.154,2624
-0.276,9452
0.105,3550
-0.037,6433
-0.158,9871
-0.191,10112
0.142,1596
0.119,2216
-0.0297,5648
0.0301,3633
-0.0454,6557
0.143,2271
0.0529,3252
-0.265,10166
-0.55,10225
-0.0291,5791
0.000359,5211
-0.153,9090
0.219,434
0.131,2188
-0.195,9946
-0.044,6342
-0.0188,5485
0.0871,2514
0.0439,3712
0.0421,4209
0.0466,3579
0.225,427
-0.247,9512
-0.247,9992
-0.11,7464
-0.171,8928
-0.052,6460
0.0725,1838
-0.0839,7318
0.0513,3713
-0.129,7994
-0.288,9874
-0.3,9542
0.11,915
-0.033,6759
0.31,1246
-0.192,10154
-0.193,9200
-0.263,9348
-0.0661,7213
-0.161,9720
-0.0532,6482
-0.0561,6678
0.387,166
-0.0576,5580
-0.0719,8368
0.419,245
0.191,402
0.247,1918
0.0398,4059
0.129,983
0.113,723
-0.11,8698
-0.264,10192
0.325,960
0.228,1516
-0.102,7773
-0.177,8081
-0.11,7744
-0.139,7432
0.00534,4863
0.0174,4569
0.265,1906
0.046,3065
0.000596,5218
0.00863,4904
0.0641,3363
-0.0349,6868
0.229,2691
-0.0161,6138
-0.0187,5936
-0.316,10127
-0.00213,4957
-0.253,9668
0.9,1648
-0.222,10404
-0.0161,5951
0.164,927
-0.0777,8224
0.166,693
-0.0127,5100
0.0416,3028
-0.852,9980
-0.225,9140
0.0272,3510
-0.0625,8401
-0.309,10215
0.259,23
0.0648,3205
1.55,853
0.422,1773
-0.652,7983
-0.0194,3751
-0.0198,4113
0.344,348
-0.283,9709
-0.13,8869
-0.291,10129
-0.00414,5492
0.088,835
-0.554,9208
0.277,1080
