coef,rank
-0.0559,4869
0.0926,3204
-0.115,7434
-0.332,9205
-0.0108,4752
0.172,1240
-0.0868,8479
-0.125,7950
-0.16,8414
-0.193,9161
-0.0566,7219
-0.128,9790
0.101,1863
0.109,2689
0.533,356
-0.465,8943
-0.00349,5454
0.0482,2165
-0.196,9988
0.00359,4920
-0.0678,6584
0.344,1564
-0.0985,7904
-0.165,9393
0.195,2502
-0.192,8840
0.0182,4381
-0.387,7296
-0.0654,6372
-0.00547,5338
0.0351,4116
0.403,1209
0.357,267
0.0867,3607
-0.0296,6020
-0.0822,8847
-0.0677,7611
0.174,2088
0.0165,4536
-0.218,9765
0.0166,4054
-0.0958,9962
-0.185,8978
0.0885,2323
0.148,1859
-0.116,7523
0.0527,2061
0.0147,4043
0.0826,3185
0.127,1474
-0.0508,6238
-0.111,7395
0.00952,4872
0.0475,2730
0.00442,5194
0.0797,3274
-0.0622,5112
-0.122,7755
-0.0147,6006
-0.206,10363
-0.171,8570
-0.0603,6642
-0.0157,5899
0.132,301
-0.0485,7082
-0.0379,6965
0.132,968
0.072,2482
-0.123,8436
-0.292,7088
-0.0237,6276
0.146,888
-0.054,6525
0.154,1861
0.138,2540
-0.01,5582
0.0273,4076
-0.0692,7533
-0.0303,6522
-0.0303,6335
-0.0244,5148
-0.134,7487
0.0524,2704
-0.00661,5301
-0.0636,7145
0.264,1140
-0.0877,8113
0.508,515
-0.0307,6675
0.024,3751
-0.0756,6898
-0.09,7468
-0.0061,5204
-0.13,8008
-0.113,7974
0.0155,4370
-0.0848,6431
-0.0446,7133
0.0413,3667
-0.073,7200
-0.0788,8427
0.117,1620
-0.0248,6085
0.172,1829
0.171,2478
0.329,532
-0.0356,5571
0.111,2547
-0.155,8693
-0.0777,7081
-0.176,7083
0.472,45
0.0902,1398
0.087,1095
-0.174,9383
-0.0708,7468
-0.138,9749
0.287,473
-0.068,7063
-0.148,10195
-0.0989,9372
-0.0959,9158
-0.234,8742
0.139,3116
-0.116,9525
0.744,60
0.394,478
0.13,1761
-0.157,8839
-0.0536,6602
-0.0417,6914
-0.148,9454
-0.0199,5449
0.035,3957
0.512,2118
-0.177,7802
0.203,247
-0.096,8407
0.0352,4068
-0.0543,7845
-0.219,9370
0.167,1451
0.122,1805
0.0527,3198
-0.197,9178
0.0147,4721
-0.0616,7738
0.0484,3990
-0.2,9882
-0.0391,6870
0.56,1440
0.138,1873
0.00541,4584
-0.0738,7216
-0.0646,6805
-0.112,8619
-0.147,7753
0.13,1613
-0.136,8267
-0.0286,5846
-0.0206,5630
-0.0368,7337
0.13,1813
-0.109,7946
-0.0462,7134
0.13,857
-0.155,9205
0.167,454
-0.163,8962
-0.0323,5142
-0.0637,7739
0.0542,2976
0.0131,4248
-0.0235,5855
-0.0607,7650
-0.259,10010
0.059,4073
-0.0205,6535
0.156,669
0.108,2599
0.0292,3955
0.0513,2957
0.0662,1965
-0.0145,6509
-0.0849,8197
-0.0806,8217
-0.0835,7368
-0.175,10065
-0.32,8846
0.0338,3890
0.08,2462
0.0744,1003
0.00935,4704
0.0816,3094
0.0739,3651
-0.0167,5879
-0.135,8818
0.184,2084
-0.0296,6890
-0.344,10225
0.0652,3018
-0.0761,6388
0.137,588
0.215,1029
0.0369,4142
0.579,43
-0.117,8416
-0.0022,4958
-0.133,9590
0.000955,5127
0.11,1552
-0.132,8182
0.407,115
0.328,186
-0.115,10188
0.0743,2134
-0.0281,6180
-0.139,8763
0.0929,3361
-0.854,9529
-0.0576,6830
-0.0164,5911
-0.0277,6916
-0.000207,5139
0.14,2938
-0.103,7458
0.0497,3305
-0.117,9682
-0.0386,7368
-0.178,8406
0.0909,2455
0.104,2945
0.3,830
-0.0115,5798
0.0896,2751
-0.0727,6987
0.414,1347
-0.0801,7134
-0.124,7512
-0.229,7820
-0.0378,5580
-0.111,9091
0.0705,2843
0.123,1544
0.186,595
-0.135,8562
0.288,806
-0.111,8839
-0.152,8559
0.0243,4090
-0.051,8023
0.311,961
-0.292,9195
0.133,2601
0.288,1858
0.103,2055
0.0153,4251
0.0166,4350
-0.0782,7398
-0.0386,6275
-0.3,10246
-0.112,9076
-0.175,9588
