coef,rank
-0.505,8976
-0.347,10114
0.0162,4475
0.14,3097
-0.0884,5584
0.105,2297
-0.097,8777
0.115,2414
0.287,566
-0.152,8480
-0.0595,7317
0.171,263
0.0204,4413
0.0471,3996
-0.0513,5694
0.0946,3829
-0.0392,7572
-0.0218,6580
-0.136,9066
-0.0545,6873
0.135,2417
-0.121,6272
-0.00993,5275
0.186,831
0.166,2799
0.242,1194
-0.184,10184
0.184,3140
-0.0637,6342
0.2,524
0.0253,4385
0.304,1784
-0.223,9565
-0.265,8789
0.0466,3257
0.0567,2346
0.146,1029
-0.132,7482
-0.125,8367
-0.184,9326
-0.0658,7632
0.0532,2019
-0.159,8540
0.0103,4847
0.057,3578
-0.0783,6668
-0.0391,7323
0.0882,797
-0.175,8499
-0.0981,8197
-0.0205,5332
0.167,1763
0.118,2207
0.0407,3041
-0.118,8462
-0.198,9170
-0.206,6877
0.463,132
-0.0522,7892
-0.0898,8627
0.0843,3190
-0.138,8649
0.015,4509
0.0947,889
0.106,1412
0.0658,2424
-0.151,9979
0.0308,3907
0.285,292
0.145,3249
0.0389,3346
0.147,868
0.0202,4429
0.0659,3364
-0.0597,6490
0.056,3380
-0.0554,7278
0.15,891
0.0273,3900
-0.102,8596
0.206,3137
-0.023,5195
-0.105,9609
-0.051,7110
0.131,1535
-0.298,9834
0.0502,3501
0.327,1246
-0.15,10247
-0.0734,9015
0.191,1488
-0.298,10277
0.101,3137
-0.105,7520
0.153,1877
0.0969,1470
0.149,2277
-0.0495,7321
-0.22,10248
0.0637,3171
-0.063,7825
-0.142,9362
0.0429,3498
-0.209,9070
0.00426,4835
0.29,767
-0.0494,5826
-0.0274,5705
0.08,2889
-0.238,9942
0.158,3009
-0.122,7697
-0.000803,5061
-0.0708,8806
0.18,1271
-0.017,5686
-0.0733,8040
-0.118,7629
0.0928,2682
-0.0342,6727
-0.00386,5507
0.0292,3753
-0.352,9898
-0.241,8202
0.051,2946
-0.0824,6598
-0.183,8151
-0.00606,5026
0.107,2478
-0.109,8089
0.00206,4922
-0.0784,7882
-0.0719,6593
-0.0855,8192
1.09,1312
-0.112,6703
0.00762,4819
0.0172,4454
0.0732,3574
0.0152,4401
0.0448,3997
-0.287,10190
-0.135,8733
-0.161,9955
0.185,1408
-0.0773,6896
0.0649,2400
0.17,1867
-0.0502,6631
-0.011,5626
0.25,2710
-0.31,10395
0.035,4097
-0.0718,7162
0.167,1247
0.00746,4832
0.175,2172
0.129,1619
-0.409,10452
0.187,997
0.106,2672
0.0772,1276
0.0447,3750
0.23,1004
0.0538,3050
0.00801,4895
-0.267,10293
0.016,4545
-0.199,9549
0.00842,4450
-0.153,9738
-0.0506,7409
0.0361,2761
-0.22,10168
0.0806,1890
-0.0825,6920
0.628,262
0.0709,1401
0.0162,4264
-0.00887,5266
0.0664,2569
0.117,1105
0.0638,2078
-0.0719,9778
-0.00175,5278
0.0216,4125
-0.0173,5540
0.0593,2899
0.155,2974
-0.104,8927
-0.0584,6651
0.0254,3329
-0.179,9926
-0.285,10139
0.358,750
-0.164,10047
-0.0276,5916
0.337,801
-0.0122,5887
-0.088,6767
0.00429,4664
0.137,2622
0.0657,2172
0.0905,2893
0.221,990
-0.137,7941
0.0963,2176
-0.108,7567
-0.0746,8049
-0.0922,8816
-0.0563,7542
-0.0747,6909
-0.00281,4814
-0.112,7826
-0.0812,9481
0.107,1320
-0.181,9668
0.0356,3935
0.517,260
-0.273,5141
-0.0426,6394
-0.021,6152
-0.102,9877
0.0149,4762
0.0166,4604
-0.0663,6589
-0.024,5908
-0.0819,8696
0.082,1469
-0.0347,5518
0.181,861
0.269,1065
-0.3,9976
-0.0651,8838
0.0457,3745
-0.132,8354
0.205,2639
0.165,1342
-0.292,9855
0.121,3449
-0.11,6734
0.0571,2975
0.134,1346
-0.113,8651
0.0874,2159
0.192,855
-0.169,8804
-0.0695,7609
-0.115,7812
0.162,669
0.0704,1634
-0.19,8341
-0.108,6557
-0.0174,5167
0.589,597
-0.109,8569
0.244,106
-0.051,6910
-0.0529,6676
0.0536,3738
-0.0911,7258
0.0454,3073
-0.0271,6035
-0.0343,5495
-0.122,8882
-0.0602,6520
-0.332,8746
-0.0221,5612
0.0481,2104
-0.0609,6860
-0.0991,8191
-0.124,7672
-0.121,8813
-0.261,10363
0.141,2214
-0.179,9775
-0.0757,7283
-0.036,5938
0.156,1073
-0.199,9935
-0.121,7492
0.0594,3602
0.199,1452
-0.0739,6792
0.0895,2674
0.0849,1464
0.183,1092
0.156,1746
0.269,662
0.0615,3517
-0.2,8383
-0.02,6288
-0.0148,5994
-0.0578,6010
0.0399,3725
-0.117,7839
-0.0533,6146
-0.0434,6521
0.0326,3774
0.223,729
-0.0999,7944
0.175,1540
-0.143,6764
0.0707,1834
-0.108,7571
-0.0183,5858
0.164,2659
0.354,457
-0.063,7731
0.0674,1888
0.0654,2756
0.255,529
-0.117,6894
0.0188,4594
-0.304,10339
0.0717,4033
0.266,821
-0.257,9245
-0.0354,6219
-0.0638,6451
-0.0383,5576
0.0544,2734
0.0719,2727
0.109,1660
0.245,546
-0.0306,6638
-0.0746,5372
0.0775,2074
0.0439,3148
-0.0658,6482
-0.28,10141
-0.202,9065
-0.0756,3295
-0.0469,7264
0.00791,4846
0.189,682
-0.0998,8922
0.0471,3448
-0.317,9696
-0.105,9530
-0.838,9942
-0.124,7531
0.0141,4247
-0.117,10010
0.0272,4456
0.0745,1911
-0.173,9353
-0.595,7411
-0.434,9082
-0.609,7710
-0.0667,3999
-0.498,8281
-0.0614,6254
0.107,3082
-0.0399,6447
-0.115,7650
0.0163,4343
-0.062,8600
0.534,1865
0.0995,3211
0.11,2776
-0.0522,5108
-0.00753,5173
-0.154,10278
-0.0345,5132
0.113,2614
-0.0788,7913
0.169,738
-0.0522,6274
-0.0519,7474
0.0691,3113
0.203,1605
0.148,1644
-0.267,9313
0.116,2295
-0.0769,8008
0.165,1945
-0.0976,9786
0.0478,3810
0.00651,4518
-0.071,7805
-0.054,6820
0.129,1847
0.254,369
-0.146,7692
-0.0326,6105
0.07,3062
0.058,2962
0.131,1631
-0.0781,6509
0.119,1803
0.086,3413
-0.158,8790
0.237,209
0.552,227
0.0733,2724
-0.106,7672
-0.0452,6334
-0.105,8391
-0.165,9953
-0.0812,7883
0.307,777
0.057,3638
0.243,2711
-0.0428,9313
0.0487,3244
0.0873,3110
0.128,2725
0.0186,4626
-0.0248,5859
0.0402,3222
-0.083,9642
-0.0242,8549
-0.198,9980
-0.0689,6112
-0.16,9390
0.378,385
0.0441,2996
-0.0179,5525
0.0531,3714
0.035,4382
0.0879,3241
0.0816,3238
-0.0778,8275
0.192,974
-0.275,9889
-0.154,8636
-0.0739,7174
-0.0338,6860
-0.0302,6563
0.201,1340
0.102,2173
0.0715,3783
-0.122,9045
-0.115,7587
0.106,1762
0.115,561
-0.595,9713
0.515,132
-0.303,10071
0.672,252
0.0106,4627
0.00981,4675
0.253,837
0.237,2298
0.00293,4844
0.196,1708
0.105,1561
-0.0885,6595
0.00326,4806
-0.125,8636
0.0776,3168
0.201,735
-0.0546,7285
-0.00382,5268
-0.0869,7117
0.0052,4981
-0.153,8802
-0.109,8724
0.0273,3848
-0.146,8244
-0.126,8044
-0.0426,5867
0.197,1063
-0.0157,5382
-0.0814,8246
0.297,87
0.0688,3032
0.0668,3449
-0.137,9695
0.0219,4170
-0.175,9497
0.0898,3142
0.0931,2229
0.184,2064
-0.122,8626
-0.111,8229
-0.0262,6197
-0.107,6839
0.044,3650
-0.0209,5502
0.0945,3106
-0.0796,7801
0.0034,5088
0.00935,4704
-0.106,9014
0.0435,3243
-0.0106,5249
-0.212,9902
0.0935,78
0.249,242
-0.113,9026
-0.344,9756
-0.00447,4793
-0.0602,7514
0.125,1780
0.00846,4957
-0.0381,6062
-0.0148,5598
-0.0857,6731
-0.0542,7229
-0.0158,5902
-0.12,9297
0.0762,3674
0.031,4049
-0.137,6922
0.0657,3841
-0.0477,5970
-0.0193,6060
0.263,2269
-0.0379,5516
0.386,577
0.702,240
-0.111,9660
-0.0698,8286
-0.0718,7802
0.23,428
0.202,1581
0.0547,3786
-0.108,9278
-0.0813,7625
-0.198,7944
-0.0748,6818
-0.181,8790
0.0686,4046
-0.0355,7029
0.174,866
-0.0952,7841
0.115,1613
-0.0241,6006
-0.166,8839
-0.121,9474
-0.0943,9868
0.0216,3983
-0.781,9599
0.0577,4200
-0.0643,7000
0.348,357
-0.026,6264
-0.0877,7133
0.0722,3290
0.0455,3643
-0.0016,5403
0.0806,3187
-0.191,9654
-0.0735,7713
-0.292,7671
0.145,3108
-0.0498,7082
-0.297,10089
0.0189,4445
0.0866,3174
-0.206,9472
0.309,190
-0.147,8882
0.423,55
-0.102,8136
0.00387,5011
-0.0403,6222
-0.152,9166
-0.0448,6945
0.000846,4950
-0.0208,5835
-0.00604,5132
0.156,1836
-0.104,8988
0.184,462
0.00648,4906
-0.249,10148
-0.0168,5404
0.061,3266
-0.0456,6310
-0.000161,5139
-0.0326,6629
-0.0345,5355
0.204,498
-0.0751,6585
0.196,2606
-0.135,9530
0.157,1164
0.25,1259
0.0561,2889
-0.0197,6090
0.0722,3642
-0.0363,6666
-0.075,7912
0.011,4786
-0.155,9754
0.386,374
-0.0114,5205
0.025,3522
0.212,829
