coef,rank
0.546,1699
0.264,1135
-0.323,10163
0.925,37
-0.0973,5676
0.304,261
0.0884,1806
-0.0578,6305
0.0884,2949
0.206,1200
0.218,373
0.371,1
0.0436,3549
-0.107,7781
-0.303,9356
-0.411,8358
0.000434,5220
0.103,483
0.0476,3516
0.13,1544
0.24,1105
0.57,633
0.0529,3426
-0.0716,7199
0.177,2676
0.0195,4617
0.0316,3887
0.437,2138
0.54,65
0.107,1858
0.635,1
0.154,3129
-0.14,8259
-0.277,8939
-0.241,10364
0.135,493
0.0958,2078
0.0696,3645
0.201,947
-0.0997,7613
-0.0622,7490
0.0562,1896
0.383,281
0.0336,3978
0.383,134
-0.169,8573
-0.0453,7667
0.176,35
-0.146,7982
0.147,1109
-0.0585,6474
-0.245,9569
0.243,564
-0.0978,9455
-0.149,9086
-0.364,10386
-0.201,6807
-0.142,8147
-0.101,9563
0.0374,3459
-0.00201,4988
-0.251,10135
-0.202,10370
0.0122,4451
-0.117,9257
-0.288,10472
0.0904,1825
0.0249,4148
-0.099,7863
-0.211,6205
0.0383,3364
0.215,259
0.111,2245
0.259,732
0.299,734
-0.165,9710
-0.168,10002
-0.0588,7146
0.00566,4849
-0.0721,7773
-0.208,7105
-0.355,10112
-0.0504,7792
-0.148,9842
-0.0201,5680
0.163,2233
-0.147,9477
-0.0991,6358
-0.063,8248
-0.085,9419
0.9,0
-0.274,10169
-0.0875,6858
-0.268,9908
-0.103,7755
0.0255,3920
0.0595,3602
-0.0419,7027
-0.15,9480
-0.264,10230
0.0123,4529
-0.0447,6745
-0.149,9675
-0.334,10200
-0.0799,6300
-0.151,8219
-0.28,9519
0.204,1178
-0.189,9251
-0.101,7629
-0.00303,4836
0.117,2196
-0.0385,6984
-0.133,10203
-0.0388,6304
-0.024,5936
0.0749,2114
0.101,2545
0.0935,2667
-0.0375,6902
0.0526,2898
0.0273,3851
0.637,96
-0.125,6606
0.0254,3978
0.422,505
0.0435,4046
-0.191,9495
0.086,2881
0.101,2382
0.0102,4536
-0.256,10359
-0.198,8927
-0.113,8932
-0.0691,3998
-0.0586,5847
-0.0651,7714
-0.14,9412
-0.0957,6083
-0.04,7163
0.184,1579
0.184,1247
-0.0173,5400
0.00482,5027
-0.0384,5881
-0.228,9621
-0.174,10223
0.321,558
0.019,4390
-0.0217,6117
-0.369,7651
-0.0169,5697
-0.182,7723
0.0317,4004
-0.0912,7563
-0.159,9545
0.0557,3971
-0.225,10131
0.0738,3145
-0.0933,7629
-0.143,8548
-0.108,9913
-0.166,9261
0.416,120
-0.0206,6082
0.0609,2723
0.0998,2532
0.0269,4079
0.222,720
-0.133,7030
-0.129,9393
0.0948,1692
0.0639,1390
0.206,522
-0.22,10408
-0.157,8674
0.377,1050
-0.00585,5537
0.0965,1696
0.124,2270
-0.0724,8092
0.0977,1530
0.101,974
-0.0427,8660
-0.144,9574
-0.106,8934
-0.068,6955
0.132,1098
-0.134,6493
-0.0245,6258
-0.0854,7479
-0.00383,5451
0.0943,2077
-0.163,8745
0.171,2322
-0.121,9406
0.814,0
0.225,1640
0.0545,2428
-0.0487,5891
0.184,948
-0.121,7235
0.395,0
-0.0479,6175
0.233,883
-0.22,9196
0.181,835
-0.161,8643
-0.148,9825
-0.0274,6430
-0.00859,5644
0.0574,3739
-0.326,10326
-0.11,7763
0.00761,4415
-0.0498,7219
0.056,3681
-0.0689,7015
-0.221,8562
0.213,2624
-0.131,8673
-0.0331,6726
-0.14,10332
-0.108,7631
0.0107,4690
0.093,2793
0.155,952
