coef,rank
-0.327,7380
-0.0244,5334
-0.194,8907
-0.0977,6237
-0.368,8614
0.0979,2465
-0.0433,6880
-0.297,10175
0.0117,4562
-0.279,10048
-0.0651,7513
0.108,1065
0.155,811
0.145,2050
-0.0826,6208
-0.25,6324
0.00389,5008
-0.00014,5030
-0.0711,7400
-0.142,9165
-0.115,7621
-0.788,10467
-0.091,7703
-0.218,10057
0.271,1824
-0.223,9269
-0.00186,5209
-0.857,10279
0.0921,3160
0.0357,3859
-0.126,8584
-0.119,6566
0.0324,4202
-0.163,7381
-0.107,8637
0.165,245
0.0567,3171
0.358,628
-0.171,9251
-0.0076,5084
0.0507,2807
-0.022,6864
0.12,2577
-0.014,5794
0.411,102
-0.101,7190
-0.0593,8374
0.00834,4508
-0.175,8487
-0.148,9369
-0.0269,5528
-0.0884,6888
-0.0784,7336
-0.0316,6772
-0.0425,6553
-0.269,9953
0.21,2399
-0.0589,6374
0.0954,1105
-0.0461,7042
-0.101,7194
0.156,1341
0.0175,4397
0.0468,2549
0.0617,2648
0.161,413
-0.0265,6421
0.00507,4911
-0.134,8670
-0.359,7810
-0.0197,6083
0.00489,4713
-0.239,10007
0.0409,3915
0.378,378
-0.0128,5673
0.0463,3376
0.0246,4063
-0.0509,7362
0.145,1238
-0.514,9697
0.0145,4433
0.0507,2793
0.0407,3327
0.0505,3433
0.192,1837
0.0509,3473
-0.000881,4778
0.0208,3793
0.0131,4372
-0.026,5758
0.255,646
-0.173,8386
-0.0263,5728
-0.0403,6231
-0.0809,8386
0.114,2773
-0.0278,6408
-0.0652,7370
0.132,1762
0.0439,3173
-0.246,10335
0.034,3803
-0.176,8555
-0.1,6661
0.266,932
-0.187,8305
-0.0841,7185
0.0548,3449
0.127,2152
-0.189,7246
-0.156,8422
0.00432,4800
-0.0237,6510
0.0418,4020
0.0476,3545
0.0114,4454
0.0193,4301
-0.0914,7656
-0.0402,7044
-0.0888,9098
0.0227,4060
0.341,812
-0.0963,6215
-0.0505,7375
-0.212,8862
0.0261,4344
-0.124,8230
-0.269,10137
0.086,2704
0.0191,4165
0.103,2294
0.6,34
-0.0765,7937
-0.166,4617
-0.00315,4895
0.0819,2138
0.0488,3397
-0.166,7238
0.0176,4291
-0.129,7891
0.134,1922
0.0388,3761
0.0194,4463
-0.229,9587
0.106,2783
0.0394,3360
-0.211,9115
0.0262,4170
0.157,470
-0.143,5348
-0.193,9690
-0.345,9631
0.00831,4685
-0.0572,6572
0.227,381
0.118,2964
0.026,4184
0.141,1841
-0.348,10439
0.186,1408
0.0578,1953
0.174,1160
0.139,2183
-0.011,5680
0.0878,1771
-0.00315,5284
-0.012,5747
0.0517,3564
-0.287,9292
-0.117,9178
0.0432,3387
-0.0661,9207
0.295,118
-0.0447,6973
-0.301,10243
0.356,1170
0.084,1023
-0.0981,8739
-0.155,8594
-0.0648,7828
-0.0711,8263
