coef,rank
-0.5,8914
-0.171,8124
0.127,2372
-0.425,9908
-0.255,7448
0.0432,3746
-0.0482,7079
-0.307,10227
0.111,2533
0.108,2595
-0.181,10016
-0.00665,5425
0.0735,2599
-0.285,10165
-0.279,9097
0.602,1397
0.0228,3775
-0.0783,9443
0.0359,3861
-0.0432,6502
-0.0295,5714
0.32,1701
-0.204,9880
0.104,2195
0.267,1864
-0.0634,6446
0.0529,3125
0.279,2768
-0.048,5988
0.212,435
-0.2,9774
-0.0599,5762
0.13,2242
0.153,2769
0.0274,3918
-0.0197,6065
0.0731,2671
-0.00269,4969
-0.149,8857
0.084,2703
0.126,919
0.0304,3309
-0.147,8306
-0.0248,6193
-0.0574,6418
-0.0458,5896
0.0301,3122
0.00845,4500
0.185,1606
0.198,553
-0.0233,5412
0.123,2426
-0.0537,6671
0.0839,1388
0.0512,3888
0.437,165
0.187,2585
0.339,449
-0.134,10121
0.0478,3063
-0.302,10082
-0.274,10267
0.106,1360
-0.0309,7038
0.0712,2335
-0.116,9528
-0.149,9947
0.145,926
-0.157,9093
0.205,2862
0.0394,3326
-0.13,9259
0.181,1129
-0.035,5761
0.0519,4175
0.0766,2845
0.0572,2998
-0.0312,6148
0.139,789
0.161,988
-0.209,7109
0.214,1463
-0.0256,6568
-0.0415,6733
0.121,1696
0.0249,4502
-0.0389,6564
-0.483,10300
-0.00289,5117
0.0679,1684
0.284,647
0.139,1993
0.0371,4321
-0.129,7996
-0.333,10353
0.00136,4993
-0.0522,5744
0.101,1385
0.04,3725
0.00086,5007
0.0756,2077
-0.0331,6317
-0.0105,5507
0.0314,4230
-0.132,7221
-0.359,10310
-0.00101,4890
0.118,2415
0.0228,4259
-0.201,9520
0.28,1896
-0.239,9659
-0.125,9874
-0.0193,6249
-0.0976,7879
0.0219,4322
0.277,43
-0.0383,5718
-0.09,7626
-0.0159,5778
0.103,1198
-0.15,10137
-0.395,10127
0.174,2778
0.0593,2626
-0.315,9935
0.126,2717
-0.0421,6096
0.148,1786
0.246,498
-0.0732,8209
0.0817,2850
0.163,2000
-0.0282,6287
1.13,1264
-0.113,6733
-0.0532,7250
-0.0257,6060
0.0753,3543
-0.0102,5701
-0.238,9608
-0.137,8266
0.174,1011
-0.249,10430
-0.303,10185
0.0937,3018
0.144,599
0.106,2867
0.0806,2680
-0.0298,6479
-0.539,9190
0.0441,4011
-0.0567,5593
-0.111,8220
0.435,37
-0.346,10458
0.0407,4255
0.00619,4816
0.0869,2863
0.155,1404
-0.116,7983
-0.00986,5684
-0.149,8988
-0.268,10118
0.0595,2845
0.0243,4168
-0.14,8917
0.0237,4230
0.192,995
-0.223,8514
-0.0408,6907
-0.00122,5252
-0.0644,9150
0.0616,3084
0.0472,2998
0.15,1633
-0.0233,5289
-0.0116,5929
-0.118,9246
-0.0631,6635
0.0396,3528
-0.123,9565
-0.0637,8353
-0.0494,8984
0.0984,2044
0.0751,2242
0.19,1163
-0.0358,6692
-0.129,6432
0.0713,2620
0.199,612
0.00161,5059
0.155,933
-0.279,10111
0.0526,4000
-0.0188,5969
-0.00183,5136
-0.0961,6921
-0.00508,5477
-0.0671,6303
0.22,592
-0.248,9193
0.159,352
0.259,668
0.00811,4822
0.144,2319
0.132,1530
0.113,2471
0.0761,2216
0.149,597
-0.0625,7758
-0.0123,5409
-0.0391,5773
0.321,211
0.0294,3058
-0.146,9933
-0.247,10234
0.132,1782
-0.0339,5492
-0.393,6189
-0.00879,5380
-0.0224,6221
-0.0395,7599
0.0984,2934
-0.0753,6115
-0.139,8269
0.0564,3091
0.0247,3709
-0.0707,8721
-0.0817,6529
-0.128,8682
-0.387,10270
0.0257,4634
-0.0457,7912
-0.19,9384
0.267,547
0.341,1695
-0.175,9127
-0.157,8099
0.171,2894
0.0688,3965
0.0108,4662
-0.0899,8411
0.0699,2746
0.00381,4777
0.101,2155
-0.0943,7357
-0.16,9773
0.328,445
0.127,1234
0.0922,1001
