coef,rank
-0.654,9821
-0.0601,6042
0.00445,4731
0.0705,3909
0.873,353
-0.0516,6299
-0.0678,7814
-0.102,7414
0.156,1855
-0.208,9374
-0.000847,5243
-0.149,10100
-0.0233,6066
0.00991,4908
0.242,1845
-0.279,6682
0.0442,2570
0.0257,3332
-0.0575,6962
-0.147,9251
0.278,788
-0.247,7868
-0.0702,7157
0.145,1373
-0.0786,6091
0.0904,3156
0.0408,3544
-0.251,5585
-0.0133,5236
-0.0268,6107
-0.0484,6602
-0.198,7683
-0.147,8406
0.186,2399
-0.096,8360
0.00276,4914
0.104,1888
-0.0736,6360
-0.149,8854
-0.152,8766
-0.0295,6109
0.00972,4665
0.0128,4776
-0.0312,6423
0.308,376
0.186,1503
0.00354,4690
0.0278,3262
-0.175,8502
0.0541,3219
-0.0754,6925
-0.112,7421
-0.132,8609
-0.0405,7225
-0.309,10383
0.0108,4740
-0.0414,4864
-0.0951,7194
0.0998,1000
0.0424,3257
-0.13,7817
-0.299,10365
-0.191,10334
-0.0661,8767
0.0601,2699
-0.00751,5518
-0.025,6343
-0.0607,7432
-0.128,8528
1.16,167
0.08,1892
0.0242,3992
0.0489,3666
0.118,2394
0.0845,3501
0.0216,4461
0.115,1437
-0.0088,5302
0.00729,4783
0.318,76
-0.0813,5757
0.221,1395
-0.058,8129
-0.116,9266
-0.0202,5681
0.146,2443
-0.0749,7715
0.575,362
-0.0702,8524
-0.0502,8055
0.0473,3997
0.00244,5005
-0.316,10003
0.272,824
-0.0119,5518
0.211,161
0.101,2987
0.0576,2635
-0.0142,5650
0.0608,3250
-0.00491,5280
0.142,1203
-0.145,9622
0.0585,3694
0.452,613
-0.111,7477
-0.179,8199
0.11,2554
0.0238,4234
-0.145,8570
-0.281,8446
-0.271,9986
0.0344,3346
0.168,98
-0.127,8555
-0.111,8539
-0.00703,5240
-0.123,7738
-0.00919,5343
-0.0103,5447
0.0631,2482
-0.0349,6833
-0.251,8961
-0.106,6355
-0.05,7354
-0.0811,6572
-0.335,9879
-0.0532,6413
0.0342,4074
0.157,1371
-0.0456,7086
0.0927,2562
-0.0855,6878
0.0035,5117
-0.34,5865
-0.0447,5632
-0.0219,6018
-0.0382,6489
0.0177,4313
-0.021,6227
0.481,79
-0.0801,6964
-0.0465,6339
0.129,1188
-0.0582,6372
-0.212,9410
0.0267,3856
-0.131,7725
-0.0828,7628
0.00642,4795
-0.265,6586
0.224,793
-0.152,7213
-0.0118,5317
0.00123,4825
0.0502,3447
-0.0623,6169
0.0831,2613
-0.304,10218
-0.111,8094
-0.218,9701
-0.109,9935
0.144,1588
-0.0607,6803
0.115,1274
-0.148,10058
-0.116,8425
-0.0773,8433
-0.101,7657
0.0744,3418
-0.0835,8340
-0.0809,8520
0.00216,4983
-0.101,8353
0.14,728
-0.0973,7299
0.082,3741
0.0114,4380
0.055,2872
0.0642,3472
0.101,1597
0.223,174
-0.0131,5933
0.0423,1978
0.0487,3520
-0.0491,7060
0.0417,3950
0.179,493
-0.139,6570
-0.0441,7083
-0.0101,5041
0.0336,2818
-0.0535,7005
0.117,2393
0.229,1719
-0.0515,7335
0.261,368
-0.0677,6350
0.0775,1586
0.0249,4282
-0.0613,6614
0.547,158
0.0963,1310
-0.00547,5099
-0.0234,5654
0.423,217
0.152,1200
0.169,1619
0.164,527
-0.078,8410
-0.0377,6799
-0.0772,6973
-0.121,7852
0.125,2002
-0.0852,9618
0.044,3208
0.023,4605
0.181,1089
-0.0643,6011
-0.257,5010
-0.28,10319
-0.0819,8706
-0.0744,9155
0.126,2439
0.13,3052
0.086,2932
-0.0922,8221
-0.148,10166
0.106,855
0.00805,4641
0.223,487
-0.233,9176
0.142,2548
-0.00552,5409
0.184,1185
-0.0529,6508
0.0149,4463
0.0903,2697
-0.0919,6851
0.133,3311
-0.151,7400
0.0379,3637
-0.198,10184
0.00835,4714
-0.253,10388
0.14,1480
-0.0393,6091
-0.0254,6094
-0.141,8357
-0.116,9220
-0.0279,6805
-0.209,8629
-0.287,9143
-0.376,10176
0.422,1146
-0.0761,7676
-0.0985,8591
-0.0483,6811
-0.0302,6029
-0.133,8582
0.191,1261
-0.12,9281
-0.0834,7686
0.0823,3184
-0.0346,6279
-0.00892,5125
-0.136,6238
-0.16,8600
0.0929,600
-0.143,8880
0.0787,2539
-0.101,7153
-0.0787,7719
-0.0301,5906
0.242,984
0.213,575
-0.0985,7946
-0.034,5894
0.0834,2517
0.00825,4697
0.377,268
-0.0288,5897
-0.0443,6063
-0.0867,7094
-0.00112,4971
-0.0599,8164
0.101,2429
0.121,2290
0.346,292
-0.0129,5059
-0.412,10224
-0.0403,7342
-0.11,9316
-0.152,7612
-0.205,10230
0.0817,3372
-0.251,9220
0.087,2441
-0.0846,8009
0.0373,3977
-0.071,7096
0.0562,3720
-0.0269,5138
0.0572,2302
-0.0431,6228
-0.174,10051
-0.199,7457
0.0361,4116
0.0224,4052
-0.0502,7928
-0.0255,5992
-0.0849,7441
-0.00442,4904
-0.111,7071
-0.129,8368
0.41,726
0.0608,3775
0.0417,3989
-0.00653,5263
0.0951,3044
0.328,1446
0.00427,4926
-0.0411,6749
0.0176,4538
-0.0371,6046
-0.013,5662
0.28,2307
-0.0422,7366
-0.000678,5100
-0.235,9460
-0.0304,5703
-0.046,5995
-0.061,3225
0.0562,2902
0.00993,4749
0.0734,2772
-0.0988,8895
-0.0593,7479
-0.172,7887
0.0117,4461
-0.182,4214
0.48,190
-0.104,9844
0.0527,2287
-0.243,9718
0.135,592
-0.0596,6693
-0.98,9153
0.192,3027
-0.291,5225
-0.274,5482
-0.504,8329
-0.114,7472
-0.326,10002
0.0171,4596
-0.123,7854
0.122,550
-0.0615,8581
1.3,373
-0.0572,6113
-0.0814,6626
-0.0207,4796
-0.219,9904
0.00559,4746
-0.222,7757
0.105,2741
0.0764,2725
-0.0194,5682
0.146,2170
0.117,1117
-0.0036,5141
0.0454,4166
0.234,690
0.0477,3933
-0.27,10050
-0.115,9132
0.03,4305
0.0909,1015
0.0333,4176
-0.0631,5131
-0.159,9823
0.189,424
0.0394,3967
-0.161,9403
0.242,1490
0.173,1293
0.177,930
-0.15,9615
0.0298,4050
-0.179,8314
-0.187,9818
0.047,4063
-0.0177,5630
0.118,1536
-0.0927,6563
-0.1,8501
-0.122,8013
-0.0315,5925
-0.0263,5959
-0.109,8938
0.039,3890
0.0206,4458
-0.0248,5472
-0.188,6670
0.0555,640
0.0319,3874
-0.226,9274
0.269,1109
0.145,2159
0.347,333
0.0288,3700
-0.0942,9910
-0.0132,7137
-0.131,9044
0.283,1305
0.0405,3767
0.14,2395
-0.0573,8201
-0.222,9943
-0.0508,6251
-0.069,7245
-0.14,7998
0.389,355
0.0289,3803
0.0626,3475
-0.306,10088
0.366,234
0.294,237
0.00749,4830
-0.0277,6455
-0.00995,5530
0.31,136
0.258,1057
0.189,629
-0.288,10069
-0.0972,8535
0.0574,2189
-0.461,8806
0.0109,4604
0.0342,4283
-0.163,7208
0.117,1063
-0.0771,7333
0.0023,4806
0.28,1974
-0.035,5661
-0.000613,5022
0.0396,3590
-0.178,8047
-0.293,9390
-0.136,8848
0.0358,4068
-0.0826,7617
0.0114,4559
-0.124,10236
0.0219,4303
-0.17,9249
-0.00569,5270
0.0402,4089
-0.081,8201
-0.157,8436
-0.0281,5632
-0.12,7460
0.0429,3932
-0.106,7966
0.0542,3295
-0.0132,5732
-0.18,9220
-0.0163,5570
-0.0738,8035
0.00327,4715
-0.0479,6531
-0.159,8534
-0.00552,5526
0.122,2858
-0.127,8742
-0.0407,6235
-0.0151,5675
-0.109,6860
0.0966,2046
0.15,1933
-0.0945,7225
0.138,1612
0.0921,2110
-0.0789,8639
0.221,225
-0.00298,5147
0.13,1385
0.121,1837
-0.0272,8140
-0.0625,7183
-0.177,10067
-0.0421,5711
-0.105,6377
0.0457,3424
-0.0185,5802
0.224,333
-0.043,6212
0.032,4255
-0.0827,6687
0.0296,3971
-4.34e-06,4934
-0.237,10413
-0.327,9861
0.265,252
-0.104,6445
-0.197,8623
-0.0615,6255
0.0235,3987
0.251,2351
-0.104,6745
-0.232,9077
-0.263,8224
-0.0696,8435
-0.00538,5643
-0.0338,6332
-0.152,9108
-0.129,7454
0.00761,5106
0.0854,1640
0.0158,4559
-0.0894,6427
-0.329,10240
0.0108,4760
0.00461,4824
0.113,1027
0.327,72
-0.0813,7486
0.0164,4487
-0.00871,5477
0.153,1665
0.0148,4682
-0.0667,9052
-0.0635,4495
0.124,2702
-0.101,5615
-0.144,8900
0.1,2868
0.00844,4964
0.0947,2788
0.0859,3032
-0.0768,7279
0.0674,3061
-0.0667,6791
0.176,1173
-0.077,7831
-0.0498,5107
-0.0347,4702
-0.0269,6090
-0.145,8228
-0.094,8329
-0.00988,5472
0.0165,4543
0.0406,3886
-0.0431,6301
-0.113,7962
0.133,1657
-0.0579,7364
-0.0727,7019
0.00266,4877
0.273,54
0.16,772
0.0321,3907
-0.129,8852
-0.152,8385
-0.0487,7154
0.0405,3650
-0.0523,6364
-0.135,8643
-0.0236,5629
-0.125,8681
0.334,281
-0.0106,5450
-0.0177,5920
0.304,1421
0.0652,2949
0.255,1231
0.359,1307
0.14,889
0.0613,3062
-0.0745,6526
0.0218,4127
0.0188,4377
-0.109,7218
-0.114,9283
0.152,872
-0.0521,6697
0.189,528
-0.0983,7007
-0.273,8912
-0.0698,9076
0.17,1309
-0.104,7435
0.0496,3776
0.176,1137
0.102,1779
0.179,1049
-0.0636,7644
0.452,121
-0.443,10383
-0.0983,7864
-0.099,7303
0.0542,3150
0.0419,3170
-0.211,9000
-0.0442,7249
-0.233,8806
-0.0808,6308
0.123,1492
-0.0648,7512
-0.0133,5500
0.013,4629
0.136,2203
0.0762,3196
-0.115,8611
0.00752,4609
-0.107,9520
0.254,368
-0.136,9196
0.157,1229
0.0932,1682
0.117,2407
-0.148,10024
-0.216,5407
-0.224,7478
-0.000747,5125
-0.0229,6106
-0.00794,5402
-0.00524,5478
-0.21,8747
-0.156,9052
-0.131,9855
-0.0577,8844
0.00784,4646
0.00109,5027
-0.0102,4963
0.343,351
0.147,1428
0.305,259
-0.642,8995
0.242,461
0.178,2054
-0.115,7697
0.0435,3374
-0.155,8751
-0.312,5982
0.0114,4861
-0.308,8911
-0.0626,6201
-0.0125,5815
0.345,551
-0.356,7285
-0.277,6175
-0.0342,5946
0.0176,4668
-0.0431,6723
-0.177,8777
0.0839,3106
-0.034,7430
-0.216,9854
-0.182,8627
-0.203,6636
0.00645,4681
0.0969,2106
-0.147,10044
0.178,1750
-0.161,9730
0.0257,4696
0.124,1131
-0.199,9910
0.224,436
-0.163,8635
0.382,685
-0.00909,5331
0.0935,3048
-0.072,8331
-0.027,6253
-0.0587,6329
-0.0566,7806
0.0352,4490
-0.0672,6210
-0.176,10093
0.16,2104
-0.0229,5585
-0.157,5925
-0.032,6138
-0.021,5577
-0.171,9535
-0.0152,5532
0.0476,3991
0.0352,4414
-0.137,8353
-0.439,10240
-0.0458,5686
0.055,3547
-0.0487,6734
-0.0811,5756
0.024,4418
-0.103,8100
-0.0792,7731
-0.215,10026
-0.0587,7623
0.474,49
-0.327,9358
-0.33,6819
-0.1,9006
0.0121,4647
-0.0121,5663
0.0297,4377
0.121,547
0.592,261
-0.11,8380
0.106,1235
-0.0694,6316
-0.0461,6241
0.0687,3218
-0.0921,7806
-0.18,9403
-0.0333,6570
0.961,70
-0.112,6820
1.34,93
0.0553,4051
-0.0903,9185
0.173,1394
-0.172,8704
-0.00858,5322
-0.192,9947
0.795,94
0.296,245
-0.00499,5250
0.0393,3781
0.212,301
-0.165,7236
0.442,1586
-0.0204,6274
0.0075,4925
0.0192,4282
-0.18,9512
0.285,643
-0.108,7481
0.0349,3698
-0.00769,5471
0.283,467
-0.154,7021
0.0292,3773
0.0574,2791
0.0695,2647
-0.212,10229
0.0372,3933
-0.252,9135
-0.129,9944
0.106,2131
0.222,1533
0.0482,2894
0.138,1665
-0.121,8101
-0.00437,5351
0.568,154
-0.174,9694
0.00788,4766
0.137,1946
-0.187,8002
0.547,51
-0.0656,6623
-0.035,6988
0.385,555
0.369,1259
-0.296,10232
-0.153,7726
0.094,2775
0.0203,4316
0.308,126
0.0696,3647
-0.118,9809
-0.367,9787
-0.0332,5475
0.102,2661
-0.127,9801
-0.222,9923
-0.0305,5752
-0.0672,6684
0.0179,4594
-0.0578,7571
-0.118,8113
0.0219,2541
0.0232,1577
0.00956,3975
0.0107,3016
0.00109,4954
-0.514,7078
0.216,1418
3.56,117
0.0101,4760
-0.13,8590
-0.0996,6416
-0.00656,5273
0.0523,3877
0.108,1508
0.0162,4700
-0.028,5961
