coef,rank
0.371,2370
-0.241,9192
-0.249,9631
0.0575,4080
-0.282,7729
-0.184,9328
-0.0115,5532
-0.0788,6829
0.0298,4167
-0.0252,5593
-0.0551,7163
0.0359,3346
0.134,1107
0.0503,3937
0.509,414
0.216,3159
-0.142,10350
-0.0149,6090
-0.105,8362
0.274,201
-0.136,8032
-0.278,8243
-0.181,9579
0.0834,2653
-0.225,8195
-0.181,8674
-0.0299,6324
-0.43,7822
-0.265,9673
0.0348,3892
-0.272,10288
-0.521,10242
0.204,1250
-0.145,7080
-0.0673,7457
0.0944,1240
-0.127,9150
-0.0986,6823
0.282,370
-0.0571,6530
-0.03,6127
-0.0261,7126
0.059,3741
-0.0018,5316
0.227,858
0.0815,3121
-0.134,10296
-0.0424,7892
0.126,2451
0.0227,4275
-0.0896,7299
0.383,228
-0.0948,7753
-0.0866,9138
-0.0728,7363
0.319,489
0.132,3062
-0.132,7949
0.0921,1175
-0.0704,7989
-0.173,8604
-0.118,8180
-0.192,10338
0.0685,1629
0.131,964
-0.0355,6844
0.00946,4869
0.0854,2107
0.107,2312
-0.5,9108
0.0098,4713
-0.197,10151
-0.29,10298
-0.169,8805
-0.213,9214
0.107,2123
0.124,1262
-0.186,10041
-0.0129,5728
-0.113,8852
0.502,1391
-0.103,6882
-0.00524,5482
-0.00152,5080
-0.0358,6221
-0.252,9380
0.0369,3914
0.322,1281
0.0161,4028
0.0325,3308
0.0912,3041
-0.0757,7120
0.472,239
-0.042,6085
-0.0416,6264
0.107,1283
0.157,2170
0.0613,2514
0.414,10
-0.126,8515
-0.0223,6121
-0.0961,8318
-0.00115,5144
-0.132,7746
0.426,701
0.0205,4643
-0.205,8574
-0.21,9579
0.193,1126
-0.0919,7426
0.4,1137
-0.012,4917
0.0474,2790
-0.0726,8876
-0.0464,6501
0.106,1972
-0.044,6850
0.144,1827
-0.0386,6215
-0.0885,9015
-0.0201,6319
-0.16,10226
0.00106,4840
0.43,910
0.136,727
-0.017,5342
0.204,1773
-0.01,5141
-0.321,10355
-0.205,9823
-0.0558,7524
-0.118,8852
0.304,664
0.0385,3837
2.03,528
0.246,1744
-0.207,10333
-0.0388,6512
-0.202,7795
0.117,825
0.443,125
-0.0205,5388
-0.157,9201
0.0731,2534
0.0497,3801
0.296,599
-0.0319,6454
0.0826,3304
0.0596,3197
-0.053,7481
-0.449,8442
-0.0609,7011
-0.105,6424
-0.0776,7312
-0.0762,7138
0.1,2146
-0.254,9362
0.02,4365
-0.118,7902
0.0334,4011
-0.186,9317
-0.0137,5930
-0.0768,7291
0.0434,4079
-0.028,6384
-0.118,9627
-0.0318,6165
0.221,120
0.251,506
-0.139,7146
-0.0511,7300
0.0215,4262
-0.0653,9178
0.164,943
0.13,847
0.193,1084
0.151,2885
-0.0282,7012
-0.017,5701
-0.242,9807
-0.27,10457
-0.137,9797
-0.0743,8752
-0.132,10408
0.148,1057
0.0252,3971
0.0895,2815
0.0289,4063
0.014,4594
0.103,1711
-0.151,9116
-0.00609,5612
-0.00545,5229
-0.0741,6810
-0.0205,5206
-0.0679,7968
0.0501,3668
0.0137,4760
-0.153,10320
0.0895,3070
-0.303,10369
-0.363,10141
-0.0808,8643
0.0677,3362
-0.0125,5359
0.452,167
-0.15,9142
0.203,1169
-0.0904,8542
-0.0728,8249
0.107,1628
-0.0763,6950
0.196,1124
-0.0566,6394
-0.00457,5289
-0.11,9238
-0.212,10003
0.0234,4279
-0.0868,6417
1.93,541
0.0824,2895
-0.0694,8301
0.0325,3290
0.286,633
0.0236,4509
0.287,488
-0.046,6679
-0.0305,6513
-0.0325,7048
-0.183,8488
-0.0863,7603
-0.0154,5168
-0.0239,5654
-0.00603,5442
0.22,799
-0.225,9739
0.224,2468
-0.179,9188
0.373,377
0.0146,4714
0.128,3142
-0.0368,6612
-0.0884,8370
-0.0621,7245
-0.0252,5851
-0.13,8446
0.117,2735
0.168,698
0.224,1104
0.0328,3767
0.00476,4849
-0.0169,5258
-0.166,7487
-0.0515,5814
-0.13,6622
0.178,769
0.0981,1584
-0.132,9320
0.241,471
-0.0135,5579
0.296,446
0.077,2066
0.00779,4976
-0.159,8041
0.238,226
-0.0483,6193
-0.227,7457
0.0232,4579
0.0484,2086
-0.0141,5490
-0.0424,6437
0.0951,2796
-0.0589,7123
0.0998,2089
0.523,60
0.0519,3457
-0.0611,6875
-0.0469,6199
0.149,1186
0.139,1302
0.207,1329
-0.151,8775
-0.158,8432
-0.0495,6231
-0.118,8185
0.23,33
-0.0982,7680
0.139,2015
0.00857,4720
-0.0921,6824
0.214,1915
0.0322,3571
0.024,4334
0.0972,3480
-0.064,7568
0.0863,3284
-0.0575,6223
0.0188,4385
-0.0163,5565
-0.0303,5844
-0.0902,7628
-0.15,8661
0.433,965
0.0459,2746
-0.0298,5883
0.129,1162
