coef,rank
-0.38,7898
-0.173,8144
-0.0327,5561
0.278,1779
-0.454,9294
0.27,407
0.0771,2132
-0.0342,5701
0.238,937
0.153,1856
-0.125,9160
0.0573,2467
0.124,1308
-0.116,7993
-0.237,8569
0.0488,4092
0.0953,800
-0.0487,8240
0.00683,4799
0.0433,3649
-0.0934,7161
0.295,1870
0.0718,2960
0.162,1118
-0.476,10220
-0.164,8416
-0.0286,6276
-0.306,6212
0.278,879
-0.037,6503
-0.112,8284
0.0752,3970
-0.0431,6076
0.0807,3696
0.158,794
0.179,174
-0.00809,5541
0.254,1271
-0.0825,7369
-0.0901,7384
-0.0442,6738
-0.208,10475
-0.0372,5936
0.101,2004
0.12,2321
-0.0697,6457
-0.0596,8385
-0.0966,9889
0.111,2678
-0.0198,5709
0.273,354
0.0337,4120
-0.173,9323
0.0329,3421
-0.0905,7820
0.364,324
-0.0562,5045
-0.285,9967
-0.053,7924
0.142,725
0.174,1744
-0.0534,6447
0.094,1649
0.042,2783
0.093,1714
-0.0984,9138
-0.0584,7734
-0.0535,7145
-0.27,10271
-0.00511,4331
-0.0792,8528
0.184,479
0.147,1600
-0.254,9883
-0.0817,6954
-0.135,9191
-0.0695,7755
-0.159,9737
-0.0509,7363
0.0862,2511
-0.11,6073
0.107,2814
-0.0401,7274
-0.0151,5653
0.0289,4140
-0.233,9156
0.0878,2411
-0.336,9611
0.11,765
-0.000362,5183
-0.156,8576
0.0176,4625
-0.476,10446
0.122,2667
-0.313,10293
0.0644,2414
0.0238,4254
0.00909,4692
0.0991,2034
0.11,2135
-0.0806,8486
0.0557,3254
0.008,4774
-0.191,8790
-0.207,8386
-0.0781,6798
-0.0658,6184
-0.102,7635
0.126,2013
0.0288,4233
0.123,3390
0.00713,4485
0.105,1054
-0.0347,7097
0.00888,4959
-0.121,8788
-0.0325,6352
0.35,227
0.264,471
0.0378,3045
0.121,832
-0.025,6352
0.183,2113
-0.0498,5542
-0.0601,7773
-0.194,8598
-0.136,7372
0.0415,3740
0.0663,3276
0.118,2067
-0.0205,5965
-0.165,9702
-0.22,9241
-0.0163,5836
-0.821,9062
0.0383,4242
-0.199,10294
-0.0496,6923
-0.0159,4824
-0.0494,7611
0.0522,3834
0.199,1092
0.425,23
-0.198,10285
-0.173,8835
-0.264,9937
0.112,1142
0.145,2220
0.0425,3683
0.111,1198
0.242,2755
-0.0106,5501
0.185,2101
0.12,1932
-0.00926,5121
-0.0719,7557
5.4e-05,5021
0.196,705
0.296,410
-0.328,10411
0.0962,2874
0.0212,3749
0.164,1292
-0.109,7954
-0.0798,8360
-0.0635,8128
-0.0482,6661
-0.0679,8090
0.148,1548
0.424,500
0.00924,4966
-0.0275,6434
-0.0206,6709
-0.129,9029
0.0517,2841
0.169,1353
0.165,2745
0.112,434
0.0109,4482
-0.153,8550
0.0154,4542
-0.148,9944
-0.0605,8217
-0.0369,8299
-0.149,9645
0.00531,4833
-0.0998,7765
0.0333,3879
-0.112,6237
0.168,621
-0.0186,5309
-0.0201,6639
-0.138,9300
-0.186,9107
0.124,2935
-0.0464,7129
-0.0969,7925
0.267,1264
-0.0842,9199
-0.0675,6315
-0.145,8808
0.155,2343
-0.0231,6148
0.0138,4620
-0.0926,7305
-0.0166,5416
-0.0128,5268
0.389,189
0.0842,1993
0.0502,2965
-0.0876,8565
0.213,1175
0.0875,2730
0.0647,3170
0.0758,1073
-0.0102,5531
-0.0128,5713
-0.259,10210
-0.0175,5226
0.539,2083
-0.114,8307
0.0107,4576
-0.164,10439
-0.181,8980
-0.118,6819
0.0214,4373
0.112,1691
-0.0227,6135
0.0438,2905
0.334,521
0.0407,3801
-0.204,8772
0.0241,4661
0.0518,2126
0.0674,3217
0.21,999
0.217,2513
0.0941,2629
0.134,2384
-0.309,8706
-0.36,9837
-0.162,9988
0.0344,3994
0.0736,2654
-0.0146,5465
0.0231,4053
-0.146,8408
-0.000822,5139
-0.00782,5184
-0.0405,6787
0.0285,3490
0.081,3563
0.0551,3987
0.399,417
-0.18,7342
0.00293,5070
0.0428,3219
0.0267,4017
-0.194,9766
-0.00899,5449
-0.0267,5553
0.0701,2263
-0.0172,5744
0.133,2414
0.158,936
0.113,2097
-0.537,10177
-0.133,8116
-0.00717,5768
0.012,4698
-0.0154,5534
0.139,2054
0.0228,4420
0.0413,3602
0.0624,3655
-0.0792,7664
-0.0117,5370
0.265,848
-0.0624,7233
0.153,1117
0.266,805
-0.0972,7619
-0.139,8044
-0.000592,4922
0.281,350
0.119,717
0.138,1716
0.2,1247
-0.121,7819
0.287,728
-0.335,9852
-0.102,9573
-0.178,10234
0.0475,4282
-0.164,9874
-0.16,8659
-0.116,7262
-0.182,9842
-0.0851,8023
-0.0171,5479
-0.0628,6868
-0.216,9650
-0.361,9332
0.0874,1361
-0.182,8862
0.22,242
0.0962,3430
0.0829,3276
-0.0222,5996
0.02,4107
0.00174,4972
0.029,4291
0.0909,3367
0.132,2664
0.0717,3208
-0.444,10311
-0.0261,5795
-0.12,7070
0.0927,2247
0.0803,3319
