coef,rank
-0.45,8508
0.188,1830
0.165,1824
-0.566,10371
-0.405,8936
-0.000352,4875
0.0253,3938
0.234,882
0.197,1344
0.0874,2979
-0.0438,6795
0.0751,1891
-0.0782,8041
-0.0766,7110
0.0973,3466
0.629,1309
0.0257,3601
-0.0971,9951
0.0873,2433
-0.0591,7029
0.105,2901
-0.0527,5406
0.0978,2339
-0.00169,5092
-0.306,9124
-0.386,10356
0.0619,2826
-0.158,4781
0.114,2784
0.178,740
0.149,1605
-0.255,8404
0.251,811
-0.0898,6246
-0.0775,7782
0.141,428
-0.0891,8227
0.168,2163
0.214,821
-0.143,8600
0.0208,3911
0.0184,4077
0.0419,4073
-0.102,8697
-0.0551,6357
-0.0495,5986
-0.0385,7278
-0.0761,9330
-0.324,10168
0.154,1009
-0.0377,5847
0.237,997
0.251,506
-0.0424,7327
-0.0789,7529
0.296,619
-0.359,8745
-0.364,10324
-0.022,6396
-0.0656,7817
0.0698,3474
0.0757,2817
-0.0346,6750
-0.0889,9567
0.112,1284
-0.0835,8707
0.0668,2554
-0.0231,5979
-0.157,9089
0.546,1193
0.0558,2718
-0.0497,6828
-0.0919,7506
0.112,2491
-0.0763,6839
-0.158,9621
-0.131,9442
0.00934,4616
0.117,1133
0.000677,5174
0.191,3253
-0.265,9419
-0.0491,7735
0.00166,4944
-0.12,8685
-0.243,9270
-0.0321,6312
-0.158,7325
-0.053,7800
-0.102,9819
0.316,471
0.182,1372
0.581,87
-0.291,10048
0.0522,3912
-0.146,9898
0.0727,3397
0.0528,2799
-0.0484,6820
0.0423,3714
-0.00166,5132
-0.0427,6675
-0.0843,8274
-0.133,7760
0.0287,4454
0.0103,4857
0.187,1894
0.0641,3464
-0.299,10224
0.0248,4336
0.365,1316
0.214,963
0.201,105
-0.00577,5431
-0.153,9050
0.0802,2607
0.0447,3125
0.455,61
0.00258,4999
0.0971,1063
0.0315,3809
0.135,613
-0.33,9728
-0.391,9739
-0.0365,6743
-0.247,9318
-0.00791,4963
-0.0379,5976
-0.0191,5465
-0.0284,5810
0.0743,2129
-0.114,8781
-0.0777,6720
0.0039,5103
2.39,351
-0.326,9570
-0.00131,5187
-0.0102,5443
-0.00634,4663
0.0416,3195
-0.0583,6344
-0.0454,6106
-0.0912,7672
0.0315,3992
0.162,1749
-0.108,7599
-0.0613,7726
0.018,4567
-0.0032,5125
-0.165,10200
-0.459,8540
0.0763,3176
0.601,139
-0.243,10155
0.057,3251
0.0969,2221
0.115,3012
-0.0984,8093
-0.168,8864
0.0476,3632
-0.00517,5188
0.0545,2092
-0.14,8805
0.101,2813
-0.0588,7623
-0.0188,6153
-0.114,8385
0.109,1375
0.0479,3668
0.277,1257
0.046,3592
-0.0656,7998
0.0309,3062
-0.0326,6172
0.028,3749
0.254,592
0.433,759
0.031,3251
-0.0266,6099
-0.0256,5684
-0.0459,7162
-0.0035,5350
0.0361,3297
-0.0227,7211
0.0344,3980
-0.017,5748
-0.23,9892
0.0758,2371
-0.124,6378
-0.104,8918
-0.0863,7514
-0.0654,9189
-0.0152,5614
0.206,1159
-0.0719,6125
0.0639,2708
0.201,751
0.175,2207
-0.0052,5486
0.122,2468
0.302,188
-0.114,7111
0.0941,1360
-0.203,9415
-0.0946,7370
-0.134,7889
-0.109,8233
-0.158,8572
0.111,1349
-0.0485,7348
0.032,3969
-0.0809,7073
-0.218,9558
-0.201,9487
-0.134,10354
0.102,1421
-0.112,8463
0.00906,4742
-0.403,10132
-0.626,8251
0.0866,2793
-0.0937,9071
-0.0498,8146
-0.276,10061
-0.0907,6371
0.0775,3103
0.0613,2958
0.0162,4112
0.121,595
-0.247,9408
-0.0317,6003
-0.28,9640
-0.272,9757
0.0686,1465
-0.111,7867
-0.225,9744
-0.235,7346
-0.0788,7096
-0.0915,6843
0.678,344
-0.022,5347
-0.109,9045
0.192,558
0.155,1034
-0.0315,6088
0.11,1977
0.212,1420
0.0108,4689
-0.122,7976
0.00597,4825
-0.111,9966
-0.303,9696
-0.0638,5851
0.0609,3706
-0.0966,6187
0.0856,2466
0.0227,3963
-0.107,8716
-0.102,8071
0.0189,4661
-0.00336,4952
-0.0262,6028
-0.0923,7920
-0.0956,6848
-0.127,8988
0.118,1991
-0.21,7255
-0.166,8708
-0.0857,9826
0.159,1390
0.237,332
-0.112,7416
-0.0437,6639
-0.21,10109
0.193,1500
0.0361,3956
0.246,404
-0.197,9074
0.0295,4108
0.0349,3877
0.0286,4225
0.133,2096
0.508,71
0.0594,3476
-0.0349,5964
-0.107,9660
0.0267,4161
-0.127,7993
0.072,3272
-0.11,7203
0.182,2247
-0.153,10278
-0.0917,8860
-0.387,10076
-0.0376,6607
-0.107,7612
0.308,1149
-0.163,9559
-0.0521,6894
-0.0481,6332
-0.217,9967
0.158,1778
0.102,3522
-0.0725,8398
0.0863,3433
0.0357,3807
0.0375,4203
-0.321,10120
-0.0119,5558
-0.0762,8964
-0.0617,7262
-0.127,8468
0.0784,3578
-0.209,8667
-0.357,10445
-0.206,8484
0.11,2791
-0.22,8753
0.103,2020
-0.0542,6224
-0.181,7637
-0.0752,8626
-0.091,8371
0.0265,4198
0.151,1608
0.00947,4395
0.0403,4286
0.0489,3138
-0.0549,7500
0.0338,4271
-0.283,10165
0.123,2436
-0.667,8488
-0.00933,5625
0.0946,1494
-0.208,10151
0.117,1107
-0.199,10255
-0.0679,6131
0.0102,4543
-0.471,7420
-0.458,10431
-0.0243,6589
0.0812,1285
-0.126,7930
0.147,429
-0.0227,5632
-0.52,6980
0.549,1329
-0.206,4604
-0.452,7063
-0.401,7368
-0.302,10079
0.106,3109
0.058,3442
0.244,739
-0.049,7914
-0.00689,5384
0.437,2192
