coef,rank
-0.193,6074
-0.146,7685
-0.105,7217
0.498,578
0.483,1377
0.0543,3462
-0.0322,6402
-0.0557,6242
-0.261,9809
-0.306,10199
-0.235,10342
0.146,471
0.024,4258
-0.0594,6667
0.316,1254
0.587,1448
0.0204,3921
-0.0809,9525
-0.0491,6670
-0.0841,7812
0.177,1776
0.416,1180
-0.119,8444
-0.0955,7869
-0.303,9090
0.142,2343
0.0823,2255
0.521,1856
0.47,133
0.137,1280
0.0044,5041
0.0353,4482
-0.128,8001
0.244,1798
-0.159,9726
-0.14,10119
-0.0103,5626
-0.00656,5040
0.22,749
0.253,507
-0.0327,6250
-0.0728,9374
-0.0199,5515
-0.000117,5252
0.147,1873
0.0651,3439
0.0655,1565
0.086,844
0.194,1507
-0.225,10228
0.00395,4688
-0.147,8093
-0.153,9007
0.0577,2242
-0.0343,6332
0.155,1995
0.328,1654
0.135,2347
0.063,2096
-0.0723,8048
-0.223,9350
0.0923,2447
-0.131,9705
-0.00283,5332
0.0212,4142
0.0838,1890
0.127,1061
-0.23,10380
0.0611,3375
-0.436,8573
-0.111,9442
0.0233,4035
0.176,1180
0.0297,4207
0.117,2884
-0.124,8985
0.0956,1894
0.203,389
0.0177,4314
0.284,151
-0.345,8492
0.0653,3493
-0.0694,8585
0.0212,4081
0.132,1523
-0.0978,7000
0.152,1152
-0.302,9260
-0.00382,5175
0.02,3970
-0.158,8623
-0.103,7784
0.0157,4765
0.18,1802
0.0704,3452
0.0624,2486
-0.266,9426
0.0165,4344
0.124,1514
-0.12,8383
0.00452,4881
-0.0105,5471
0.0494,3264
0.0811,3289
0.964,45
-0.26,9736
0.0612,3754
-0.292,10235
-0.0332,5782
-0.0742,6985
0.121,3413
-0.25,9790
-0.0653,8227
0.0126,4393
-0.00293,5286
-0.142,9256
-0.0415,6721
0.0158,4376
0.0774,3026
-0.0176,5862
0.0563,2757
0.109,1052
0.11,3118
-0.369,9594
0.0227,4102
-0.0408,5825
0.0649,3629
-0.291,10312
-0.167,9008
-0.307,10395
0.0132,4414
0.114,2054
-0.175,8549
0.0599,3154
-0.282,5462
0.416,719
0.0566,2912
-0.043,6690
-0.263,8640
-0.107,9590
0.414,182
0.106,2388
0.0407,3703
0.0768,2424
-0.243,9753
0.0684,3529
-0.0866,8600
-0.18,8647
-0.0793,7534
-0.0471,7236
0.612,1268
0.172,1349
-0.317,9412
0.0993,2318
-0.0706,6973
-0.00222,5169
-0.31,9842
-0.154,9327
-0.116,7850
0.104,2280
-0.253,10005
-0.0367,7334
-0.00678,5290
0.0264,4513
-0.0648,7872
-0.138,9950
-0.114,8386
0.16,526
-0.272,10211
-0.306,9510
0.0827,2463
0.102,1513
0.08,825
0.0944,2162
-0.0966,8849
0.0394,3778
-0.404,9946
0.074,1305
0.0739,2302
0.0603,3569
0.0207,4319
0.0304,3817
