coef,rank
0.346,2486
-0.146,7672
0.146,2084
-0.00762,4966
-0.289,7795
0.00265,4801
-0.00629,5303
-0.0712,6639
-0.0135,5167
0.19,1376
0.0351,3947
-0.108,9400
0.285,69
0.101,2833
0.204,2180
-0.207,5864
-0.0109,5951
-0.0269,6939
-0.0275,5989
0.0565,3243
-0.123,7781
-0.258,8010
-0.051,6566
0.0667,3085
-0.0515,5645
-0.114,7467
0.162,679
1.77,123
-0.277,9789
-0.0799,7956
0.127,2016
0.223,2472
-0.00873,5208
0.0369,4248
-0.0264,5913
0.0537,2464
0.128,1349
-0.024,5375
-0.0139,5413
0.0153,4426
0.105,1292
0.0346,3025
-0.111,7608
0.0555,3252
0.245,713
-0.0199,5298
0.0442,2421
0.13,204
-0.197,8853
0.0504,3332
-0.196,9491
-0.141,7984
0.105,2484
0.0595,2177
-0.0127,5711
0.125,2482
-0.206,6869
0.214,1336
0.0514,2531
-0.0575,7501
0.0427,3994
-0.0749,7070
-0.0626,7879
0.114,518
-0.136,9612
-0.0694,8223
0.169,488
-0.0657,7618
-0.245,10142
-0.52,9235
-0.0245,6310
-0.0341,6258
-0.0087,5255
0.308,438
-0.0404,6079
-0.0404,6630
0.00263,5007
-0.23,10329
-0.128,9693
0.0173,4612
-0.443,9251
0.628,44
0.105,1017
0.0657,2438
0.068,2943
0.0275,4446
-0.00929,5498
-0.421,10099
0.075,1589
0.125,383
0.118,2558
-0.121,8195
-0.191,8683
0.399,252
0.255,756
-0.0323,6504
-0.126,7244
0.0479,3006
-0.0391,6524
-0.0568,6721
-0.0429,7005
-0.047,6818
-0.0823,8212
0.0914,3074
-0.181,8028
0.259,999
0.028,4350
0.636,3
0.0194,4341
0.0277,4262
-0.354,9215
0.0102,4409
0.138,527
-0.0166,6098
-0.119,8371
-0.0547,6935
-0.0932,8726
0.19,1277
-0.2,9731
-0.0385,6953
-0.0165,6129
0.011,4589
-0.0543,5825
-0.108,6385
-0.157,10141
0.28,1243
-0.304,9648
0.17,1185
0.0451,3773
0.165,1259
0.0208,4083
0.158,1236
0.135,2385
-0.0231,6104
-0.251,5214
-0.154,7422
-0.0537,7277
0.0636,2932
-0.286,8898
-0.0259,6486
-0.0151,5367
-0.00827,5064
-0.0349,5974
-0.154,9877
-0.0528,6252
-0.0192,5533
0.0239,3972
-0.027,5555
-0.125,8698
-0.159,10132
0.269,2621
-0.0208,5821
0.0128,4467
0.149,1436
0.00411,4753
0.00254,5004
0.0681,3736
-0.017,5605
0.0674,3290
-0.24,10076
0.384,222
-0.0716,8899
0.0855,2759
0.411,131
-0.172,10171
-0.0864,8866
-0.1,8076
-0.0214,6170
0.108,2255
0.142,2515
0.0185,4602
0.142,786
0.0213,3689
0.0718,2794
-0.0349,6537
-0.156,8663
-0.351,9598
0.00016,5113
0.0463,3151
0.038,4097
0.0971,1690
-0.0494,7419
0.0718,1784
-0.0581,9359
-0.216,10294
0.024,4020
-0.0911,7557
0.0487,3272
-0.103,6126
0.0607,2943
-0.131,8683
0.0187,3776
0.0604,3011
-0.25,9902
0.104,3219
0.00769,4806
-0.00538,5237
-0.171,8281
0.0305,3538
-0.188,8625
-0.137,8629
0.0731,3572
0.022,3955
-0.0324,5766
0.0288,4330
0.404,267
0.059,3063
0.0376,4008
0.224,165
-0.144,9885
0.0778,2397
0.291,579
0.0627,3252
0.0339,3963
0.0637,1454
-0.109,9202
-0.128,8808
-0.152,9030
-0.263,9075
-0.189,4474
-0.0768,7387
0.0361,3397
0.00804,4694
0.0306,4402
-0.0479,5625
-0.102,7442
-0.0289,6081
-0.135,9995
-0.0439,7625
-0.224,9107
-0.118,8449
-0.051,5904
-0.067,6544
6.67e-05,5053
-0.227,9866
-0.0958,7558
0.14,3173
0.00316,4874
-0.259,9555
0.0661,4074
-0.0893,6408
0.175,486
-0.0811,8127
0.178,726
-0.00978,5268
-0.237,10059
0.138,2379
0.133,1235
-0.341,10368
-0.0913,8606
-0.0805,9209
0.0372,4270
0.0363,4285
-0.298,9666
0.343,1519
0.0538,3376
-0.0314,6159
-0.0617,7307
-0.0687,7127
-0.103,7916
-0.0102,5108
0.0394,3314
-0.0682,7254
-0.106,7048
0.203,423
-0.00844,5111
-0.218,7344
0.16,2053
0.0287,3132
-0.117,8335
0.112,1756
