coef,rank
0.306,2689
0.271,1093
-0.028,5447
-0.208,7806
0.347,1991
-0.209,9653
-0.0219,5969
0.275,586
0.0427,3887
-0.0717,6726
-0.212,10232
0.0373,3274
0.0716,2657
-0.207,9511
-0.156,7394
0.732,1010
-0.052,8260
-0.104,10072
0.0374,3807
-0.0899,7969
0.13,2499
-0.357,9137
0.0103,4722
0.0206,4439
0.0313,4448
0.321,631
0.169,591
0.819,1041
0.286,822
-0.0474,6900
0.146,1652
-0.24,8233
0.147,1945
0.108,3309
-0.0571,7052
0.055,2420
0.113,1665
-0.0666,6215
0.145,1625
-0.172,9132
-0.11,9054
0.0439,2491
0.114,2691
-0.154,9736
-0.0203,5448
0.277,653
-0.0818,9322
0.0184,3816
0.0637,3513
0.0201,4354
-0.19,9409
0.112,2609
-0.0178,5678
0.053,2458
-0.26,10247
0.184,1597
-0.0283,4719
0.0263,4405
0.0631,2091
-0.0813,8346
-0.278,9909
-0.0456,6229
0.0871,1844
0.138,235
-0.0915,8564
-0.215,10420
0.00987,4850
0.0974,1823
0.109,2275
-0.599,9728
0.0175,4347
0.176,545
-0.0566,6603
0.0133,4571
0.0258,4659
0.156,1220
0.0494,3254
-0.0345,6277
0.0453,3185
-0.0188,5914
-0.19,6916
-0.23,9016
-0.00549,5489
-0.135,9626
-0.0838,7753
0.506,165
0.0317,4086
-0.0463,5471
-0.0981,9488
-0.0334,7185
-0.182,9002
-0.157,8881
0.304,874
0.0511,3948
0.36,229
-0.0322,6501
0.0389,3970
-0.0744,8232
-0.00678,5356
0.153,1420
0.00303,4939
0.28,124
0.0419,3537
0.244,1057
0.298,1346
-0.0478,6134
-0.29,9618
0.0983,2769
-0.126,8090
0.149,1826
-0.0682,5671
-7.24e-05,4636
0.0262,3712
0.0647,1803
0.0788,3092
-0.119,8755
0.0801,1959
-0.0077,4943
-0.0413,6287
-0.0652,8142
0.0744,2041
-0.022,6203
-0.0413,5603
-0.0767,5932
-0.0829,8620
0.604,163
-0.0299,5374
-0.185,9425
-0.0358,5926
0.216,721
-0.045,7060
-0.176,9831
-0.408,10395
0.0709,2816
-1,9771
-0.167,7629
-0.155,9910
0.145,1035
0.154,2584
0.112,917
-0.104,7390
0.0349,3950
-0.154,9128
0.201,316
0.138,2089
-0.192,9130
-0.0127,5607
-0.0127,5237
-0.193,9801
-0.145,9980
-0.331,7252
-0.0297,6095
-0.113,6590
-0.065,6963
0.3,255
-0.0898,8053
0.145,2529
-0.0329,6120
0.0819,2979
0.0532,3474
-0.0264,5775
-0.0482,7903
-0.00411,5212
0.286,585
-0.00321,5332
0.0823,1934
0.105,2422
-0.111,9410
0.144,1613
0.244,1495
0.0136,4784
-0.0461,7216
0.0217,3662
0.00981,4710
-0.0739,8126
0.146,1701
-0.257,8610
-0.0331,7312
0.0606,2697
-0.196,9282
-0.0628,7755
-0.0547,7636
-0.0404,7290
-0.0126,6360
-0.0217,6010
0.0847,1957
0.152,1704
-0.0462,7072
0.718,256
0.0968,1896
0.047,3263
0.0231,3484
0.0448,3463
-0.267,10026
-0.0433,5632
0.0681,2591
0.166,1178
0.341,774
-0.0238,6585
-0.173,8417
0.125,1760
-0.223,8859
-0.016,5775
0.185,1369
-0.0259,5709
-0.129,7787
-0.0815,7497
0.0799,3089
-0.072,7937
-0.0995,9012
0.0454,3454
-0.0887,7257
-0.207,9407
-0.00855,5080
-0.0968,9887
-0.137,9798
0.0151,4839
-0.0489,6441
0.266,1423
1.55,828
-0.0375,6255
0.00675,4773
-0.0545,8375
