coef,rank
-0.443,8452
-0.0195,5233
0.0654,3460
-0.2,7692
-0.0504,5175
0.209,844
-0.112,9187
-0.00349,4945
0.0167,4440
-0.0716,6725
-0.226,10305
0.0852,1610
-0.119,9119
-0.171,8989
-0.189,7892
-0.185,5652
0.0484,2366
0.0136,4093
0.187,697
0.0445,3609
-0.265,9812
-0.203,7312
-0.035,6087
0.214,572
-0.275,8785
0.201,1609
0.0584,2945
-0.287,6003
0.371,387
-0.107,8713
0.0674,3246
-0.318,9099
-0.214,9460
-0.173,7525
0.0164,4294
0.0437,2893
0.08,2486
-0.0313,5537
0.197,981
0.0234,4206
0.123,963
0.0537,2001
-0.146,8291
0.00629,4995
-0.0257,5589
0.322,409
0.0441,2426
0.0447,2403
0.168,1845
-0.0703,7367
-0.0951,7452
0.141,2112
-0.118,8297
0.237,21
0.106,2586
0.0429,4033
0.89,156
-0.0557,6304
0.0951,1112
-0.0266,6210
0.103,2861
0.0287,4084
0.0326,3823
-0.0315,7074
-0.0245,6112
-0.037,6926
0.0206,4370
0.0726,2465
0.0588,3431
-0.281,6940
-0.0436,7168
0.0842,2080
0.0307,4144
0.293,530
0.14,2515
-0.1,8411
0.0126,4610
0.154,837
0.0217,4128
-0.118,8955
0.853,427
-0.0968,6737
0.02,4209
-0.0171,5725
-0.0748,7497
-0.0489,5977
-0.106,8633
0.0492,4053
0.18,107
-0.118,10081
-0.0141,5472
0.252,674
-0.212,8985
-0.0395,6030
-0.0306,5982
-0.0121,5593
-0.335,10033
-0.037,6805
0.0717,2765
-0.201,9711
-0.0286,6361
-0.0311,6230
-0.0602,7440
-0.146,8012
-0.339,9804
-0.238,9517
0.284,997
0.0519,3742
-0.0141,5235
-0.0975,7554
-0.256,8128
0.0811,2818
-0.0437,7244
0.0883,1059
0.305,283
-0.00923,5405
0.0359,3452
-0.221,9496
-0.173,9421
0.101,991
0.023,4195
0.0996,1263
0.126,2888
-0.307,8993
0.0663,2364
-0.309,9895
-0.118,7028
-0.16,8966
-0.191,9378
0.19,987
-0.133,9744
-0.0268,6327
0.286,767
0.172,761
0.064,3325
0.118,3064
0.107,1487
-0.0838,8078
0.237,1776
-0.088,9064
-0.0479,6100
-0.0981,7388
0.108,2071
-0.0491,7168
-0.164,8662
0.000697,5058
-0.0395,6780
0.0488,3980
0.00286,4925
0.115,1121
0.676,1071
-0.0338,6223
-0.0732,5914
-0.107,8119
0.00177,4813
0.216,450
-0.21,8738
-0.0496,6668
0.165,1496
-0.184,9464
-0.0654,6785
0.177,68
0.0335,4070
-0.0923,7558
-0.025,6253
-0.0225,6332
0.221,712
0.0496,3194
-0.183,9327
0.497,321
0.0929,2174
-0.00265,5317
0.0345,2849
-0.218,10154
-0.147,9922
0.0851,2761
-0.0502,5678
0.0135,4250
0.00716,4644
0.0322,4221
-0.119,9391
0.0615,2589
-0.0458,7555
-0.013,6386
-0.0541,7194
-0.157,9928
0.132,2019
-0.0232,6176
-0.315,8802
-0.151,9813
-0.254,10261
-0.0828,9751
-0.0357,6394
-0.0324,5757
0.0223,4499
0.0482,3251
0.041,3893
0.187,2057
-0.0339,7087
0.00282,4788
0.459,18
-0.173,8117
-0.0845,8762
-0.147,8506
0.0259,4384
0.136,2441
0.0964,2172
0.194,1268
0.0209,4100
0.252,57
-0.0233,6223
0.0743,3390
-0.154,8537
-0.14,8399
-0.0445,7831
-0.0825,8411
-0.00577,5475
0.079,2836
0.465,361
-0.564,7756
0.111,2256
0.0772,1822
-0.0609,8666
0.0847,3224
0.373,1035
-0.172,8918
-0.132,9203
-0.00984,5475
-0.053,8042
-0.0661,6217
-0.04,6262
0.0616,3669
-0.272,9758
0.00101,4999
-0.093,7398
0.477,38
-0.294,8082
-0.247,10017
0.0182,4493
-0.0354,5346
0.571,265
-0.0322,6451
-0.144,9560
-0.158,9618
-0.0319,6099
-0.0665,6718
0.125,2589
-0.0382,6522
-0.0424,6047
0.037,3597
-0.0573,8307
-0.14,7510
0.0676,3809
0.381,485
0.339,1549
0.149,1165
-0.0288,6058
0.195,495
-0.087,7663
-0.0525,6673
0.33,312
0.0257,3803
0.0138,4796
0.125,2528
-0.0991,8326
-0.283,10254
0.593,547
-0.0214,5594
-0.00235,5395
0.125,1927
0.229,367
-0.0927,6966
-0.0195,5843
0.226,403
0.115,2626
-0.0276,6064
0.0856,2600
-0.229,9472
0.285,147
0.023,4231
0.0783,3210
0.0222,4537
-0.276,9914
-0.0766,6859
-0.0908,7542
-0.164,10346
0.0343,3962
-0.199,9247
0.154,1813
0.141,2234
0.209,1952
-0.0628,8361
-0.0723,8241
-0.209,8454
-0.0757,7927
0.0341,4438
-0.258,9300
0.178,815
0.0831,2196
-0.018,5505
0.143,1475
-0.249,9943
-0.347,9194
0.204,91
0.0829,3509
-0.228,10381
0.331,1305
0.36,429
0.247,83
-0.00773,5657
0.0284,4005
0.138,1835
-0.0323,5355
-0.0984,6848
-0.0248,5736
-0.12,7201
-0.0158,5545
0.624,72
-0.157,9457
-0.0285,5657
-0.456,10140
-0.0838,8887
0.0972,2005
0.208,281
0.0709,3190
-0.162,10338
1.35,53
-0.0658,8330
0.14,701
-0.0531,6199
0.0492,3718
0.00983,4695
-0.64,8286
-0.0948,8896
-0.117,9574
-0.0327,6249
0.111,1236
0.06,2985
0.46,396
-0.0638,8179
-0.128,3799
0.109,2987
0.0986,727
-0.0836,9224
0.147,2135
0.0816,1716
-0.109,8012
-0.187,4990
1.2,212
-0.324,5485
-0.413,6720
-0.117,4741
0.413,183
-0.0237,5495
-0.0186,5739
-0.098,7271
-0.0206,6431
0.0879,839
0.938,805
-0.00228,5035
0.583,49
-0.233,7339
-0.0964,7733
0.0385,3138
0.0219,4334
-0.105,7399
0.0654,3016
0.000516,4934
0.233,1114
-0.0716,8196
0.017,4491
-0.093,7183
0.26,530
-0.094,6577
-0.00792,5067
0.0982,1832
0.0186,4571
-0.0659,8830
-0.0765,7209
-0.446,9238
0.06,3163
0.127,1119
0.00538,4952
-0.0323,6103
-0.167,8030
0.0299,4353
-0.107,8528
0.00503,4847
-0.0674,7106
-0.0438,5855
0.0759,2789
-0.125,7203
-0.00376,5253
0.0531,3286
-0.299,9444
0.151,1089
0.194,1525
0.00852,4705
0.091,2402
0.0308,3976
-0.227,10244
0.177,1935
-0.163,8492
-0.368,8446
0.0318,1870
-0.195,10296
0.429,214
0.00642,4967
0.00194,5032
-0.144,8508
-0.179,10276
-0.0454,7978
0.0466,392
0.146,1381
-0.337,9808
-0.21,10037
0.106,2918
-0.00433,5556
0.0758,2959
0.298,467
0.0832,3178
-0.0719,6619
0.586,58
0.0456,3112
-0.0687,7230
-0.143,8076
-0.118,7900
0.0864,2679
-0.189,10388
0.164,627
-0.228,9745
-0.0659,7194
0.416,237
-0.0459,6916
-0.281,10017
0.0989,1912
-0.0187,6304
-0.0231,4542
-0.0982,6805
0.206,1464
0.623,315
0.149,588
0.153,1356
-0.052,6080
-0.142,6743
0.00875,4717
-0.115,7422
0.0598,2895
0.0537,3955
-0.2,8243
0.0574,3693
0.0322,4157
-0.0632,7085
0.316,60
-0.0151,6000
-0.231,9794
-0.169,9233
-0.0687,6938
0.242,407
-0.121,9262
0.00339,4953
-0.0868,7192
0.218,1582
-0.227,9885
0.0264,4147
0.176,663
-0.134,9296
0.187,1079
0.0265,4478
0.221,152
0.179,805
0.0296,4182
-0.00397,5210
0.0978,2111
0.0281,4313
-0.0425,6290
0.142,1484
0.196,195
-0.213,8448
-0.204,10282
0.0554,3696
0.3,647
-0.0922,8107
0.0756,2571
0.0367,3448
0.109,1508
0.166,511
0.181,730
0.0907,2466
0.0092,4299
0.0483,3434
0.0151,4450
-0.326,9599
-0.0167,4970
-0.0221,6062
-0.0857,7963
-0.0347,6587
-0.228,9981
0.128,1927
-0.203,8749
-0.119,9196
-0.0988,9737
0.111,1454
-0.0733,6267
0.152,1222
-0.336,9397
-0.188,8488
0.189,1767
0.0342,3525
-0.299,8228
-0.0671,6082
-0.177,8300
0.275,1869
-0.0625,8133
0.00905,4965
-0.00989,5453
-0.0693,7021
0.207,1539
0.135,2088
0.0136,4391
0.12,1774
0.173,2736
-0.092,7239
0.416,210
0.272,1988
-0.0248,6501
0.073,2754
0.285,433
0.0143,4576
0.123,1806
-0.15,8564
0.101,1703
-0.0105,5850
-0.406,7292
-0.413,6543
-0.242,7090
-0.179,9452
0.19,1513
-0.0124,5750
0.0148,4554
-0.141,8020
0.189,865
0.0139,4869
-0.175,9112
0.0158,4599
-0.0261,6176
-0.496,9402
-0.285,7609
0.0402,3434
0.374,270
-0.064,7422
-0.154,8784
0.0744,3150
-0.0271,6036
-0.056,6674
-0.179,9255
0.0401,3783
0.0983,1891
0.239,761
-0.0901,7759
-0.0142,5668
0.00849,4674
0.19,493
-0.0939,7940
0.393,193
-0.029,6317
0.103,1744
-0.221,9635
-0.201,9706
-0.132,8694
0.177,1001
0.011,4778
0.0478,3589
0.0726,1787
-0.163,7289
0.17,798
-0.238,9275
-0.559,10304
0.271,56
-0.0162,5381
-0.209,8905
-0.00597,5317
0.00518,4959
0.095,3259
-0.0325,6501
-0.0293,6297
-0.0659,7126
0.162,796
-0.375,10323
-0.203,8087
-0.0647,8873
-0.0323,6048
0.175,1636
-0.015,5493
-0.1,8092
0.0497,3208
-0.0761,7450
0.0228,4223
-0.167,8905
0.728,16
0.117,2030
0.506,79
-0.115,8612
0.114,972
0.115,3085
-0.0351,6855
0.726,36
-0.131,7310
0.0287,3986
-0.139,9505
-0.0813,7077
-0.0907,8211
-0.21,9252
-0.0134,5150
-0.0419,6470
0.134,732
-0.048,7490
0.0679,3116
-0.162,9647
0.197,741
0.233,115
-0.0175,5530
-0.214,10426
-0.162,4979
-0.26,7926
-0.104,8754
0.0201,3916
-0.0442,7479
-0.126,9573
0.0566,3574
0.0776,3092
0.0465,3188
0.0723,1237
0.0194,4167
-0.151,8597
0.327,714
0.0702,3386
0.0831,2753
-0.105,7600
-0.671,9169
-0.0989,8024
0.191,1899
-0.108,7553
-0.176,10249
0.151,1486
0.144,3706
0.0501,3363
-0.0197,4946
-0.0713,6379
0.0679,1905
0.000439,4953
-0.273,6557
-0.238,5827
-0.29,9974
-0.13,7352
-0.0141,5737
0.106,2901
0.226,766
-0.0498,8284
0.0768,2856
0.047,4259
0.426,1326
0.117,1080
-0.215,10132
0.0562,2635
-0.0321,5709
0.0362,3745
0.277,1561
0.0675,2508
-0.229,10160
-0.0188,5889
0.0164,4560
0.479,328
0.163,1821
0.345,315
0.000684,5112
-0.204,10183
-0.361,10300
-0.0807,8686
-0.0541,6770
0.0879,3344
0.297,60
-0.0332,5803
-0.317,10216
-0.0935,5237
0.131,1730
-0.049,6210
0.0964,2058
-0.0701,7505
0.213,1379
0.136,2828
0.113,2283
0.0396,4022
-0.0706,6232
0.0784,2918
-0.086,7827
-0.226,7370
-0.0654,6748
0.193,769
-0.0574,6996
0.0141,4456
-0.00514,5332
-0.0975,7440
0.292,1643
-0.348,7056
0.0383,3465
-0.0034,5383
-0.0485,7316
-0.324,10162
-0.0025,5200
0.264,1543
0.182,753
-0.00192,5042
-0.113,7138
-0.139,8293
-0.162,9015
0.0537,3797
0.115,2191
-0.154,9865
0.67,343
0.131,2596
0.373,2032
0.136,2770
-0.0954,9330
-0.0936,7421
0.186,1505
0.086,2006
-0.0369,6423
-0.0207,5078
-0.0123,5590
-0.105,8318
-0.0455,6326
0.103,1675
-0.144,6968
-0.0166,5030
-0.0346,6888
-0.139,10122
-0.084,7770
0.000904,5211
-0.208,9394
-0.208,9295
0.0208,4281
0.277,277
-0.164,8901
-0.405,9822
-0.066,7028
0.141,757
0.132,1238
0.0585,2952
0.144,1501
0.461,420
0.158,245
0.0702,2987
-0.131,7638
-0.00122,5241
-0.131,8400
-0.0865,7234
0.102,2537
-0.103,6932
-0.0162,5780
0.173,1324
-0.0184,5584
-0.246,8779
-0.142,8110
0.0368,4241
0.0751,1846
0.495,257
0.603,428
-0.172,8992
0.351,594
0.138,2062
0.153,887
-0.181,9711
-0.312,9848
0.114,976
0.0182,4485
0.57,70
-0.0204,5556
-0.0459,7275
-0.132,8642
-0.116,7777
-0.0324,5770
-0.2,9050
-0.171,10114
0.00129,4831
0.0156,3195
0.0137,2993
0.0162,3039
-0.0201,9054
0.0158,2139
-0.297,5026
-0.291,9938
-0.278,5653
0.158,951
-0.0325,5934
0.13,3048
-0.217,8788
0.00965,4709
-0.135,9584
-0.0711,6515
-0.13,8911
-0.149,7664
0.0109,4564
-0.00422,4978
0.0495,3482
-0.652,10203
-0.656,10171
-0.118,6590
0.205,2826
0.00778,4995
-0.0352,5919
-0.0937,5682
0.029,4125
-0.249,9722
0.966,93
0.0805,2722
0.0251,4153
-0.227,8287
-0.116,8281
-0.183,10215
0.168,446
-0.169,7606
0.0666,3321
-0.201,9899
0.201,1974
-0.123,8082
-0.0527,7441
-0.0329,7627
-0.0239,5695
-0.0183,5631
-0.129,8488
-0.0231,5342
-0.0316,5571
-0.112,8382
0.112,2699
0.219,653
0.139,2013
0.0978,1707
-0.0464,7128
-0.0778,7421
-0.04,6290
-0.0837,8625
-0.037,5691
-0.254,8474
-0.0325,6195
0.0287,4216
-0.285,9680
-0.0537,6717
-0.188,8911
-0.311,9641
0.0582,2994
-0.122,8764
-0.134,6917
-0.0636,7888
-0.0231,5722
-0.184,9998
0.0656,2834
-0.0627,7493
0.06,2725
-0.0589,7080
0.19,1217
-0.162,8012
0.0202,4318
-0.06,8018
-0.0398,5214
0.33,749
-0.0943,8086
-0.247,10020
-0.0355,6233
-0.107,9343
-0.133,9498
0.325,1573
0.186,813
0.152,1052
0.727,722
-0.21,10190
-0.179,6255
-0.000536,5339
0.000108,5161
-0.0393,6892
-0.0517,4279
-0.0873,4708
0.446,922
-0.131,6831
-0.119,8761
0.636,340
0.279,204
-0.0968,8331
0.0771,2896
-0.000549,5101
-0.0564,6394
-0.0423,6502
-0.0615,6532
0.148,1038
-0.0225,5930
0.108,1647
-0.259,9601
-0.0274,6221
-0.13,7990
0.366,315
0.0274,4289
-0.0961,7976
-0.334,6474
-0.102,3777
0.0162,4454
-0.479,10242
-0.15,8106
-0.246,9500
0.2,1756
-0.132,9057
0.0929,2482
0.0285,3931
0.0155,4590
-0.0404,8296
-0.0418,6240
-0.205,9340
0.0949,2753
0.105,1096
0.31,376
0.027,3843
-0.143,6991
0.105,2753
-0.0475,5769
0.0202,4628
0.0278,3667
-0.0156,5685
0.00438,4624
-0.171,9563
-0.115,8800
-0.234,9227
0.0407,3403
0.0874,3012
0.73,54
-0.138,8959
0.128,1733
-0.0615,6253
0.0254,3730
-0.0476,7089
-0.207,4981
-0.41,7771
0.358,527
-0.0834,8620
0.0154,4598
-0.078,6498
0.113,3195
-0.128,7484
-0.284,10376
-0.394,10135
-0.0873,9018
-0.0471,6164
-0.0409,3881
-0.0432,5284
0.569,1238
-0.139,9241
0.0202,4383
0.0634,3299
0.00637,4583
0.264,2165
0.154,3293
0.111,1202
-0.0305,6062
0.258,1607
-0.118,8264
0.1,3634
-0.05,6937
-0.0678,8158
-0.018,6015
0.0503,1836
-0.138,8898
-0.0175,6006
0.0397,3237
0.176,308
-0.0725,7644
0.0965,2405
-0.041,6661
0.378,850
-0.0474,5318
0.107,2268
-0.0262,5536
0.131,1596
-0.0186,5398
0.351,125
0.00802,4648
-0.0979,7569
0.108,1555
0.000451,3227
-0.269,9318
0.27,2041
-0.273,9528
-0.0241,5506
0.0711,2785
-0.127,7483
0.32,236
0.225,379
0.387,79
0.0713,2881
0.00499,4511
-0.108,7328
-0.383,7187
0.625,371
-0.136,8387
-0.00634,5304
-0.00838,5424
0.086,3196
0.222,401
0.414,871
0.167,532
0.152,1509
0.106,1045
-0.0803,7097
-0.165,8286
