coef,rank
0.189,3289
-0.165,8031
0.0355,4079
0.668,219
0.0651,4068
-0.0532,6340
-0.00835,5401
0.00804,4685
0.0969,2792
0.0847,3037
0.028,4210
0.00449,4867
0.0032,5057
0.169,1684
0.0376,4331
-0.337,7437
-0.00477,5537
0.00363,4784
-0.117,8697
0.169,956
0.189,1628
-0.348,9057
-0.00417,5121
-0.0446,6414
0.152,2948
-0.15,8170
0.181,484
-0.261,5695
0.0625,3687
-0.0852,8099
0.0506,3674
-0.291,8815
-0.064,6593
0.681,142
0.094,1919
-0.0198,6074
-0.283,10438
-0.0785,6459
0.0391,3914
-0.0435,6143
-0.146,9784
-0.0493,8445
-0.0868,7107
-0.082,8190
-0.248,9913
-0.213,9280
0.0415,2543
0.0247,3430
-0.0812,6661
0.123,1539
-0.0437,6029
-0.328,10219
0.0435,3928
-0.0334,6869
0.219,855
0.314,517
-0.317,8284
0.087,3164
0.0885,1257
-0.108,9148
-0.238,9525
-0.108,7950
0.0666,2454
0.0276,3552
0.0286,3855
-0.109,9398
-0.0542,7574
-0.0922,8489
-0.0424,6279
-0.278,6915
-0.0184,6013
-0.069,7508
-0.124,8307
-0.247,9824
-0.17,8647
0.0617,3212
-0.0389,6674
-0.0106,5366
0.114,1184
-0.0949,8405
0.932,315
-0.175,8206
0.0604,2365
0.176,434
-0.173,9639
0.018,4637
-0.12,8967
0.23,1977
-0.111,9779
0.0828,1204
-0.144,8387
-0.0291,5870
0.06,3882
-0.101,7441
-0.0967,7624
0.0494,2932
0.226,1410
-0.0794,8418
-0.32,10466
-0.146,8894
-0.0561,7558
-0.115,8826
-0.0495,7044
0.0102,4693
0.157,2633
-0.208,9111
0.141,2490
-0.016,5450
-0.0144,5245
-0.152,8693
0.401,1127
0.042,3662
-0.0333,6730
0.000604,5064
-0.0309,6083
0.0809,2580
0.21,189
0.054,3514
-0.155,9071
0.0227,3772
-0.023,6462
-0.0625,8011
0.282,1196
0.00489,4794
0.103,1367
-0.0417,5838
0.316,862
0.106,2183
-0.0641,6694
-0.123,8414
0.00636,4716
-0.0317,6469
-0.226,9308
-0.106,8770
-0.115,4274
-0.341,9705
0.0101,4722
0.0883,2196
-0.0255,4976
0.0462,2998
-0.176,8759
-0.0697,6710
-0.0998,7912
-0.06,7577
0.0646,3486
-0.137,8185
0.128,865
0.11,2775
-0.0933,7910
-0.0336,6645
-0.415,8132
0.0476,3906
-0.0296,5129
-0.103,8041
0.0544,3321
0.0794,2659
-0.0666,6259
-0.0589,6956
-0.00508,5055
0.0318,4067
0.0696,3426
0.0362,2916
0.18,1067
0.201,1303
-0.0927,8793
-0.127,9793
0.0838,2934
0.0782,2192
-0.0296,5698
-0.132,7026
0.187,579
0.0307,3848
-0.00336,5423
-0.0297,6069
0.0733,2108
-0.0263,5442
0.269,1749
-0.0231,6679
0.0551,2868
0.295,442
0.0217,4281
-0.0228,6265
0.0125,4496
-0.00431,5609
-0.000967,5254
0.082,2044
0.0359,4096
0.00751,4877
-0.17,6979
-0.0902,8578
9.15e-05,4695
0.21,0
-0.0727,7635
0.109,2557
0.0641,3813
-0.063,7790
-0.0462,6490
0.235,1548
0.0117,4540
0.104,2780
-0.102,7727
-0.231,8974
-0.052,7507
0.0791,3115
0.148,1886
0.166,2013
-0.0831,7545
-0.276,10062
-0.05,7151
-0.043,7126
-0.0107,5715
0.0155,4732
0.0885,2703
0.0836,2764
0.0611,1532
-0.0306,6438
-0.167,9484
0.0254,4227
0.0499,4054
-0.488,7107
0.0701,3241
-0.142,10049
0.0638,1805
0.0797,3324
-0.00545,4954
-0.12,7848
0.159,891
-0.139,10057
-0.043,7580
0.0294,4181
-0.0318,6010
0.209,1564
-0.135,7863
-0.0512,8203
0.0722,3129
0.00557,4822
0.038,4216
0.358,141
-0.12,7421
-0.261,8187
-0.377,9936
-0.0835,8324
0.0326,4062
-0.07,7495
-0.0849,7931
0.036,3696
0.153,2133
-0.06,7284
-0.421,10460
-0.161,9966
0.127,403
-0.263,9329
0.47,450
-0.229,8919
-0.169,7193
0.0855,2468
-0.121,9214
0.0234,4125
-0.143,8974
-0.155,8985
-0.112,7766
-0.0194,5708
0.0319,4250
0.49,154
0.0661,2879
-0.0771,6980
-0.0793,5537
0.181,1773
-0.0518,8619
-0.2,9741
-0.0307,6046
0.109,2561
-0.0455,6691
0.0895,2308
0.0588,3737
-0.0461,6642
-0.0157,5487
0.0936,3135
0.0844,2488
-0.131,8837
-0.00226,4902
0.107,2564
0.101,2918
0.0904,2821
-0.0789,7229
-0.0167,6034
-0.0363,6008
0.061,3499
0.205,1204
0.119,2577
