coef,rank
-0.361,7701
-0.0393,5650
0.134,2282
0.336,1340
0.404,1706
-0.148,8681
-0.157,9971
-0.18,8983
-0.179,8743
-0.0184,5425
-0.00625,5425
0.122,828
0.0417,3614
-0.0812,7212
0.236,1881
-0.455,8837
-0.117,10163
-0.0139,6022
0.0635,3053
0.301,131
-0.295,10011
0.191,2661
-0.108,8133
-0.0798,7430
-0.396,9866
-0.0446,6020
0.0919,1969
0.238,2935
-0.0519,6079
0.2,533
0.037,4061
-0.108,6414
0.343,313
0.101,3417
0.00998,4527
-0.0667,8313
0.132,1262
-0.178,8295
0.301,291
-0.151,8754
-0.122,9339
-0.0264,7143
-0.113,7670
-0.0877,8345
0.035,4083
-0.261,9769
-0.00556,5257
0.0443,2422
0.133,2349
0.00621,4799
-0.0796,7039
0.321,445
-0.0866,7549
-0.0517,7765
0.0427,4118
0.0699,3466
-0.198,6775
0.12,2586
-0.016,6072
0.106,1350
-0.129,7797
-0.00616,5032
-0.163,10137
-0.0614,8586
0.103,1489
-0.031,6656
-0.123,9537
-0.152,9808
-0.126,8477
-0.458,8774
-0.163,10194
-0.00584,5145
0.166,1315
0.00825,4703
-0.108,7496
0.00968,4876
-0.147,9722
0.103,1705
-0.126,9659
-0.0285,6277
-0.283,7898
-0.111,7038
-0.0722,8695
0.0587,2673
0.16,1086
-0.136,7695
0.226,390
0.388,927
-0.0328,6802
-0.0602,8478
-0.0417,6138
-0.207,9602
-0.117,7397
0.0615,3767
0.197,1308
-0.0274,6297
0.028,4175
0.0126,4528
0.0284,4123
-0.0651,6946
-0.16,10124
0.103,1941
0.0106,4679
0.0944,3009
0.107,3285
0.00663,4944
0.00252,4838
-0.00899,5266
-0.0324,5752
-0.0298,5792
-0.197,7349
-0.103,7243
0.0369,3240
0.0379,2947
-0.0225,5847
0.182,789
-0.0584,7469
-0.228,9578
-0.0692,7093
0.0415,2897
-0.0836,8929
0.0736,2003
0.268,1306
0.396,1066
-0.188,10323
-0.129,7518
-0.149,7586
0.197,899
0.0428,3832
-0.0823,7391
0.0195,4145
0.0947,2507
-0.0299,5675
0.00441,5086
-0.579,7619
0.0626,3851
-0.0668,7779
-0.188,10077
-0.421,10023
0.0682,2137
-0.276,9974
-0.0263,5562
-0.102,7969
0.0131,4701
-0.136,8154
0.025,4485
-0.141,9868
-0.0814,6732
0.0825,2621
-0.0817,8565
-0.372,7688
-0.0976,7944
0.0204,4335
0.0168,4440
0.0765,2798
-0.0745,7637
0.0922,3352
0.0164,4484
-0.0159,5350
-0.205,9737
-0.263,10094
0.0153,4093
-0.084,7485
0.114,2584
0.0306,3898
-0.0881,8918
0.107,2377
-0.0335,6667
-0.102,7688
-0.0565,5611
0.132,1300
-0.0929,8899
0.0422,2383
-0.087,7979
0.0902,1639
0.179,1244
-0.341,9503
0.0351,3029
-0.0791,8182
-0.0754,6917
0.0585,2808
-0.103,9148
-0.103,9591
0.00663,4599
0.000926,5181
-0.105,8893
-0.0432,6222
-0.167,9997
-0.362,9279
0.158,743
0.083,2391
0.0462,2104
-0.015,5607
-0.107,7592
0.00671,4754
0.000494,5134
-0.11,8246
0.168,2290
0.0759,1630
-0.235,9318
-0.0658,6732
0.336,761
-0.0526,7537
-0.174,8985
-0.00662,5196
-0.392,10348
-0.142,8975
0.0213,4358
-0.0723,7955
0.108,1229
0.0597,2958
0.175,1660
-0.0478,5995
-0.155,8713
-0.0131,5860
0.0518,2919
-0.107,8344
-0.149,8965
-0.181,7988
-0.329,5616
-0.117,8380
0.116,880
0.0387,2953
0.172,1728
-0.168,7623
-0.086,7075
0.126,1401
0.0269,3607
-0.151,10311
-0.119,7278
0.0148,4527
-0.0153,5167
-0.521,10464
-0.101,9906
-0.0547,6478
0.108,2443
-0.306,8211
-0.134,8364
-0.0483,5902
-0.158,6900
0.00389,4934
0.00268,4996
-0.0929,8480
-0.00168,5075
0.0484,3242
-0.236,10050
0.312,657
-0.0462,6818
0.00245,4943
-0.0559,7414
0.0719,1572
-0.124,7242
-0.179,7692
-0.0888,6516
0.412,1184
0.128,1532
-0.0251,5883
-0.166,9847
0.134,1736
0.162,1475
-0.0545,6281
-0.171,10098
0.321,175
-0.299,9863
-0.0438,6609
-0.0545,6374
-0.26,7875
0.384,276
0.131,140
0.398,41
-0.105,8360
-0.0826,6710
-0.0607,7165
0.0715,2752
-0.0959,7321
0.184,847
-0.0541,6677
0.0522,3985
0.146,1217
0.0034,4875
0.0892,3000
-0.0538,6562
0.248,980
0.0161,4504
-0.167,9113
-0.128,10015
-0.194,9509
-0.0526,6263
-0.077,6827
-0.111,7215
-0.118,7067
0.0642,2249
0.0908,1977
0.231,1940
0.283,83
0.244,1026
-0.123,7363
0.107,1939
-0.0507,6850
-0.153,8869
-0.0827,7409
-0.037,6054
0.657,308
-0.0107,5423
-0.117,7736
-0.0492,7052
-0.066,5642
-0.071,6457
0.022,4070
0.0241,3862
0.0525,3195
0.16,1472
0.213,1822
0.226,1534
-0.00493,5186
-0.423,10248
-0.439,10458
0.122,2698
-0.123,8796
0.113,2733
0.429,901
0.015,4412
0.0417,3689
0.083,2288
-0.0584,6647
-0.00671,5311
-0.111,5719
-0.0588,8047
0.0542,2761
0.0606,3723
-0.16,8709
-0.0367,5793
-0.16,3886
0.0665,2550
-0.000553,5230
0.0497,3437
0.0175,4323
-0.00564,5445
-0.351,9942
-0.0376,7006
-0.426,6985
0.387,447
0.0957,780
-0.0359,7095
-0.111,7625
0.0984,1270
-0.0914,7575
-0.6,7441
0.799,686
-0.456,6524
2.15,337
-0.442,7759
0.112,2545
-0.107,7141
-0.0254,5966
-0.0277,5517
-0.0602,8375
-0.0556,8307
-0.33,7116
-0.0413,5786
-0.14,7821
0.071,3816
-0.269,10254
0.013,4385
-0.298,8775
-0.113,7559
0.0375,3903
0.0241,4106
0.181,1691
-0.0432,7115
-0.0672,6993
-0.161,8490
-0.0991,7737
0.286,1146
0.00502,4728
-0.0563,7345
0.312,588
-0.0886,9579
-0.131,8435
-0.16,6137
-0.135,9414
-0.0351,6091
-0.164,9285
-0.302,10420
-0.381,10200
0.0105,4925
0.095,2407
-0.0972,8447
-0.0568,6795
-0.123,7338
0.00845,4769
-0.325,9798
-0.0777,7065
0.18,583
-0.246,8896
-0.1,8522
-0.149,8530
0.108,2206
-0.0387,6397
0.0362,3787
0.0728,2857
0.168,2048
0.0389,4014
-0.162,6392
0.0381,1454
-0.0993,8871
-0.0159,5166
0.121,2838
-0.227,9611
0.129,2434
-0.00482,5201
-0.0158,6003
0.00973,3736
0.045,3710
-0.0513,5832
0.0783,2763
0.0285,4330
0.0636,2208
0.415,40
-0.0356,5886
0.0504,3959
-0.233,9415
-0.0206,5237
-0.0155,5732
-0.111,8298
-0.153,8249
-0.171,8937
-0.192,9615
0.188,176
0.0366,3798
-0.087,7378
-0.0591,6974
-0.131,8111
0.0768,2663
0.342,255
-0.0077,5393
0.00823,4658
0.114,3425
0.0553,3759
0.187,1690
-0.193,7600
0.116,1093
0.102,2270
0.069,3393
0.134,3278
