coef,rank
2.65,22
-0.235,9112
-0.0931,6937
0.024,4540
-0.199,6820
-0.09,7320
-0.17,10107
0.00713,4702
0.0733,3245
-0.0935,7230
0.0271,4239
-0.0246,6270
-0.0491,7040
-0.112,7908
-0.209,8212
0.081,3901
-0.0718,9117
0.00716,4538
0.153,1104
0.0989,2154
0.364,355
-0.0761,5694
0.232,535
0.253,322
0.145,3027
-0.186,8759
0.144,939
-0.346,6773
-0.00795,5116
-0.068,7559
0.106,2421
0.192,2751
-0.0427,6070
-2.35e-05,4808
-0.139,9377
0.0694,1937
0.0429,3650
-0.398,10295
-0.0989,7775
0.0354,3868
0.00708,4458
0.102,597
0.178,1766
-0.0885,8369
-0.0365,5855
-0.107,7299
0.0135,4064
0.0449,2390
-0.292,9991
-0.0918,8045
-0.146,8660
-0.147,8092
-0.0735,7197
-0.0416,7285
-0.0325,6275
-0.0604,6405
-0.107,5658
-0.0769,6794
0.00121,5133
0.122,1063
-0.0325,5662
0.288,278
0.116,1140
0.101,734
-0.207,10317
-0.0365,6900
0.0418,3502
-0.0769,8001
0.0205,4481
0.202,2885
0.0811,1861
0.039,3471
0.0189,4470
0.295,518
-0.151,8311
0.115,1943
-0.0293,6282
0.0427,3390
0.196,245
0.0461,3700
-0.589,10017
-0.163,8011
-0.0439,7459
-0.0418,6754
-0.149,9251
0.0809,3469
-0.0853,8049
-0.343,9675
0.0265,3515
-0.0184,6283
0.103,2835
-0.0685,6926
-0.372,10265
-0.0947,7300
0.108,2641
0.00569,4804
-0.2,8560
-0.0306,6540
-0.000449,5128
0.208,772
-0.0264,6275
-0.0404,6587
-0.0581,7369
0.575,43
0.175,2424
-0.115,7577
0.0201,4509
0.107,2609
-0.0709,6772
-0.0965,7532
-0.124,6409
-0.0488,5815
-0.0303,6595
-0.0222,6428
0.17,1382
0.0925,2287
0.0434,3176
-0.135,8015
-0.0847,7493
-0.13,9968
0.173,269
-0.135,9960
-0.248,8925
-0.0794,5973
0.0325,3687
-0.0133,5270
-0.0354,5496
0.0303,4024
0.484,22
0.121,1993
0.0435,3117
-0.0464,6956
0.0394,4169
-0.139,9489
-0.186,4759
0.000997,4832
-0.167,10027
0.00236,5016
-0.414,9983
-0.0718,8506
0.0326,4298
0.0833,2883
0.0349,3874
0.0932,1957
0.0561,3680
0.225,1164
-0.0275,6260
-0.113,7356
-0.0267,5865
0.00339,4935
0.376,2115
0.107,2483
-0.359,9747
-0.243,10159
-0.119,8248
0.0547,3330
0.0476,4120
-0.107,8296
0.0686,3267
-0.0339,6010
-0.136,8389
0.0214,3734
0.268,412
-0.00176,5262
0.0989,1651
0.0129,4654
0.0611,3525
0.0193,4416
-0.00404,4974
0.0721,3454
-0.208,10268
0.0284,3955
0.0205,3741
-0.0117,5451
-0.128,9616
0.212,910
0.627,265
0.0209,3797
-0.0136,5551
-0.0983,7444
-0.055,7492
0.0201,4263
0.0801,1510
0.0552,1295
0.0904,2240
0.0422,3292
-0.057,6626
0.0928,1896
-0.202,7399
-0.0367,6763
-0.0328,5772
-0.0224,6813
-0.00147,5090
0.0855,3003
-0.0567,5870
0.00348,4989
0.00328,4979
0.109,3111
-0.0792,9045
0.0702,3428
-0.0894,7383
-0.154,7793
0.0425,3038
-0.0896,7214
0.0459,3952
0.147,2275
0.0684,2825
0.093,2829
0.0953,1704
-0.224,10433
-0.0324,6580
-0.0455,6198
0.0389,3740
-0.0944,7367
0.0876,772
-0.0969,8853
-0.172,9568
0.0659,3126
-0.128,7114
-0.000958,3307
-0.0467,6517
0.0318,3568
-0.025,6767
0.28,671
-0.279,9177
0.147,1897
-0.0908,8177
0.0889,1312
-0.0961,9514
0.197,1564
0.00375,4881
-0.0152,5165
0.0811,3556
-0.0612,8672
0.0838,2880
-0.0464,6345
-0.38,8960
0.168,1309
0.183,1751
0.563,587
-0.0547,5865
-0.213,10340
-0.125,9230
-0.0628,7268
-0.116,8835
0.143,1442
0.303,714
0.159,821
0.148,1974
-0.106,8998
0.0119,4425
0.0457,4121
-0.0165,5129
