coef,rank
1.64,220
-0.315,9912
-0.128,7730
0.946,35
0.173,3135
0.425,59
0.00489,4816
0.0788,3089
0.0125,4541
-0.0409,5988
-0.0937,8403
-0.142,9996
0.0413,3625
0.248,829
0.825,51
0.893,684
0.0287,3415
-0.108,10131
0.313,76
0.22,481
0.146,2229
0.509,814
-0.194,9761
-0.0596,6873
-0.237,8339
0.142,2335
0.0295,3972
0.332,2541
-0.202,8934
-0.0469,6878
-0.218,9961
0.456,926
-0.152,8507
-0.0847,6188
0.119,1381
-0.0311,6660
0.068,2837
0.489,235
-0.219,9897
0.0425,3692
0.0555,2643
0.0511,2131
0.517,64
-0.226,10326
0.0425,3918
0.132,2253
-0.0353,7098
0.0222,3593
0.0596,3601
-0.113,8633
-0.249,10033
0.204,1357
-0.214,9827
-0.069,8512
0.0044,5196
0.025,4411
-0.304,8136
-0.306,10076
-0.000602,5228
-0.00441,5278
0.0795,3281
0.123,1855
0.0528,2984
-0.154,10393
-0.197,10277
-0.0382,6979
0.0823,2060
-0.229,10375
-0.0138,5451
-0.116,5258
-0.00624,5438
-0.212,10257
-0.195,9539
0.219,1038
-0.245,9596
-0.15,9498
-0.0778,8050
0.211,338
-0.00588,5381
0.132,1483
-0.269,7749
-0.0135,4987
-0.0982,9450
0.0686,2335
-0.0379,6290
-0.0376,5756
0.127,1558
-0.0431,5421
-0.0765,8769
-0.0031,5367
-0.0431,6164
0.174,1495
0.131,2706
0.0923,3192
0.376,192
-0.107,9159
0.175,1979
-0.0792,8414
-0.0425,6627
-0.279,10303
0.0512,2892
-0.0315,6247
-0.139,9506
-0.0437,5854
0.376,892
0.125,2641
-0.175,8118
-0.174,9065
-0.0654,6627
0.0286,4240
-0.139,6601
-0.0863,6781
-0.142,10114
0.00815,4659
0.125,2125
-0.016,5651
-0.0589,7491
0.117,2238
0.0795,2975
-0.195,10435
-0.045,7504
0.0226,4072
0.488,290
-0.155,7022
-0.0392,6857
-0.165,8140
-0.158,7751
-0.0481,6268
0.0319,4129
-0.0483,6443
-0.00236,5134
-0.0762,7822
0.14,2323
-0.00927,5587
1.25,1168
0.052,4014
0.026,4085
-0.0722,7729
-0.116,6421
0.0692,2096
0.0404,4086
-0.163,8762
-0.373,10462
0.109,1576
0.167,1670
0.212,1302
0.127,883
0.059,3770
0.0914,2423
-0.243,10461
-0.166,5578
0.0269,4464
0.123,2847
-0.0304,5944
0.0337,3877
0.11,1902
0.0932,3338
-0.108,8307
0.306,359
0.155,1412
0.0479,3904
-0.00915,5648
-0.122,8408
0.00625,5021
0.0653,2664
0.121,1001
-0.136,8854
0.011,4742
-0.0116,5196
-0.314,9597
0.0609,3117
0.0379,3571
0.0235,3546
-0.0133,5512
-0.0584,7555
0.0467,3632
-0.125,6758
0.0651,1593
-0.068,7800
0.0394,4063
0.00472,5026
0.0493,3040
-0.0485,7677
-0.00329,5519
-0.0553,7240
0.0561,2833
0.0358,4103
0.00716,4897
-0.182,7138
0.0412,3602
-0.00471,4836
-0.0723,9447
-0.0254,6001
0.23,939
-0.0803,6279
0.0708,2502
0.0504,3649
-0.0573,6136
0.00942,4667
0.0997,2863
0.12,1835
-0.157,7835
-0.114,9578
-0.267,10039
-0.215,9522
0.0862,3309
-0.0658,7008
-0.0486,6151
0.168,498
-0.109,9254
-0.158,10002
-0.212,9496
-0.141,8279
-0.0147,5236
0.0615,1519
-0.0423,6935
0.0417,4060
-0.0499,6471
0.319,1039
-0.441,6682
-0.134,8741
-0.0608,7974
0.0388,2945
-0.22,9522
-0.172,7689
-0.16,8695
-0.058,7098
-0.115,9638
-0.0944,9467
-0.0772,6430
0.0172,4464
-0.222,9027
-0.0217,5592
0.0284,3287
-0.199,9515
-0.165,8946
0.311,1872
-0.271,10184
0.083,3225
0.461,940
0.344,1122
0.0256,4100
-0.027,6286
-0.0878,8014
-0.0076,5187
0.119,1831
-0.169,8807
0.00171,5047
-0.161,8718
0.00176,5021
0.0663,1781
-0.0852,6515
-0.0247,5257
