coef,rank
-0.462,8605
0.144,2364
-0.00724,5000
0.0122,4688
0.204,2926
-0.0779,6970
0.123,1045
0.244,806
-0.0487,5961
0.0293,4274
-0.106,8735
0.0062,4793
-0.228,10365
-0.369,10408
-0.205,8144
-0.205,5842
0.0112,4536
-0.0687,9119
0.00301,4936
-0.0986,8187
0.232,1179
0.206,2562
0.00931,4748
0.132,1610
0.151,2955
0.0513,3930
-0.0931,8499
0.577,1697
0.152,2220
-0.0464,6857
-0.0529,6717
0.302,1808
0.0176,4533
0.203,2201
-0.239,10358
-0.00302,5205
-0.0384,6599
0.07,3639
0.0698,3113
-0.0642,6706
-0.0845,8278
-0.0356,7703
-0.112,7641
0.121,1562
0.205,1054
-0.301,10060
0.17,68
0.0074,4571
-0.0671,6326
-0.0429,6479
0.0819,2680
0.137,2188
-0.189,9548
0.1,993
0.126,2180
0.0527,3814
-0.176,6490
-0.11,7497
0.144,328
-0.201,10345
0.0151,4612
0.0739,2863
-0.136,9797
0.108,599
0.115,1227
0.0169,4379
0.0572,2907
0.151,820
-0.0139,5455
0.0613,3848
-0.122,9660
0.000722,4874
-0.17,9149
-0.0435,5969
-0.038,6023
-0.0854,8006
-0.058,7364
0.00273,4847
0.0524,2898
0.035,4049
0.00697,4810
0.366,467
-0.0424,7387
0.197,272
0.0969,2199
0.0974,3196
-0.0422,6686
-0.125,6767
-0.0198,6073
-0.00327,5379
-0.261,9952
0.258,630
0.133,2689
-0.117,7766
-0.321,10318
0.0553,2725
0.286,909
0.0447,3124
0.058,3161
0.0232,4305
0.139,704
0.00538,4898
-0.00745,5398
-0.0269,5493
-0.241,8853
0.102,3007
0.315,811
0.19,1326
-0.147,8526
-0.154,8733
-0.0371,5291
0.342,256
0.131,605
0.0498,2383
-0.0209,5802
-0.109,8514
0.0708,2234
0.441,74
0.0254,4368
-0.0352,6788
-0.0861,9010
0.0657,2250
0.065,3789
0.288,1752
0.0978,1462
0.0603,3900
0.151,2404
0.124,1858
0.0521,3599
-0.152,9045
0.0803,1933
-0.143,9368
-0.00311,5060
0.0372,3884
-0.345,5911
0.0417,4196
-0.0901,8519
-0.138,9375
0.152,2607
0.0389,3316
0.21,1265
0.113,2259
0.119,1863
-0.195,10270
0.188,1389
0.0638,3617
0.000322,5003
-0.107,7237
-0.0185,5610
0.0135,4489
0.727,941
-0.0839,7607
-0.149,7153
0.0337,3950
-0.0191,5429
-0.212,10102
-0.359,10126
0.0276,4142
-0.29,10153
0.0125,4603
0.231,931
-0.0592,8404
-0.185,9564
-0.23,9818
-0.235,10434
0.0716,2298
-0.0142,5647
0.0721,2384
0.0313,4062
0.00758,4461
-0.24,10387
-0.0922,8872
-0.0542,8750
-0.094,8172
-0.104,9064
0.0133,4405
0.161,2793
0.0103,4460
-0.0453,6881
-0.0575,6494
0.00943,4801
0.00971,4724
0.0121,4515
0.0233,3265
-0.277,10462
-0.0893,8471
-0.08,7272
0.0774,2330
-0.345,9093
-0.00127,5322
-0.195,9797
-0.0272,7153
-0.115,8834
-0.34,10356
0.232,1687
0.0182,4380
-0.215,9934
-0.414,10346
-0.0391,7348
0.223,1230
0.172,1076
-0.283,9568
0.0205,4031
-0.312,10288
0.139,2031
0.0716,3602
-0.0158,5370
0.0967,2760
-0.121,9338
-0.0713,8202
-0.00815,5627
-0.23,9709
-0.0853,6991
0.334,167
-0.0892,9723
0.0492,3009
-0.0227,6026
-0.217,9917
0.303,1144
-0.254,4981
0.141,1679
-0.127,9823
0.0639,1800
0.22,1137
-0.27,9080
-0.0422,5968
0.124,1431
-0.00398,5197
-0.145,10268
0.192,1615
0.215,541
-0.0554,5988
0.0135,4880
0.0451,2428
0.0949,2626
0.0519,3641
-0.588,10181
-0.297,10291
-0.0441,5817
0.156,3056
0.464,570
0.00349,4961
-0.181,10053
-0.0644,7303
0.194,522
0.0358,3700
-0.0773,6998
-0.119,9019
-0.211,9482
0.129,1189
-0.0974,9673
-0.151,7710
-0.203,8058
0.215,1609
-0.438,9899
0.292,151
0.0114,4379
0.0597,2936
-0.0465,6502
0.323,230
0.000169,4854
0.187,269
0.0674,3293
-0.0952,6834
-0.0435,6597
0.00425,4777
-0.283,8154
-0.203,9263
0.0547,1796
-0.00307,5159
0.0501,3342
0.122,2354
-0.111,8592
-0.0231,5654
0.123,2500
0.141,1435
0.0785,2771
0.472,89
-0.0874,8039
0.0549,3252
0.271,777
0.085,3019
-0.118,7647
0.0843,2928
0.0589,3379
-0.153,10269
0.408,52
-0.2,9258
-0.23,9618
0.106,2764
-0.268,9233
-0.00941,5734
0.144,818
0.476,455
-0.00968,5576
-0.168,8821
-0.561,10450
-0.0859,7813
0.00668,4711
0.313,211
0.319,154
0.23,906
0.311,1637
0.196,113
-0.0653,6741
-0.0348,6521
0.0963,3427
0.207,1523
0.103,1499
-0.0617,8388
-0.112,8742
-0.0997,7846
0.236,1613
-0.115,7140
-0.00709,5254
-0.177,8080
-0.0758,6998
-0.0128,5035
0.0719,2753
0.162,1982
-0.36,9592
-0.132,9976
0.0135,4751
0.117,1468
0.0544,3590
-0.00583,5268
-0.105,5667
0.0066,5032
-0.0149,5756
0.0864,3223
0.0128,4587
-0.0771,6696
-0.444,6529
-0.00192,5317
-0.0402,7059
-0.287,10422
-0.03,6385
0.00591,4954
-0.163,7760
0.0461,2846
0.0524,2987
-0.365,10224
-0.0539,8194
-0.0668,8605
-0.0137,5455
0.138,548
-0.332,10430
-0.22,5199
0.824,641
0.905,1564
-1.1,10278
0.112,3432
-0.292,10010
-0.41,10346
-0.139,9064
0.165,1516
-0.108,9814
-0.124,10213
-0.554,9204
-0.249,9150
-0.128,7592
0.132,3262
0.153,1443
-0.0302,6726
-0.0809,5754
-0.107,7446
0.126,1512
-0.00224,5040
-0.235,9620
0.0313,3781
0.092,2570
-0.398,10402
-0.0986,7722
-0.0188,5131
0.365,182
0.0894,2076
-0.0352,5785
-0.0486,8080
-0.0154,5546
0.0168,4431
0.0656,2985
-0.185,10032
-0.112,8255
-0.26,10307
0.0543,3984
-0.0458,6512
0.215,547
0.0156,4433
-0.0158,5492
-0.0997,6910
-0.119,8619
-0.377,10138
-0.24,9867
-0.2,10222
-0.136,7265
-0.123,9084
0.0308,4472
-0.0752,7225
0.0775,2728
