coef,rank
0.193,3253
-0.318,9929
0.0445,3862
0.0675,3947
0.0398,4300
0.0142,4490
0.0526,2894
-0.259,9922
-0.217,9324
-0.184,9049
0.0746,2672
0.0875,1537
-0.122,9184
0.332,384
-0.441,10225
0.292,2762
-0.0832,9477
-0.0132,5973
-0.0215,5791
0.0707,2853
0.0198,4625
0.092,3693
0.0575,3316
-0.00317,5143
-0.223,8170
-0.238,9460
-0.00828,5451
-0.487,8449
-0.0847,6769
-0.209,10204
-0.0821,7557
0.00819,4845
0.106,2650
0.622,221
0.00458,4742
-0.0391,7078
-0.0709,7710
-0.0955,6773
0.381,99
-0.154,8818
-0.105,8927
0.025,3658
-0.415,10439
0.225,296
-0.344,10400
0.252,837
-0.013,5740
0.00604,4638
-0.108,7232
0.1,1996
-0.0177,5237
-0.0422,5867
0.196,1000
0.0225,3918
0.333,222
-0.143,8206
-0.332,8458
0.106,2818
-0.0663,8480
0.0226,4050
0.212,1306
0.0983,2328
0.171,381
0.0613,1906
0.143,777
-0.0891,8868
0.0193,4427
0.0419,3457
0.0655,3267
-0.76,10263
0.133,699
-0.0629,7308
-0.192,9502
0.316,400
-0.0107,5425
-0.0402,6626
0.114,1475
-0.0768,7773
0.0977,1546
0.0106,4843
-0.369,8714
0.668,28
-0.116,9854
0.0144,4359
0.181,819
-0.0354,5696
0.0421,3754
-0.539,10389
0.175,126
0.0254,3659
-0.207,9384
0.143,1929
-0.0469,6016
-0.202,9210
0.141,2065
-0.0238,6126
-0.196,8474
0.022,4107
0.0843,2425
-0.143,8838
0.124,918
-0.136,9234
0.219,291
-0.161,8264
-0.019,5239
0.156,2173
-0.383,10199
-0.00462,5150
-0.0598,6481
0.0202,4448
0.195,2637
-0.0663,6260
0.0227,3884
0.00435,4872
-0.0469,6517
-0.0966,8207
0.0788,2000
-0.172,8793
-0.0526,6633
0.0568,2276
-0.101,9429
0.169,291
-0.477,10358
0.33,1464
0.0517,2915
0.0993,3266
-0.206,8512
0.167,1218
-0.245,9976
0.113,2170
0.0389,3298
0.237,395
-0.0773,6710
0.113,1705
-0.874,9299
-0.00483,4936
0.0691,2506
-0.0225,5931
0.4,781
-0.186,10407
0.011,4778
0.0453,3711
0.138,1511
-0.0581,7505
-0.229,9584
-0.0534,6333
-0.0924,8781
-0.0216,5443
-0.0971,8019
0.0649,2434
-0.412,8093
0.213,898
0.357,812
-0.133,8685
-0.215,9874
0.113,1835
0.146,2519
0.0143,4552
-0.0856,7081
-0.0896,7522
-0.136,8395
-0.0672,8744
-0.085,7503
-0.0507,6540
0.0293,3959
-0.183,10343
-0.0546,6821
-0.00206,5335
0.135,1767
-0.12,6784
-0.00658,5586
-0.0326,6679
0.0235,3548
0.029,4064
0.0536,2752
-0.0399,5826
-0.223,8178
-0.0498,8206
0.0508,3000
-0.000119,5015
0.0875,1940
0.0498,3017
0.166,168
0.00372,4880
0.12,1575
0.0213,4144
0.203,1019
0.0195,4408
0.191,2648
0.163,684
-0.174,9504
0.0119,4306
-0.034,6327
-0.0279,5659
0.139,2744
0.15,719
0.0146,4645
0.239,1507
0.0309,3516
-0.0478,5861
0.046,3516
-0.226,8913
-0.0803,8619
-0.183,9118
0.0519,3809
-0.0603,6381
-0.0648,6985
0.227,952
-0.102,8894
0.136,758
0.0194,4475
0.21,1211
-0.319,10303
0.203,918
-0.112,10161
0.0609,2600
-0.124,8722
0.0191,4409
-0.00593,5019
0.902,1547
-0.126,8579
0.0228,4006
-0.0276,6912
-0.185,9037
0.148,2826
-0.241,9788
-0.00742,5304
0.017,4077
-0.0686,8645
-0.189,8590
0.166,1042
0.0994,3015
0.232,1383
-0.0602,8622
0.0644,3292
0.204,1062
0.748,342
-0.182,9242
-0.105,7125
0.108,3595
-0.262,8927
-0.03,6351
0.00663,5037
0.16,962
-0.0825,7855
0.0522,3249
0.209,1449
-0.117,8971
