coef,rank
0.281,2809
-0.239,9169
0.131,2315
0.289,1697
-0.257,7459
0.0814,2831
-0.0381,6647
0.00808,4684
-0.247,9653
-0.387,10400
-0.151,9600
0.123,819
-0.0236,6077
0.396,216
-0.105,6544
-0.17,5519
-0.0753,9232
-0.0342,7386
-0.125,8846
0.0344,3934
-0.271,9860
0.0809,3799
-0.00631,5185
0.109,2080
-0.235,8326
-0.187,8781
-0.0111,5564
-0.347,6785
-0.0175,5341
0.0692,2847
-0.0825,7566
0.0662,4085
-0.0694,6731
-0.36,9707
0.0733,2439
-0.0316,6699
-0.0872,8182
-0.235,9120
-0.00134,5028
-0.102,7685
0.139,727
0.0959,703
0.00594,4932
-0.0527,7220
-0.111,7781
0.445,102
0.0246,3409
-0.00497,5418
-0.225,9270
-0.199,10049
-0.112,7861
-0.212,9152
-0.137,8685
0.115,700
-0.0592,6993
0.252,908
0.338,1591
0.188,1614
-0.0681,8556
-0.0443,6972
-0.126,7732
-0.176,9350
0.0359,3670
0.0577,2030
-0.124,9399
-0.0649,8059
-0.0209,6167
0.0435,3411
0.0538,3572
-0.121,5300
0.0803,1882
-0.0968,8404
-0.139,8587
-0.363,10367
0.0733,3735
-0.0308,6321
0.0891,2066
0.0171,4326
-0.0899,8820
-0.043,6778
0.857,420
0.323,652
-0.149,10243
0.101,1506
0.0691,2907
0.479,198
0.0714,2856
0.262,1698
-0.0858,9127
-0.0505,8064
-0.0865,7166
-0.0616,6733
-0.17,8333
0.0825,3370
-0.23,9813
-0.0847,8506
-0.0766,6263
-0.0212,6107
-0.00471,5277
0.18,1067
-0.0567,7589
0.0516,3375
-0.0763,8010
-0.232,9348
-0.0402,5615
0.153,2214
0.0294,4318
0.369,190
-0.113,7806
-0.0837,7237
0.333,1526
0.051,3446
0.116,850
0.0679,1691
0.184,1227
-0.0617,7180
-0.0878,8561
-0.162,8604
0.035,4129
-0.0336,6689
-0.164,10296
-0.0045,5327
-0.192,8149
0.364,1228
-0.112,9413
-0.242,9252
-0.236,8914
-0.0264,5633
0.0283,4210
0.117,2076
0.0534,2785
0.177,970
0.0908,3108
0.0674,2923
-0.343,5893
0.588,229
-0.00683,5377
0.0327,3930
-0.245,8391
0.0686,2122
-0.114,7585
-0.0233,5476
0.0309,3985
0.301,26
0.336,318
0.121,2511
0.0525,2842
-0.241,9482
0.0334,3956
0.000257,5076
0.0104,4126
0.00607,5018
0.602,137
-0.0752,7259
0.206,781
0.134,1447
0.147,2507
-0.117,8560
-0.0105,5192
-0.0675,6936
-0.15,8690
0.0746,1361
-0.106,8012
-0.253,10016
-0.0747,8201
0.118,1054
0.00482,5063
0.00811,4858
-0.0629,6615
-0.21,8325
-0.125,9330
0.0548,2942
0.0829,751
0.0469,3504
-0.0305,6332
0.0135,4397
0.337,1282
-0.06,8720
0.248,104
-0.214,9515
0.177,386
0.0244,4083
-0.0279,6690
0.0081,4457
-0.126,9227
0.121,1179
0.105,2511
0.0816,2210
-0.306,8688
-0.0259,6311
0.0547,3064
0.0727,1048
0.00918,4708
0.00812,4774
0.161,2448
-0.0556,7521
-0.0131,5490
-0.0254,5515
-0.0724,8813
-0.197,8776
-0.2,9659
0.434,358
0.0479,2822
-0.0735,6825
0.088,2993
-0.159,8329
0.0706,2769
-0.308,10237
-0.00809,5320
0.0533,2856
-0.133,9667
-0.0967,7425
0.0812,2847
0.185,1114
-0.00656,5413
0.107,1309
-0.0963,8110
-0.246,10128
-0.28,9239
-0.807,9318
0.223,700
-0.131,9885
0.0269,3601
0.12,2543
0.147,2840
0.215,1008
-0.0366,6356
0.035,3228
0.0487,2678
0.165,1960
-0.0706,7167
0.0856,3245
0.163,2226
-0.08,9396
0.0266,4236
-0.115,7992
0.816,261
-0.0496,6316
-0.292,9850
-0.676,10412
0.205,2256
0.213,213
-0.0407,6792
-0.213,10189
-0.0362,6268
-0.0821,7179
-0.0762,6975
0.0813,2401
-0.119,7913
-0.0711,7948
-0.0246,6614
0.285,1148
-0.555,10431
-0.223,8829
0.0501,4215
-0.00496,5327
-0.04,6541
0.0689,2669
-0.0756,7313
0.00534,5051
0.435,78
-0.00783,5243
-0.366,10459
0.0396,3987
0.0695,2787
0.0531,3433
0.337,1591
0.187,1692
-0.116,10293
-0.0351,6113
-0.162,9539
0.0277,4144
-0.206,10050
-0.00711,5123
-0.204,9349
-0.0948,8084
0.0469,3623
-0.063,6580
-0.0799,7813
-0.0762,7447
0.332,418
-0.22,9750
0.145,2189
0.102,2597
0.0547,3502
-0.0151,5944
-0.258,10111
0.0639,3440
-0.0684,6626
0.0112,4555
-0.246,9006
-0.01,5767
0.242,111
-0.04,5689
0.0592,3108
-0.145,8392
0.012,4957
-0.0852,7795
0.0102,4564
-0.0507,6414
0.143,1474
-0.256,10002
0.0321,4383
0.119,710
-0.236,9584
-0.00805,5465
0.33,1315
0.111,2778
-0.0369,6665
-0.0352,7157
-0.0578,7137
-0.071,7088
-0.164,7743
0.0768,3538
-0.177,9274
0.506,377
0.25,942
-0.126,7189
-0.225,10188
0.118,2650
0.236,2133
-0.00825,5543
0.264,117
-0.0909,8561
0.119,2159
-0.00588,5271
-0.271,7450
0.00287,5225
-0.0549,7498
0.5,95
0.199,1113
-0.0262,5563
-0.143,3769
-0.0205,6137
-0.18,10294
-0.105,8459
-0.0044,5240
-0.0598,7494
0.00472,4784
-0.091,9162
-0.204,4412
0.208,1677
-0.0648,8661
-0.0466,7682
-0.105,7474
0.0914,1444
0.244,547
0.376,2590
-0.293,7533
-0.348,5690
-0.206,4932
-0.191,5324
-0.135,7890
0.163,2230
0.537,1
-0.0555,6198
-0.0145,6059
-0.0306,6894
0.657,1481
-0.328,9892
-0.116,7326
0.301,1923
-0.0509,6477
0.00766,4642
-0.152,6775
-0.013,5240
0.186,664
-0.168,9724
-0.0978,7279
0.105,1396
0.318,201
-0.0513,6275
-0.227,9871
-0.0833,6396
-0.164,8733
-0.0199,5899
0.121,2608
0.0225,3968
-0.04,6262
-0.121,5704
-0.0869,8311
-0.185,10033
-0.033,6111
-0.026,5916
-0.165,7993
-0.034,6152
0.101,2281
-0.125,9140
0.0303,4032
-0.304,9755
-0.0299,6000
-0.0241,5335
-0.123,8125
-0.13,9365
0.0238,4570
-0.0494,6955
0.0799,3388
0.00666,4755
0.393,20
-0.101,8754
-0.294,10426
0.301,812
-0.392,10394
-0.263,7445
0.00102,5006
-0.111,9160
-0.103,7109
0.104,3120
-0.00974,5312
-0.207,9476
-0.0538,7352
0.0538,1707
-0.00657,6206
0.305,127
-0.335,9781
-0.0451,6446
0.198,1621
-0.0381,7347
0.377,83
-0.161,8737
0.131,2212
0.0443,4056
-0.186,8440
0.108,1223
-0.0317,6190
-0.32,10159
0.227,1019
-0.0209,5623
0.0165,4407
0.0735,2509
-0.145,8555
-0.132,8824
0.0355,4543
-0.115,8918
0.0866,2863
0.199,447
0.215,24
-0.559,9497
-0.292,9707
0.0254,4490
0.102,3447
0.163,443
0.08,2766
0.085,3079
0.0944,3734
-0.0291,5528
0.141,2440
-0.034,6566
0.26,1358
-0.0886,6379
-0.19,9642
0.0502,3767
-0.05,6673
-0.16,9971
0.0344,2984
0.0964,2606
0.00437,5007
0.129,2236
0.0674,3268
0.0196,4146
-0.102,7405
-0.0331,5766
-0.149,7993
0.00802,4872
-0.154,9020
-0.116,9123
-0.083,8092
0.0103,4509
-0.128,8279
0.0379,3448
-0.165,9441
0.0969,2410
-0.0399,6037
0.088,2365
-0.195,8195
-0.215,10055
-0.209,9925
0.0163,4263
0.438,552
0.00737,5057
0.372,220
0.0854,3273
0.0648,3345
0.012,4765
-0.0442,7268
0.015,4546
0.0491,3055
0.342,38
-0.0414,6279
0.00524,4696
0.22,386
-0.193,10192
0.0287,4604
-0.0224,5067
0.155,767
0.0604,3304
-0.102,8821
0.16,1312
0.204,846
-0.249,9349
0.0105,4715
0.0202,3708
-0.00986,5558
0.317,995
0.0726,2857
0.0252,4486
-0.0733,6423
-0.386,10325
-0.0657,8137
0.289,2074
-0.176,8011
0.584,120
-0.268,8281
-0.0313,6605
-0.0072,5721
-0.0033,5198
-0.0406,6136
-0.227,9099
0.0854,3054
0.118,930
-0.0714,7359
-0.467,10200
0.227,1138
-0.099,7249
0.201,2610
-0.146,10125
-0.197,9984
0.466,42
0.0883,2253
-0.124,8796
0.135,1938
-0.162,10080
0.0123,4454
-0.324,6558
-8.93e-05,2996
-0.133,5955
-0.00869,5412
-0.161,8442
0.216,375
0.19,1369
0.0716,3301
-0.171,9347
-0.0561,7226
-0.193,9351
-0.0891,7610
-0.0241,6106
-0.122,5823
-0.528,9743
0.014,4388
-0.256,9817
-0.0372,6450
0.282,575
-0.144,8447
0.0419,3848
-0.139,8722
-0.0861,7259
0.14,1529
-0.185,10164
0.13,2115
0.168,1069
0.0835,1985
-0.216,10269
-0.0854,8083
-0.136,8998
0.182,1507
-0.0284,6277
0.141,996
0.269,680
0.0539,3533
0.168,1052
0.0144,4713
0.0281,4338
-0.0546,6818
0.0588,2252
0.0344,4293
0.0907,2270
0.489,188
-0.037,5497
-0.0387,6666
0.457,11
-0.0728,6489
0.284,41
-0.0778,8406
-0.167,8307
0.00124,5049
0.00422,4975
-0.0648,7099
0.0937,2104
0.552,76
-0.211,8197
0.0718,1399
-0.24,10190
-0.152,8433
0.294,362
-0.16,9305
0.044,3375
-0.148,9119
-0.194,10241
-0.0766,7019
0.0157,4540
-0.0728,7237
0.0187,4582
0.0104,4515
-0.0469,7324
0.139,2706
-0.0476,7388
-0.0785,6384
-0.135,7379
0.364,20
0.0651,2725
0.237,937
-0.0496,6946
0.107,2683
-0.0362,5661
0.0304,3960
0.0253,3799
0.0822,1596
-0.104,7971
0.165,1100
-0.0462,6605
-0.182,10226
-0.0406,6072
-0.148,10028
-0.39,7341
-0.316,8559
-0.13,9355
-0.0291,6389
0.0173,3916
0.287,19
-0.142,7580
-0.052,6614
-0.0356,6926
-0.0968,10033
-0.157,9972
-0.128,8139
-0.244,9189
0.0722,3339
0.131,1677
0.122,1900
-0.0794,4519
0.0436,3674
0.321,834
-0.0204,5410
0.156,514
-0.113,7863
2.8,180
0.0621,2988
-0.283,8624
0.0273,4411
0.00718,4758
-0.0998,7080
