coef,rank
0.625,1474
-0.143,7625
-0.00841,5018
-0.313,9015
0.75,547
-0.114,7935
-0.115,9264
0.101,2658
0.0602,3519
-0.181,8995
0.0619,3079
0.108,1068
0.171,634
-0.0592,6660
0.331,1158
1.7,84
0.0696,1498
-0.0394,7697
0.0643,3036
0.104,2036
0.0461,4048
0.171,2858
-0.346,10456
0.275,217
-0.293,8990
0.196,1675
-0.258,10436
-0.0806,4266
-0.0448,5922
-0.137,9330
-0.337,10437
0.0262,4608
-0.193,9179
-0.238,8438
0.15,876
-0.00713,5413
-0.03,6300
0.202,1773
0.183,1137
0.0716,2977
-0.0433,6702
0.117,347
0.083,3266
0.302,63
-0.0129,5273
-0.223,9380
-0.047,7756
-0.0236,6687
-0.309,10097
-0.0649,7189
-0.139,8536
0.21,1295
0.0323,4211
0.0602,2153
-0.124,8586
-0.118,7719
-0.135,5999
-0.319,10157
-0.0782,8894
0.0697,2312
-0.00247,5001
0.14,1565
-0.081,8500
-0.0693,8891
-0.048,7061
0.13,816
0.265,39
0.00151,5019
-0.0798,7367
0.0356,4031
-0.116,9565
-0.0868,8104
-0.176,9255
0.162,1746
-0.152,8334
0.164,1116
0.184,474
0.113,1494
0.145,701
0.173,846
-0.422,9100
0.151,2235
-0.0548,7988
0.0387,3396
-0.0153,5515
-0.0295,5572
-0.0316,6291
0.0764,3679
0.0321,3252
-0.05,8044
-0.0248,5725
-0.174,9171
0.0151,4776
0.024,4568
-0.0614,6756
-0.0233,6100
0.0581,3628
0.0264,3911
-0.121,8932
-0.0595,6805
0.0652,2406
-0.184,9930
-0.0544,7219
-0.0494,5962
0.042,4238
-0.12,7667
-0.212,8699
0.272,578
-0.136,8295
0.19,1221
-0.292,8570
-0.38,10415
-0.074,8557
-0.0478,7790
0.0875,2890
0.029,4077
-0.129,9603
-0.0967,7148
-0.1,7891
-0.011,5497
-0.00166,5400
-0.139,10014
-0.235,8751
0.23,2245
-0.108,9314
-0.0469,5922
0.324,811
-0.104,7759
-0.0982,7559
0.0495,3621
-0.156,10074
-0.0727,7711
0.0873,3195
0.123,1508
-1.16,10105
0.12,3041
0.0207,4307
-0.112,8827
-0.347,9517
0.00888,4698
-0.112,7551
0.0543,3504
-0.00643,5087
0.141,1003
-0.325,10274
-0.0212,5578
-0.0692,8018
-0.02,5395
0.405,31
0.073,2173
-0.199,5883
-0.3,10375
0.00625,4568
0.0288,4084
0.00134,4822
-0.0717,7550
-0.373,10194
0.156,1179
-0.124,8029
0.147,1541
0.0135,4741
-0.0782,9146
-0.0013,5135
-0.2,9486
0.0264,4048
0.0274,4030
0.0221,4564
0.0358,3712
0.0586,3344
-0.106,6525
0.0438,3676
0.00867,4827
0.127,151
-0.0528,6905
-0.102,9015
0.106,2364
0.0237,4579
0.0521,2164
-0.00838,5333
-0.00968,5290
0.0618,2713
-0.0477,7358
-0.0389,7207
0.0223,3351
0.0935,2172
0.0552,2865
0.0926,2755
0.114,1412
0.038,4288
-0.00212,5365
-0.077,7212
-0.107,10190
-0.123,9017
-0.106,7582
-0.167,7751
-0.00412,5342
0.139,1608
-0.247,9323
-0.000727,5207
-0.181,8546
-0.232,10010
0.0278,4374
0.0409,3111
-0.165,8825
