coef,rank
1.13,598
0.013,4617
-0.101,7116
0.343,1295
-0.438,9177
0.0568,3394
-0.0361,6565
0.0772,3117
0.0727,3255
0.0163,4599
0.0266,4253
0.0668,2144
0.00217,5094
0.325,405
0.722,102
0.249,2987
0.0927,864
0.0984,560
-0.235,10254
0.0327,3982
-0.172,8675
0.0747,3868
0.0287,4154
-0.0459,6456
-0.136,6915
-0.152,8189
-0.145,9695
0.588,1657
-0.147,8009
0.121,1585
-0.176,9446
0.0983,3709
-0.0637,6588
0.0519,4044
-0.125,9093
-0.0178,5970
0.0768,2571
0.0792,3477
-0.00521,5140
0.262,440
0.042,3116
0.0327,3151
-0.26,9853
-0.058,7388
-0.00168,4997
-0.119,7590
-0.0107,5585
0.00681,4600
0.0324,4118
0.00375,4880
-0.138,8498
0.139,2146
0.0518,3714
-0.0991,9485
0.149,1727
-0.27,9966
0.0343,4055
0.00953,4808
-0.144,10229
-0.0545,7386
-0.205,9106
-0.0476,6279
-0.0632,7903
-0.0492,8041
-0.0423,6826
0.0333,3661
0.0279,4059
-0.00277,5179
-0.0968,7806
0.177,3039
-0.00509,5381
-0.0182,5629
0.152,1526
0.196,1272
0.308,680
0.0755,2875
-0.00859,5444
0.0648,2684
-0.0703,8151
0.0975,2218
-0.0202,5108
0.038,3984
-0.0583,8145
0.0804,1996
-0.161,9467
-0.0616,6268
-0.0276,6135
-0.0771,5981
-0.00726,5374
0.148,170
-0.264,9971
-0.095,7606
-0.0331,5743
-0.2,9179
-0.281,10163
-0.0764,8217
0.355,518
0.123,967
0.0712,2781
-0.109,8138
-0.131,9747
0.0059,4868
-0.0304,6326
0.135,2328
0.237,1865
-0.0998,7258
-0.288,9594
-0.235,9841
-0.198,9377
-0.0607,6629
-0.0731,5736
0.222,906
-0.0628,8112
0.0441,2651
-0.115,8264
0.0907,2333
-0.0542,7290
0.104,2489
-0.173,9415
-0.131,9977
0.093,1464
0.0318,3639
-0.167,7726
0.837,93
-0.0651,7979
0.211,1843
-0.349,9965
-0.0171,5366
-0.157,8844
-0.13,8572
-0.098,8973
0.0105,5071
-0.182,8674
0.17,776
-0.128,4360
0.216,2026
0.0517,3079
-0.0507,6956
-0.0337,5108
0.0391,3310
0.19,1497
0.00148,4787
-0.0774,7320
-0.0755,8138
0.0125,4693
-0.0553,6380
-0.00705,5345
0.314,598
-0.023,5743
-0.0943,8961
-0.192,5814
-0.0246,5938
0.233,1615
-0.0469,6449
-0.147,8889
0.00522,4922
0.045,4171
-0.117,8550
0.268,562
0.123,1939
0.11,2610
-0.0572,8309
0.0347,4031
0.0212,4631
-0.0429,7021
0.102,1404
0.0324,4263
-0.0989,9108
-0.191,9439
-0.223,8502
0.128,1364
-0.00915,5617
0.0549,1761
-0.0152,5565
-0.122,9504
-0.0602,6339
-0.0521,5712
0.0758,1241
0.109,1418
0.358,217
-0.0992,8891
-0.163,10092
-0.0618,8266
-0.0663,9625
-0.0358,6547
0.0164,4347
-0.225,9835
-0.119,9274
-0.0268,5111
0.0033,5146
0.184,755
-0.0416,8029
-0.0771,7771
-0.184,9085
0.0759,3621
-0.00855,5539
0.315,156
0.394,528
-0.00967,5736
0.121,2486
0.34,98
0.073,3577
-0.0302,6511
0.123,2279
0.111,2544
0.194,1634
0.0464,3430
-0.0768,6825
-0.0291,6278
0.147,615
0.00128,5221
-0.173,8955
0.2,1080
-0.27,10139
-0.00511,5320
0.0606,2610
0.141,1735
0.151,1469
-0.059,5916
-0.204,4589
0.273,335
-0.0777,8573
7.73e-05,5203
0.0622,3702
-0.166,7596
-0.0817,6967
0.0316,3911
0.117,734
-0.0842,9185
0.0651,3504
0.0766,2829
-0.0752,6382
0.154,2354
0.00768,4598
-0.00895,5244
0.0648,3360
0.243,2318
-0.041,6093
0.149,2183
0.14,3213
-0.336,9656
-0.136,9617
-0.111,8932
0.00899,4683
-0.0631,7249
-0.0836,7224
-0.135,8190
-0.149,9576
0.0382,4094
-0.101,8878
0.151,190
-0.338,9947
-0.24,8566
-0.104,6785
0.179,2764
0.0393,3865
0.0964,1633
-0.0223,5891
-0.222,10048
-0.0457,6480
0.0305,4102
0.049,2931
0.175,1201
0.0101,4591
0.103,1941
0.0651,3128
0.645,429
-0.192,9103
0.0897,659
0.0453,3747
-0.157,9468
-0.0217,5276
0.319,94
-0.0409,6238
-0.106,7553
-0.128,8861
-0.248,10200
-0.145,8242
0.113,1829
0.083,2469
-0.164,8349
-0.166,9050
-0.112,7505
0.0759,3119
0.0996,2459
-0.0872,9157
-0.089,7440
0.073,3236
-0.0743,6751
0.178,1709
-0.426,10275
0.0443,3066
0.127,1119
-0.226,8677
0.144,1066
0.0838,3336
0.173,2419
-0.0889,7908
-0.085,8020
-0.0251,5691
0.166,1127
-0.318,10335
-0.515,10235
-0.0217,6037
0.17,2053
0.0227,4285
-0.227,7846
0.372,385
-0.108,9114
-0.00354,5417
-0.0224,5878
-0.00374,5223
0.0735,3643
0.152,2400
0.189,1167
-0.178,8098
-0.106,7680
-0.0199,5164
0.138,1374
-0.127,7789
0.16,2862
-0.0941,9199
0.135,1203
0.0623,2896
-0.121,8271
0.0706,1670
-0.118,5782
-0.117,9712
-0.0706,8086
-0.322,10160
0.306,372
-0.0574,6264
-0.0376,3092
-0.0477,7296
-0.0866,8813
0.0244,4225
-0.0403,6825
-0.175,10087
0.0967,3283
-0.049,7517
-0.56,8315
-0.171,8369
0.0458,2510
-0.0587,8242
0.187,1594
-0.043,7112
0.0745,2961
-1.38,10083
-0.31,7767
0.183,2622
-0.561,8039
-0.2,5394
-0.248,9641
-0.0266,5553
0.293,227
-0.135,8161
0.0487,2724
0.177,36
0.851,986
0.0677,3759
-0.271,9738
0.141,3182
0.198,886
0.0853,1435
0.588,400
-0.0954,7207
-0.0489,6946
0.0671,2697
0.46,137
-0.0224,6224
0.317,204
-0.177,8762
-0.196,9524
0.000916,4748
-0.102,7365
-0.039,6686
-0.0943,7145
-0.0873,9544
0.0698,3256
-0.25,7183
0.095,2145
-0.0274,5787
-0.163,9250
0.218,606
-0.00906,5160
0.00339,5131
-0.152,9421
0.0627,2814
0.0494,3484
-0.205,8678
-0.0374,6238
-0.483,10399
-0.157,8770
-0.0452,6968
0.449,475
-0.0811,7982
-0.0395,6083
-0.0353,6030
0.128,1589
0.0535,3160
-0.128,9020
0.0967,3053
0.0974,2843
0.00257,4697
-0.0232,7749
0.121,1253
-0.349,10242
-0.302,9954
-0.0827,7053
0.0638,3778
0.0535,2726
0.012,4038
0.018,2533
0.293,154
-0.272,9196
0.0886,2511
0.203,1564
0.0577,2412
-0.106,8012
-0.0834,7061
-3.01e-05,5311
-0.165,8471
0.108,2815
-0.104,9030
0.235,564
0.0746,3400
-0.0897,7285
0.124,1903
0.138,612
-0.108,9151
0.242,929
0.0828,2608
0.492,111
-0.0896,8271
0.119,2258
-0.122,9127
-0.0601,8448
0.495,1347
-0.276,9574
0.0955,3088
-0.228,8051
0.00582,4823
-0.068,7071
-0.0849,6803
0.444,999
-0.261,9645
-0.162,8257
0.107,1508
-0.439,10317
0.567,185
-0.042,6518
-0.177,8892
-0.0297,6030
-0.0705,7842
0.0137,4135
-0.0254,5572
0.345,144
-0.118,8083
-0.117,8900
0.0279,3826
0.0837,3162
-0.288,10188
-0.181,8528
0.0203,4572
0.175,1130
0.205,388
-0.111,8841
-0.191,9393
-0.0949,7527
-0.182,10218
-0.0954,7914
0.062,3296
0.103,2857
-0.0164,5908
-0.0847,6313
0.0349,3812
-0.109,8185
0.0271,3783
-0.497,10372
-0.106,8910
0.0173,4540
0.29,706
0.177,1013
0.0907,2148
-0.141,10034
-0.0546,7386
0.118,1150
0.0991,1993
0.118,1906
0.0117,4046
-0.0966,8172
-0.0021,5182
0.0939,3626
-0.169,7321
-0.0633,7625
0.19,830
0.17,788
-0.0554,6606
0.0617,3378
-0.0528,6052
0.0305,3940
0.0343,2976
0.0519,3129
0.147,2641
-0.0291,5970
0.0551,4063
-0.188,8490
-0.194,8721
-0.0564,7745
0.116,3544
0.282,1169
0.179,2266
-0.451,9941
0.0499,2595
0.00351,5213
0.0956,1868
0.0748,2666
-0.351,10148
-0.134,8664
-0.147,9979
0.171,961
-0.0875,6387
-0.00588,5209
-0.174,8669
-0.288,8613
0.0693,2226
0.0773,2634
0.227,817
-0.125,9118
0.252,359
-0.0588,6409
-0.0252,6400
0.0223,3858
-0.532,8270
-0.0786,3346
-0.539,9609
-0.182,9488
0.222,1173
-0.116,9038
-0.136,8181
-0.279,9888
-0.0712,7123
0.0516,3573
-0.146,8596
0.0318,4177
-0.228,10278
0.705,700
-0.353,8383
-0.197,10288
-0.179,8817
-0.0532,7053
0.0103,4954
0.0288,4219
-0.0537,6759
0.145,1612
0.249,568
-0.112,8396
0.0647,2821
0.132,2093
-0.154,9208
-0.0561,7369
0.0918,2010
-0.0216,5862
-0.0821,7620
0.262,742
-0.0257,6157
-0.05,7226
0.0394,4080
-0.058,6759
0.00503,4739
-0.0084,5430
0.36,206
0.258,329
0.0807,1544
-0.119,6622
0.0451,3611
-0.32,9991
-0.358,9421
-0.0417,6776
0.0167,4301
0.283,997
-0.104,8919
0.00307,5050
0.109,3029
0.165,520
0.0133,4628
-0.183,9681
-0.0846,8270
0.493,132
-0.19,7912
-0.0607,8708
0.152,1538
-0.151,8418
-0.0288,5893
-0.0147,5696
0.0496,3212
-0.0938,7919
-0.0451,6951
-0.0446,6271
-0.129,7423
0.225,606
-0.0639,6519
0.238,302
0.196,136
0.114,3103
0.149,531
-0.127,7227
0.465,271
-0.232,10254
0.135,1098
-0.0275,5814
-0.069,7559
0.22,1098
-0.168,8497
-0.106,8395
-0.026,6144
0.0894,1372
-0.13,8579
-0.149,9428
-0.00256,5216
-0.137,9696
-0.232,9664
-0.00604,5287
0.849,1114
0.168,3119
-0.00238,5196
0.0441,2814
0.0415,2691
-7.9e-05,5256
-0.0464,5609
0.153,1646
0.0521,2971
-0.034,7520
-0.0839,8348
-0.0112,5306
-0.3,9785
0.412,147
-0.135,9154
-0.21,9589
1.25,737
-0.114,8387
-0.0785,6377
0.263,596
-0.0263,6392
0.177,1156
-0.76,8215
-0.108,9031
0.125,3119
0.239,1398
-0.133,10115
-0.135,7821
-0.405,7770
-0.357,6905
0.347,546
0.284,1205
-0.141,9265
0.0628,3693
0.049,3994
-0.104,10060
-0.0609,6662
0.0189,4777
-0.268,7446
0.0686,2315
-0.0621,7066
0.0774,1901
-0.119,7622
-0.132,9266
0.244,1862
-0.187,10265
-0.0491,6646
0.0372,3958
0.033,4198
-0.131,7245
0.157,1897
-0.108,7620
0.183,282
-0.237,10342
0.0333,4276
-0.0573,7837
0.203,1244
0.0749,3545
-0.203,10276
0.00621,4934
0.00864,4820
-0.355,8069
-0.174,9586
-0.14,8093
-0.098,7881
-0.000413,4967
-0.0124,5372
-0.0819,6556
-0.214,9574
-0.326,9583
-0.0442,5650
-0.0463,6452
-0.0759,7561
0.246,2667
0.149,1785
-0.148,9134
0.147,1046
-0.0496,6498
0.00152,5046
-0.162,8779
-0.0337,5599
-0.252,5897
0.247,59
-0.00227,5321
0.149,519
-0.0769,6675
-0.0261,6559
-0.29,8784
0.0167,4321
0.0834,1818
-0.289,9617
-0.291,10154
-0.157,8919
-0.119,8448
0.024,4375
-0.163,9975
-0.0426,5360
-0.161,7697
-0.461,9448
0.206,1981
-0.0221,6213
-0.127,8192
-0.163,8536
0.112,1363
-0.124,8859
-0.17,7343
0.11,2259
-0.21,10075
1.64e-05,4952
-0.013,5560
-0.131,6791
1,198
-0.106,9309
-0.105,9584
-0.0338,6097
-0.196,9731
-0.143,8397
0.145,2241
0.0628,2707
-0.0647,7221
0.248,677
-0.253,8375
0.0638,2768
-0.0609,7689
-0.065,7444
0.142,1026
0.0895,2600
-0.0963,6883
-0.0182,5877
-0.115,8348
-0.134,7691
-0.128,9897
-0.148,8743
-0.205,9603
-0.0418,6487
-0.212,8653
-0.0536,6997
-0.144,8594
-0.0979,7651
-0.123,6977
-0.0668,6554
-0.026,5675
0.0683,2088
-0.061,5946
0.0182,4473
-0.0573,6367
-0.288,9659
-0.124,7816
0.126,1298
-0.0416,6324
-0.173,8193
-0.0144,6072
0.0981,3320
-0.0517,5859
-0.188,9295
-0.0301,6536
-0.121,8399
-0.0923,7217
0.289,458
0.41,226
-0.113,9182
-0.375,10454
-0.00826,6206
0.00238,5206
-0.022,8498
0.0144,2343
-0.00307,5928
0.207,2349
0.359,419
0.0175,3961
0.0383,3774
-0.0719,7146
-0.11,6573
-0.165,8042
-0.396,10307
-0.00863,5441
-0.252,9515
-0.218,10124
0.0943,3418
-0.0521,8453
-0.151,9027
-0.17,9702
0.798,486
-0.151,6238
0.189,2405
-0.36,8309
0.175,1372
0.133,2079
-0.139,6167
0.241,940
-0.159,8563
-0.193,7098
-0.0679,7489
0.1,2054
-0.354,9664
0.384,84
-0.000373,5268
-0.112,9369
0.529,423
0.267,693
-0.0352,6135
0.0187,4547
-0.14,8465
-0.0978,8972
-0.0397,8052
-0.0248,5723
-0.112,8432
-0.109,8072
-0.207,8657
-0.072,6624
0.169,1107
0.18,1786
0.139,1722
0.104,2596
-0.000836,4891
0.0566,2794
0.0289,4308
0.0358,3638
-0.00374,5301
-0.171,8060
-0.227,8127
0.31,88
-0.0156,5815
0.0799,3724
-0.118,8672
0.273,869
-0.281,9341
-0.0736,7779
0.11,2186
0.0784,3594
-0.00375,5415
-0.275,10209
-0.0421,6670
0.0815,2312
0.0647,2861
-0.0653,7635
-0.0446,6619
-0.225,9799
-0.205,8703
-0.0593,8072
0.0113,4763
0.439,946
0.0479,4057
-0.0217,5746
0.00166,5106
0.423,77
-0.0203,6142
-0.0918,8514
-0.474,9916
0.26,293
0.18,708
0.124,3531
-0.02,5909
-0.0874,5364
0.0147,4460
0.154,946
0.136,751
0.0804,3515
-0.515,8696
-0.448,9953
0.569,445
-0.0517,6934
-0.0673,5813
-0.104,8243
-0.105,8564
0.0496,3669
-0.0298,6188
0.0554,3411
-0.133,8805
-0.229,9836
-0.00336,5040
-0.147,9371
0.0489,3197
-0.0705,6506
0.17,640
-0.0733,6802
0.32,487
-0.0119,5304
0.136,1805
0.128,3398
-0.154,4084
-0.0686,6697
-0.358,9588
-0.0498,6059
-0.0569,6105
0.0705,3622
0.0143,4696
-0.166,9150
0.0821,1942
-0.0353,6285
-0.0753,9775
0.011,4668
-0.145,8375
0.0981,2682
-0.0262,6324
0.00262,4763
-0.0498,7729
-0.106,6403
0.186,1530
-0.281,9168
-0.061,6724
-0.0553,8023
0.0394,3991
-0.219,7372
-0.183,9700
0.0629,3280
-0.374,10262
0.0099,4760
-0.126,8007
0.0717,3521
0.135,1590
0.0925,2455
-0.0391,5786
-0.0125,6046
0.0524,3064
-0.162,4599
-0.246,6220
-0.0737,6488
-0.0258,6371
0.0588,3840
-0.206,8854
-0.382,10021
0.188,1814
0.0216,4463
-0.141,7390
-0.00485,5275
-0.0387,5957
-0.712,9321
0.69,485
0.214,3051
0.0867,2292
-0.236,10036
0.12,2021
0.0393,4029
0.73,338
0.331,2158
-0.0431,7447
0.00254,4883
-0.137,7030
-0.184,9449
0.0372,4519
-0.0708,7646
0.0405,3263
-0.0843,8930
-0.00182,5311
-0.169,9465
0.135,808
0.0652,2222
-0.184,10299
0.123,1105
-0.0373,6050
0.0861,1868
0.179,2425
0.0367,4170
-0.147,8907
0.0473,3476
0.0746,2827
-0.0242,5528
0.118,2110
-0.0296,5585
-0.101,7650
-0.1,8781
0.441,1946
0.0299,4385
0.15,3060
-0.0502,6056
0.191,1362
-0.0165,5434
0.128,2912
-0.174,9156
-0.008,5088
0.235,670
-0.11,8498
0.0218,2892
0.0861,3172
-0.243,5904
-0.289,8659
-0.0961,7467
0.0122,4385
-0.0767,7701
-0.0644,6298
0.198,566
0.0599,3902
-0.0796,8202
0.0682,3128
0.173,241
0.0195,4707
0.267,1060
-0.343,9328
0.333,754
0.24,1391
0.0669,2613
-0.019,5859
-0.205,10182
0.0501,3869
0.349,1106
0.113,1571
-0.2,10194
-0.00469,5070
0.0748,2568
-0.108,7928
0.0858,3761
-0.0532,6910
-0.0631,7466
-0.149,8125
-0.0316,5887
0.135,2716
-0.382,10051
0.137,1712
-0.087,8327
0.0417,3460
-0.0171,5365
0.0166,4445
0.179,3216
-0.0674,8658
0.272,47
-0.153,7585
-0.194,9000
0.574,256
-0.107,7972
0.0555,3375
-0.534,10473
-0.254,9278
0.034,4284
-0.0856,9063
-0.0775,7986
-0.00292,5434
-0.00317,5293
0.0515,3128
-0.0567,7118
-0.0279,5766
0.106,3003
-0.0577,7653
-0.0302,6295
-0.0765,8010
0.0696,3708
-0.0667,7284
0.258,1398
-0.112,8193
-0.0558,7735
-0.0898,6087
-0.0627,6694
-0.0175,5505
0.209,2401
-0.203,9752
0.195,630
0.556,168
-0.143,9175
1.65,195
-0.165,9591
0.0845,2791
0.116,1701
0.0241,4245
0.0573,3516
-0.353,5867
-0.154,9789
-0.113,8342
-0.112,9138
0.187,1990
0.567,422
-0.0658,7342
-0.0734,7498
-0.0234,6159
0.0146,4645
-0.0275,6010
-0.142,8263
-0.173,8999
-0.0277,6110
-0.288,10457
-0.197,10295
-0.00596,5625
-0.15,8102
-0.0104,5064
-0.0402,7162
0.0432,3133
0.461,19
-0.104,8593
0.081,3789
0.325,473
-0.126,8177
-0.13,8400
-0.331,10387
-0.198,8967
-0.226,8474
0.207,1762
-0.063,7852
0.0327,3432
-0.316,9580
0.0558,3326
-0.0715,7683
0.263,1108
0.0933,1765
0.0832,1681
0.12,2754
-0.0703,7120
0.329,363
-0.299,7139
0.151,1901
0.15,453
-0.0751,8120
0.0007,5094
0.0751,1949
0.192,2225
-0.0462,7868
-0.0685,6797
0.392,554
0.651,679
-0.393,8452
-0.0104,5384
0.0144,4435
0.067,2282
0.104,1983
-0.0353,6473
-0.058,5915
0.0553,3527
0.148,615
-0.0614,7831
-0.00973,5333
-0.155,7744
0.125,1984
-0.0435,6514
0.0545,2611
-0.0866,7595
0.0726,3319
0.0623,3528
0.148,1182
0.114,3284
0.108,2030
0.181,2137
0.0403,3474
0.197,1516
-0.0111,5907
0.144,1961
0.106,796
-0.00158,4998
0.107,1713
0.0435,3348
0.329,2038
0.0504,3732
-0.0795,9457
0.0455,2905
0.0717,3019
-0.0513,6209
0.0152,4558
-0.383,9989
-0.0866,8688
-0.0146,5728
-0.0904,6852
-0.0188,5163
0.134,2456
-0.117,8048
-0.128,8686
0.0146,4319
-0.106,5313
0.427,77
0.538,289
-0.0294,6071
0.134,1599
0.204,2479
-0.00732,5647
-0.0909,6614
0.389,712
-0.148,9046
0.191,306
-0.00388,5207
-0.177,9643
-0.0793,8354
0.0492,4028
0.0638,2970
0.0739,2062
-0.0777,8304
0.0714,1879
-0.39,9590
0.0672,3558
0.107,2052
-0.0585,6965
0.165,1120
-0.349,5497
-0.0895,6069
0.0617,3808
-0.663,9721
0.266,136
-0.238,9365
0.0448,3657
-0.152,9479
-0.034,5867
-0.00648,5301
0.371,600
0.0867,1382
-0.0849,8059
-0.0222,5633
-0.361,10010
-0.152,7438
-0.294,10408
0.205,23
-0.0406,6550
-0.141,9261
-0.104,8342
0.171,614
-0.0333,7000
-0.127,9544
-0.0117,5584
-0.0315,5682
0.225,2790
-0.116,6442
-0.0789,7316
-0.03,6152
-0.191,9084
-0.0567,7731
0.039,3974
-0.0321,5607
-0.0952,7530
-0.00461,5327
-0.151,8872
-0.525,9078
-0.0502,6499
-0.104,6533
0.142,721
-0.321,10462
-0.0326,6614
-0.0274,5328
0.108,2214
-0.133,7867
-0.0555,8248
-0.0816,8020
-0.162,9528
-0.216,10056
-0.0755,7690
0.13,2708
1.67,42
-0.12,6741
0.102,2980
0.129,2454
0.47,417
0.537,1497
0.142,1520
0.155,2556
0.134,1908
0.0364,4091
0.0568,3770
-0.264,8210
0.113,1541
0.145,1504
-0.0393,5980
-0.169,7316
0.0798,2045
0.0239,4264
-0.0612,8016
0.199,602
-0.117,6525
0.0147,4301
0.514,812
-0.234,10373
-0.073,9276
-0.0757,6521
-0.0522,6560
-0.05,5811
0.0886,2025
0.00615,4870
0.089,2501
-0.0423,5913
0.0206,4260
0.0841,1671
0.126,722
-0.0542,7813
-0.128,9317
0.117,2239
-0.414,10303
-0.111,7502
-0.111,9183
0.0747,2688
0.00194,4808
0.0874,2783
