coef,rank
-0.579,9440
-0.223,8960
0.12,2473
-0.343,9318
0.299,2277
-0.0164,5290
-0.0566,7416
-0.033,5672
-0.0474,5920
0.0555,3667
-0.114,8925
0.0114,4543
-0.00355,5313
-0.0496,6409
-0.012,5120
-0.57,9714
0.0998,708
0.0894,741
-0.132,8998
0.23,412
-0.444,10446
-0.262,8045
-0.00972,5269
-0.178,9594
0.25,1993
-0.0727,6640
0.0751,2440
-0.288,6012
0.254,1051
-0.0554,7157
-0.0908,7768
0.251,2201
0.219,1069
0.534,375
0.236,201
0.0899,1351
-0.136,9353
-0.289,9715
0.0357,3999
-0.195,9490
0.0871,1708
0.0424,2582
0.0753,3426
0.107,1890
0.294,422
-0.033,5631
0.176,53
0.00137,4943
0.444,152
0.253,216
0.0428,3617
0.325,428
0.064,3384
-0.087,9156
-0.124,8591
-0.108,7508
0.588,602
-0.0971,7230
-0.0632,8357
0.00454,4858
-0.118,7574
0.198,846
0.101,1462
0.0604,1939
0.0516,2972
-0.0769,8482
-0.116,9419
0.0486,3239
-0.15,8969
-0.211,6198
-0.0156,5904
0.107,1534
-0.14,8605
0.145,1977
-0.277,9860
0.0141,4714
0.103,1739
-0.0451,6649
-0.0781,8426
-0.267,10410
0.391,1911
0.295,809
-0.0141,5959
-0.0285,6181
0.096,2228
-0.0738,6525
0.0122,4727
0.314,1331
-0.0433,7355
-0.175,10448
0.193,1468
-0.262,10099
0.19,1934
-0.122,7860
0.0209,4684
0.104,1332
-0.217,8800
0.0385,3400
-0.0524,6945
-0.157,9080
-0.0228,6139
0.0673,2879
-0.155,9757
0.167,1887
-0.0804,6310
0.169,1983
-0.129,7379
-0.0713,6871
-0.188,9235
-0.214,9677
0.761,195
-0.0433,5673
-0.0883,9036
-0.119,10023
0.0306,4330
0.0721,2829
-0.0908,8659
0.321,317
-0.13,8576
-0.0208,6032
-0.129,9942
-0.0782,8600
0.106,3178
0.0549,4140
-0.0259,6240
0.275,1284
-0.0294,5366
-0.0153,5306
-0.233,9865
-0.291,10356
0.144,624
-0.126,9040
0.243,1129
-0.0733,7818
-0.69,8390
-0.0846,6269
-0.0534,7264
-0.216,10262
0.218,1949
0.0853,1583
0.017,4663
-0.306,10277
0.0489,3454
0.129,1209
-0.298,10162
-0.125,7948
-0.0408,6837
-0.136,7839
0.188,816
-0.0442,7105
0.26,2660
-0.177,9500
0.59,151
-0.0273,5853
0.0614,3146
0.000902,5066
-0.0481,5903
-0.0306,6044
0.0225,4354
0.0516,3516
0.254,748
0.066,1617
-0.0984,7827
0.221,1089
-0.0825,8453
-0.0941,9082
0.0298,4335
-0.108,9337
0.101,2386
-0.139,7134
-0.0846,8378
0.117,1201
0.0134,4233
-0.102,8366
0.127,901
0.256,579
0.0313,4458
0.0212,3775
-0.125,9406
-0.274,10051
-0.0654,7853
-0.195,10288
-0.0211,6359
-0.0749,9853
0.0391,3827
-0.0641,7669
-0.197,9503
-0.0157,5854
0.083,3744
-0.0824,8350
0.41,25
-0.0337,7570
0.14,1158
0.0944,2830
0.0213,4517
0.103,1589
0.117,2023
-0.016,5336
-0.00867,5691
-0.231,9265
-0.0656,6725
0.0529,3940
-0.0521,7515
0.292,467
0.44,83
0.0987,3077
0.139,1381
0.303,461
0.102,1545
-0.0333,6692
-0.0295,6478
-0.154,8618
-0.0692,6560
-0.106,7656
0.034,2772
-0.125,9567
-0.024,6063
0.136,1713
0.0829,3498
-0.767,9125
-0.163,9287
-0.1,9261
0.0805,1238
0.00901,4904
-0.0694,6016
0.00893,4682
-0.0504,6831
0.117,737
0.0366,3234
-0.088,6660
0.125,1756
0.055,3795
-0.149,8116
-0.0953,9786
-0.0393,6095
0.152,1704
-0.0112,4746
0.0326,4074
0.121,2587
-0.388,9417
-0.0927,6463
0.00149,5052
-0.0815,8145
-0.0142,5527
0.0565,2998
0.492,11
0.106,2941
-0.0404,6608
0.147,1988
-0.0528,7284
0.117,540
-0.194,8423
-0.0826,6159
-0.117,7007
