coef,rank
0.0282,4242
-0.254,9364
-0.108,7292
-0.0175,5107
-0.509,9641
-0.292,10263
-0.0447,6948
-0.177,8923
0.00409,4741
0.187,1407
0.144,1110
0.0542,2572
-0.0237,6087
0.0627,3655
-0.081,6183
-0.524,9422
0.0693,1512
-0.0409,7788
0.106,1963
-0.0837,7798
0.0702,3542
0.353,1511
-0.0517,6586
-0.106,8128
0.358,1229
0.241,1201
-0.0404,6753
-0.898,10336
-0.159,8212
0.142,1186
0.0149,4706
0.281,1955
0.0527,3760
0.0902,3557
-0.131,9224
-0.0928,9155
-0.0523,7125
0.0536,3911
0.105,2368
-0.211,9684
-0.128,9467
0.00977,4659
-0.0736,6811
0.125,1478
-0.0322,5757
0.132,2243
-0.00945,5509
-0.0442,7997
0.0872,3105
0.0249,4194
0.0499,3425
-0.0625,6326
0.034,4161
-0.0408,7238
0.117,2371
0.197,1459
0.478,951
0.225,1222
-0.00571,5520
0.0807,1978
0.201,1438
-0.0684,6888
0.103,1414
0.0184,4076
0.155,623
0.0246,4018
0.000447,5259
-0.149,9767
0.0425,3869
-0.762,10267
-0.104,9263
-0.136,9369
-0.00607,5162
-0.0828,6982
0.276,916
-0.0519,6984
0.226,217
0.0858,2102
0.0884,1763
0.191,674
-0.199,7026
0.0998,2907
-0.0111,5794
-0.0963,8754
0.0441,3623
0.233,1398
0.0688,2937
-0.00962,4910
-0.0197,6065
-0.0143,6014
-0.113,7736
-0.0393,6147
-0.0785,6681
-0.21,9313
0.174,1569
0.0262,3884
-0.199,8551
0.168,398
-0.102,8489
0.174,1146
-0.0446,7064
0.0146,4585
0.382,10
0.047,3907
0.133,2932
0.0387,4239
-0.216,8752
0.228,893
-0.0479,6159
-0.033,5873
-0.177,7113
-0.348,10343
-0.121,9802
-0.0728,8882
0.166,1448
0.0625,3095
0.00758,4629
-0.0939,7089
-0.0613,6881
-0.0492,7468
-0.0466,7586
-0.16,10229
-0.309,9550
0.515,571
0.177,287
-0.363,10189
0.00134,4799
-0.198,9587
-0.313,10336
0.0133,4594
0.0793,1972
0.0603,3460
0.431,213
0.102,1982
0.0686,3306
0.215,2045
0.0949,1792
-0.0111,5484
-0.528,10347
0.0532,2723
-0.282,10015
-0.0241,5505
-0.0082,5139
0.0373,3759
-0.114,7697
0.141,2181
-0.108,9209
-0.0132,5257
-0.0854,7701
-0.0852,8687
-0.581,9486
0.218,857
-0.181,7704
0.0181,4403
-0.165,9213
0.142,1308
-0.0304,5572
-0.0933,7968
0.175,1370
-0.169,9241
0.131,2231
