coef,rank
-0.737,10092
-0.126,7306
-0.00501,4953
-0.511,10261
0.0536,4182
0.0452,3695
0.000331,5026
-0.248,9820
-0.0329,5615
0.0686,3360
0.0394,3819
0.0146,4376
-0.191,10157
0.0254,4542
-0.0843,6233
-0.0161,4459
-0.00839,5779
-0.00454,5329
0.00403,4897
0.118,1756
-0.0659,6531
0.0677,3967
0.189,890
0.265,264
-0.221,8145
0.365,421
-0.0925,8482
-0.0323,4016
0.185,1790
-0.0831,8047
-0.0353,6185
0.105,3631
-0.303,10222
0.0281,4378
-0.069,7522
-0.116,9747
0.111,1712
0.254,1272
0.152,1529
0.101,2368
-0.0243,5858
0.00677,4854
-0.0482,6190
0.00211,5146
0.0782,3113
-0.171,8618
-0.063,8554
-0.0725,9206
0.067,3466
-0.0303,6056
-0.222,9810
0.0437,3930
0.0178,4629
0.0187,4123
0.0587,3700
0.118,2600
0.115,3217
0.0264,4399
0.0972,1057
-0.0778,8229
-0.324,10191
0.0331,3958
0.158,493
0.109,582
-0.0933,8630
-0.0861,8782
-0.0186,6069
-0.156,9871
0.0226,4412
-0.69,10101
-0.00549,5404
0.00791,4597
-0.233,9943
-0.0958,7303
-0.241,9544
0.0143,4709
-0.177,10093
-0.113,8840
-0.0594,7745
-0.0346,6496
0.499,1400
0.17,1969
0.0068,4852
-0.0687,7823
-0.0577,6933
0.114,2928
0.0557,3321
0.0879,3501
-0.0655,8349
0.00377,4939
-0.0472,6278
0.171,1541
0.0432,4206
0.15,2212
-0.119,8113
0.0163,4326
-0.0421,5532
-0.104,9158
-0.0801,7824
-0.105,8022
0.117,1054
-0.00195,5144
0.0985,1872
-0.163,8299
-0.0187,5231
-0.335,10227
-0.266,9381
-0.21,9584
0.491,21
0.175,1418
0.0465,4225
-0.0393,5579
-0.069,8372
0.0806,1269
-0.0512,6650
-0.0335,6263
0.143,658
-0.363,10393
-0.0477,6474
0.0831,1388
-0.107,9565
-0.0437,7268
0.335,843
-0.322,9144
0.0258,3956
-0.00302,5041
-0.221,8707
-0.0557,6482
-0.0501,6322
0.117,2080
0.0891,1683
0.0128,5002
0.15,2177
-0.084,8139
0.885,1584
0.168,2492
-0.0472,7013
-0.0558,7123
-0.3,9067
-0.048,7555
-0.224,9431
-0.0218,5438
-0.196,9785
-0.222,10376
0.0839,3118
0.0163,4682
0.165,382
0.113,2718
-0.0401,6310
0.0853,1843
-0.211,6004
0.138,1872
0.0832,3415
0.226,578
-0.345,10438
0.0407,3759
0.44,320
0.0799,2688
0.0538,3605
-0.293,10346
-0.0437,6233
-0.0313,7011
-0.133,8659
0.156,1908
-0.0168,5932
0.118,1060
-0.0531,6788
0.0577,2886
-0.0212,5477
-0.0475,5438
0.044,3667
0.0908,1797
-0.0338,7581
-0.141,9256
0.145,653
-0.0307,5563
0.252,1898
0.00153,5011
-0.0402,6671
0.12,2355
0.0664,2568
0.0978,1529
0.0945,1119
0.0564,1237
-0.0709,7778
0.0759,2221
0.101,2588
-0.0647,7762
0.237,2251
-0.0122,5772
-0.261,10301
0.0826,796
-0.0128,5512
0.25,756
0.0165,4589
0.0186,4369
-0.174,9458
-0.239,9238
-0.0559,8172
0.0433,3919
-0.037,5901
0.235,1477
-0.111,9529
-0.0416,6012
0.175,1511
0.0427,4173
-0.0385,6138
-0.0731,6744
-0.00264,5090
-0.105,9146
-0.0308,6521
-0.0773,6980
0.0572,3352
-0.00771,5059
-0.018,6161
-0.00347,5223
-0.117,8579
-0.142,8819
-0.299,9425
-0.522,7410
-0.358,10447
-0.0288,6512
-0.056,8453
-0.173,8841
-0.193,8042
-0.0525,6224
-0.144,9423
-0.0274,6370
0.0912,1197
0.0833,3177
0.00284,4910
0.0934,3111
-0.386,10337
0.125,315
-0.141,8518
-0.24,9889
-0.137,6197
-0.22,9740
0.188,1701
0.0639,4103
0.148,2891
-0.0877,8443
0.129,1450
-0.0935,8189
0.179,655
0.0179,4195
-0.0697,6819
0.0376,3747
0.241,958
-0.0549,7376
-0.0451,7706
-0.0301,5499
-0.246,8623
-0.272,9412
0.276,1962
0.000334,5154
0.0145,4278
0.0633,2845
0.234,514
-0.0404,6326
-0.125,8039
0.0426,3193
-0.262,10283
-0.125,7398
-0.119,8818
0.0107,4602
-0.175,6752
-0.398,10429
0.0825,842
-0.106,8052
-0.123,8809
-0.279,9938
-0.0924,8122
0.0263,4056
0.0426,4100
0.0128,4704
-0.108,8186
0.276,755
-0.204,10103
0.0188,4356
-0.126,7594
-0.247,9986
-0.18,8805
-0.105,7549
-0.0494,6386
0.0156,4279
0.429,33
0.0183,4481
-0.252,9814
0.245,1034
0.146,2676
0.0863,1447
0.0292,4118
0.152,2792
-0.0341,6487
0.0169,4827
-0.0843,6748
-0.209,10102
-0.145,9500
0.222,741
0.0779,2779
-0.152,8695
0.142,3084
-0.0463,7202
0.462,168
-0.145,9665
-0.178,7202
0.0452,3951
-0.00287,5135
-0.0476,7786
0.0676,2694
-0.21,9792
-0.192,8142
-0.0109,5171
-0.0236,5703
-0.289,9484
0.0487,4036
0.162,2158
-0.0946,8108
0.113,2723
0.0879,3734
0.0317,3641
0.0919,2142
-0.124,9345
0.114,2254
-0.076,8703
-0.0096,4739
0.13,761
0.0212,4157
-0.117,7536
-0.0787,6960
-0.187,8832
-0.332,5401
0.011,4726
0.0515,2902
-0.00799,5389
-0.0941,8742
-0.0111,5671
-0.411,10210
0.0538,2522
-0.755,9617
-0.0831,6744
-0.00763,5587
0.0231,3680
-0.183,8968
-0.0212,6075
-0.0968,7719
-0.586,7359
-0.525,9733
-0.98,9577
-0.417,6766
-0.0204,4117
-0.362,10346
-0.0711,6434
0.0998,2382
0.0424,3827
-0.0983,9635
-0.0966,9754
-0.805,10234
-0.0392,5744
0.46,157
0.379,1470
-0.0782,7268
-0.0256,6474
-0.143,6670
0.483,105
0.216,413
0.046,3367
-0.0985,7285
0.0251,4060
-0.163,9212
-0.152,8336
-0.0516,6445
-0.112,6914
-0.0949,7211
0.0307,3957
0.153,2113
-0.0584,8508
-0.0496,6525
-0.0928,5432
-0.0272,6257
-0.00521,4942
0.0582,3452
-0.236,10204
0.126,2857
0.205,875
0.0939,2434
-0.177,9960
-0.283,10373
0.121,2919
0.123,1731
0.275,1235
0.0592,3739
0.0507,3347
-0.266,9124
-0.0557,7162
-0.0748,6930
-0.0253,5730
0.0398,3801
-0.0403,6728
-0.28,10416
0.132,2519
-0.125,7768
0.178,3174
-0.00308,5479
0.112,1426
0.0732,3352
-0.179,8568
-0.0561,6441
0.0419,4265
-0.0234,6041
-0.0926,9878
0.0489,328
0.0129,4710
-0.0978,6615
0.122,1788
-0.176,8397
0.0535,2583
0.0578,3445
0.00129,4949
0.0584,3751
0.086,3281
-0.238,9273
-0.0922,8691
0.238,530
-0.0122,5204
0.0365,4227
0.0427,3809
0.0844,1707
0.152,759
0.0342,4452
-9.92e-07,5060
-0.251,9743
0.207,470
-0.0115,5111
-0.0391,6637
0.00217,5027
-0.585,9657
-0.267,9468
-0.176,8744
0.709,205
0.0582,2697
-0.0485,6463
0.389,221
0.0412,4366
0.0279,4299
0.0558,3892
0.162,591
-0.0551,5991
-0.179,7918
-0.409,10468
0.027,4295
0.0306,4167
0.0202,4188
0.0653,1568
-0.0973,7390
-0.1,7898
0.0263,4437
0.066,3304
-0.177,10135
0.0649,3567
-0.131,8185
-0.101,7080
-0.136,8590
-0.129,8534
0.0311,4121
0.162,918
-0.0693,6786
0.0528,3796
-0.0446,6964
0.0381,3637
0.214,654
0.261,834
0.0922,2246
-0.123,7034
-0.178,9673
0.0134,4535
-0.121,9468
-0.181,7982
-0.0734,8018
0.176,1554
-0.0224,5604
0.129,1779
0.0275,4193
-0.0948,9125
-0.0167,5837
0.141,794
-0.00679,5127
0.106,2152
-0.0217,7652
0.139,1274
0.0545,3012
-0.084,6409
-0.176,7440
0.176,539
-0.0444,6662
0.0199,4529
0.0541,3412
-0.0875,7703
0.345,598
0.0868,2196
-0.153,10382
-0.0115,5625
0.375,680
-0.188,9785
-0.312,9157
-0.119,7317
0.105,2986
-0.143,10022
-0.15,6429
0.0926,3359
-0.322,9963
-0.353,9216
0.0279,3527
0.0747,2432
-0.145,9711
-0.192,9739
-0.074,6358
-0.231,9936
-0.0234,6129
-0.109,8365
0.093,3763
-0.158,8568
0.107,2884
