coef,rank
-0.473,8695
-0.045,5745
0.177,1701
-0.19,7548
-0.037,5016
-0.102,7627
-0.0395,6710
-0.239,9728
-0.0119,5129
0.0455,3892
-0.0535,7124
-0.000438,5109
-0.0655,7638
-0.232,9779
-0.313,9448
2.16,25
0.0481,2381
0.0032,4805
0.238,309
-0.148,9276
-0.0969,7239
-0.027,5095
-0.194,9760
0.111,2051
-0.135,6894
-0.155,8248
-0.0261,6175
-0.471,8270
0.0695,3572
0.269,166
-0.139,8836
0.0554,4227
0.336,345
-0.184,7686
-0.048,6719
0.0391,3096
-0.121,9030
-0.141,7649
0.0123,4656
0.309,241
-0.0828,8215
-0.00804,5922
-0.118,7760
0.0245,4291
0.0367,4038
-0.0243,5402
0.0742,1262
0.0217,3628
0.355,379
-0.173,9757
-0.0479,6146
0.257,825
0.0364,4103
-0.0702,8545
-0.014,5745
-0.0195,5481
-0.13,5935
-0.227,9413
-0.0247,6545
0.133,868
-0.207,9153
-0.243,10078
0.0581,2781
0.0189,4051
-0.0395,6731
-0.0169,5964
0.0108,4805
0.157,741
-0.201,9746
-0.203,6098
-0.06,7823
-0.0535,6989
0.00194,4910
-0.208,9397
-0.0783,6877
0.0945,2389
-0.146,9695
0.0672,2616
0.0281,3863
0.0058,5013
0.00787,4800
0.0464,3832
-0.0228,6433
0.0819,1955
0.131,1537
-0.262,9492
-0.0843,8022
-0.199,7943
-0.0232,6241
0.0541,2221
-0.0134,5455
-0.0463,6344
-0.000252,5100
-0.00267,5166
0.14,2091
-0.0667,7877
-0.077,6270
-0.116,9460
-0.0208,5866
-0.167,9250
0.0168,4316
-0.0399,6568
0.0877,2153
0.222,1257
-0.206,8377
0.072,3575
-0.0192,5237
0.0185,4557
0.158,1557
-0.0475,6279
-0.132,6507
-0.0926,6967
-0.0989,9375
-0.00518,5393
0.0406,4059
-0.0987,8261
-0.255,10458
-0.301,10182
-0.0275,5909
-0.0623,8021
0.0699,2209
-0.0704,8334
-0.336,9779
0.235,2198
0.137,709
0.0225,4573
0.052,3869
0.052,3453
0.0127,4611
-0.0829,7414
0.0842,1829
0.0834,2801
0.101,2930
0.0782,2603
-0.127,4356
0.406,759
0.0832,2105
-0.0325,6289
0.176,2350
-0.0797,8794
0.257,857
0.203,1034
-0.138,8799
-0.00392,5350
0.326,354
-0.0873,7146
-0.0652,7883
-0.03,5618
0.00342,4904
-0.0151,5814
-0.364,7611
0.0225,4581
0.248,1488
0.224,593
-0.149,8923
0.0146,4597
-0.313,9863
-0.0875,7801
-0.104,7572
0.237,554
-0.0765,7051
0.00485,4765
-0.0968,7795
0.298,515
0.0223,4227
-0.0131,5887
-0.0792,7505
-0.0205,6136
0.0606,3288
0.318,997
0.224,287
0.0614,2700
0.0478,2100
-0.0408,6449
0.091,1627
0.00831,4512
-0.0733,6031
0.106,532
-0.111,9085
0.025,4389
0.178,376
-0.0312,6641
-0.0629,8322
-0.00713,5876
-0.136,9445
-0.0591,7483
0.135,1970
0.0661,2661
0.518,705
0.0927,2006
-0.00787,4958
0.0134,4183
-0.0546,7049
-0.154,8579
-0.442,10326
-0.149,9859
0.0139,4661
-0.245,9303
0.0824,1436
0.00494,4731
0.0298,3941
-0.0199,5271
-0.00908,5451
0.212,1057
-0.0372,5997
-0.0991,7187
0.176,904
-0.145,8345
0.029,3801
0.0591,2652
-0.0887,8604
0.01,4871
-0.127,7971
-0.0561,6374
-0.107,10096
-0.181,10257
-0.0943,8057
-0.0856,7462
-0.243,8869
-0.542,7584
-0.167,9338
0.178,207
-0.0879,9565
-0.225,9577
0.0402,4258
-0.266,10014
-0.229,10292
0.0203,3922
-0.0365,7259
0.211,1409
0.0323,4017
0.0849,3257
0.00963,4961
0.0782,1159
0.153,1612
-0.102,7702
-0.407,9214
-0.0755,7030
-0.0932,6881
-0.036,5362
-0.145,7291
0.00991,4707
0.293,86
-0.0697,7485
-0.0504,6818
-0.0903,7414
-0.0599,6608
-0.0082,5426
0.0141,4646
-0.162,9987
0.0338,3221
-0.207,8604
-0.0217,5209
0.147,2407
-0.199,7606
-0.00672,5400
-0.251,10428
0.085,2204
-0.199,9821
0.233,720
0.135,2018
0.123,1019
0.00347,5128
0.066,3464
-0.0705,7477
0.17,1245
0.181,2712
0.161,2036
-0.0477,8387
0.0478,3671
-0.0235,5815
0.101,2694
0.206,564
0.145,1251
-0.079,6924
-0.0451,6616
0.0862,2582
0.33,459
-0.0531,6909
-0.0125,5390
-0.338,10190
-0.0621,6778
-0.35,10302
-0.151,8593
-0.0895,7513
0.0451,2911
0.0244,4222
0.0765,3175
0.157,1761
0.0454,3837
-0.0954,6662
-0.113,9789
0.126,1143
-0.144,7467
-0.0091,5559
-0.289,10106
-0.0116,5381
0.0672,2922
0.0447,3377
-0.0654,6803
-0.225,10047
0.231,899
-0.123,6499
-0.00937,5358
-0.0258,5777
0.0258,4182
-0.0388,5258
-0.0414,5777
-0.0392,6753
0.0696,1809
-0.216,10257
0.191,1073
-0.212,8445
-0.123,7276
-0.154,8877
-0.249,9025
-0.0787,7063
-0.162,7845
-0.236,10245
0.174,1820
-0.0331,5488
-0.0256,6409
0.104,1838
-0.131,9477
0.446,45
0.0484,2512
0.185,3035
-0.0104,5856
-0.01,5520
-0.123,7656
-0.0697,6722
0.188,1552
-0.11,3515
-0.0932,8854
-0.135,9885
0.0448,3579
0.0662,2428
0.137,1088
0.00432,4788
0.0946,1244
-0.733,9498
-0.00324,5088
0.0275,3488
0.0379,2939
-0.118,7781
0.000304,5061
-0.0515,6467
-0.597,7424
-0.328,7966
-0.399,6108
-0.503,7528
-0.567,8838
-0.115,7488
-0.126,7485
-0.107,8382
0.411,100
-0.0346,7191
0.0557,1884
-0.199,5713
-0.334,9920
-0.01,5052
0.727,361
-0.0983,7781
-0.104,9536
0.246,1979
-0.111,7520
-0.0303,6271
0.14,1126
-0.179,8819
-0.137,9833
-0.0556,6683
-0.134,7998
0.029,4200
0.0232,4352
-0.0923,7144
0.0138,4586
-0.177,8660
0.0189,4156
-0.0546,6650
0.574,1006
-0.0646,7588
-0.0183,5444
0.18,1055
0.0536,3429
-0.106,6961
-0.153,9116
0.0323,4192
0.0251,4063
0.167,1076
-0.189,8459
0.113,1909
-0.154,7698
-0.254,9989
0.0672,2857
1,8
0.221,378
0.00342,5109
-0.131,8632
0.00984,4772
0.000225,5116
0.209,551
-0.00145,4924
-0.0997,7223
0.059,4184
-0.0402,9131
0.071,2496
-0.143,7933
-0.0229,5564
-0.183,9053
0.0283,4569
0.0537,2718
0.0276,3023
0.00792,4006
0.25,311
-0.0531,5857
-0.0523,6679
0.00563,4815
-0.033,7089
-0.0334,5955
0.374,212
-0.144,8904
0.313,621
-0.328,10061
-0.112,9233
-0.174,9484
-0.112,7447
-0.0649,6757
0.0939,2523
-0.0541,7771
0.00668,5022
0.0569,3948
0.0806,2664
0.127,2743
0.21,441
-0.1,7251
0.00503,4883
-0.111,9966
-0.243,6682
-0.242,9199
-0.133,7985
-0.172,7334
0.00408,4899
-0.254,10218
0.21,1232
-0.319,8958
0.266,922
0.103,3028
-0.00561,5421
-0.22,8660
0.104,3153
0.244,619
-0.0749,6822
-0.0387,6315
-0.106,8980
-0.0219,6425
0.148,1726
0.0353,4131
0.144,1988
0.0417,4028
-0.046,6932
-0.0231,5538
0.0803,2983
0.119,2808
0.0405,3998
0.24,523
0.0675,2871
-0.0481,6977
0.0935,2507
-0.301,10265
0.0975,1558
-0.0529,6579
0.124,1862
-0.113,7640
0.113,1756
0.0101,4616
0.204,575
0.0307,3992
0.1,1381
0.457,486
-0.000821,5364
-0.00543,5091
0.304,627
0.0713,3173
0.0665,2837
0.248,27
-0.00843,5479
0.00481,4807
-0.147,9316
-0.21,9887
-0.0179,7274
-0.143,9282
-0.0191,5858
-0.109,6796
0.268,1611
-0.0273,6249
0.0864,2637
0.1,2022
-0.106,7971
-0.0632,7026
0.0824,3429
0.143,1027
0.028,3277
0.196,314
0.4,563
0.218,497
-0.195,7756
-0.179,8364
0.256,1100
-0.096,9114
-0.375,9000
-0.248,9027
-0.167,8136
0.0427,4157
0.0426,2894
0.168,483
0.065,2728
0.00638,4656
-0.0604,6085
-0.289,10286
0.0661,2236
0.165,1029
0.154,2964
0.0419,4106
0.217,1357
-0.126,6626
-0.0202,6283
0.0433,3585
0.181,1328
-0.0257,6018
-0.0899,7982
-0.0846,7125
0.103,1657
-0.043,7867
0.358,2585
-0.372,6043
0.351,2172
0.249,551
-0.00498,5058
-0.0494,7116
-0.203,9262
-0.0195,5328
-0.094,7737
-0.0731,7736
0.103,2701
0.154,1471
-0.12,8935
0.303,2362
1.42,32
-0.0205,5806
-0.193,9065
-0.173,9845
0.0452,4114
0.0456,3819
0.0182,4568
-0.0804,7377
-0.00566,5040
0.0869,2580
-0.0168,5822
0.128,2164
0.0422,3708
0.109,1355
0.116,1488
0.0913,2091
-0.0566,6832
0.0161,4487
0.0328,3559
0.276,78
-0.00744,5275
-0.198,9670
-0.0892,7567
-0.113,8429
0.102,2674
0.0632,3167
-0.00393,5184
-0.261,8652
0.0531,3339
0.311,792
-0.366,9487
-0.016,5746
0.051,3327
0.0504,4047
-0.235,10413
0.0389,3534
0.207,1719
0.0136,4527
0.0638,2834
0.0343,4124
-0.0347,6592
0.094,3158
0.788,72
-0.0187,6332
-0.302,10402
-0.116,7693
0.25,612
-0.235,10141
0.0901,2045
0.0239,4462
0.0343,3765
-0.144,8492
-0.0276,5391
-0.12,8414
0.509,77
0.175,743
0.0912,1534
-0.309,9938
-0.118,9603
0.209,1994
0.184,1978
-0.000192,4973
0.223,265
-0.0543,6446
0.000257,5120
-0.135,8010
0.0419,3900
-0.0795,7688
0.0481,2891
0.0759,1771
-0.0754,7260
0.141,1500
-0.111,8492
0.0355,3572
0.165,1635
0.041,3274
-0.359,6993
-0.328,8692
0.246,147
0.0283,3553
-0.0728,8787
-0.0183,6045
-0.0271,5190
-0.214,9864
0.0329,3743
0.0205,3835
-0.0678,7789
0.147,1979
0.0283,4208
-0.0795,6836
-0.117,8785
-0.23,9806
-0.217,5600
0.0286,4113
0.0935,3175
0.191,1252
-0.119,9513
-0.147,8593
0.608,2262
-0.0498,7240
-0.271,8463
0.349,650
-0.062,8274
0.0159,4614
0.415,2237
-0.304,6402
0.127,2771
-0.0179,5327
0.0106,4920
-0.104,7404
0.458,32
-0.0185,6475
-0.186,9497
0.082,3572
-0.112,5572
0.0564,2693
0.0268,4100
0.0222,4021
-0.104,7271
-0.0327,6344
-0.318,9622
-0.12,9388
-0.0363,6259
0.0356,4015
0.0194,4487
0.177,2280
0.256,775
0.2,1307
-0.0145,5811
0.114,1787
0.125,2494
0.0581,2736
-0.189,9394
0.54,144
0.117,1509
-0.176,8657
0.0423,4053
-0.367,8196
0.217,659
0.0523,3950
-0.0765,7237
-0.153,9588
0.0532,3891
-0.0701,6325
0.243,687
0.0491,3870
0.161,2004
-0.0646,7022
0.00522,4987
0.0607,4341
0.149,1791
-0.0326,6019
0.025,4055
-0.197,9844
0.119,1049
0.202,1039
0.474,613
-0.158,4968
-0.0772,8262
0.0806,1853
-0.0395,6940
-0.112,7433
0.0395,2959
0.078,3416
-0.115,8531
0.0872,1696
0.564,199
0.125,2415
-0.126,8305
0.22,815
-0.0196,5624
0.172,534
0.328,1567
-0.251,9059
-0.352,8476
0.0332,4384
0.0511,2537
0.134,1945
-0.142,8144
0.0194,4246
-0.00426,5418
0.2,2285
-0.231,10141
0.175,1000
-0.12,8420
-0.00493,5242
-0.251,8320
0.158,3467
-0.0254,6484
0.189,121
0.198,500
0.154,1622
0.259,810
0.0387,4161
0.00674,4906
0.0955,2406
0.0494,3755
0.0167,4556
-0.143,9085
-0.0433,6981
-0.119,9016
0.107,1671
-0.0764,7441
-0.2,8484
-0.0104,5461
0.076,2850
0.398,426
-0.016,5946
-0.0755,7017
0.091,2610
-0.232,10084
0.0251,4671
0.137,1629
-0.129,8309
0.015,4693
-0.341,9685
0.0292,4417
0.00101,5036
-0.16,10286
-0.337,9922
0.0476,4112
0.0875,2763
-0.146,7575
-0.171,8770
-0.102,8633
-0.127,8756
-0.186,8388
0.0625,2486
0.18,2346
0.542,97
0.235,851
0.156,395
-0.00179,5063
-0.182,9039
0.135,1942
0.0879,3219
0.146,826
0.201,801
-0.0282,8405
-0.00591,6917
0.0373,916
-0.0422,10368
-0.0266,9704
-0.356,5556
-0.139,7933
0.0443,3805
-0.147,9433
-0.192,9687
-0.173,7548
0.0374,4479
-0.112,7175
-0.0693,7789
-0.194,8788
-0.131,8945
-0.18,8169
0.0973,711
0.0553,3258
0.00683,4899
0.15,3419
-0.0971,5674
0.374,1047
-0.0786,5162
-0.0214,5757
-0.164,8837
0.121,3723
-0.107,7293
0.0316,4466
0.106,3450
-0.173,9771
0.0551,3250
0.427,790
-0.253,10174
-0.0532,7451
-0.159,10150
0.0678,4015
-0.0667,6405
0.197,744
-0.178,8012
0.015,4736
-0.0348,6721
-0.0209,6753
0.147,1653
0.138,1517
0.037,4025
-0.363,10141
-0.0462,5967
-0.0481,6615
-0.206,9026
0.0735,3108
0.106,2558
0.0441,3209
-0.0401,6868
0.00495,4998
0.0357,3645
-0.074,8317
0.0876,3484
0.0748,3934
0.181,730
-0.0161,5833
-0.314,9923
0.0683,2691
0.137,2397
0.048,4120
0.0902,2080
-0.242,10291
-0.181,7686
-0.128,9675
0.0827,3071
0.119,1660
0.0233,4315
-0.108,8822
0.128,1016
-0.00627,5307
0.182,1323
0.256,1295
0.0251,4041
0.134,682
0.179,2669
0.299,954
0.0716,2796
-0.109,7911
0.0175,4772
-0.111,9454
-0.0225,6091
0.0889,3501
0.163,1071
-0.0432,6930
0.902,419
0.141,1288
0.0648,4038
-0.0344,7232
-0.0174,5833
-0.138,9834
-0.534,7536
-0.616,9421
-0.102,5983
0.0726,3971
-0.0081,5531
0.124,3319
0.00554,4850
-0.13,9163
-0.011,5484
-0.0832,7960
-0.0515,6263
-0.149,9096
-0.142,8508
0.0577,3024
-0.102,8358
0.0315,3813
-0.178,8564
-0.00766,5456
-0.246,9743
0.241,982
0.219,899
-0.184,9617
-0.144,4873
0.292,2315
0.0308,4112
-0.243,8360
-0.16,8300
-0.105,7120
0.202,1739
-0.0835,7877
-0.0424,6171
0.0381,3505
-0.0342,6263
0.028,3284
-0.0937,7687
-0.0525,6348
-0.16,8769
-0.071,8305
-0.138,8166
-0.0271,6645
-0.00494,4901
-0.0381,6087
-0.404,10099
0.0126,4825
0.0854,1398
0.158,1387
-0.258,7865
-0.0545,6860
-0.0241,6099
-0.0413,5853
-0.135,9886
0.0167,4620
-0.0583,5692
0.0888,2496
-0.079,7532
-0.197,8700
0.0172,4187
-0.0742,8091
-0.339,6337
-0.0153,4347
0.187,1882
-0.06,7765
0.0126,4657
0.154,2188
-0.239,8782
0.3,831
-0.102,8144
0.252,1616
0.113,845
-0.324,10270
0.128,3146
-0.671,10356
0.475,1613
0.0652,2834
-0.121,8259
-0.157,9168
-0.176,7685
-0.321,8952
-0.374,8598
0.0744,2240
0.0516,3242
-0.528,10409
-0.0901,7621
-0.094,6399
0.0741,2568
-0.116,9567
0.0584,2413
-0.00612,5630
0.0364,3865
0.0502,3029
0.0068,4896
-0.0337,6745
0.0708,2230
-0.00866,5163
-0.0247,5981
-0.251,8703
0.0738,3689
0.0871,2690
0.109,2000
0.0888,2468
-0.335,10297
-0.26,10143
-0.412,10425
0.0203,4393
-0.103,8877
0.0734,2920
-0.441,10340
0.0444,4107
-0.313,9882
-0.139,8219
0.0254,4085
0.119,3065
-0.103,7761
-0.023,5599
0.0895,2708
-0.21,10084
-0.0103,6157
-0.147,8084
-0.526,8408
0.374,1205
0.114,2203
0.0622,2373
-0.101,8355
0.118,2655
0.0617,2922
-0.122,6514
-0.0547,7309
-0.0977,7754
0.0168,4196
