coef,rank
-0.0938,5164
-0.0102,5075
0.186,1584
-0.113,6481
0.594,940
0.176,1185
0.0916,1712
0.0513,3651
0.0809,3102
-0.0308,5747
0.0347,3963
-0.0179,5973
-0.024,6097
0.0732,3411
0.306,1319
-0.0511,4651
-0.0531,8308
-0.119,10260
-0.153,9396
-0.119,8702
-0.297,10026
-0.17,6914
-0.0843,7524
-0.0467,6480
0.537,538
0.102,2969
0.0446,3412
-0.639,9651
-0.0548,6155
0.00683,4892
-0.0437,6442
-0.0785,6035
-0.375,10417
0.607,238
-0.0253,5865
-0.074,8560
-0.117,8933
-0.17,8167
-0.0868,7470
-0.179,9247
-0.0304,6147
-0.061,8942
0.129,2441
-0.158,9781
0.348,224
0.0466,3817
-0.0114,5643
-0.101,9976
0.0865,3120
0.242,269
0.0384,3739
0.157,1894
0.218,774
-0.078,8874
-0.143,8972
-0.0547,6281
0.277,1946
-0.154,8370
-0.0349,7070
0.0198,4153
-0.192,8905
0.0052,4713
0.0445,3297
0.0125,4432
0.0201,4181
0.0481,3038
-0.0495,7364
-0.00716,5361
0.0188,4522
0.276,2419
0.0377,3388
0.135,1027
-0.0468,6317
-0.149,8437
0.157,2259
-0.173,9807
-0.0807,8143
0.0222,4136
-0.0645,7946
0.0591,3302
-0.323,8283
0.0268,4208
0.088,1410
-0.0726,7976
-0.0313,6069
0.0917,3291
0.00408,5011
-0.119,6670
0.0741,1607
0.00984,4556
0.109,2732
0.0117,4761
-0.302,9922
0.344,425
-0.0773,7165
0.0401,3301
0.0266,4199
0.0364,3492
0.0636,2984
0.091,2560
-0.0331,6555
0.0529,3335
0.0464,3381
-0.0273,5504
-0.178,7978
0.252,1056
0.0379,4175
0.224,947
0.015,4460
-0.176,9136
0.303,1724
0.296,440
0.018,4119
-0.0828,9231
0.0628,3512
-0.016,5652
-0.0206,5828
-0.16,8548
0.0685,3235
-0.057,7811
-0.186,10394
0.0823,1747
0.21,1815
-0.0515,5564
-0.134,9860
-0.00784,5147
-0.0102,5010
-0.0822,7212
0.217,877
-0.0777,7256
0.0891,1685
0.118,1976
0.00587,4869
