coef,rank
-0.00228,4455
-0.0658,6142
-0.11,7332
-0.254,8379
0.27,2464
0.0604,3304
-0.0633,7661
-0.0923,7179
-0.246,9643
0.0254,4373
-0.131,9267
0.0186,4158
-0.041,6746
-0.176,9052
0.468,527
-0.482,9093
-0.154,10418
-0.136,10381
-0.00996,5388
-0.123,8804
-0.157,8420
-0.357,9136
0.512,4
-0.158,9246
-0.519,10313
-0.174,8572
0.0415,3521
-0.34,6682
-0.0874,6835
-0.0882,8184
0.22,736
-0.217,7928
-0.0101,5244
0.224,1976
-0.0192,5627
-0.115,9711
0.0424,3664
-0.198,8587
0.324,223
-0.313,10353
-0.0104,5242
0.074,1257
0.123,2539
-0.155,9745
0.023,4360
-0.148,8184
-0.0463,7715
0.00879,4479
-0.0659,6302
-0.0524,6812
0.26,417
-0.0422,5864
0.23,668
0.0208,4018
0.225,789
-0.241,9685
0.521,795
-0.0444,6028
-0.0172,6136
0.184,288
-0.23,9428
-0.126,8374
-0.0588,7727
-0.0752,9126
0.0505,3017
-0.155,10108
0.138,859
-0.0651,7599
-0.0855,7494
-0.316,7342
0.132,723
-0.115,8904
0.0106,4665
0.0144,4546
-0.12,7731
0.219,524
0.0383,3648
-0.0298,6102
-0.157,10096
-0.0361,6539
-0.508,9665
0.415,306
0.0467,2947
-0.108,9057
-0.0647,7190
0.283,1004
-0.134,9248
-0.0701,5864
-0.0599,8111
0.0477,2489
-0.149,8468
-0.158,8894
-0.282,9764
0.026,4525
-0.229,9809
-0.0316,6471
-0.152,7706
0.0651,2375
0.0663,2917
0.127,1851
-0.168,10208
-0.138,9287
0.0721,2592
-0.152,8111
0.0727,3769
0.0873,3276
0.136,2566
-0.104,7657
-0.0145,5249
-0.0783,7096
0.0972,3695
-0.36,10372
-0.112,9656
-0.0416,7466
-0.212,9855
-0.0401,6480
0.00984,4526
-0.0458,5923
-0.14,8780
-0.0325,6625
-0.0702,8529
0.0798,1814
-0.12,6962
-0.0795,5976
0.152,527
0.106,3164
0.0132,4580
-0.0793,7138
-0.221,9732
-0.125,8450
0.0263,3853
0.102,2321
-0.0624,6391
0.0489,3512
-0.978,9707
0.0551,3962
-0.0758,8089
-0.124,9093
0.139,2739
-0.0446,7385
0.0725,3365
-0.0449,6095
0.0267,4103
0.0197,4445
-0.161,8607
-0.319,10265
-0.126,9614
0.0311,4300
-0.0271,5876
0.0197,4190
0.372,2134
0.0904,2848
0.0904,3310
-0.21,9880
-0.249,10170
0.0581,3226
-0.0979,6855
-0.0208,5727
0.0651,3320
0.223,657
-0.0824,7194
-0.106,9857
-0.0633,6939
0.29,559
0.267,61
0.0406,3491
-0.0903,7827
-0.00427,5434
0.0873,2648
0.284,1199
0.0301,4166
-0.119,9562
0.0568,1680
-0.0066,5271
-0.00347,5146
0.13,1946
0.158,2824
0.0088,4563
0.146,794
-0.176,8974
0.212,174
0.201,259
0.0309,3556
0.0429,1947
0.123,1522
0.0694,2420
-0.0629,6812
-0.0256,6275
-0.207,7464
0.0377,3731
0.138,1331
0.0386,2526
0.111,1704
-0.207,9419
0.0349,4279
0.0704,2517
0.294,220
0.189,2026
0.209,59
-0.257,9589
0.0771,2727
0.223,1606
-0.0219,6088
-0.0454,6102
-0.0313,5844
0.402,274
-0.205,9933
0.0343,4078
0.109,1374
-0.0402,7009
0.169,593
-0.152,8580
-0.0988,7317
0.267,444
0.000129,4949
-0.0432,6963
0.00418,5173
0.0954,2465
-0.133,7200
1.95,533
0.0947,2604
-0.0237,6285
0.0349,3146
-0.00366,5210
-0.152,7367
0.399,116
-0.11,8696
0.003,4822
0.00387,4951
0.0364,4034
-0.0889,7671
0.19,1769
-0.0328,5855
0.112,478
-0.246,10029
-0.341,10378
-0.0394,5048
0.0199,4420
0.287,799
0.166,2949
0.282,1520
-0.0508,7169
0.0754,2715
-0.0927,8163
-0.0841,7898
-0.12,8217
-0.127,8040
0.0621,2982
0.0714,3371
0.109,1593
0.0744,1494
0.0349,4314
-0.111,6606
-0.0442,5663
-0.453,9970
-0.173,9777
0.103,1485
0.0855,2193
-0.0515,6638
-0.00457,5328
0.15,1790
0.108,1307
0.18,1136
0.274,924
0.0859,2373
0.0705,3004
-0.351,8960
-0.228,9563
-0.0036,5494
0.111,2185
0.0654,2930
-0.107,7312
0.082,2679
-0.0235,5669
-0.141,8273
0.252,345
-0.0967,7900
-0.0234,5643
-0.0581,7070
-0.0935,7926
-0.00315,4920
0.0544,3741
0.0204,4608
0.151,1739
-0.0944,7642
0.0694,1951
-0.0531,6512
0.148,1878
-0.182,8957
0.199,1457
-0.403,10198
0.108,945
0.00769,5024
-0.275,9244
0.0799,2470
0.265,851
-0.162,8018
-0.0371,6331
0.179,558
-0.303,10334
-0.0718,7114
-0.0203,5635
-0.527,10267
-0.0865,8916
-0.266,9844
0.202,329
0.278,1659
-0.253,9582
0.0986,1593
0.0114,4578
0.0947,1975
0.338,164
-0.0541,5742
-0.145,7647
-0.134,8456
-0.114,7099
-0.0151,5524
-0.372,10158
0.0411,3672
0.0406,4076
0.272,1843
-0.0491,7589
-0.12,9111
0.106,1722
-0.0746,7089
-0.0785,8799
-0.257,7299
0.0437,3355
0.214,137
0.185,1691
0.17,1486
-0.179,8689
-0.536,7398
-0.00626,5491
-0.0142,5849
0.186,701
-0.0132,5625
0.0236,4277
-0.0204,5231
-0.0279,6534
-0.884,10067
0.242,1331
0.0609,1854
-0.0135,5793
-0.284,10060
-0.0582,7797
-0.162,9175
-0.627,7596
0.331,2202
0.526,2038
0.116,3184
-0.476,8088
0.112,2543
-0.267,9563
0.0222,4452
-0.159,8607
0.0763,1633
-0.0168,5994
-0.301,6809
-0.135,7528
-0.542,10470
-0.28,7948
0.191,948
-0.0944,9291
-0.286,8638
-0.262,9857
0.181,733
0.000767,4929
-0.069,6660
0.0243,4085
0.241,588
0.482,126
-0.103,7805
0.118,2841
0.202,1075
-0.0314,6371
-0.24,9487
0.211,15
0.0337,4163
-0.594,10107
0.0933,2193
-0.0461,6525
-0.0924,7753
0.0889,2501
-0.0845,6543
0.0117,4884
0.233,430
-0.0699,7571
-0.18,9605
-0.181,8345
0.0498,3515
0.177,2220
0.26,746
-0.000268,5252
0.252,1616
0.0672,2895
-0.275,10034
-0.064,6908
-0.39,10473
-0.128,9357
0.0889,2447
0.052,3836
-0.252,9717
1.08,170
-0.0578,9978
0.0434,3445
-0.35,10248
0.0884,3389
-0.248,9839
-0.372,10400
0.031,3616
-0.0927,9879
0.0315,1186
-0.0395,6513
0.259,1482
-0.211,10043
-0.0208,5386
0.0412,3109
0.191,991
0.154,1805
-0.177,9453
-0.0527,6178
0.204,1569
0.0959,1515
0.296,231
0.317,581
-0.0672,6804
0.203,802
-0.0544,7783
0.101,1679
0.00366,5195
-0.186,9735
0.00773,5117
0.0168,4665
0.00545,4660
-0.0863,8212
-0.0461,7814
0.246,2550
-0.13,7446
-0.158,8448
0.22,2207
0.0543,2844
0.195,821
0.357,305
-0.257,8226
-0.178,8598
-0.125,7610
0.0634,2777
-0.197,8327
-0.13,7078
0.167,1451
-0.0376,5912
-0.0306,6054
0.206,330
0.0883,897
-0.359,10414
0.0303,4284
0.161,1718
-0.0378,6757
-0.0278,6168
-0.147,8266
0.116,2289
0.0535,3917
0.0402,4005
0.319,168
-0.0805,8210
0.0137,4698
-0.0855,7216
-0.000326,5141
0.0098,4628
0.0849,2398
-0.0305,6004
-0.16,8545
-0.0543,7304
-0.484,10397
-0.129,8773
0.0448,3616
0.0365,3388
-0.178,7943
0.055,3262
-0.0993,7490
0.339,438
-0.0055,5513
0.133,1171
0.15,499
0.377,2
-0.216,10375
0.0957,2074
0.272,292
0.00864,4353
0.12,1646
-0.0364,6542
-0.155,7514
-0.156,7132
0.000397,5137
-0.0528,6932
-0.109,8993
-0.194,9625
-0.0789,7462
-0.108,7179
0.0996,1869
0.0675,1529
0.154,698
-0.248,9141
0.00858,4774
0.0476,4165
0.326,874
-0.149,7995
-0.0135,5774
0.197,2823
-0.159,7728
0.348,768
-0.476,10071
-0.0488,7495
-0.0111,5880
-0.0119,5518
-0.0307,5806
0.00817,4600
-0.0731,7288
0.0118,4470
-0.149,9227
-0.141,7183
0.0197,4587
-0.253,9671
-0.188,7433
-0.00788,5654
-0.000977,5048
0.173,1417
-0.00872,5410
0.135,1569
-0.197,9344
-0.0411,7038
0.0105,4575
-1.07,10295
-0.525,7732
0.124,3695
-0.00806,5384
-0.236,9506
-0.107,8857
-0.153,8492
0.0354,4118
-0.00328,5021
-0.0835,8045
-0.152,8707
0.0718,3118
-0.062,7366
1.54,40
-0.182,6406
0.0435,3312
-0.137,8088
0.0133,4638
-0.246,9980
0.0356,4041
-0.114,8410
-0.155,9023
0.00776,4676
-0.0826,7590
-0.089,8414
-0.23,9804
0.133,1596
0.0754,2202
0.111,1572
-0.179,9940
-0.0465,6506
-0.0724,6629
0.149,628
-0.188,10177
0.0775,3256
0.0998,2428
0.0955,2243
0.0352,4061
-0.0867,7365
-0.0657,7171
-0.0439,7189
0.0163,4577
-0.0542,7094
0.0967,3219
0.455,851
-0.0633,7632
-0.179,9555
-0.0835,6717
-0.0511,7157
0.301,16
-0.108,7187
0.123,1087
0.104,1705
-0.137,8939
-0.0817,8175
-0.287,9822
0.217,2255
0.0483,2313
-0.17,9443
-0.116,7708
-0.137,8603
0.155,1464
0.0856,2166
-0.11,8323
-0.0553,7364
-0.133,8287
-0.147,7774
0.0191,4525
-0.0888,7082
-0.00734,5118
0.101,1266
0.00223,5158
-0.0472,7370
-0.108,6903
0.186,1957
-0.329,10466
-0.075,7869
0.0779,3322
-0.031,6304
0.219,1116
-0.183,8759
0.39,16
0.183,263
-0.0361,6916
0.149,1447
0.0627,3259
0.0568,3319
-0.021,6009
0.0252,4434
-0.0122,5568
-0.337,6740
0.18,3012
0.03,3914
-0.245,10468
-0.0501,7764
0.0229,4246
-0.185,8316
-0.142,8791
0.185,240
0.0795,1009
-0.0892,8513
-0.141,8392
-0.262,9399
-0.0935,7153
-0.153,9462
0.119,1941
0.218,3113
0.0676,2982
0.133,2637
-0.128,7993
-0.0232,6273
-0.17,9055
-0.258,5707
0.0527,3278
-0.304,8861
-0.37,10189
0.076,1650
0.214,1518
-0.8,10034
-0.218,5662
0.0317,4593
0.355,778
