coef,rank
-0.656,9826
-0.0608,6058
0.202,1432
0.737,133
0.737,576
-0.2,9549
-0.0499,7156
-0.219,9518
0.247,851
-0.123,7891
0.0968,2066
0.0231,3921
-0.172,10003
-0.0651,6812
0.0985,3446
0.153,3508
0.0643,1707
0.00478,4695
0.169,886
0.0389,3798
-0.141,8128
0.277,2000
0.0895,2542
0.179,927
-0.0688,5920
-0.0488,6130
0.118,1333
-0.302,6179
-0.0686,6435
0.157,975
0.0384,4009
0.0288,4577
-0.134,8135
-0.276,8914
0.0928,1947
0.112,844
-0.0301,6306
0.173,2101
-0.00288,5071
0.132,1781
0.137,751
-0.103,10095
-0.433,10449
-0.0336,6507
0.399,120
-0.0576,6174
-0.0175,6035
-0.0972,9902
-0.318,10143
0.215,413
-0.0244,5457
-0.021,5388
0.146,1703
-0.0211,6221
-0.0987,8020
-0.184,8956
0.679,416
0.0188,4586
-0.0975,9466
0.0557,2786
-0.201,9050
-0.135,8584
-0.184,10307
-0.0166,6151
0.0354,3575
-0.147,10027
0.0609,2785
-0.00931,5435
0.141,1718
0.541,1211
0.079,1922
0.0735,2382
-0.213,9757
-0.0782,6876
0.284,838
0.0364,3967
-0.129,9399
-0.146,9507
-0.0282,6433
0.12,1678
-0.331,8357
-0.039,5514
0.0402,3254
-0.00841,5376
-0.108,8402
-0.174,8330
0.0942,2271
-0.00761,4884
-0.0525,7780
0.0532,2262
-0.232,9654
-0.158,8903
0.119,2880
0.114,2821
0.233,928
0.0593,2595
-0.252,9246
-0.16,10122
0.123,1529
-0.12,8363
0.0402,3310
0.275,135
0.0128,4587
-0.0766,6557
0.197,2227
0.143,2371
-0.0724,6314
0.185,1403
-0.22,9635
-0.0243,5636
1.12,29
-0.259,9870
-0.041,7118
0.0231,3776
-0.0291,6038
-0.0107,5454
-0.0865,8513
-0.198,9198
0.0758,3065
0.139,412
-0.0471,7609
-0.0464,7394
0.387,588
0.316,1546
-0.106,9272
-0.189,8509
0.234,1466
-0.0721,6936
-0.234,9880
-0.023,5642
-0.084,8553
0.0167,4869
-0.0989,7169
-0.057,7316
-0.351,5946
0.172,2458
-0.0963,8690
0.0875,2224
-0.162,7184
0.182,170
0.0509,3863
0.0558,3467
-0.029,5785
0.218,219
0.0525,3740
0.0496,3925
-0.099,8956
-0.313,10092
-0.0903,7843
0.157,471
1.1,370
-0.0651,7141
-0.0897,6187
0.164,1229
0.0724,2906
-0.105,8471
-0.0609,6142
-0.128,8822
-0.189,9193
-0.0049,5126
0.0506,3843
0.112,527
-0.147,8942
-0.111,7990
0.351,11
-0.0417,7194
-0.161,9307
0.036,3698
0.1,2392
-0.083,6084
0.0689,2857
-0.163,10167
-0.00438,5519
-0.0394,6386
0.0869,1719
-0.194,9321
-0.139,6979
-0.0281,7002
0.12,1204
0.12,2356
0.036,3670
0.0203,4254
0.0261,3798
0.0329,2518
0.118,1612
-0.199,10275
0.0126,4746
0.0947,1833
0.173,2788
0.0597,2975
0.0771,2520
-0.0571,8834
0.0629,2936
-0.0929,7254
-0.0678,6047
0.000514,5132
0.0181,4531
-0.264,9515
-0.0888,9347
0.074,3361
-0.0671,6764
0.0911,3272
0.0712,1996
0.0523,3681
0.255,713
-0.366,10278
-0.201,9889
-0.0211,5415
-0.0178,5782
0.0633,2509
0.0249,4239
0.139,2182
0.339,253
-0.177,9136
-0.116,10204
-0.22,10412
-0.0326,6332
-0.0953,7760
-0.22,8549
-0.286,5262
0.0102,4835
0.00185,5018
0.034,3208
0.206,1283
-0.214,8361
0.147,1887
0.00505,4845
0.0881,1333
0.02,4006
-0.0132,5075
-0.0589,6831
-0.144,7749
0.255,1164
-0.0235,6588
0.141,1798
-0.139,8497
-0.195,6891
0.0687,3182
0.272,897
-0.184,7261
0.376,966
-0.0524,7227
0.209,403
0.0289,4024
0.011,4495
0.0717,2803
0.0704,3653
-0.15,9591
0.202,1321
0.0802,2266
-0.00534,5488
-0.112,7017
-0.263,8865
0.0152,4569
0.524,751
0.108,1960
0.0824,2001
-0.00389,5172
-0.141,8948
-0.0944,7754
0.0137,4505
-0.00692,5200
0.0502,3772
-0.308,9922
-0.138,9240
-0.149,8729
-0.425,9607
0.0871,3219
0.0446,2273
0.206,820
0.026,4086
-0.144,8057
-0.0328,6290
0.103,2028
-0.185,9056
0.00391,4993
-0.172,9467
0.186,1645
0.00327,4964
0.129,1487
-0.0352,5634
-0.209,9631
0.184,1652
0.0067,4718
-0.118,8187
-0.0799,8900
-0.0172,5436
-0.0103,5203
-0.19,9083
-0.0731,6377
0.0102,4732
-0.129,10022
0.0505,3306
-0.0876,6502
0.208,372
0.338,415
-0.0387,5857
-0.0482,6672
0.0207,4188
