coef,rank
-0.386,7945
0.263,1142
-0.0318,5536
0.183,2632
-0.0467,5138
0.383,95
0.00392,4866
0.0845,2984
-0.00879,5059
-0.0442,6063
-0.201,10167
-0.0462,7245
-0.00813,5499
0.0306,4422
0.000554,4913
-0.23,6107
-0.0171,6341
0.0353,2791
-0.00248,5127
-0.14,9113
0.109,2828
-0.114,6160
-0.0782,7354
0.0106,4737
-0.252,8511
0.0683,3571
-0.0287,6281
-0.05,4106
-0.0436,5900
-0.0524,7057
-0.0112,5460
0.0835,3870
0.176,1570
-0.0648,5882
-0.0263,5906
-0.051,7663
-0.0703,7693
0.0559,3871
0.176,1207
-0.0114,5186
-0.0449,6778
0.0932,757
0.0967,3002
0.15,1018
0.0449,3866
0.248,876
0.0731,1301
-0.0437,7966
0.0225,4337
0.177,747
-0.136,8440
-0.255,9701
-0.0109,5457
0.0211,4003
-0.0884,7760
0.055,3762
-0.119,5794
-0.247,9632
0.0132,4434
-0.017,5788
-0.0452,5937
0.168,1192
-0.0141,5835
0.0185,4070
0.207,219
-0.0659,8105
-0.116,9401
-0.0246,6039
-0.207,9814
-0.225,6354
-0.0126,5742
0.0612,2749
0.13,1852
0.0292,4222
0.113,2964
-0.219,10224
-0.2,10251
-0.0435,6587
-0.137,9847
-0.1,8542
0.254,2812
-0.106,6936
0.0112,4608
0.023,4009
0.114,1813
-0.196,8654
-0.0741,7700
-0.136,6962
-0.00399,5194
0.0243,3728
0.231,1064
-0.039,6136
-0.268,9621
0.167,1959
-0.238,9883
-0.114,9329
-0.195,8464
0.15,586
0.177,707
0.174,1143
0.0184,4248
-0.144,9402
-0.115,9051
0.172,1820
-0.386,10113
-0.134,7926
0.348,636
0.275,563
-0.199,9393
0.261,614
-0.236,7851
-0.206,9242
0.0333,3394
-0.0442,7596
-0.247,10150
-0.0754,7594
-0.0855,8486
-0.333,10314
0.381,101
0.0193,3948
0.0353,3645
-0.0665,8191
0.282,1192
-0.375,9632
-0.0587,7720
0.0234,4557
-0.306,9671
-0.192,9500
0.277,442
0.192,968
-0.056,7531
0.119,1958
-0.129,7771
0.307,63
-0.113,4263
-0.118,6818
0.121,1219
-0.0926,8315
-0.122,6490
0.258,29
-0.129,7909
0.0224,4268
-0.0069,5113
0.0463,3416
-0.0874,7090
0.122,2491
-0.087,8618
0.377,325
0.0759,2799
-0.0324,6587
-0.528,9105
-0.17,9379
0.215,1801
0.0241,4221
0.0282,4042
-0.0272,6065
-0.0285,5534
-0.0712,7359
0.0719,3192
-0.106,7963
0.129,2252
0.0467,2431
-0.25,10176
-0.0859,7424
-0.0461,7130
-0.00171,5342
-0.294,10372
-0.0538,7522
-0.135,8443
-0.118,6744
-0.0461,7104
0.000751,5167
0.113,261
-0.2,10026
-0.134,9728
0.0127,4419
0.158,2826
0.0665,1549
-0.000116,4958
-0.189,9186
0.113,1283
0.0534,2880
0.0942,1127
0.0573,1195
0.0838,2417
0.143,817
-0.113,8050
0.206,298
-0.259,8115
-0.00831,5614
-0.0339,5819
-0.0145,6193
-0.0299,6155
0.139,2039
-0.145,7419
-0.0194,6001
0.15,1419
0.0835,3496
-0.00748,5632
-0.185,8591
0.177,1020
0.107,3044
-0.0856,8796
-0.0685,6704
-0.0474,6239
-0.104,7307
0.0318,3825
-0.122,7885
-0.0467,7008
0.168,383
-0.0254,6321
0.283,625
0.286,456
-0.143,8467
