coef,rank
-0.119,5374
0.112,2859
0.068,3406
-0.173,7332
-0.148,6296
0.301,270
-0.0498,7151
-0.0757,6752
0.0151,4479
0.0822,3089
0.243,262
0.0577,2449
0.0674,2783
-0.00191,5229
0.138,2916
-0.553,9614
0.0121,4492
0.00513,4672
0.0834,2526
-0.0407,6419
0.0381,4220
-0.221,7515
0.143,1493
0.0688,3025
-0.0649,5857
0.276,912
0.145,918
-0.479,8360
0.0145,4654
0.183,689
-0.223,10003
0.048,4309
-0.0623,6566
-0.142,7029
-0.0341,6194
0.0499,2625
-0.218,10247
0.132,2638
-0.0622,6798
0.0124,4517
0.0989,1427
0.042,2603
-0.253,9797
-0.125,9253
-0.0823,7065
-0.0846,6810
0.0026,4752
-0.0315,7230
-0.21,9038
-0.03,6049
0.0521,3361
-0.24,9526
-0.0274,5965
0.0519,2507
0.113,2455
0.203,1382
0.0868,3500
0.0214,4522
-0.00675,5577
0.00201,4973
0.0191,4535
0.00959,4604
0.0679,2420
0.0672,1675
0.0466,3190
0.0498,2974
-0.0588,7750
-0.0319,6316
0.0977,2515
0.687,794
-0.0317,6650
0.137,995
-0.172,9184
-0.139,8255
-0.0208,5651
-0.0778,7793
-0.0937,8515
-0.0798,7864
-0.101,9127
0.0703,2928
-0.7,10287
-0.0603,5955
-0.0553,8005
-0.0267,6110
0.227,445
0.203,1704
-0.0859,8066
0.458,664
0.0724,1664
0.0165,4164
-0.439,10458
0.0823,3075
-0.203,8853
-0.0594,6489
-0.0748,7104
0.108,1260
-0.437,10388
-0.0237,6225
-0.0263,6072
0.0468,3592
-0.064,7873
-0.0224,5908
-0.0468,6932
0.128,2412
0.055,4027
-0.286,9948
0.272,1089
0.106,2634
-0.229,9733
-0.156,8793
0.208,2508
-0.203,9196
0.0185,4093
-0.063,8502
0.216,851
0.0564,3269
-0.0192,5766
0.0831,2879
-0.108,8098
-0.0511,7548
0.0194,4364
0.00807,4740
-0.0578,5884
0.616,335
0.151,544
0.00605,4869
0.318,847
-0.264,10198
-0.0086,5192
0.24,549
0.0945,1559
-0.00722,5657
0.101,2921
0.232,281
1.5,941
-0.247,8752
0.0899,1938
0.14,1118
0.163,2497
-0.118,9793
-0.177,8772
-0.129,8101
-0.172,9438
0.0724,2557
0.0202,4503
6.04e-05,5080
-0.0867,8604
-0.117,7471
-0.221,10073
0.0815,1937
0.204,2957
0.118,2273
0.16,2376
0.125,1851
-0.0804,7267
0.0883,2426
0.135,2693
-0.184,9749
-0.104,7559
-0.165,9185
-0.0264,5774
0.00523,4745
-0.0416,6334
0.259,763
-0.0165,5918
-0.00137,5330
0.113,2273
-0.205,10415
0.0361,3965
-0.243,8785
-0.194,10190
-0.157,10106
0.0556,1732
0.191,647
-0.0524,7300
0.109,2292
-0.225,8209
0.0169,4031
0.0825,2045
0.0375,4106
0.214,169
-0.0282,6513
0.106,869
0.0127,4078
-0.00357,5356
0.00491,4852
-0.0426,6206
0.125,1214
0.343,1481
0.102,1755
0.0351,3600
-0.126,10365
-0.0496,6881
0.221,1018
-0.23,8737
-0.0487,7228
0.0594,3407
0.358,688
0.0547,2421
0.414,220
0.145,1429
-0.121,7229
-0.125,9797
0.0487,3772
0.0876,3000
-0.0605,6387
0.14,1380
-0.252,9866
0.13,999
-0.151,9988
0.0794,2369
-0.279,10077
-0.465,10465
0.137,1808
0.031,2966
-0.00144,5130
-0.135,8952
-0.164,9219
0.0556,3948
-0.449,6758
0.0903,2705
-0.0649,8142
0.0452,2611
-0.144,8359
0.612,295
-0.0825,6981
0.104,1877
0.0619,2140
0.00975,4590
-0.297,9898
0.184,826
-0.11,7041
-0.0702,6611
0.0333,3003
-0.0257,5722
0.0411,3893
-0.0458,5116
-0.234,9897
-0.241,9357
0.134,3299
-0.252,8811
0.00965,4720
-0.102,8714
0.167,868
-0.131,9176
-0.00423,4811
0.378,351
-0.0333,6360
-0.188,9171
-0.0361,6614
0.115,589
0.184,2092
0.00757,4716
0.118,2814
0.428,1116
0.0607,3165
0.0983,1576
-0.00322,5142
-0.196,9792
-0.235,10018
-0.257,9977
-0.101,8761
0.242,546
0.146,2218
0.0198,4316
0.023,4260
0.266,2052
-0.0881,7178
0.0993,484
0.171,1200
0.129,1429
0.0788,3136
-0.168,9631
-0.017,5454
0.0768,3333
0.0326,4072
-0.0231,5711
0.436,142
-0.083,7894
0.178,793
-0.0991,7028
-0.283,10215
0.161,1972
0.11,2467
0.00681,4748
-0.038,7122
0.115,2150
0.283,557
-0.339,10323
0.056,3620
-0.203,8430
-0.0954,9414
-0.194,10338
0.189,2347
0.0704,2742
-0.0148,5539
-0.408,10235
-0.059,7004
0.0375,3611
0.0412,3858
-0.0372,6146
-0.0658,6771
0.113,3397
-0.0205,5974
-0.118,7760
0.0298,4021
-0.588,10411
-0.0946,6963
-0.134,9710
0.0819,1424
0.108,1674
0.102,2473
0.252,1471
0.29,1022
0.128,2066
0.0503,4365
0.262,845
-0.158,7774
0.0103,4687
-0.218,9270
-0.219,8165
0.061,2470
-0.0136,5771
-0.18,10138
-0.125,8370
-0.0104,5523
-0.293,7700
0.0426,3404
0.0849,1837
0.0462,4005
-0.151,8560
-0.0256,5554
-0.544,7470
0.0279,3988
0.0076,4865
-0.0352,6342
-0.107,9127
-0.12,9246
0.41,563
0.0958,1224
-0.595,8631
0.0218,4595
-0.0488,7951
0.0516,2342
-0.0147,5476
0.14,519
-0.0942,7645
-0.964,9098
0.272,2513
0.84,1641
-0.649,8704
-0.00844,4036
0.0118,4582
-0.318,9954
0.0515,3595
0.0565,3495
0.0667,1993
0.0525,2015
0.167,3394
-0.0347,5662
-0.0429,5790
-0.264,7740
0.0714,2980
-0.0687,8462
-0.0744,5669
-0.175,8783
-0.0898,8239
-0.0115,5390
-0.0138,5401
-0.0418,7046
-0.174,9378
0.00491,5039
0.0313,4141
0.444,382
0.0801,2956
0.0349,3807
-0.129,7843
-0.0311,7200
-0.144,8704
-0.181,6401
0.356,17
-0.0391,6266
0.0637,3313
-0.102,8130
0.522,185
0.138,1820
0.114,1993
0.24,171
-0.004,5121
-0.113,7156
0.0578,3275
0.285,1164
0.0858,3137
0.328,33
0.286,1323
-0.11,8793
0.0111,4921
-0.0155,5432
0.0658,3061
0.0561,3056
0.108,2040
-0.167,8222
0.0128,4623
0.196,3043
0.0016,4936
-0.00725,5452
0.054,3709
-0.0564,6237
0.159,1952
-0.0215,5777
-0.15,9983
0.0295,2900
0.0225,2009
-0.048,6807
-0.0908,6491
-0.0482,6565
-0.226,9159
-0.0768,8942
-0.141,8751
-0.211,9512
0.409,100
0.297,712
-0.134,7535
-0.0591,7615
-0.207,9872
0.0732,3429
0.227,1022
-0.0146,5438
0.0504,2899
0.014,4722
0.097,3056
0.0865,2514
0.0722,3776
-0.00688,5513
-0.00286,4895
-0.0218,5928
0.00873,4625
-0.377,8072
-0.0729,6277
-0.163,8519
-0.24,8206
0.0165,4361
-0.3,10387
-0.0427,5858
-0.186,7297
0.199,1566
-0.136,7831
-0.0582,7484
-0.0817,6470
0.496,333
-0.0679,7252
0.0185,4504
-0.0249,5876
-0.089,8483
-0.0216,6412
-0.0364,5854
0.0809,2997
0.0652,3540
0.123,1853
-0.0761,8037
-0.415,10438
0.0228,4250
0.119,2816
0.234,730
-0.206,9829
-0.0702,7868
0.108,1888
0.0506,3458
0.0477,3917
0.0415,3315
-0.0848,7604
0.344,99
0.341,413
0.106,1908
0.146,2570
0.315,99
-0.175,9519
-0.161,10109
0.222,1926
-0.0694,7897
-0.0171,5406
0.0709,3556
-0.015,5845
0.113,1595
-0.0176,6044
-0.151,9854
0.134,904
-0.0661,7144
-0.0261,5783
0.000902,5187
0.0279,4050
-0.239,10396
-0.123,7036
-0.0697,5849
-0.0778,8130
0.0556,3434
0.142,1166
0.0797,2795
0.182,1105
-0.292,9752
0.0793,2393
-0.0694,8784
0.295,27
0.124,2980
-0.0528,6709
0.0365,4331
-0.43,10369
0.0955,3180
0.0944,1460
0.619,579
-0.388,10140
-0.0282,5588
-0.272,8327
0.115,718
-0.0364,7019
0.0884,2049
0.0592,3056
-0.0221,5243
0.22,939
0.175,284
-0.0383,6280
0.339,1323
0.0856,3217
-0.152,8333
0.42,1081
0.0665,2329
-0.0432,6559
0.174,1407
-0.118,8931
-0.115,8579
-0.228,9710
0.0753,2393
0.0968,712
0.845,1246
0.685,1815
-0.32,7893
-0.244,10138
0.0996,2877
-0.111,8936
0.0674,3319
-0.0237,5427
0.165,1154
0.158,1108
-0.17,9026
-0.0953,7759
-0.187,9984
0.57,1064
0.186,2813
0.0076,4639
-0.126,7832
0.136,1283
0.154,1983
-0.155,8652
0.0151,4646
-0.0468,6408
0.00818,4663
0.203,690
-0.17,9997
0.154,1729
0.113,1983
-0.076,8129
0.328,29
0.145,984
0.114,1774
-0.06,6304
0.00356,4781
-0.0769,8126
-0.045,6182
0.0824,2834
0.0424,3610
-0.151,9192
-0.214,9702
0.109,2030
0.00329,4809
-0.495,10311
-0.176,9880
-0.136,7750
0.21,2464
-0.0934,8610
-0.0395,6102
-0.404,10334
0.0228,4083
0.0155,4503
0.393,393
0.0158,4415
-0.0187,5906
-0.107,8236
-0.164,9868
-0.0993,7021
-0.0267,5450
-0.032,7158
-0.132,8777
0.266,726
0.107,2474
-0.0325,6214
-0.143,9294
-0.205,9896
-0.173,10041
0.0744,3443
-0.135,7539
0.161,1277
0.231,1185
-0.107,8427
0.0807,1802
0.13,2845
-0.0227,6249
0.132,2914
0.378,550
0.00528,4760
0.073,2493
0.154,1943
-0.239,10354
-0.135,8005
0.26,812
-0.0242,5884
0.022,3939
-0.013,5725
0.0739,2948
0.0431,3804
0.0521,3451
-0.0304,6363
-0.131,8122
-0.0867,8635
-0.0106,4158
-0.261,7939
-0.172,10010
0.0392,3035
-0.0541,7948
0.0185,4444
0.106,2762
-0.161,9160
-0.134,9908
0.0277,3381
0.0373,3421
0.195,1329
0.42,351
0.167,1721
0.0967,2435
0.222,718
0.272,2922
0.061,3152
-0.114,7092
-0.112,7630
-0.00375,5400
-0.0526,6226
-1.27,9813
0.134,1112
-0.0565,5453
-0.0385,5718
-0.00839,5604
-0.275,9715
-0.525,8698
0.0935,3532
0.469,171
-0.407,10263
0.0661,3127
0.0201,4589
-0.136,8856
-0.054,8464
-0.00602,5034
-0.0383,5951
-0.0395,4852
0.0555,2723
-0.15,9332
0.109,1078
0.379,313
0.0357,3763
0.0483,4332
-0.122,9427
0.108,2012
0.0744,2884
0.121,2452
-0.256,9099
-0.0673,6768
-0.147,8451
0.0455,3147
0.0261,4287
-0.00561,5078
-0.158,10201
-0.00895,5598
0.0752,3540
-0.0823,8217
0.0448,4134
-0.182,8936
-0.368,8213
0.0961,2439
-0.183,8799
0.0428,3379
0.243,197
-0.229,9601
-0.1,6891
0.175,1340
0.645,121
0.0704,3407
0.106,2304
0.0162,4605
0.204,2986
0.0191,4548
-0.14,8988
0.0274,3958
-0.117,8386
-0.0347,6600
0.234,747
0.432,792
0.188,3224
-0.137,9787
0.0773,1967
0.0368,3423
-0.111,7405
0.0555,2248
-0.31,8998
0.0601,3011
-0.0663,7817
0.225,1767
0.292,598
0.0372,3984
-0.0126,5610
-0.128,8449
-0.0629,7710
-0.168,7080
-0.297,9574
-0.607,10170
-0.101,6742
0.0735,1695
-0.0704,6840
-0.00952,5206
0.082,2120
0.0191,4648
0.117,3190
0.172,1205
-0.147,9257
-0.141,8872
0.0856,2107
0.0888,3764
-0.596,10090
0.0699,2484
-0.0454,7571
0.09,2160
0.134,1966
-0.116,7832
0.142,2294
0.0434,3338
0.0838,2694
-0.0687,6837
0.167,2658
-0.29,10391
-0.0245,6191
0.0392,3589
-0.162,9734
0.119,1936
-0.298,9581
-0.0449,7260
0.132,1621
0.11,2973
0.00496,4928
0.0984,2369
0.144,1637
-0.0801,7540
-0.192,8373
0.0388,4049
-0.107,7871
-0.116,8051
-0.197,8126
-0.19,8960
0.335,441
-0.076,8725
0.179,2097
0.294,1713
0.0984,2576
0.2,1670
0.0597,3512
0.056,3122
-0.255,10315
0.311,832
-0.00425,5554
-0.099,6402
-0.197,8657
0.0182,4555
0.0685,2100
-0.185,9514
0.198,1281
0.0157,4497
-0.0264,5601
0.0285,3960
0.139,1615
0.0893,59
0.00338,5019
-0.0252,8826
-4.04e-06,5333
-0.0233,9393
-0.832,9326
0.131,2493
-0.824,8685
-0.157,9597
0.0445,3629
0.199,2252
-0.277,9465
-0.0839,6619
-0.116,9191
0.155,2203
0.00696,4845
-0.0666,6217
-0.0379,7750
-0.0365,6030
-0.187,9917
0.425,1630
-0.502,9535
0.0831,3648
-0.436,9083
-0.107,7963
0.257,672
-0.159,6361
-0.00329,4859
-0.0799,6944
0.107,3439
0.0269,4277
0.0251,4157
-0.0434,5607
0.0362,4156
-0.0894,8636
0.26,58
-0.301,9285
-0.18,8774
-0.143,9066
-0.311,9692
0.338,345
-0.0699,8095
0.0563,1501
-0.147,8779
0.104,2125
-0.254,10140
0.192,1830
-0.0406,5805
-0.0733,7360
-0.26,9683
-0.0575,7009
-0.188,9272
-0.138,9518
-0.0879,8647
-0.222,10028
-0.214,10083
-0.166,10167
-0.51,10427
-0.175,7381
-0.000898,5070
0.275,129
0.254,1492
0.0617,2857
0.00628,4971
-0.227,8723
-0.0385,6541
0.00601,4996
-0.244,8535
0.147,672
-0.193,9493
-0.093,8328
0.0351,3896
-0.0541,7185
-0.0959,8629
0.028,4193
-0.0792,7110
-0.0853,6616
-0.113,9647
0.0921,1520
0.000198,4700
0.135,2651
-0.295,10423
0.0823,3067
-0.00317,5376
-0.089,8873
0.136,1122
-0.153,6418
-0.0533,6543
0.245,236
-0.0944,5447
0.0794,2587
0.3,2389
0.114,687
0.305,108
-0.195,10342
-0.472,7173
-0.116,4918
-0.595,10388
0.0909,3741
-0.237,10258
-0.464,10108
0.0513,3436
-0.121,8963
-0.0328,6127
0.0738,2600
-0.249,10099
-0.0249,5985
-0.186,9271
0.05,3273
0.024,4372
-0.00557,5091
0.0291,4346
0.00781,4847
0.296,688
0.348,372
-0.137,8460
0.0013,5229
0.281,2922
-0.947,9071
-0.134,8222
0.334,1298
0.168,2061
-0.0109,5087
-0.287,9731
-0.145,9295
-0.0232,5620
-0.0728,8334
0.144,1288
0.0345,2833
-0.237,10057
-0.0161,5450
-0.127,8155
0.0175,4160
0.0433,3806
0.012,4609
0.132,3023
-0.122,8042
-0.19,8021
-0.252,9991
0.0429,2958
-0.0811,7581
0.61,616
0.0677,3097
0.0339,4162
0.213,1771
-0.124,9701
-0.106,7587
-0.0513,5558
0.0615,3182
-0.045,6509
0.0036,4895
-0.0507,8228
-0.0324,6462
0.853,1250
0.802,1142
0.288,930
-0.077,8421
0.169,2270
-0.0637,6198
0.115,3160
-0.0441,5820
0.00651,4932
-0.27,9201
0.133,513
0.105,2774
-0.589,8550
0.331,1878
0.816,598
0.154,990
0.134,1840
-0.0138,5513
0.328,1101
-0.328,9019
-0.509,9776
-0.0508,7788
-0.0565,7031
0.192,2254
0.0586,3443
-0.188,7788
0.0195,4355
-0.168,10228
-0.0923,9184
0.0347,2684
0.12,1833
-0.0664,8059
-0.0727,8571
0.013,4549
0.0503,2829
-0.0983,7713
-0.249,10434
-0.134,7030
-0.466,10071
-0.105,7953
-0.0707,6908
0.142,1394
-0.0952,7230
0.0189,4353
-0.273,9905
0.0337,4018
0.0809,2253
-0.87,8846
0.743,53
-0.344,8731
0.0868,3585
-0.387,10413
-0.0801,7526
-0.0577,6218
-0.111,7937
0.00269,4701
0.183,1172
0.0831,2566
0.0399,1566
-0.137,7892
1.16,799
0.164,2837
0.215,796
-0.0253,6235
0.091,2322
-0.0946,6949
-0.031,5962
