coef,rank
-0.622,9670
-0.0555,5945
-0.14,7957
0.023,4553
-0.292,7822
-0.0339,5797
-0.221,10385
0.243,812
0.262,733
-0.0822,6956
0.121,1528
0.177,224
0.0467,3435
-0.0236,5780
0.299,1375
0.826,803
0.166,75
-0.00791,5597
-0.131,8974
-0.264,10350
-0.0494,6175
0.0436,4236
-0.0375,6165
-0.0204,5687
0.339,1339
-0.0634,6447
0.0844,2198
-0.334,6606
-0.294,9917
0.0602,3097
-0.165,9274
-0.151,7022
0.387,202
0.713,112
-0.0573,7062
0.0374,3173
-0.0615,7406
0.0784,3494
-0.285,10310
0.141,1651
-0.162,10004
-0.045,8207
0.14,2297
0.0801,2536
0.0522,3680
-0.00989,5068
-0.0853,9435
-0.0725,9207
0.343,435
-0.0923,8054
-0.167,9042
-0.0603,6281
0.144,1758
-0.221,10464
0.116,2379
0.732,10
-0.15,6169
-0.0701,6628
-0.173,10408
-0.198,10327
-0.186,8822
-0.183,9465
0.0446,3290
-4.08e-05,5169
-0.0684,7807
-0.199,10383
-0.0528,7515
0.194,414
0.0498,3667
0.674,834
0.131,725
-0.166,9857
-0.173,9205
0.0803,3079
-0.318,10114
-0.0311,6325
0.328,18
-0.0926,8262
0.171,432
0.282,158
-0.167,6694
-0.46,10413
-0.0213,6354
0.0122,4458
-0.282,10393
0.223,1500
-0.0955,8336
0.129,3001
0.0827,1377
-0.0847,9413
-0.098,7384
-0.26,10089
-0.102,7120
0.372,321
0.034,4363
0.009,4650
-0.388,10276
0.0232,4057
-0.234,10309
-0.0435,6341
-0.083,8566
-0.0305,6208
0.0203,4309
0.242,1072
-0.281,9318
-0.21,9143
0.154,2317
0.22,980
-0.164,8867
0.00735,4803
0.342,1461
-0.309,10201
-0.143,10132
0.118,476
-0.11,8131
-0.25,10312
0.00783,4617
-0.176,8860
0.0799,2966
-0.026,6303
-0.00471,5548
-0.141,10039
-0.195,8186
0.391,1096
-0.0342,6629
-0.283,9698
-0.0228,5249
0.0304,4023
-0.248,10008
0.173,1158
0.0486,2925
-0.164,9691
-0.0793,6757
0.141,1194
-1.24,10209
0.373,919
0.034,3760
-0.027,6104
0.15,2628
0.0288,3752
-0.212,9265
-0.122,7940
-0.193,9741
-0.123,9335
-0.0517,6212
0.111,2702
0.0183,4208
0.156,2063
0.257,314
-0.0896,8826
0.455,1801
-0.223,9992
-0.298,9217
0.0514,3475
0.173,1167
-0.0998,8344
-0.212,8779
-0.228,10147
-0.14,8354
-0.0462,6377
-0.0298,5866
-0.0966,9659
0.278,343
0.117,2540
-0.0512,7330
-0.0807,8676
0.222,699
0.0786,2179
0.0183,4370
-0.159,7496
-0.138,9542
-0.065,7973
0.135,119
0.0648,2989
-0.0834,8460
-0.111,7615
-0.174,7498
-0.0146,6147
-0.099,8764
-0.251,9896
0.0652,2608
0.0157,4460
-0.0502,7751
-0.0221,7165
-0.00528,5417
-0.102,8818
-0.265,10127
-0.173,10041
0.671,322
0.158,747
-0.206,9912
-0.0701,9376
-0.141,9377
-0.105,7552
0.142,2686
0.0618,2785
0.121,1942
-0.0782,6578
-0.00933,5722
-0.12,7443
0.187,911
0.0779,3475
-0.176,10338
0.0301,4176
0.305,425
-0.543,10470
0.241,359
0.185,1396
-0.0276,6217
0.122,970
0.0326,3946
-0.0895,7269
-0.122,7866
0.0675,3101
-0.0269,6738
-0.075,8172
-0.0321,6319
-0.0966,7795
-0.203,8325
-0.946,9838
0.156,1466
-0.105,9390
-0.0334,7249
-0.0838,7087
0.156,2744
0.0363,4056
-0.00853,5334
0.0458,2765
-0.0943,9462
-0.417,10412
-0.0258,5819
-0.186,8481
0.134,2687
-0.0446,7850
0.179,1265
-0.288,10195
-0.308,8234
-0.0807,7147
-0.0116,5110
0.416,1137
-0.205,8199
0.0336,3786
-0.142,9524
0.109,1809
0.0294,3876
0.0259,3971
-0.214,9480
0.0297,4029
0.383,250
-0.133,9568
0.029,3458
0.194,1983
-0.203,8062
-0.382,10194
-0.0723,5826
-0.129,9016
-0.112,8976
0.348,19
0.00961,4793
-0.167,9181
0.338,282
0.151,612
-0.142,9021
-0.2,8740
-0.208,10158
-0.0625,6594
0.165,2828
-0.0461,6186
-0.034,7568
0.139,1700
0.116,1662
-0.0168,5166
-0.216,10139
-0.0716,7292
-0.0919,7223
-0.208,10055
0.209,667
-0.123,7868
0.044,3661
-0.0147,5469
0.21,1297
-0.213,9683
-0.253,9706
-0.292,10190
0.275,369
0.072,1854
-0.235,9946
0.103,2611
0.146,1946
-0.0477,5844
0.356,898
0.00271,5075
-0.0161,6057
0.362,923
0.0494,3413
0.0463,4144
0.0731,3839
0.0457,3521
-0.0301,6102
-0.224,9901
-0.231,10084
-0.222,9715
-0.183,7269
0.0734,1748
0.182,1881
0.12,1331
-0.0954,6060
0.375,377
-0.13,9639
0.0234,3903
0.0785,2398
0.0262,4367
-0.026,5256
0.0251,4488
-0.119,8164
-0.0127,5411
-0.0945,7410
-0.00759,4924
-0.189,9895
-0.0617,6406
-0.158,7279
0.00685,4790
0.163,803
0.0258,4228
-0.0421,6188
0.121,550
0.0621,4084
0.156,403
0.0255,3954
-0.364,10322
0.239,730
-0.223,9349
-0.688,8638
-0.115,9372
0.0139,4542
-0.0532,6917
-0.0402,6820
0.0996,1841
0.159,2475
-0.0266,6472
-0.478,7478
-0.351,10178
-0.128,10234
-0.112,9929
-0.22,9466
-0.0158,5828
-0.0415,6179
-0.406,6290
-0.125,5659
1.12,1333
2.46,230
-0.172,5153
0.0762,3198
-0.26,9487
0.0509,3621
-0.314,10252
-0.0574,8258
-0.187,10465
0.118,3629
0.125,2804
-0.0282,5461
-0.0653,5258
-0.187,9530
-0.168,10361
-0.227,7816
0.409,219
0.103,2028
0.0401,3552
-0.465,10462
0.00193,5073
0.072,3033
-0.0735,6764
-0.251,10086
0.191,1953
-0.224,9623
-0.239,10408
-0.278,9856
-0.068,8909
-0.066,6945
0.0449,4211
0.0547,3309
-0.233,10348
-0.271,10304
0.0479,3601
-0.269,9439
-0.0913,7774
-0.082,7829
-0.0258,5977
0.0362,3840
-0.353,10039
-8.82e-05,5049
-0.0011,4895
0.179,1527
-0.236,10383
0.00012,4957
0.0154,4583
0.00524,5069
0.259,413
0.0895,2444
-0.000361,5138
-0.0812,7882
0.0922,3149
0.103,2734
0.0732,4047
-0.00582,5826
-0.2,10324
-0.389,10363
-0.0375,5875
-0.0519,6336
0.0844,3322
0.158,472
0.0153,3814
-0.00173,5464
0.0521,3501
-0.326,9710
0.0424,3718
-0.0382,5753
0.188,114
-0.00903,5280
0.275,594
-0.0205,5891
0.0534,3876
-0.315,9978
-0.103,9001
-0.0444,6563
0.00319,4898
0.332,353
0.153,1423
0.000984,5143
-0.106,9095
-0.0553,6627
-0.0583,6941
-0.164,8697
0.216,391
-0.0816,6838
-0.0755,7862
-0.0122,5929
0.539,1208
-0.187,8438
0.0663,3640
0.57,425
0.0794,1983
-0.207,9851
-0.203,9099
0.334,1590
0.535,68
-0.0187,5382
-0.19,10238
0.265,1317
-0.436,10283
0.73,1
-0.0592,6435
-0.136,8890
0.146,833
0.0666,1523
-0.108,7664
0.199,991
0.0994,2814
0.06,3481
-0.198,10290
-0.306,10179
0.273,507
-0.556,10470
-0.158,9000
0.161,1327
-0.041,6781
0.0284,4168
-0.148,8625
-0.0666,6839
-0.0825,8319
0.0785,2555
-0.00942,5361
0.323,481
0.119,1637
-0.0977,6556
-0.154,9268
0.124,1799
-0.0772,8295
0.0651,3891
0.0645,2956
-0.353,10378
-0.015,5436
0.0727,3143
-0.0955,8655
-0.0114,5709
0.0953,1867
0.0854,1935
0.0464,3378
0.184,929
0.0452,1216
0.00612,4800
-0.0746,7943
0.0802,3806
0.283,1506
-0.0231,6105
0.42,19
-0.218,10347
0.137,1662
0.0989,2469
0.0128,4750
-0.0967,8603
-0.0669,8682
-0.0548,7407
-0.0662,6157
0.0734,2843
0.391,981
0.196,1982
-0.269,9629
0.0406,3254
-0.616,10308
-0.0199,5216
0.175,2326
-0.149,6722
-0.0181,5870
-0.149,10020
-0.0914,8480
-0.113,8224
-0.0273,5347
0.308,326
-0.0899,8815
-0.0131,5501
0.173,2729
-0.00795,5270
0.0534,3837
0.958,74
-0.0209,6314
0.0762,2669
0.125,2210
0.0025,4998
-0.0719,7455
-0.148,8516
-0.0792,8352
-0.019,6432
-0.393,7184
1.46,824
0.835,587
-0.0622,6952
0.198,1418
0.119,1687
-0.463,10468
-0.0344,5685
-0.0961,7797
-0.0645,7483
-0.399,10447
-0.0501,6559
-0.0878,8155
0.0468,4243
-0.0494,4859
-0.12,9297
0.211,1252
-0.0317,6259
-0.257,10061
-0.42,10464
-0.0639,7096
0.0565,3526
-0.123,8216
0.0889,2522
-0.0362,6578
-0.0215,5694
0.044,3653
-0.0545,7291
-0.119,8926
-0.329,10469
0.292,147
-0.138,8117
-0.183,10235
-0.0966,8691
-0.127,8153
0.0489,3670
-0.1,7870
0.0358,4042
0.412,109
-0.113,8401
-0.0286,6439
0.166,2638
-0.144,9420
-0.346,10132
0.463,814
-0.0349,6505
-0.239,10176
-0.201,8772
-0.0359,6519
-0.0371,6850
-0.194,8665
0.0253,4041
-0.0549,7234
-0.0856,7707
0.188,537
-0.0447,5848
0.423,785
0.0102,4417
0.0847,2805
-0.0727,6748
-0.167,9144
-0.16,9313
0.0813,2287
-0.169,9485
0.143,842
-0.239,9820
0.0328,4227
0.114,2107
0.0457,4041
0.237,309
-0.0132,5767
-0.0497,6247
0.0526,2845
-0.352,9903
0.0519,3878
-0.117,8710
0.0616,2813
0.211,1186
-0.102,8496
-0.333,10252
-0.24,9540
-0.0958,8127
-0.017,5731
-0.17,10325
-0.184,9554
0.038,3978
0.00536,4946
0.0862,1869
0.0292,4352
-0.000286,5017
0.114,3652
0.379,1528
0.296,42
0.0299,3458
0.105,692
-0.0149,5893
-0.411,10364
0.139,1876
0.0178,4441
0.0111,4460
-0.0223,5959
0.168,1684
-0.172,8095
-0.199,9142
-0.0981,8291
-0.243,9948
-0.167,5176
0.132,1597
0.249,1335
-0.21,9458
0.211,151
-0.03,5599
-0.973,9047
0.226,227
0.845,70
0.167,2174
0.129,534
0.0442,4063
-0.0585,4727
-0.917,10152
-0.00462,5329
0.0644,3869
0.323,71
-0.228,9478
-0.261,10226
0.0114,4468
0.436,27
0.0688,3830
0.534,913
-0.000468,4965
0.0937,2195
0.0247,3911
-0.253,9706
-0.211,10227
0.0323,4576
-0.0267,6250
0.147,1345
-0.103,8544
0.356,323
-0.282,9422
-0.193,9231
0.0937,3043
-0.0413,7046
-0.037,6623
-0.116,7536
-0.00706,5559
0.274,595
0.00356,4822
0.23,228
0.000151,5081
-0.519,10470
-0.189,6269
0.0227,4415
-0.215,9230
0.125,1515
-0.0346,6225
-0.0403,5982
0.461,354
-0.202,9419
-0.129,6761
0.341,487
0.0436,3846
0.294,167
0.109,3887
0.187,1266
0.11,1994
0.161,856
-0.177,9618
0.000597,5092
-0.122,7984
-0.164,7497
-0.56,9353
-0.0983,8940
0.0778,1958
0.12,944
0.0819,3346
-0.0472,7652
0.251,1633
-0.086,7677
-0.024,6020
-0.0666,6254
0.102,2828
-0.168,9116
0.125,2166
-0.0248,5780
-0.0711,8001
-0.4,9756
-0.179,8004
-0.522,9846
-0.0942,6624
-0.138,10104
-0.112,7867
0.0299,4265
-0.0847,8171
-0.0324,6278
-0.311,9148
0.356,93
0.127,1738
-0.0844,7462
-0.0107,5487
0.421,969
-0.359,8604
-0.145,9998
0.0523,2763
-0.0712,7395
0.0834,2958
-0.101,7552
-0.0995,7295
-0.123,9477
0.0498,3667
0.297,403
-0.213,7840
-0.119,8560
-0.00621,5351
0.0521,3160
0.244,187
-0.0403,6357
0.162,2623
-0.102,9356
-0.0528,6667
-0.263,9605
-0.0465,7421
-0.168,9131
-0.0934,7430
-0.17,9446
-0.398,10206
-0.0387,6499
0.11,2311
-0.0424,6239
0.159,2662
0.0586,3819
0.22,1276
0.112,901
0.327,847
0.054,4039
