coef,rank
0.134,3586
0.285,977
-0.268,9803
0.686,197
0.212,2865
0.124,1965
0.0868,1845
0.0887,2905
0.236,960
-0.0261,5620
0.126,1430
-0.0812,8632
-0.0798,8090
-0.0446,6283
-0.16,7451
-0.242,6231
0.0714,1443
-0.0511,8360
0.0911,2336
0.0272,4161
-0.0368,5876
-0.393,9455
-0.0838,7508
0.0252,4274
0.27,1841
0.0761,3416
-0.154,9831
0.71,1309
0.1,3000
0.134,1335
0.183,1126
-0.0393,5488
-0.357,10383
-0.0648,5884
0.00188,4841
-0.115,9707
0.0166,4593
0.0525,3924
-0.00722,5219
-0.0241,5582
-0.186,10230
-0.0347,7642
-0.0705,6736
-0.0141,5800
0.287,463
0.355,295
-0.0644,8631
0.0182,3835
0.0968,2929
-0.0422,6451
-0.0908,7335
0.147,2041
-0.0466,6504
-0.0285,6598
0.094,2834
0.125,2469
0.235,2218
0.0103,4791
0.123,567
0.0365,3497
-0.0614,6291
-0.0826,7288
-0.153,10047
-0.038,7460
-0.138,9641
-0.171,10257
-0.171,10180
-0.117,9142
-0.111,8140
-0.586,9661
0.000625,5119
-0.0307,6128
0.0671,3205
-0.255,9896
-0.00324,5264
-0.156,9603
0.0599,2899
0.018,4300
-0.0799,8494
-0.0474,6914
0.00159,4882
0.00795,4560
0.22,59
-0.0616,7518
0.0423,3685
0.448,260
0.1,2119
-0.078,6006
-0.0955,9417
0.0351,3177
-0.247,9817
-0.0962,7632
-0.0698,6495
-0.264,9859
-0.0845,7341
0.0146,4397
0.0258,4220
0.0181,4270
-0.156,9592
-0.0986,7860
0.00272,4953
0.0581,3177
-0.155,9750
0.0372,4103
-0.329,9723
-0.185,8785
-0.0194,5242
0.0653,3441
0.216,910
0.0265,4287
0.142,3184
-0.235,9625
-0.00773,5429
0.0313,3298
0.0182,4694
0.0119,4681
-0.108,9153
0.0541,3509
-0.28,10318
-0.0304,6525
-0.0147,6028
0.0267,3884
-0.238,8799
0.469,751
0.0228,4098
-0.164,8108
0.138,2578
-0.205,9674
-0.0875,7291
0.00937,4693
-0.051,7312
0.00837,5143
-0.0697,6545
-0.0454,6912
-0.103,4208
-0.243,8710
0.214,194
-0.0173,5737
-0.146,6890
0.0332,3565
0.428,151
0.0326,4006
0.105,2125
-0.0533,7322
0.332,337
-0.0589,6470
-0.0827,8489
-0.21,9092
0.0431,3663
0.0893,1731
0.64,1188
0.0632,3528
-0.153,7226
-0.0497,6530
-0.182,9475
0.181,760
-0.0808,6516
0.0207,4346
-0.219,9570
0.119,1993
-0.149,8672
0.0718,1435
-0.281,10318
-0.13,8395
0.135,915
-0.0535,7708
-0.11,8298
-0.045,7157
-0.0443,6106
0.0576,3665
0.0383,3853
-0.0493,7363
0.0453,2220
0.159,1014
-0.0832,8449
-0.17,8925
-0.378,9761
-0.0986,9868
-0.0769,8122
0.169,1560
-0.0832,8433
0.1,1474
0.0122,4508
-0.0181,6842
0.0879,2304
0.0283,3852
0.215,889
0.0729,2465
0.869,124
0.0161,4613
-0.0409,6063
0.000107,5184
-0.177,9901
0.122,2317
0.0298,4354
0.0261,4084
0.0198,4475
0.0622,3861
-0.0194,6320
0.269,838
0.0458,3523
0.0667,3701
-0.0319,6590
0.0475,3788
0.0837,3083
-0.166,8417
-0.02,5518
-0.0641,6533
-0.178,10179
0.00737,4808
0.00826,4932
0.158,1897
-0.0515,6098
-0.156,8744
-0.0124,5810
0.00682,4763
0.0755,3150
-0.105,8018
0.578,157
0.0841,2969
-0.0476,6539
0.109,1002
-0.0532,8292
0.0955,2994
-0.077,6140
-0.0277,5603
-0.0452,6657
0.0808,1515
-0.0467,7771
0.271,896
0.271,234
-0.0496,5878
-0.0783,6778
-0.0061,5447
-0.0966,7490
-0.0439,6264
0.0747,3820
-0.0446,6181
-0.176,8404
-0.616,10360
0.397,863
0.168,574
-0.0625,7542
-0.135,9199
-0.087,7997
0.404,46
-0.179,8954
-0.0528,7033
-0.043,6059
0.153,787
0.00345,4918
-0.489,10414
-0.332,9579
0.0433,4028
-0.0916,6114
0.375,30
-0.0546,7084
-0.129,9261
0.222,628
-0.0254,5915
0.062,3401
0.0389,3334
0.0932,2641
0.311,701
-0.00689,5304
-0.0702,6812
-0.361,9026
0.147,2219
0.0263,3301
0.0273,4243
0.272,164
0.0562,3541
-0.199,9990
-0.0554,6732
-0.095,7305
0.0693,2948
-0.0662,7021
0.00675,4985
-0.00586,5266
-0.225,10145
-0.181,8616
0.068,3380
-0.0288,5719
-0.231,9730
-0.157,8973
-0.0504,7754
-0.316,10379
0.255,721
0.059,3565
0.163,1919
0.0783,3621
-0.0917,9314
-0.115,9418
0.12,3199
-0.0475,7008
-0.00717,5364
-0.03,5699
-0.0249,5899
-0.0718,7623
-0.132,8412
-0.103,8032
0.406,140
0.448,907
0.0692,1870
0.0752,3678
0.0489,3332
0.943,39
-0.00307,4938
-0.0236,6061
0.115,685
0.166,744
0.116,2245
-0.211,8423
-0.0863,6607
-0.239,10005
0.321,1245
0.312,520
-0.285,9529
0.115,1741
-0.246,9580
-0.0636,5944
0.0164,4341
0.0257,4281
0.00126,5223
-0.0319,5871
0.0468,2570
-0.216,6825
-0.0129,5970
0.212,149
0.0725,3492
0.31,347
0.504,80
-0.122,3603
-0.0993,9026
-0.00987,5652
0.00696,4835
0.234,96
-0.0359,6646
0.238,1652
0.0233,3870
-0.58,8498
0.272,1092
0.0308,3300
-0.0525,7964
0.0101,4836
-0.102,9292
-0.0106,5295
-0.632,7622
-0.223,6728
-0.0529,3601
0.0259,3545
1.39,370
0.017,4471
-0.101,7013
