coef,rank
-0.827,10271
-0.323,9956
0.0369,4044
-0.373,9559
-0.456,9305
0.191,1027
0.01,4577
0.095,2777
0.0364,4004
0.174,1574
0.0704,2793
-0.0844,8748
-0.182,10100
-0.0745,7054
-0.125,6859
0.184,3333
0.0231,3750
-0.0295,7103
0.0357,3866
-0.0138,5509
-0.145,8187
0.496,857
-0.00882,5243
-0.0772,7365
-0.0706,5956
-0.0976,7156
-0.106,8860
-0.365,7028
-0.216,9126
-0.0888,8202
0.0572,3506
0.435,1020
-0.22,9534
0.0472,4103
0.154,826
0.0259,3742
0.0424,3665
0.169,2149
-0.0209,5613
0.12,2029
-0.0598,7391
-0.0528,8588
0.166,1921
-0.0972,8582
-0.206,9471
0.0866,3027
0.0766,1187
-0.0865,9643
-0.0186,5236
0.0554,3184
-0.156,8857
-0.0797,6710
-0.0651,6983
-0.0498,7670
-0.0256,6069
-0.259,9870
0.406,1242
-0.000229,5004
0.0178,4176
-0.0303,6378
-0.0863,6865
0.297,251
-5.96e-05,5185
0.0645,1775
0.0441,3268
0.198,185
-0.15,9964
-0.117,9145
0.0359,4025
-0.742,10228
0.0676,2281
0.241,156
0.295,294
0.263,700
-0.0525,6333
-0.121,8898
-0.062,7516
0.205,377
-0.00523,5347
-0.133,9265
0.0159,4730
0.416,303
0.0882,1401
0.00298,4880
-0.102,8253
-0.0114,5209
-0.117,8885
-0.101,6390
0.018,3938
0.0412,2857
-0.0825,7071
0.122,2289
-0.199,8809
0.0412,4163
0.00194,5154
0.0877,1713
-0.00739,4837
-0.0258,6310
0.113,1746
0.0232,4303
0.118,1025
-0.137,9260
0.0282,4032
0.0127,4643
-0.0617,5984
-0.269,9814
-0.228,8915
0.0324,4218
-0.257,9953
-0.0253,5655
-0.144,6660
0.213,976
0.0844,1556
-0.0202,6302
-0.0225,5849
-0.0894,8025
0.0604,2548
-0.125,7780
-0.154,9066
0.0492,2580
-0.063,8245
0.0976,1323
0.632,101
-0.163,7134
-0.0669,8054
-0.049,5962
-0.16,7795
0.0631,3156
-0.122,8081
0.242,529
-0.0744,8246
0.0575,3540
0.174,1862
0.0898,2291
-0.962,9640
0.0676,3783
0.0738,2364
-0.0656,7493
-0.112,6344
-0.137,10047
0.0831,3166
-0.222,9623
-0.0635,6876
-0.122,9330
-0.00585,5086
0.256,870
0.122,951
-0.0778,6639
-0.0873,7745
-0.0406,6953
-0.178,5696
-0.0585,6955
0.00809,4544
-0.0218,5658
0.0452,3532
0.14,1334
0.121,2912
-0.0691,7296
-0.285,10128
-0.179,9396
-0.0748,7015
-0.136,10275
-0.197,9697
-0.158,8878
-0.0371,6735
0.0443,3346
0.125,2005
0.0347,3754
0.0523,3547
-0.207,8283
0.0483,3518
-0.159,10118
-0.0106,5995
-0.0219,5789
0.0144,4351
-0.221,9645
-0.143,7044
0.0372,2899
0.0883,1875
-0.0721,6832
0.054,2973
0.102,1439
0.0821,1448
0.068,833
-0.00281,5318
0.162,585
-0.0885,7483
-0.149,9787
0.349,1437
-0.0636,7777
-0.0179,5286
0.0544,1721
-0.03,6160
-0.00713,5124
0.0864,3461
0.323,24
0.017,4554
-0.0112,5245
-0.00433,5426
0.101,2841
0.291,220
0.165,2223
-0.0532,7566
-0.22,9632
-0.134,8248
0.236,1190
-0.14,8935
-0.0606,6458
-0.054,7307
0.146,630
-0.067,7924
-0.066,6713
0.197,1117
0.0345,3946
-0.0375,7422
-0.16,10105
-0.00384,5408
0.0829,2735
-0.0552,5860
-1.38,10411
-0.0902,7717
0.0334,3507
0.052,2296
-0.176,8895
0.0165,4608
-0.0908,7186
0.108,1776
-0.169,10324
-0.126,10097
0.0911,3065
0.0984,2278
0.501,138
-0.257,9614
0.122,341
0.225,747
-0.103,7741
-0.512,9906
0.191,1034
0.16,2014
-0.0548,5580
-0.322,9534
-0.0331,6475
0.0926,2236
0.0478,3393
0.195,518
-0.124,8298
-0.2,9284
-0.0859,8126
-0.323,10312
-0.127,9474
0.0413,2854
-0.162,7869
0.572,236
-0.0271,5349
0.0729,3904
0.276,193
0.113,1277
-0.224,10299
0.0804,2853
-0.118,8277
-0.166,8847
-0.00562,5143
-0.126,8703
-0.0563,5960
0.0706,2754
-0.0219,5479
-0.286,8199
-0.187,9039
0.00212,5071
0.129,1861
-0.0458,6556
0.0864,2977
-0.0651,7316
-0.0484,6501
0.0456,4027
0.101,2189
0.0549,3394
-0.364,10343
-0.0679,7447
0.0713,2792
-0.0337,5600
-0.169,9092
-0.0366,5898
0.13,2065
-0.183,9350
0.0239,3865
0.0567,3393
-0.113,7683
-0.054,6246
-0.138,7746
-0.424,10268
0.0219,4067
-0.114,9395
0.0881,3626
-0.00933,5568
0.119,2649
-0.0837,6742
0.116,1761
-0.00171,5014
-0.000397,4989
0.0695,3013
-0.00612,5279
0.174,2756
-0.103,9366
0.0905,3354
0.0106,4752
-0.042,5303
-0.0702,6442
-0.0222,5994
0.0293,3621
0.00755,4767
-0.2,9678
0.27,1330
0.135,2632
0.102,2543
-0.437,10288
0.0269,4543
-0.314,9786
-0.107,8428
0.0128,4695
-0.665,10445
-0.101,9379
0.00323,5115
-0.166,10016
-0.0435,6227
-0.0316,6707
-0.435,9147
-0.133,9976
-0.134,9744
-0.047,6064
0.0427,3874
-0.2,9028
0.499,2016
0.0411,3464
0.0566,2696
-0.059,7083
0.105,1349
0.0926,2004
-0.367,10030
0.0337,3374
-1.21,10420
0.165,2181
0.065,1708
0.0175,3997
-0.278,10013
-0.104,9360
-0.0364,6024
0.383,2568
-0.363,8365
1.07,1400
0.104,3219
-0.902,10226
-0.0617,6265
-0.227,9094
0.0102,4803
-0.199,9240
-0.0646,8573
0.0431,2462
0.341,2551
-0.205,8617
0.00374,4738
0.128,3306
0.18,1080
-0.147,10223
0.358,1224
-0.302,10136
-0.0355,6443
0.0106,4587
-0.205,9218
0.00239,5051
-0.169,9302
-0.00911,5367
0.16,1445
-0.207,8530
0.318,312
0.109,1565
-0.198,8961
-0.102,9880
0.335,219
-0.734,10373
0.00415,5077
0.11,1438
-0.241,10132
-0.14,9031
0.0626,3829
-0.0803,7470
-0.116,8750
-0.0409,6526
-0.124,8622
0.0203,4638
0.153,1263
0.302,1023
-0.325,10327
-0.0457,6988
0.103,3336
-0.187,10051
0.0866,3236
-0.205,9825
0.123,1664
-0.168,9988
-0.0957,8275
0.47,211
0.294,544
0.853,420
-0.00693,5951
-0.191,10271
0.0429,3943
0.0747,3618
-0.0474,6227
-0.408,10442
0.0402,3220
0.0158,3774
0.0383,753
-0.198,9982
0.129,2857
0.122,1791
-0.158,8081
-0.15,10250
0.0557,3503
-0.0336,5832
0.0108,5018
0.102,2986
-0.462,10434
0.17,382
-0.0426,6513
-0.135,7939
0.253,782
-0.0556,6626
-0.00522,5450
-0.095,8815
-0.0883,7406
-0.147,9119
-0.196,9160
0.128,1491
-0.0649,6441
-0.12,9103
-0.0211,6443
-0.487,8993
-0.109,7007
0.327,494
-0.33,9221
-0.121,9529
-0.258,10236
0.107,2674
0.504,738
0.201,1547
0.0932,3201
-0.118,9284
-0.192,8256
-0.273,9175
0.232,709
-0.0325,5777
-0.0254,5894
-0.124,9398
-0.0435,7701
0.0441,3750
-0.223,9926
-0.0962,7594
0.114,2046
-0.211,10350
-0.0106,5249
0.0856,2875
0.495,209
-0.00232,5146
0.164,1283
0.0405,3781
0.211,438
-0.017,5275
0.143,1934
0.11,1294
-0.00132,4869
0.113,2087
-0.0121,5407
-0.0292,6378
0.394,522
0.0715,2783
0.193,805
-0.0542,7414
0.466,462
-0.126,9368
0.22,1061
-0.0577,6418
-0.0303,6356
0.0125,4746
-0.0563,7794
0.0976,1800
0.0217,4095
0.129,1399
0.277,267
-0.0313,8494
0.0947,2189
-0.125,9260
0.533,415
0.0654,3773
0.0877,2093
-0.0964,8257
-0.0171,5922
-0.237,10056
-0.0477,6581
0.176,2047
-0.00717,5392
-0.0414,7384
0.148,772
-0.366,10104
0.103,2158
-0.489,10204
0.0742,3726
0.0226,4519
0.00208,4990
-0.174,6734
-0.127,7196
-0.00211,5099
0.146,2969
-0.122,9864
0.0201,4464
0.0674,2653
0.072,2734
0.073,3425
-0.0735,7298
-0.0891,8785
-0.133,8930
-0.142,7193
-0.00295,5133
0.0121,4731
0.0301,4513
-0.227,10450
0.0649,2971
0.494,32
0.225,304
-0.0994,8214
-0.121,8005
0.0705,2549
0.114,436
1.5,361
-0.361,5895
0.457,1619
-0.192,9634
0.122,2472
-0.143,9548
0.151,1835
0.193,1428
-0.212,9846
