coef,rank
-0.19,6047
0.0319,4253
-0.2,8988
-0.13,6732
0.166,3188
-0.0879,7251
-0.0553,7362
0.198,1210
-0.184,8819
0.17,1605
0.0278,4216
0.0777,1808
0.0133,4703
-0.00118,5208
-0.321,9522
-0.184,5643
0.0243,3686
0.00108,4943
-0.0732,7462
0.111,1889
-0.0573,6355
0.741,292
-0.21,9935
0.103,2231
0.388,1090
-0.252,9600
-0.0132,5660
-0.101,4399
-0.1,7109
0.111,1786
-0.065,7071
0.422,1097
0.043,3975
0.481,516
0.0614,2777
0.022,3946
0.12,1501
-0.313,9893
0.0701,3104
0.0521,3431
0.105,1306
0.00753,4798
0.313,531
-0.0541,7275
0.144,1913
0.321,419
-0.011,5615
0.0296,3145
-0.14,7865
0.103,1940
0.19,951
0.0542,3706
0.171,1317
-0.0564,7970
-0.157,9222
-0.141,8179
-0.0101,4535
0.215,1325
0.00756,4764
-0.0305,6391
-0.166,8486
0.0275,4108
-0.107,9273
-0.0352,7310
0.00868,4660
-0.0997,9166
-0.043,7101
0.179,523
-0.0667,6985
0.124,3418
0.0412,3254
-0.0955,8358
-0.0125,5362
0.277,607
0.023,4705
0.231,454
0.148,865
-0.128,9159
-0.0604,7795
0.0972,2228
0.23,2956
-0.0414,5570
-0.0834,9063
-0.102,8900
-0.00816,5292
-0.0805,6663
0.0303,4126
0.143,2840
0.0461,2623
-0.0957,9690
0.101,2873
-0.114,8017
0.102,3134
0.0656,3682
-0.134,8423
0.0892,1669
0.129,2549
-0.131,9742
-0.062,7271
-0.0196,5621
-0.0616,7772
0.0732,2709
0.0734,2548
0.12,2550
0.27,1570
-0.033,5836
0.184,1931
-0.0421,6114
0.161,1512
-0.0441,6176
0.284,1866
-0.077,6540
0.00109,4963
-0.0334,7037
-0.13,8610
0.028,4110
0.118,1078
-0.164,8652
-0.063,6933
-0.113,9682
0.0325,3757
0.015,4407
-0.151,7477
0.0509,4191
0.0563,2743
-0.134,7587
-0.0324,5428
0.0132,4480
0.0879,2850
0.0894,2627
-0.139,9845
-0.157,9586
0.00203,4945
0.0697,2850
-0.372,6104
0.241,1783
-0.0151,5726
-0.0412,6608
-0.0224,4927
0.0184,4249
-0.358,10338
0.00655,4673
-0.063,6863
-0.0746,8109
0.0327,4207
-0.162,8594
-0.0646,7862
-0.144,7990
0.17,1046
-0.124,9649
0.0752,3714
-0.0237,5915
0.114,2975
0.0767,2827
0.404,69
-0.221,10153
0.0213,4644
-0.12,8607
0.108,2431
0.275,350
0.0323,4274
0.013,4239
0.249,516
-0.129,8370
0.0332,3797
-0.109,9463
-0.0613,7013
0.176,372
-0.0265,5619
0.112,2890
-0.00652,5581
0.0331,3752
0.021,3712
0.0351,3877
0.123,962
0.0191,4252
-0.103,6465
-0.0566,8548
0.0813,2087
-0.159,8671
-0.0165,5959
-0.15,9970
-0.0625,8303
-0.0928,10181
-0.182,10061
-0.0768,8102
-0.0564,6602
0.168,595
0.0594,4040
-0.186,10190
0.214,502
-0.147,10438
0.15,1003
-0.0527,6249
-0.066,6021
0.0457,3347
0.133,1731
-0.159,8093
-0.0832,9159
0.29,687
0.282,256
0.0729,3581
0.243,35
0.0232,4365
-0.144,8416
-0.013,5344
-0.0652,6993
-0.112,7662
0.0179,4229
0.0837,1871
-0.112,9212
-0.0654,6703
0.252,642
-0.214,9638
-0.0474,8009
-0.0323,6521
-0.169,9520
0.245,532
-0.0471,5722
1.39,969
0.0559,3620
-0.031,6639
-0.0313,7108
-0.165,8729
-0.0549,5744
0.0728,3222
-0.0762,7735
0.025,3693
-0.0974,9551
0.0157,4474
0.0799,2745
0.0288,4286
-0.0389,5976
-0.0914,9692
-0.00166,5035
0.159,1611
0.61,619
-0.13,8285
-0.106,7131
-0.34,9027
0.107,3424
0.0365,3689
-0.144,9566
0.163,927
-0.173,9831
0.4,51
-0.125,8009
0.00932,4758
0.309,540
0.0483,3234
0.0242,3744
0.325,861
0.285,1353
-0.0525,5829
0.366,1416
0.0417,3790
0.0395,3331
-0.183,10041
-0.168,9411
-0.0599,6852
0.0102,4592
0.0433,3165
-0.00239,5306
-0.391,10320
0.115,1678
-0.138,8485
-0.241,7625
0.203,1501
-0.0406,7964
0.118,2057
-0.0947,8089
0.107,2603
-0.00614,5395
0.0493,3361
0.265,812
0.00391,4992
0.0504,3527
0.0581,3861
-0.0104,5430
-0.37,10470
-0.111,7292
0.122,2256
-0.0983,7212
-0.0389,5944
-0.0203,5556
-0.0583,8093
-0.164,9073
-0.0402,5949
0.106,2617
0.126,2448
0.157,2542
-0.0897,9255
0.0512,3268
0.0111,4840
0.086,2307
0.327,473
-0.319,9800
-0.28,10407
0.064,2752
-0.0674,6846
-0.0015,5024
-0.0223,5681
0.291,1757
0.0436,2827
-0.0795,7024
-0.0798,8143
0.356,1140
0.043,4001
-0.115,9307
0.00683,4838
0.0472,3380
-0.11,8086
0.00256,4785
-0.531,10460
-0.0443,6229
0.19,2418
-0.422,10449
-0.204,8523
-0.0286,5984
-0.0275,5630
-0.336,9407
0.0766,1907
0.105,1828
0.0531,3234
0.124,2065
0.0896,1129
0.78,479
0.0569,2810
0.0431,3189
0.0903,3146
-0.0566,6390
-0.121,7631
-0.521,7264
-0.199,10320
0.072,2157
0.192,646
-0.0963,8805
-0.0116,5703
0.245,1580
-0.0857,9012
2.07,311
-0.219,9059
-0.0493,7973
-0.0716,8809
0.147,2136
0.0317,3534
-0.0707,7004
-0.00625,4015
0.313,2287
0.109,2876
0.382,2464
0.0703,3628
-0.0492,5959
-0.0477,5961
0.0173,4588
0.0816,2918
-0.0984,9638
0.118,361
-0.264,6386
-0.0178,5302
-0.151,8064
0.376,1489
-0.158,9112
0.059,2303
-0.13,6469
0.011,4671
-0.294,10448
0.177,652
-0.069,6657
0.0454,3194
-0.0148,5464
0.388,326
0.063,3324
0.397,544
-0.264,9998
0.0531,3190
0.614,23
0.0539,2269
0.103,2536
0.213,2840
1.12e-05,5217
0.0297,3671
-0.0653,7074
-0.0644,7073
-0.246,9167
-0.261,10237
-0.0291,6152
-0.0396,6492
0.297,180
-0.242,9150
-0.11,8413
-0.0524,5821
-0.0566,6574
0.125,1405
-0.11,6839
-0.102,8558
-0.184,9093
-0.172,9373
-0.0331,6193
0.125,1254
0.0814,2637
0.288,889
0.0887,3013
0.19,3090
0.00411,4637
0.17,562
-0.24,9444
0.048,4099
-0.171,8853
0.263,769
0.0706,2137
0.0473,2020
-0.0177,7734
0.0299,4178
-0.374,10037
0.0973,2285
0.221,1354
0.0599,2335
-0.0353,6011
0.038,4066
