coef,rank
-0.478,8745
-0.311,9891
-0.0133,5122
-0.223,7988
-0.294,7841
0.222,730
-0.0251,6114
0.32,369
-0.0261,5463
-0.0502,6210
-0.0108,5596
-0.00376,5278
0.00117,5145
-0.158,8799
0.00434,4850
-0.253,6360
-0.12,10191
-0.0401,7746
-0.0199,5750
-0.169,9625
0.147,2210
-0.229,7632
-0.0672,7080
-0.0163,5550
0.216,2302
0.13,2538
-0.0466,7005
-0.278,5901
0.0759,3454
-0.06,7318
-0.0951,7890
0.592,523
-0.149,8445
0.0428,4175
-0.00101,4959
-0.148,10194
0.153,938
0.0753,3549
-0.0202,5590
0.258,474
0.19,279
0.0972,681
-0.0282,5707
0.00763,4937
0.0541,3633
0.0402,3942
-0.117,10105
0.0218,3622
0.0415,3923
-0.029,6020
0.0793,2744
-0.113,7438
-0.0855,7522
-0.00056,5116
0.192,1123
0.0705,3451
-0.304,8129
-0.193,8968
0.0577,2278
0.216,141
0.0955,2989
0.0803,2711
0.0526,2999
0.074,1442
-0.0939,8646
0.089,1741
0.00429,5099
0.00108,5028
0.166,1319
-0.00672,4345
0.127,793
-0.0226,5806
0.0276,4233
-0.102,7458
-0.0609,6512
-0.0731,7665
-0.0838,8228
-0.0771,7789
-0.0746,8289
0.0104,4853
0.0192,4706
-0.342,10035
-0.0112,5803
-0.0865,8464
0.205,595
-0.115,7314
0.131,1492
0.0382,4229
-0.019,6021
-0.00152,5256
0.0772,3347
-0.0852,7345
0.217,1657
-0.154,8468
0.179,1515
-0.0689,7960
-0.315,9893
0.0846,1779
0.0929,2197
-0.0106,5364
-0.0872,8692
-0.0847,8034
0.0394,3626
-0.202,8961
-0.241,8869
0.015,4770
-0.0955,6763
-0.168,8978
0.201,1043
-0.271,10166
-0.117,6291
-0.113,7460
0.0242,3813
0.0235,3749
0.0636,3489
0.0512,3424
-0.116,9345
-0.154,8433
-0.0805,7379
-0.0596,7911
-0.0746,8684
0.0778,1877
-0.231,8700
-0.0997,6265
-0.0122,5634
-0.237,9190
0.282,1085
-0.0763,7062
-0.172,9091
-0.0527,6575
-0.0548,7478
-0.0741,7757
0.132,2451
-0.0863,8221
-0.178,4700
-0.15,7364
-0.168,10042
0.028,4075
0.493,465
0.0276,3824
0.396,224
-0.0351,5812
0.0785,2686
-0.0633,7707
-0.201,9247
0.0279,4421
-0.108,9206
0.0521,3903
0.245,367
0.0327,3634
-0.451,8465
-0.123,8548
0.312,1048
0.198,808
-0.255,10205
-0.105,8462
-0.146,7732
0.0716,2882
0.275,509
0.0326,4039
0.526,35
0.107,602
0.0253,4311
0.0654,3571
-0.142,9818
0.0187,4407
-0.0275,6046
0.0578,2884
0.102,2362
0.0339,4037
-0.0622,7680
0.144,751
0.0461,2183
-0.128,9008
0.0545,2722
0.379,117
-0.0462,5623
-0.0111,5899
0.0172,4228
-0.0322,5867
0.127,989
-0.0134,5815
0.00454,4936
0.0363,2298
-0.104,8715
0.0354,3558
-0.111,7991
0.142,934
0.0246,4447
0.00116,5232
-0.0551,6524
-0.046,8269
0.199,473
-0.253,9930
-0.0408,5590
-0.0594,7656
0.0741,3029
0.739,44
0.0413,3008
-0.000277,4846
0.0677,2952
-0.157,7832
-0.0175,5856
0.237,829
0.00486,4898
-0.26,9629
0.134,1484
0.0877,2925
0.0727,2303
-0.126,9595
0.202,327
-0.0823,7103
-0.165,8735
-0.0233,5459
1.71e-05,4956
0.0764,2087
-0.321,10432
0.219,730
-0.469,10323
-0.313,5488
0.183,1126
-0.00135,5183
0.0474,2509
0.119,2554
1.04,24
-0.123,7931
0.00134,4978
0.0106,4422
-0.0658,8551
-0.0906,6718
0.185,813
-0.0189,5238
0.0494,4171
0.0795,1124
-0.0151,5409
-0.0802,7166
0.13,3283
-0.106,7783
-0.0182,5261
-0.425,9672
0.0363,4458
0.0537,3091
-0.172,9952
0.0514,3277
-0.0758,7661
-0.0131,5097
-0.0141,5522
-0.134,9321
-0.0512,6269
-0.0454,6987
-0.0456,7729
0.262,1328
-0.237,8509
-0.0912,6557
0.142,3130
-0.0486,6808
0.0971,1608
0.0455,3390
-0.225,10070
0.178,1283
-0.0303,5665
-0.0689,7702
-0.0532,6789
-0.0222,5248
-0.0117,5467
-0.0422,6007
-0.35,8946
0.0793,3353
-0.0785,9644
0.193,945
-0.1,8220
-0.181,8764
0.282,182
-0.135,9027
-0.176,8917
-0.048,6697
0.142,1470
-0.134,8074
0.00762,4820
0.143,1239
-0.0168,5187
-0.139,8509
0.0225,4562
0.101,2616
-0.155,8936
0.0269,3728
-0.0773,7144
-0.105,7488
-0.122,7849
-0.218,9104
-0.0123,5119
0.0134,4506
0.0796,2301
0.0558,4145
0.198,435
0.103,2933
-0.0861,6779
0.108,1918
0.114,1483
-0.049,6372
-0.134,8743
