coef,rank
-0.603,9567
-0.0372,5609
-0.121,7577
-0.171,7310
-0.0968,5672
0.128,1897
-0.0247,6097
-0.0605,6364
-0.23,9467
0.168,1641
0.109,1794
-0.00231,5204
-0.181,10088
0.181,1525
-0.233,8508
-0.247,6306
-0.0765,9266
-0.0753,9351
0.068,2945
-0.0506,6753
-0.0233,5584
0.696,366
0.0104,4719
-0.148,9048
0.28,1758
-0.152,8206
-0.0858,8306
-0.429,7800
-0.0384,5777
0.0137,4653
0.152,1544
0.16,3073
0.0857,3049
-0.155,7246
0.157,799
0.0068,4704
0.0068,4970
-0.278,9611
-0.089,7525
-0.0687,6826
-0.12,9297
-0.0746,9432
0.211,1336
-0.281,10444
0.0284,4245
-0.0971,7099
-0.112,10040
0.0449,2389
-0.352,10273
-0.156,9497
-0.0204,5325
0.209,1300
0.32,204
-0.0642,8307
-0.0268,6101
0.0572,3708
-0.136,6018
-0.182,8800
0.0158,4301
0.0363,3508
0.317,540
0.0668,3037
-0.0279,6449
-0.0915,9639
0.122,1094
-0.0346,6802
-0.0953,8919
0.228,246
-0.0666,6978
-0.405,8281
0.0924,1539
-0.122,9064
-0.0884,7416
0.174,1560
0.194,1747
0.063,3182
-0.051,7110
-0.0411,6496
0.0174,4326
0.0555,3410
-0.103,6003
-0.277,9537
0.0534,2651
0.16,576
0.235,391
-0.0491,5982
0.112,1869
0.107,3253
0.0629,1964
0.106,660
-0.0718,6823
0.0704,3333
0.318,796
0.38,304
0.0168,4781
-0.0202,5947
-0.204,8621
-0.0966,8952
-0.0242,5989
-0.155,9048
0.0514,2883
0.233,289
-0.109,8936
0.0182,4517
0.292,1394
-0.274,9845
0.179,2005
-0.0465,6249
0.143,1762
-0.0096,5235
-0.0707,5706
-0.176,8796
0.123,737
-0.00345,5294
0.109,2439
-0.0246,5962
-0.0935,8740
-0.0487,6003
0.135,1841
-0.117,9752
-0.0739,8656
0.104,1173
-0.263,9092
0.138,3123
-0.0402,6907
-0.133,7570
0.129,2687
0.0253,4152
0.285,396
0.033,4069
-0.0371,6712
0.0163,4883
0.207,1482
-0.227,10320
0.144,2960
-0.158,7501
-0.178,10139
0.231,252
-0.255,8518
0.0868,1536
-0.22,9376
0.0454,3709
0.0649,3039
-0.0957,8689
-0.228,9575
0.117,2579
-0.121,9518
-0.186,8731
-0.0246,5791
-0.00477,5314
-0.686,9967
-0.138,8823
-0.469,10278
0.236,511
0.0838,2622
-0.0432,6620
-0.0287,5537
0.029,4097
0.151,1688
0.14,1651
-0.04,6133
-0.1,9742
0.00467,4949
-0.158,8879
0.04,3532
0.00873,4861
-0.0419,6490
-0.122,9629
0.0516,3570
-0.251,8882
0.0741,2708
0.0935,1723
-0.00176,5295
0.0553,3267
-0.0194,5833
0.0178,4284
0.101,3492
-0.142,10360
-0.0119,5489
-0.112,7718
-0.0143,5850
-0.0468,7314
-0.0532,7894
-0.0162,6689
0.0971,2083
-0.0446,6877
0.0537,3661
0.103,1626
-0.135,6494
0.0629,2880
-0.0443,6165
0.0293,3092
0.00974,4693
0.255,717
-0.143,7398
0.0365,3669
-0.144,8994
-0.147,7884
-0.039,7345
-0.0585,6113
-0.112,8001
-0.169,8043
0.151,438
-0.0672,6659
0.162,1660
-0.405,10372
0.0336,3772
-0.16,8632
0.0657,2510
0.126,888
0.00148,5213
0.189,1441
-0.101,7379
-0.216,9658
-0.0355,7294
0.0414,3306
0.00713,5059
-0.0817,7367
0.218,1876
0.652,1923
0.0287,4327
-0.127,9822
-0.0643,8780
-0.0184,5555
0.0118,4675
-0.407,10452
-0.0648,7335
-0.0567,7767
-0.0136,5972
-0.0879,6657
-0.0534,6673
-0.134,7520
0.279,976
0.0898,854
0.0467,3723
0.0473,3747
-0.217,7153
-0.118,8035
-0.17,8317
-0.0469,5484
0.17,2635
0.0713,2503
0.096,2157
0.0253,4157
-0.0775,7714
-0.0226,5386
-0.0469,6288
0.0201,4356
0.0473,3888
-0.00734,5432
0.0353,3163
0.167,2289
-0.303,9302
-0.0268,5342
0.206,2522
0.0853,2471
-0.116,9085
0.0816,2301
-0.132,8754
-0.0924,7695
0.115,2333
0.0367,3400
0.00187,5175
-0.0201,5202
0.0418,3573
0.0182,4400
0.0282,4303
-0.123,7930
-0.0253,7039
0.169,1241
0.0789,2530
0.0891,2916
0.181,804
-0.0641,7025
-0.0379,5926
0.114,1923
-0.221,10015
-0.226,9450
0.0579,3243
-0.174,9619
-0.0945,6938
0.0355,4190
0.00271,4995
-0.0212,5492
-0.00933,5220
0.0251,3813
-0.0306,5845
-0.0358,5852
0.0428,3915
-0.228,9230
0.152,2615
-0.0171,6148
0.0355,3874
-0.128,7189
6.31e-05,5237
-0.0344,5992
-0.291,9588
-0.0879,7877
0.0374,3618
0.146,1690
0.126,1741
0.0288,4392
-0.487,10134
0.11,885
0.1,3169
0.0507,3262
0.655,217
0.000914,4840
0.199,248
-0.0949,9506
0.218,297
0.0518,3704
0.0888,3408
-0.0645,6200
-0.0381,6072
-0.00892,5347
-0.161,8716
-0.175,8056
-0.000336,5058
-0.0924,7069
-0.233,8330
0.124,808
0.241,186
-0.082,8321
0.0673,3278
-0.0372,6979
0.024,4443
0.00024,5341
0.0046,4857
-0.102,7226
0.0881,2913
0.0213,4452
0.245,2274
-0.109,9236
0.0669,2324
0.00902,4744
-0.0575,7544
0.0796,2365
-0.142,7417
-0.0442,7320
0.782,1682
-0.144,7928
-0.0171,6154
-0.0542,8053
-0.0882,7127
-0.103,9335
0.211,801
-1.28,9946
0.433,1724
0.0643,3042
-0.549,7929
0.129,3350
0.373,263
-0.0477,5962
-0.0801,7653
-0.303,10191
0.0784,1570
-0.115,10113
-0.252,6248
0.118,2912
-0.462,10451
-0.507,10046
-0.0278,5760
0.111,848
0.331,1391
0.0249,4385
0.138,1303
0.154,912
-0.0812,6915
-0.0466,7271
-0.0654,6956
-0.263,9824
-0.124,8260
0.354,736
-0.14,8257
0.0512,3271
-0.0794,6824
0.034,3247
-0.18,9341
-0.15,6012
-0.00333,5353
-0.0611,7090
-0.000825,5137
-0.144,9119
-0.13,7417
-0.292,10349
0.155,1256
-0.00958,5415
0.22,554
-0.0818,6588
-0.061,6986
-0.385,10176
0.0721,3454
-2.76e-05,5239
-0.423,10209
-0.0478,6903
-0.0463,6254
0.174,1128
0.144,1337
0.0618,2886
-0.0496,6903
0.0452,3979
0.274,664
-0.161,6375
-0.0312,8478
0.0308,3923
0.172,1855
0.0695,3718
-0.216,9479
0.171,1766
-0.103,9072
0.0202,3458
0.0158,2856
0.0138,4690
0.0729,3693
0.132,1596
-0.0725,6460
-0.102,9613
0.0285,4199
-0.0862,7133
0.23,877
0.0218,4498
-0.254,9458
0.00902,4598
-0.0485,6679
0.129,2419
-0.0359,6037
0.13,1775
-0.0677,8296
0.0511,3290
0.227,1049
0.0929,2362
0.0155,4948
0.0416,3730
-0.211,9318
0.192,503
0.0699,1695
-0.107,5343
0.17,1995
0.0693,3576
0.227,2139
0.134,782
0.28,255
0.0727,3313
-0.0587,5615
-0.088,6870
0.000693,4992
-0.0303,6422
0.165,2321
-0.0523,5760
0.0167,4821
-0.124,7915
-0.0185,5683
-0.124,9401
-0.0216,6411
-0.299,10252
0.166,1391
0.244,800
0.0514,3751
-0.148,9800
0.17,1702
-0.0465,6139
-0.25,9498
-0.111,7994
-0.271,10266
0.0753,2633
0.0731,2774
-0.174,9111
0.131,2139
-0.225,10406
0.133,1423
0.0535,3515
0.0257,4491
0.0282,4258
-0.33,9815
-0.133,8877
-0.0499,6526
0.096,1478
0.425,598
0.174,680
-0.113,7803
-0.17,8650
-0.169,9656
0.0831,2334
-0.0567,7812
-0.0251,6188
-0.122,9386
0.15,1079
0.105,2173
0.0467,1135
-0.144,9292
0.0712,2482
-0.314,9484
0.151,2696
-0.0826,8270
-0.0396,6504
0.103,1972
0.0179,4447
0.262,414
-0.185,8511
-0.174,10036
0.092,847
-0.0855,8419
0.453,384
0.0963,2309
0.139,3027
-0.179,8378
0.215,1463
-0.0887,8914
0.0624,4076
-0.565,10451
-0.016,5366
-0.0756,5718
0.119,631
0.131,955
0.105,1640
0.126,1585
-0.0217,5237
0.308,324
-0.049,7247
0.0577,3285
0.387,1026
-0.217,9401
-0.202,9065
-0.0756,5891
-0.00385,5452
-0.0567,7000
