coef,rank
-0.656,9830
0.0349,4196
-0.179,8656
0.0436,4269
-0.0395,5056
-0.0873,7238
-0.0336,6467
0.0432,3840
-0.219,9343
0.103,2690
0.154,981
0.00463,4857
-0.0661,7654
-0.164,8885
0.00854,4777
0.0292,4197
-0.0644,8823
0.0241,3421
0.149,1172
-0.197,9943
0.126,2571
0.226,2389
-0.17,9438
0.385,39
0.0818,3782
-0.109,7370
-0.0595,7465
-0.00619,3898
0.117,2735
-0.0985,8482
-0.00686,5337
0.792,195
-0.0673,6671
-0.0528,5683
0.14,1028
0.0312,3488
-0.243,10366
0.117,2857
-0.108,7981
-0.0796,7108
-0.0258,5924
-0.0512,8515
0.0373,4197
0.164,837
0.081,3054
0.0353,4047
-0.0679,8780
0.028,3243
-0.00305,4896
0.0129,4576
0.14,1596
0.0871,3040
0.0704,3226
0.0413,2998
0.231,744
0.114,2655
-0.084,5355
0.202,1465
-0.0491,7764
-0.0874,8549
0.296,644
0.0323,3981
-0.0692,8133
0.0583,2013
0.0257,3959
0.218,106
-0.147,9914
-0.158,9896
-0.00498,5213
0.692,786
0.0184,4304
-0.211,10240
-0.00601,5160
0.0728,3224
-0.0339,5918
0.0172,4618
-0.0467,6968
-0.0453,6654
0.0363,3541
0.0672,3018
-0.0457,5383
0.116,2671
-0.0109,5780
0.122,1107
0.268,253
-0.216,8942
0.155,1100
0.0119,4607
-0.00672,5335
0.082,1231
0.228,1095
-0.0198,5617
0.013,4823
0.0144,4781
-0.188,9314
-0.087,8583
0.0598,3595
0.096,1494
0.00369,4980
-0.152,9001
0.053,2812
0.0757,2643
0.0953,1955
0.03,4255
-0.0429,5671
0.236,1192
-0.338,9953
0.311,380
-0.143,8449
0.255,657
0.343,1457
-0.169,8668
0.112,912
0.0712,1586
-0.135,8699
-0.045,6631
0.00363,4800
-0.00393,4836
0.294,317
-0.0523,7601
-0.0339,7009
-0.0482,7475
-0.13,7122
-0.164,7139
0.012,4554
0.151,2512
-0.0846,6421
0.00304,4770
-0.173,9106
0.0183,4492
0.0268,3835
-0.176,9832
-0.238,9461
-0.13,9303
-0.617,7885
-0.142,7231
0.00298,5013
-0.0159,5674
0.203,2067
-0.183,10397
0.0743,3325
0.0042,4736
-0.121,8433
-0.0752,8123
-0.277,10039
-0.144,8306
-0.00592,5299
-0.131,7744
0.183,878
0.0869,1793
-0.0541,4570
0.0839,3008
0.0484,3894
0.0728,2931
0.128,1766
-0.0555,7025
-0.0115,5245
-0.156,9354
0.0827,2955
0.072,3011
-0.008,5266
-0.0717,8903
0.0286,4219
0.2,1318
-0.0834,8483
-0.201,10402
0.19,1028
0.007,4907
0.0247,4214
-0.273,9149
-0.12,9239
0.0528,3029
0.00864,4552
-0.0711,7487
0.0676,2281
-0.145,8429
0.203,2350
-0.0274,6949
-0.099,8767
0.149,1850
0.0196,4364
-0.0128,5792
0.0603,2214
0.0286,2844
-0.0345,6497
0.0697,2411
0.104,2538
0.0898,1985
0.0256,4432
0.19,416
-0.161,9284
0.0132,4196
-0.0837,7992
-0.0214,5484
-0.244,8938
-0.258,10452
-0.0896,7724
-0.00284,5085
0.118,623
-0.188,8628
-0.168,9224
-0.115,7134
-0.0778,8538
0.296,447
0.108,2609
0.296,733
-0.136,8857
0.373,217
0.0788,2138
0.0727,2199
0.0644,2815
0.139,2178
0.151,1710
-0.274,10159
0.019,3712
-0.0284,6349
-0.108,8360
0.0279,4152
0.334,941
1.26,1099
0.291,264
0.0138,4424
0.109,576
0.0175,4698
0.0343,4346
-0.176,8975
-0.0541,6964
-0.011,5542
-0.0322,7031
-0.0832,6557
0.0504,3519
0.0382,4121
0.155,2339
-0.113,10099
0.161,1501
-0.138,8475
-0.252,7563
-0.0706,6893
-0.25,9460
0.374,1353
-0.181,7885
-0.163,10003
0.0296,4156
0.0867,2312
-0.0545,6971
-0.313,10385
0.196,1588
-0.123,9088
0.0979,2823
-0.127,9477
0.0372,3067
0.12,2910
-0.101,6453
0.296,935
-0.0682,5765
-0.144,9317
0.0439,3174
-0.093,8360
-0.196,9787
0.137,1889
-0.000132,4862
0.0672,2329
0.103,2435
-0.196,8677
0.0374,3710
0.383,97
-0.156,6495
-0.0914,7260
0.00594,4749
0.123,1976
-0.0714,7385
-0.152,8222
0.022,4454
-0.0258,5755
-0.0258,5651
-0.0864,7860
