coef,rank
-0.424,8284
0.0874,3289
0.0415,3932
0.304,1578
-0.211,6941
0.206,867
0.0849,1892
-0.0224,5407
-0.189,8910
-0.131,8035
-0.0158,5762
0.0122,4503
0.113,1550
0.312,468
0.327,1183
0.0778,3918
-0.0467,7968
0.0479,2182
0.171,871
0.0891,2381
-0.152,8314
0.796,219
-0.141,8915
0.0309,4102
0.014,4696
-0.188,8789
-0.0338,6482
-0.228,5361
-0.157,8174
-0.253,10384
-0.0298,6012
-0.0589,5743
0.171,1621
0.368,947
0.118,1402
-0.0096,5534
0.0548,3233
0.0379,4211
0.127,1967
-0.073,6953
-0.0986,8735
0.000759,5303
-0.173,8772
0.0843,2425
-0.146,8536
0.206,1287
0.11,460
0.0217,3625
0.205,1424
0.137,1273
0.276,342
-0.101,7178
-0.0128,5531
0.00787,4674
-0.0325,6272
-0.12,7765
-0.233,7229
-0.0877,7046
-0.0622,8313
-0.0909,8664
0.0614,3612
0.00951,4607
0.0309,3900
-0.0208,6420
-0.0443,6918
-0.11,9418
-0.134,9729
0.142,946
-0.00272,5151
-0.302,7192
-0.0114,5682
-0.0292,6064
0.156,1455
0.139,2046
0.421,267
-0.078,7800
-0.152,9804
-0.0795,7851
0.152,615
-0.0848,8140
-0.0654,5594
0.0708,3409
0.0362,3443
-0.193,10287
-0.0559,6880
0.0942,3249
0.0535,3394
-0.313,9376
-0.0034,5147
0.0191,4024
0.0797,3279
-0.15,8763
0.0695,3709
-0.0689,6719
-0.0114,5507
0.125,930
-0.00356,4752
-0.0773,8332
-0.128,9068
-0.0563,6706
-0.0156,5799
0.02,4398
-0.119,9153
0.109,2718
0.0168,4663
0.569,49
-0.0333,5530
-0.188,9294
-0.0635,6580
0.0324,4142
-0.283,8470
0.0634,3164
-0.0478,7432
-0.116,9981
-0.0715,7210
0.0383,3818
-0.0581,7455
0.0986,2601
0.0912,2718
0.00989,4419
0.0561,2760
0.04,3235
-0.329,9726
-0.000578,4876
-0.053,7487
-0.106,7050
0.0489,3934
0.169,1194
0.0955,2687
-0.201,9784
0.246,63
-0.204,10096
-0.195,8894
0.0101,4862
-0.911,9441
0.341,1087
-0.0632,7643
-0.155,9676
-0.165,7234
-0.141,10100
-0.182,8860
0.109,2338
0.142,1452
-0.174,10099
-0.13,8048
-0.0616,6536
-0.1,8996
0.0447,4041
0.254,322
0.0643,2461
-0.225,6154
0.221,827
-0.152,7208
0.0882,2554
0.075,2831
-0.148,9381
0.636,68
-0.179,9684
-0.151,8562
-0.168,9221
0.0323,4273
0.0198,3826
-0.161,9185
-0.0505,6530
0.0158,4488
-0.13,9850
-0.00626,5379
0.0819,2102
0.0276,4137
0.226,1667
0.103,1891
-0.107,9253
-0.00582,5636
-0.0309,6109
-0.112,9274
-0.136,8240
-0.168,7398
-0.0798,9401
0.1,1608
0.466,53
0.126,1009
-0.0315,6660
-0.0101,5765
0.0744,667
0.08,2536
0.0299,3785
-0.124,8266
0.11,1498
-0.206,7450
0.0334,3903
-0.057,6598
-0.0532,8644
0.163,840
0.0101,4728
-0.0886,6415
-0.0238,6179
-0.00138,5124
-0.0883,6761
0.0133,4448
0.418,208
0.118,1864
-0.00379,4966
-0.0914,8986
0.0844,3014
-0.0485,6269
0.152,2199
0.0579,3096
-0.0957,7265
0.034,3608
-0.0675,8065
0.071,2614
-0.167,8848
0.339,251
-0.178,9154
-0.0227,6462
-0.021,6004
-0.11,8415
0.0129,4614
0.195,2114
0.302,2423
-0.146,8980
0.141,510
0.0271,3593
0.0187,4675
-0.132,7068
0.133,2129
0.138,1209
-0.000754,5029
0.0383,3153
-0.0831,6556
-0.0944,7838
-0.0356,5576
-0.166,8418
-0.0845,9525
-0.0185,5520
-0.152,8730
-0.247,7498
0.097,2566
0.0079,4694
0.162,2990
-0.0509,5802
-0.0561,7353
-0.013,5782
0.0203,4319
-0.106,8553
-0.159,9041
-0.115,7822
0.157,855
0.168,1726
0.00531,4849
-0.0669,8733
0.124,2845
0.163,2521
0.0756,3463
-0.285,8625
-0.0716,7537
-0.0569,7160
-0.0601,7259
-0.185,9647
-0.126,8443
-0.0526,6240
0.0899,1746
