coef,rank
-0.253,6626
-0.0556,5946
0.0442,3865
-0.377,9597
0.0892,3851
-0.143,8558
0.0318,3689
-0.0869,7019
0.0245,4278
-0.243,9755
-0.226,10306
0.0942,1360
-0.0152,5771
-0.118,8030
-0.107,6585
-0.156,5395
0.0178,4091
-0.0254,6824
-0.182,9845
-0.112,8538
0.0104,4807
-0.355,9118
-0.0278,5864
-0.119,8412
0.272,1817
-0.0606,6399
-0.0977,8638
-0.193,5063
0.244,1144
0.0898,2288
-0.0449,6482
-0.343,9301
0.0566,3663
-0.165,7412
0.0504,3118
0.0255,3759
-0.0474,6939
-0.0871,6636
-0.107,7968
-0.0205,5470
-0.0624,7503
0.112,411
0.0279,4416
0.013,4732
0.178,1408
0.264,735
-0.0215,6298
-0.0147,6102
0.111,2687
0.0342,3859
0.1,2293
-0.18,8680
0.0517,3718
0.163,215
0.0574,3734
0.817,5
-0.153,6197
0.278,784
0.00807,4728
-0.0308,6404
-0.0297,5602
-0.0284,5730
-0.0514,7423
-0.0159,6114
0.118,1186
-0.00511,5411
0.118,1228
0.00896,4762
0.167,1300
-0.412,8352
-0.0462,7276
0.00574,4676
0.0464,3722
0.223,993
-0.159,8464
-0.22,10229
0.0115,4640
-0.0399,6448
-0.0551,7560
0.00201,5129
-0.333,8383
-0.119,7191
0.124,677
0.0443,3199
0.366,30
0.0516,3980
0.179,785
0.043,4151
-0.0388,7119
-0.038,7442
-0.129,8096
-0.0107,5348
-0.204,8858
-0.134,8090
-0.129,8314
0.0771,1999
-0.0958,6657
-0.0808,8460
-0.122,8940
0.353,106
-0.176,10269
-0.0161,5670
-0.11,8955
-0.165,8356
-0.134,7257
-0.00562,5215
-0.112,7053
-0.0223,5594
0.226,832
0.0383,4008
-0.128,6465
0.136,1908
-0.138,10062
-0.0199,6281
-0.0396,6324
-0.00429,5229
-0.0778,8196
-0.117,7625
-0.107,8057
-0.0175,5852
0.0855,1680
0.0882,1570
0.00877,4713
0.232,2228
0.0408,3338
0.102,3224
0.0713,3538
-0.0368,5927
0.119,2259
-0.0985,7816
0.138,704
-0.0748,7778
0.254,1002
0.0198,4500
-0.65,8120
0.213,2055
0.145,775
-0.169,9887
0.116,3034
-0.0724,8531
0.186,1547
0.0937,2648
-0.155,9154
-0.0062,5434
0.312,421
0.364,290
-0.143,9899
-0.00761,5132
-0.112,8420
0.13,859
-0.256,6493
-0.0158,5658
0.105,3088
-0.145,8955
-0.209,9823
0.0944,2272
0.142,2587
0.154,1227
-0.128,8106
-0.16,9085
0.00621,4912
-0.00645,5484
0.0217,4422
0.192,1420
0.0905,1886
-0.0478,7475
-0.0877,7740
-0.0346,6711
0.109,2230
-0.306,9498
0.0366,3918
-0.118,9537
0.0527,1873
0.178,775
0.00477,4767
-0.00803,4948
0.403,898
0.0196,3868
-0.0644,7650
-0.0162,5455
0.151,635
0.04,3407
0.0208,4084
0.0162,3810
0.0852,2378
-0.0133,5604
0.0921,2766
-0.0111,5664
-0.25,8006
0.122,1303
0.222,448
0.201,3
0.0861,2260
-0.012,5246
0.326,932
-0.244,10436
-0.163,9307
0.214,1759
0.122,573
0.341,424
-0.0945,7522
-0.289,9620
-0.0329,6646
-0.132,8195
-0.00136,5072
-0.0277,5663
-0.158,9273
-0.0577,6371
-0.0703,7870
0.0251,3994
-0.133,9663
-0.174,8966
0.0591,3307
-0.18,9184
-0.0157,6021
-0.0851,8491
0.406,55
-0.0769,7229
-0.316,9589
0.0792,2988
-0.215,9943
-0.0123,5721
-0.0817,9370
0.123,2497
-0.0962,6465
0.246,737
-0.209,10179
-0.0791,8619
0.0247,3760
0.0301,4164
-0.0794,7413
-0.135,7544
-0.157,8256
0.00882,4539
0.0294,4163
0.0478,3733
0.0898,3670
0.0053,4805
0.134,2387
-0.389,9433
-0.472,10321
-0.0801,8231
0.0462,3590
0.0402,3648
-0.191,10046
0.023,4055
-0.0143,5526
0.0112,4676
-0.239,9788
-0.122,9361
-0.0304,6950
-0.357,10078
0.619,171
0.0241,4384
-0.161,7082
0.0366,3951
-0.0977,8567
-0.193,10129
-0.182,9616
0.168,1401
0.0887,2826
0.0423,3207
0.213,759
0.0312,4167
0.217,328
0.153,1486
-0.281,8135
-0.311,10211
0.043,2340
-0.118,8358
-0.0831,7745
0.36,245
0.152,1229
0.000849,4870
-0.106,7550
0.211,590
-0.054,6670
-0.0736,6787
0.132,1440
-0.211,10040
-0.112,7320
0.112,2470
-0.0813,6838
-0.00363,5016
-0.0164,5431
0.00701,4736
-0.105,7819
0.0291,4225
-0.0216,5482
-0.0797,6519
0.407,673
0.102,1066
0.12,1279
-0.0212,5366
-0.122,9192
-0.0357,6021
-0.0422,5924
0.139,1382
-0.178,9947
-0.21,9766
0.0815,2682
-0.148,8612
-0.0137,4976
-0.0702,8299
-0.261,9807
0.0431,3560
-0.231,7900
0.165,2032
-0.00121,5066
0.107,833
0.0797,2361
0.138,1841
-0.0827,6272
-0.157,7827
-0.164,9033
-0.214,8586
-0.0549,6519
-0.0893,6478
0.13,1495
-0.191,8887
-0.303,9128
0.0637,2361
-0.0399,6703
0.0122,4764
-0.0581,6634
0.0411,2840
-0.35,8341
-0.000963,5409
-0.0275,6320
0.296,696
0.0277,4230
-0.061,6343
-0.227,4425
0.0968,1661
-0.0939,9007
-0.0614,7160
-0.166,10124
-0.0391,6760
-0.274,9244
0.00896,4605
-0.335,5906
-0.125,7560
0.12,386
-0.0977,9639
-0.233,9614
-0.0083,5468
0.0942,2530
-0.295,5647
0.426,1759
0.309,2333
-0.619,8488
