coef,rank
-0.177,5931
0.0147,4584
0.0875,3013
0.0556,4098
-0.282,7718
-0.137,8445
0.057,2744
-0.254,9880
0.453,113
0.0568,3637
0.33,75
0.0502,2731
-0.136,9465
-0.137,8413
-0.0486,5645
-0.284,6719
-0.0268,6892
-0.086,9677
0.17,883
-0.104,8327
-0.213,9256
-0.0756,5686
-0.0332,6025
0.095,2384
0.174,2715
-0.14,7987
-0.00932,5492
1.15,487
0.0945,3108
0.158,952
0.14,1772
0.619,470
-0.138,8233
0.154,2758
-0.157,9697
-0.0174,5945
0.0484,3470
-0.0701,6284
-0.152,8930
0.0455,3606
-0.00992,5213
0.0251,3652
0.0504,3917
0.0933,2195
0.119,2333
-0.136,7948
-0.0206,6230
0.013,4161
-0.00235,4878
-0.123,8911
0.0999,2303
-0.227,9352
0.154,1592
0.0343,3359
0.0687,3460
-0.0897,7103
0.101,3356
-0.0129,5298
-0.0275,6694
-0.0846,8457
-0.147,8119
-0.0237,5591
-0.101,9109
0.00538,4837
0.0382,3479
-0.0135,5800
0.0805,2118
0.0402,3522
-0.167,9260
-0.23,6398
0.161,398
-0.132,9305
-0.125,8348
0.512,35
0.22,1445
-0.145,9383
0.0586,2947
-0.0224,5838
0.166,483
-0.023,6068
-0.139,6382
-0.0761,6290
-0.15,10252
0.136,900
-0.0193,5648
0.107,3028
0.102,2075
-0.167,7463
0.0305,3320
-0.0661,8739
0.119,2550
-0.0253,5765
0.25,1322
0.0684,3617
-0.0935,7556
-0.0109,5543
0.39,391
0.0736,2119
0.0135,4628
-0.0151,5498
-0.128,9707
0.227,327
0.204,393
-0.126,7642
0.0815,3638
-0.141,8058
-0.0968,6783
-0.166,8953
-0.13,8162
-0.235,9921
-0.144,6672
0.136,1909
-0.0943,9230
0.085,1146
0.128,2080
-0.0118,5500
-0.0675,7834
-0.214,9409
0.124,2061
0.0992,1013
-0.00701,5668
-0.0374,6955
0.394,563
-0.176,7292
-0.0974,9068
-0.00725,5137
0.11,2942
-0.325,10390
-0.192,9381
-0.11,8130
-0.0827,8518
-0.0916,8246
0.0138,4684
0.158,943
-0.723,8575
-0.0416,5579
0.0414,3468
-0.157,9697
-0.206,7861
-0.0536,7801
0.0379,4157
0.124,2074
-0.0628,6853
0.02,4430
-0.128,7982
-0.19,9089
0.0417,3259
0.0868,3214
0.148,1371
-0.0187,5984
-0.166,5581
-0.036,6285
0.279,1275
-0.238,10133
0.287,292
0.00181,5036
0.185,2044
-0.0582,6934
-0.0508,6253
0.167,1228
-0.121,8100
0.0198,3825
-0.0264,5868
0.115,2573
0.0413,3490
-0.0304,6696
-0.0927,7883
0.151,636
0.0767,2884
-0.105,6516
0.0318,4112
-0.0037,5361
0.0229,3587
