coef,rank
0.104,3751
-0.00775,5043
-0.0686,6401
0.101,3520
-0.0928,5618
-0.172,9110
-0.0779,8177
0.0303,4130
0.219,1119
-0.0374,5910
-0.068,7609
-0.0194,6039
0.0524,3250
-0.118,8025
0.512,407
-0.412,8368
-0.000326,5263
-0.059,8724
-0.126,8862
-0.13,8940
0.0916,3133
0.322,1689
0.0311,4075
0.152,1280
0.47,748
-0.131,7804
-0.135,9526
2.55,25
-0.292,9906
-0.0906,8258
-0.0804,7507
-0.39,9629
-0.0698,6744
-0.277,8940
0.199,412
-0.0123,5687
0.261,147
0.786,12
-0.1,7809
-0.0666,6765
-0.0528,7115
-0.0234,6961
0.0321,4312
-0.103,8740
-0.0429,6018
0.171,1707
-0.0126,5721
-0.00665,5543
0.0967,2931
0.15,1069
-0.0246,5462
0.166,1780
0.117,2232
0.0923,1157
0.00891,5061
-0.313,10227
0.483,923
-0.0742,6723
-0.0752,8807
-0.103,9026
0.32,525
0.0994,2304
-0.0924,8841
-0.0403,7565
0.0587,2751
-0.061,7907
0.0356,3745
-0.0565,7257
0.102,2424
-0.171,5767
0.0633,2423
0.00922,4556
0.00206,4906
0.185,1423
-0.336,10216
0.0987,2303
0.0472,3334
-0.0416,6517
-0.0243,6242
0.046,3705
-0.379,8800
-0.225,8956
-0.045,7507
-0.0579,7377
-0.034,6150
-0.0895,6849
0.0853,2463
-0.133,6924
0.00942,4391
0.0141,4309
-0.0388,6075
-0.139,8538
-0.0189,5460
-0.137,8153
-0.159,8848
-0.113,9312
-0.245,9179
-0.0489,7294
-0.0463,6752
-0.288,10342
0.037,3445
0.0341,3949
0.0371,3706
-0.0757,6544
-0.167,7805
-0.0189,5530
0.243,1339
-0.0541,6445
0.0116,4538
0.135,2022
-0.0639,5613
0.229,852
0.00602,4709
0.00791,4673
0.0934,2762
0.0286,4095
4.41e-05,4932
-0.154,8423
0.0728,3130
-0.1,9372
-0.0637,8265
-0.124,9760
0.551,190
-0.32,9122
0.0436,3227
-0.0573,6125
0.0233,4385
-0.14,8568
0.23,751
0.245,509
-0.114,9376
0.133,1667
0.0503,3930
0.142,1188
-0.526,7261
0.128,2938
-0.0895,8498
0.179,609
0.405,750
0.116,845
-0.0875,7014
-0.188,9175
0.281,231
-0.104,8916
-0.171,8793
0.031,4352
0.167,366
0.157,2046
0.188,825
-0.0654,7987
1.14,331
0.108,2478
-0.0568,5598
0.15,1430
0.000834,4838
0.157,1070
-0.105,7005
0.365,51
-0.231,9732
0.0429,3762
-0.0583,6585
0.0914,912
0.102,2387
-0.0427,6339
0.0432,3420
0.127,907
0.101,2511
0.0901,1846
-0.0919,7403
0.0276,4115
-0.0694,7934
0.104,1486
-0.00239,5347
0.00984,4707
-0.0443,6952
-0.269,10078
0.249,1916
0.0278,3413
-0.0989,8763
-0.106,7604
0.0453,3315
0.0227,4161
-0.11,9742
0.0845,483
0.121,1550
0.288,32
0.0835,2960
0.0397,3635
-0.0173,5014
-0.0621,7725
-0.276,10343
-0.00859,5763
0.0574,3121
-0.206,9397
0.602,125
-0.116,9299
-0.0215,5730
-0.091,6818
-0.0406,7430
0.0548,3703
0.531,4
0.0444,4085
0.0239,3854
-0.0997,7453
-0.0885,7217
0.165,2030
-0.204,9919
0.0401,3946
-0.0539,7302
0.0886,1728
-0.189,10241
0.211,1203
-0.0877,7045
0.115,2187
0.0494,1996
-0.016,5789
0.0683,3339
-0.03,5908
-0.264,9089
-0.471,6945
0.027,4376
0.000851,5074
-0.0476,8039
-0.0964,7373
-0.254,8900
-0.217,9543
-0.0196,5747
0.0576,2295
-0.00928,5725
0.182,1744
-0.124,8583
0.131,2560
-0.104,7302
-0.0477,8017
-0.312,10357
0.411,105
-0.549,10055
-0.0921,7444
-0.0765,6526
-0.435,9722
-0.0333,5491
-0.143,9733
0.045,3634
0.0153,4480
-0.0631,7251
-0.0639,6641
-0.149,8449
0.00295,4996
0.0182,4546
-0.262,10449
-0.0192,6282
-0.175,8090
-0.333,9589
0.0359,4149
-0.178,7318
-0.00227,5232
-0.00653,5112
0.0428,3488
-0.0108,5418
0.173,1335
-0.0828,7053
-0.0758,7967
-0.0308,6149
0.00361,4736
-0.00325,5159
-0.0889,7278
-0.191,6969
0.201,1525
0.0396,2508
0.143,1639
-0.163,9565
-0.0934,6978
-0.118,8741
0.146,1227
-0.0482,6176
-0.0984,8182
0.189,872
-0.0434,6121
-0.0255,5958
-0.0353,6146
-0.0243,5375
0.0175,4656
-0.238,9525
-0.296,10207
0.151,1585
0.102,1040
0.05,3545
-0.0869,7100
-0.159,8547
-0.0588,6082
-0.23,8787
0.0413,3191
0.0578,3016
0.631,152
0.00724,4963
0.0439,4187
-0.0791,6641
-0.0378,6362
-0.0494,6790
-0.00496,5137
-0.109,8197
0.104,2755
-0.336,9078
0.0186,3981
0.0242,4713
0.0873,2121
-0.0754,5765
0.146,2291
-0.152,9950
-0.012,5870
0.15,944
0.127,2025
0.0242,4427
0.044,4136
0.289,369
-0.392,10163
0.00287,5113
-0.0587,5893
0.11,1851
0.0815,3295
0.377,1158
0.00018,5163
-0.0845,8171
0.0515,3282
-0.244,10033
-0.0745,8637
-0.348,8320
-0.0557,7923
-0.0092,5484
-0.129,7746
0.0326,4109
-0.0493,6087
-0.114,3542
-0.073,8206
-0.112,9450
-0.213,10191
-0.0416,6879
-0.0433,6922
0.536,242
-0.0247,6368
-0.471,7418
-0.0409,5886
-0.0567,8309
-0.0111,5669
-0.0335,5897
-0.168,10262
0.219,739
-0.29,5612
-0.385,8608
1.71,840
0.704,1751
0.594,1693
-0.206,9119
-0.241,9263
0.0179,4568
-0.0932,7164
0.145,282
-0.0104,5568
-0.212,5824
-0.154,7836
-0.252,9551
0.513,888
-0.0463,6339
0.0401,3085
-0.508,10273
0.0695,3397
-0.0166,5786
-0.244,10317
0.068,3567
-0.0433,7125
-0.169,9296
0.439,190
-0.31,10357
-0.167,7894
0.103,2515
-0.039,6684
-0.0612,6420
-0.0295,7104
0.0066,4898
0.551,1073
0.0368,3883
0.217,240
0.354,103
0.0629,3191
0.00148,4978
0.0135,4832
0.0309,4228
0.00142,4990
-0.054,6694
-0.0826,6609
-0.117,8593
0.0115,4675
0.124,2388
0.226,256
0.401,675
0.139,1262
-0.344,10343
0.182,1046
-0.023,5850
0.0633,2831
0.169,978
0.136,2453
-0.0992,7212
-0.387,8623
0.0796,148
-0.0754,8127
0.0887,3084
0.000753,5082
0.173,1767
-0.0787,7108
0.117,1009
0.013,3967
-0.000756,5328
0.0121,4750
-0.157,7591
0.0861,2577
0.109,2867
-0.0267,6767
0.326,190
-0.134,8223
-0.209,9828
-0.152,8231
-0.283,9730
-0.0343,6572
8.48e-05,5209
-0.0246,5481
0.14,2116
-0.00615,5184
-0.0375,7022
-0.121,9434
-0.0818,7256
0.254,335
-0.0961,7448
-0.0303,6393
-0.173,8725
-0.00324,5205
0.115,572
-0.568,9546
-0.0982,6804
0.0316,4350
-0.219,7941
-0.0828,8565
-0.0371,6106
-0.103,7233
-0.202,7507
-0.0903,6928
-0.203,8893
0.0692,2588
0.1,3194
0.509,300
0.12,2300
0.175,1469
-0.0392,6330
0.023,4076
-0.0454,7814
-0.108,7656
-0.116,8233
-0.0648,6828
-0.0681,7710
-0.00886,5362
0.00257,4970
-0.0263,5577
-0.0799,6674
0.0229,4483
0.0919,2560
-0.251,10416
0.052,3377
-0.259,10095
-0.1,7647
0.163,511
0.12,1654
-0.258,10255
0.0777,3343
0.0244,4412
0.303,1033
-0.0845,7611
-0.0465,6422
-0.0773,8299
0.157,2626
0.0567,3205
0.00609,4803
-0.296,10055
0.0393,4115
0.187,464
-0.0775,8600
0.127,1158
0.0304,3700
-0.00998,5227
-0.101,7902
0.0191,3304
0.0197,4329
-0.169,10010
0.38,955
-0.382,9869
0.0191,4366
0.125,1794
0.0291,4198
-0.095,7696
0.487,5
0.253,1226
0.0182,4411
-0.0814,9258
0.000707,5098
-0.0918,6627
-0.0171,5625
0.298,1541
-0.027,5494
-0.253,9470
-0.084,8759
-0.097,5823
-0.381,10097
0.117,3076
-0.379,9447
0.0471,2695
-0.00367,5553
-0.0433,6720
-0.036,5981
0.299,781
-0.192,9549
-0.104,9188
0.225,486
-0.259,8675
0.0595,3759
-0.291,10024
0.178,2832
0.0022,5150
-0.167,9600
-0.228,9957
0.0154,4532
-0.0131,5624
-0.265,10038
-0.103,9093
-0.0205,6528
-0.465,7752
-0.277,4940
0.0686,4110
0.043,3936
0.0538,3787
0.0258,4334
-0.0283,5631
-0.189,8868
-0.0939,7734
0.188,739
0.243,850
-0.105,8024
0.159,1176
0.11,3750
0.104,3408
-0.069,7800
0.0597,3585
-0.149,9520
0.287,523
-0.0777,6961
0.0266,4304
0.00653,4882
0.0631,3275
-0.0586,6874
0.408,6
-0.193,9380
0.132,1619
0.00135,5028
0.0183,4340
-0.0842,8045
-0.0714,7305
-0.058,6250
0.0469,3009
0.04,3659
0.0261,4412
-0.191,9582
-0.119,8381
-0.0135,5570
0.0994,2733
0.0648,3123
-0.011,5555
0.609,258
0.0103,4801
-0.277,9694
0.493,708
0.0243,4089
-0.1,7908
-0.285,9729
-0.101,8835
0.0498,3101
0.708,14
0.0188,4300
-0.0531,7161
0.167,1177
0.0204,4490
-0.356,10252
-0.302,9216
-0.0342,7291
-0.274,10334
-0.256,9849
0.0833,2943
-0.156,9248
0.0232,4045
0.0663,3301
-0.104,8867
-0.252,9932
-0.262,9416
0.00852,4844
-0.028,5693
0.058,3030
0.0137,4422
0.0615,3980
0.0114,4661
-0.369,10010
-0.183,8233
-0.1,8301
-0.045,6748
-0.0701,6828
0.0718,2677
-0.0566,6305
-0.201,9032
-0.0241,5879
-0.0554,7427
-0.1,9365
0.132,1713
0.287,198
-0.0778,7549
0.0318,3726
0.0757,3226
0.0301,3728
0.706,1481
-0.0198,5053
-0.0827,8167
-0.00223,5089
-0.0283,6578
0.107,1387
-0.356,10155
-0.0332,6056
0.0849,1868
0.0979,590
-0.124,9432
-0.0764,6989
-0.0481,5709
-0.137,8084
-0.00253,5298
-0.0838,7087
-0.225,5669
-0.125,8630
0.188,1924
0.0446,3783
0.134,786
-0.194,9413
-0.43,6626
-0.0915,8601
-0.264,8368
0.278,1086
0.00967,4624
-0.103,7148
-0.479,8372
0.957,1002
0.477,156
-0.288,9532
-0.0616,7273
0.346,403
-0.0175,5904
-0.0214,6657
-0.141,8704
-0.167,8417
0.149,3056
0.164,470
0.0686,2848
-0.0564,7670
-0.0491,6076
0.207,422
0.392,863
0.186,348
0.129,1610
-0.101,8487
-0.108,7548
-0.102,6730
-0.145,8495
0.000413,5051
0.0558,2758
-0.109,8815
-0.0573,6278
0.048,3095
-0.0392,6402
-0.0603,6064
-0.253,10430
-0.212,9237
-0.101,7396
-0.352,8036
0.186,945
0.00232,5098
-0.154,9227
0.137,1129
-0.104,7452
0.538,185
-0.0196,5423
-0.0758,5854
0.321,576
0.145,1538
-0.0722,7458
-0.203,7135
-0.146,8588
-0.141,8995
0.242,238
-0.0432,6311
0.169,404
-0.236,9812
-0.0409,5714
0.38,2418
0.003,4990
-0.0887,8982
-0.0668,8076
-0.14,7973
-0.00328,5254
-0.234,8014
-0.197,9960
-0.0833,8397
0.222,1784
-0.171,8859
-0.0555,6574
0.0466,4001
-0.0331,6027
-0.165,10005
1.06,43
-0.421,10272
-0.321,8123
-0.18,8033
0.0387,3066
0.107,2425
-0.163,8541
-0.104,8774
-0.173,9728
-0.0473,5478
0.00255,5163
-0.157,9436
0.0027,4862
-0.013,5561
-0.0456,5570
-0.0423,5285
0.0975,1671
-0.0122,5974
-0.0248,5774
-0.215,9922
0.113,2653
0.119,2673
0.00788,4853
0.00927,4913
0.0101,4724
-0.118,6490
-0.219,10117
0.0429,3292
-0.0192,5806
-0.0341,6222
-0.06,6975
0.449,460
-0.0471,7362
-0.14,8908
0.036,4364
0.186,185
-0.0294,5676
-0.0476,6168
0.044,3996
-0.0568,6079
-0.0108,5579
-0.151,8741
0.00254,5005
0.0114,4788
-0.0795,6838
-0.0932,7259
0.11,951
-0.0655,6041
0.241,2123
-0.181,9125
-0.107,6846
0.223,1017
-0.0376,6464
0.000397,4970
-0.16,7950
0.0712,2163
-0.201,7926
-0.179,8364
0.234,870
-0.0882,8838
-0.0574,6801
-0.0885,7133
0.133,1968
0.117,2701
-0.0211,6062
0.0585,3302
0.0165,3097
0.022,1735
0.00423,4843
0.00794,3573
0.0381,208
0.00553,3033
0.454,177
-0.175,5012
0.14,1232
0.0664,3042
0.163,2622
-0.233,8981
-0.0628,6216
-0.00292,5207
-0.0962,7000
-0.126,8842
-0.147,7643
0.0636,1703
-0.0488,6402
-0.284,10413
-0.354,8418
0.0233,4493
0.0703,3807
-0.303,7631
0.00287,5123
0.264,624
0.995,208
0.0807,3052
0.245,1024
0.0158,4460
0.219,523
-0.029,6060
-0.116,6698
-0.00817,5351
0.042,3590
-0.0146,5813
0.0421,4414
0.0545,3599
-0.0756,7386
0.123,2914
0.114,2606
-0.0403,6955
0.0264,3202
0.175,1285
0.228,517
-0.206,9734
-0.0436,5741
-0.108,7549
0.249,367
-0.183,8693
0.0913,2670
-0.0521,6411
-0.0711,7704
0.00115,5056
0.00711,4944
-0.264,10363
0.0881,1718
0.12,2960
-0.0341,5451
-0.0313,6140
0.0744,2739
0.197,2110
-0.108,8427
-0.199,9065
-0.175,7936
0.0587,2977
0.138,1627
0.154,2590
-0.0188,6076
-0.0121,5420
0.009,4863
0.0791,2396
-0.00678,5455
0.0516,3020
0.0891,2410
0.0837,2941
0.267,1195
-0.159,10233
0.0437,3279
-0.371,9475
-0.152,7805
-0.101,8250
0.0179,4669
0.116,2388
0.122,1022
-0.159,9900
-0.404,9464
0.162,1082
-0.0623,7585
-0.289,7471
0.0206,4456
0.0372,4244
0.0482,2685
0.0468,3368
-0.0793,8451
-0.411,6807
-0.286,6490
-0.294,8497
0.11,3499
-0.0149,5751
-0.134,6763
-0.0421,6434
-0.0674,7436
0.173,1114
-0.103,8517
0.0213,4312
-0.146,9031
-0.0794,6992
-0.0488,6613
-0.04,6526
0.0183,4281
-0.269,9700
0.0204,4330
0.00755,4939
0.146,2095
-0.108,7810
0.105,2438
-0.69,9198
3.19,216
0.375,133
0.0033,4856
-0.0745,6623
-0.129,7678
0.155,2289
-0.0251,6054
0.121,1914
-0.0067,5468
-0.141,9221
0.0692,1071
-0.0485,6447
0.186,1523
-0.032,5854
0.127,691
-0.234,9696
-0.0638,8282
-0.188,7663
-0.0139,5490
0.0626,4021
0.0662,3551
0.0595,2220
0.0969,2499
-0.252,7789
-0.164,9468
-0.0685,7593
0.0401,4308
-0.147,10048
0.329,344
0.0944,3205
0.079,2754
-0.19,9793
0.0987,3136
0.0762,1298
-0.00472,5307
-0.5,8039
-0.0647,4686
0.31,765
-0.117,9494
-0.15,7515
-0.249,9395
-0.0339,5477
-0.0405,5739
0.0621,3302
0.209,2033
-0.169,10329
-0.0025,5114
-0.346,6341
0.456,1214
-0.164,5935
-0.107,8476
-0.114,8115
0.104,2355
-0.292,9190
0.0392,4481
-0.00619,4623
-0.0771,8757
-0.135,9219
0.247,1693
0.0813,2920
-0.265,8722
-0.0118,5499
0.107,1222
0.0112,4539
0.0551,1635
-0.00583,5160
0.0318,3734
0.126,699
-0.0731,8279
0.0589,2564
-0.0326,5903
-0.11,9053
0.327,1143
0.117,3165
-0.00477,5088
-0.106,7921
-0.0983,8241
0.137,2140
0.0326,4014
0.15,1950
-0.0492,6279
0.162,640
0.104,2810
-0.117,6970
0.0362,4215
-0.125,7499
-0.17,8808
-0.0702,7248
-0.238,9150
0.0365,3895
0.0726,2678
-0.211,9762
-0.0424,6528
0.0136,3664
-0.0272,5587
1.28,660
0.0682,3972
0.0551,3450
0.0262,3695
-0.0455,6715
-0.0992,7056
-0.0204,5578
-0.0261,5147
-0.0242,6079
0.0806,2820
-0.0458,7352
0.114,2750
-0.128,7610
-0.269,8498
0.0862,3339
-0.0166,5225
0.0706,2487
-0.147,8924
-0.0243,5950
0.105,2726
-0.0257,4830
-0.0332,6251
-0.0677,7493
-0.0332,5601
0.495,2
0.00697,4791
-0.0102,5055
-0.034,6162
-0.134,9436
0.0584,3753
-0.149,8777
-0.192,8363
-0.239,8873
0.0273,4313
-0.0868,8324
-0.277,10433
-0.179,9030
0.0503,3133
0.684,827
-0.033,7024
-0.0239,6088
0.699,72
-0.249,9656
0.24,1958
0.0494,3936
-0.0229,5589
-0.392,10390
-0.182,8331
-0.207,9503
-0.0356,6926
0.0984,1780
0.0217,4342
0.0623,2972
-0.047,6907
-0.0502,6867
-0.0494,6315
-0.0873,7259
0.0804,1966
-0.161,9794
0.0267,3962
-0.164,8029
0.376,20
-0.0238,5124
-0.0231,5653
0.0267,3834
0.144,2744
0.0228,4228
-0.00402,5118
0.312,1552
0.147,1544
0.197,612
-0.13,7331
0.164,1131
-0.202,5444
-0.13,8965
0.232,473
-0.0958,8245
-0.0548,7416
-0.0712,6927
-1.51,10382
0.0609,2836
0.0351,4127
0.0115,4576
0.124,2707
-0.244,8264
0.0239,4244
-0.0467,6613
-0.0299,6479
0.00288,5058
0.0939,2879
-0.167,8730
0.452,72
-0.205,10221
-0.173,9993
-0.153,9898
0.236,292
0.0434,4354
0.0775,3294
0.0345,3360
0.0937,1408
0.0856,2859
-0.0194,5816
-0.374,9706
0.186,1632
0.0249,4355
0.0346,4214
0.196,1140
0.039,4189
0.265,1466
0.224,1585
-0.0641,7887
-0.0597,7546
-0.36,9912
-0.104,8441
-0.0252,6180
-0.0151,5498
-0.0603,7180
0.00179,5140
-0.057,6033
0.0185,4640
0.116,2502
0.1,3642
0.095,2820
0.089,1510
-0.0575,7443
0.0468,3936
-0.0313,6571
0.34,1036
-0.108,9992
-0.169,9087
0.114,2921
-0.317,8550
0.153,3256
0.0183,4854
-0.0376,6158
-0.0157,5825
0.224,413
0.23,141
0.269,1679
-0.14,8266
0.0364,3689
0.0663,2336
-0.105,7518
-0.0633,6128
0.0613,3299
-0.00978,5343
-0.125,9888
0.0412,3800
-0.0242,5620
-0.144,9046
-0.11,8633
0.0524,4114
-0.0574,6571
0.0822,3550
0.00135,4958
-0.0592,6557
0.00989,4691
0.0463,3893
0.0702,1736
-0.19,8978
0.106,1728
0.0958,1708
0.142,3588
-0.0729,6885
0.107,461
-0.0816,7731
-0.185,9571
-0.0431,5971
-0.283,9665
0.0107,4786
0.068,2223
-0.0591,7663
0.019,4548
0.767,25
-0.0176,5516
-0.115,8011
-0.00488,5292
0.115,1057
0.688,1445
-0.04,6263
0.227,1961
-0.0385,6386
-0.251,10302
0.351,1411
-0.146,9460
-0.0503,5824
0.444,505
0.0604,3291
-0.0299,6561
0.207,627
0.0255,4143
-0.0562,7582
0.143,2014
0.135,1200
-0.0809,8664
0.0708,2156
-0.146,10131
-0.341,9168
0.00495,4958
-0.0445,6825
0.169,852
0.149,1352
-0.406,6096
0.351,1344
0.0413,4188
2.34,71
-0.0614,7247
0.16,1975
-0.127,9225
-0.0634,7265
0.0823,2882
0.0436,3938
0.00692,4985
-0.0968,9514
-0.0189,5750
-0.178,9499
0.19,2161
0.0909,3367
-0.256,10298
0.134,330
0.019,4591
-0.08,7717
0.0876,2392
-0.0151,5639
0.0614,2243
-0.0417,6848
0.189,631
0.19,1794
0.304,2270
0.227,1995
0.211,1068
-0.0966,8282
-0.0357,5661
0.0932,1644
0.0634,3476
-0.191,8679
0.119,2347
-0.24,10292
-0.136,8568
-0.0697,4975
-0.271,10275
-0.116,6710
-0.0671,7851
0.141,1184
-0.0185,6034
-0.16,7786
0.0177,4720
0.249,915
0.0674,1451
0.0812,2411
-0.073,7485
0.137,1565
-0.112,8721
0.0373,4312
-0.235,9727
0.163,2528
-0.00467,5239
-0.178,9019
-0.179,8041
0.433,1919
0.0774,2799
-0.00574,5038
-0.0918,7706
-0.223,9812
-0.0691,6775
0.6,535
-0.12,8932
-0.104,8144
-0.0984,7636
-0.188,7537
0.0848,1905
0.101,2354
0.0215,4009
0.287,134
-0.162,7164
-0.108,8234
0.0312,4445
-0.107,8739
-0.0424,7766
-0.0783,6577
0.041,3676
-0.34,9902
0.173,571
-0.0263,6270
0.132,1440
0.135,2172
-0.168,10206
-0.0514,7216
0.0785,1752
-0.00478,5503
0.0331,3654
-0.0046,5358
0.0442,4146
0.175,2029
0.0257,3640
-0.0845,8108
-0.0211,5442
-0.107,8430
-0.13,8077
-0.222,8543
0.14,2167
0.0184,4256
-0.0483,7179
0.163,1692
-0.175,10016
-0.305,8980
-0.0743,8356
-0.0401,6949
0.0218,3883
0.0149,4707
0.239,107
0.64,195
0.155,1054
0.00744,4564
-0.0194,6107
0.0867,2621
-0.0314,6032
-0.112,7989
0.011,4726
0.0609,3354
0.00108,5586
-0.0372,5868
0.0575,3099
-0.0578,5880
0.104,2836
-0.1,8044
-0.0664,8338
-0.00322,5102
0.271,387
-0.111,8278
0.0511,3645
-0.162,8781
-0.063,7736
-0.0169,5246
-0.0109,5614
-0.354,10425
0.0714,3543
-0.0589,6823
-0.146,8861
0.224,1129
-0.119,9033
0.117,1439
-0.0854,4676
-0.154,8332
0.0749,2649
0.182,482
0.206,669
-0.093,7124
0.13,1039
-0.111,8623
0.0291,4096
-0.51,9791
3.14,323
0.049,4228
0.499,60
0.365,610
-0.115,6385
-0.265,10087
-0.0693,6766
-0.0325,5669
-0.0785,7446
-0.0915,9235
-0.186,8869
-0.0834,6801
0.119,2127
0.143,2357
-0.0964,8406
-0.089,8956
0.0325,3888
-0.0889,7620
-0.0992,6874
0.00677,4714
0.179,1940
0.0948,1580
-0.13,7244
0.00755,4882
-0.00805,5186
-0.286,10398
-0.0289,6913
-0.162,10080
0.0488,3547
0.0824,2328
-0.177,7460
-0.549,9552
-0.0927,9214
0.0718,1323
0.00174,5023
0.206,748
-0.332,7150
0.536,1455
-0.0423,6797
-0.0869,7704
0.181,1203
0.0927,1643
-0.0886,7948
-0.23,9920
-0.174,9915
0.00829,4729
0.0134,4537
0.0738,2572
0.293,21
0.191,575
-0.0607,9473
-0.0455,6776
0.0239,4400
0.0444,3122
-0.0728,6163
0.151,1399
0.0014,5217
-0.156,9623
-0.173,8685
-0.0176,5423
0.13,913
-0.163,8116
0.0586,2615
-0.137,9293
0.00448,5058
0.484,968
0.0579,375
-0.0148,5298
0.00598,4783
-0.305,8360
0.0502,3934
0.279,612
-0.0745,6696
-0.239,7965
0.0756,3234
-0.178,6974
-0.107,7550
0.184,576
-0.00676,4811
-0.345,9168
0.0693,3163
-0.0662,6345
0.132,1932
0.167,690
-0.0476,6383
-0.317,7466
-0.0471,5105
-0.233,8987
0.0593,3335
-0.196,9846
-0.0648,7852
0.0187,4351
