coef,rank
1.11,618
0.0812,3393
-0.112,7378
0.102,3517
-0.0636,5326
-0.175,9161
0.0252,3941
-0.451,10465
-0.0931,7007
0.0594,3573
-0.00728,5464
0.0132,4454
0.116,1480
0.159,1823
0.0742,3810
0.299,2712
-0.0584,8565
-0.00435,5311
-0.107,8430
0.18,825
0.117,2711
-0.0964,5949
-0.201,9840
0.22,535
0.00867,4768
0.0256,4512
0.0933,1936
0.526,1838
0.0986,3029
-0.0779,7878
-0.095,7887
-0.0917,6188
-0.0056,5127
0.313,1274
-0.0324,6146
-0.00736,5426
0.0944,2107
-0.164,8075
0.000338,4991
-0.201,9575
0.115,1097
-0.00848,5951
0.27,790
-0.0747,7952
0.0317,4166
-0.104,7237
0.00391,4669
0.0781,1032
-0.227,9305
0.0549,3199
-0.169,9085
-0.198,8955
0.0657,3338
0.0538,2420
0.052,3873
0.116,2621
0.0862,3513
0.318,551
0.0752,1660
-0.068,7897
-0.177,8677
0.177,1079
-0.124,9587
0.151,145
-0.0377,6637
-0.0807,8613
-0.168,10153
-0.0555,7228
-0.184,9539
-0.133,5415
0.111,1095
-0.0116,5379
0.0199,4440
0.235,910
-0.268,9795
0.00745,4962
0.174,566
-0.05,6834
-0.149,9996
-0.0203,5974
0.123,3783
0.0579,3630
-0.0828,9047
-0.0199,5843
0.259,280
0.302,869
-0.112,8777
-0.0927,6246
-0.0211,6135
0.0988,809
0.135,2256
-0.149,8755
0.433,329
-0.195,9133
-0.151,8728
-0.0984,8944
0.0297,4146
0.0595,2566
0.112,1765
-0.209,9822
-0.12,9563
0.205,467
0.0987,1868
-0.0131,5195
-0.354,9913
-0.226,9375
0.144,2462
-0.142,8494
-0.136,8289
-0.0104,5253
0.714,245
-0.236,9631
-0.051,7578
0.0571,2069
-0.201,9735
0.0425,3698
-0.0492,7077
0.0519,3559
-0.0732,7195
0.0219,3819
-0.192,10408
-0.106,9401
-0.333,9756
0.247,2104
0.163,403
-0.104,7014
-0.224,8748
0.281,328
0.192,1123
-0.113,8194
-0.144,9915
0.0576,3536
0.15,2171
0.11,1768
1.58,863
-0.156,7440
0.215,188
0.166,751
0.172,2398
0.0239,3996
0.217,1202
0.154,1633
-0.289,10361
0.0611,2904
0.0865,3065
-0.0285,5727
0.0827,1846
-0.0666,6395
-0.0152,5503
0.0606,2569
-0.279,6717
0.0125,4857
-0.182,7718
-0.204,9815
0.0664,3032
0.0273,4169
-0.244,9235
0.062,3125
-0.0339,5836
-0.083,7337
-0.2,9478
-0.0289,6862
-0.118,8276
-0.261,10077
0.207,217
0.13,866
0.0448,3962
-0.0264,6395
0.067,3115
-0.411,10193
0.241,183
-0.0123,5756
-0.0332,7559
-0.17,9696
-0.0375,6663
-0.0975,7305
-0.227,8244
-0.0541,8412
0.0304,3713
