coef,rank
-0.258,6695
-0.0816,6434
-0.0779,6621
-0.196,7637
-0.552,9856
0.356,133
0.0978,1549
0.0288,4162
0.225,1046
0.346,281
0.0392,3824
0.135,633
0.0615,2959
-0.0777,7128
0.191,2317
0.122,3669
-0.0643,8818
0.0542,1887
0.0356,3873
0.104,2024
0.118,2696
-0.0325,5156
-0.166,9375
0.107,2138
-0.361,9600
-0.261,9689
-0.077,8020
0.0657,3623
-0.0393,5810
-0.0794,7935
0.000921,5129
0.0662,4086
-0.0368,5926
0.0891,3575
-0.104,8557
0.0506,2597
0.0575,3148
-0.139,7603
-0.0511,6490
-0.0289,5714
0.0115,4266
-0.0498,8468
0.0463,3996
-0.0183,5938
0.131,2137
0.293,563
0.0991,625
-0.0465,8121
0.464,118
0.0679,2832
0.345,151
-0.273,9855
0.11,2387
-0.151,10261
-0.304,10368
0.12,2551
0.43,1117
-0.0311,5725
0.0122,4484
-0.0414,6856
-0.336,10234
0.149,1459
0.0305,3923
0.000438,5142
0.00398,4836
0.0525,2880
0.033,3849
0.109,1557
-0.142,8817
-0.191,5967
0.0985,1396
0.092,1877
0.0034,4864
-0.167,8776
-0.141,8148
-0.00791,5498
0.0304,3948
0.141,1022
-0.0794,8474
-0.285,10441
-0.143,6417
-0.233,9052
-0.133,10088
-0.0323,6349
-0.102,8233
0.0135,4719
-0.199,10106
-0.273,8963
-0.0446,7400
0.106,673
-0.123,7962
0.0847,3018
-0.386,10306
-0.102,7465
-0.0471,6387
0.0274,3834
-0.0329,5340
-0.0591,7701
-0.0586,7160
-0.112,8208
0.0402,3309
-0.0144,5611
-0.0245,6075
-0.155,8155
-0.0865,6413
-0.0561,6310
0.101,3095
-0.204,9518
0.363,146
0.184,1313
0.299,1746
0.377,157
0.00511,4763
0.0423,2738
-0.0707,7184
-0.0344,6289
-0.0227,5925
0.0635,3300
0.0269,4334
0.0687,1839
0.00928,4836
0.023,4048
0.269,1293
-0.306,8975
0.0571,2711
-0.351,10136
0.382,521
0.203,850
-0.0261,5654
-0.093,7673
0.0994,1446
-0.106,8592
0.315,616
-0.0248,6160
-0.39,6246
-0.146,7281
0.00772,4815
0.22,303
0.458,561
-0.222,10459
-0.19,8958
-0.0543,6335
0.0584,3195
0.123,1301
0.1,2759
0.12,2535
0.00665,4723
0.315,594
0.173,1003
0.0794,1999
1.51,110
-0.175,9462
0.43,490
-0.0455,6415
-0.114,8128
0.0841,2531
-0.331,9994
0.0095,4692
0.094,2714
-0.0604,6765
0.223,1014
0.0434,2583
-0.07,7111
-0.123,8231
0.121,1186
0.0242,4172
-0.408,10470
-0.151,10070
0.0398,3864
-0.00201,4619
-0.141,9583
-0.131,9768
-0.0266,7131
0.0029,4963
-0.0303,6317
0.0353,3872
-0.0571,5789
0.064,1634
0.052,2964
-0.0279,5754
-0.213,10375
-0.42,10474
-0.0987,9479
-0.0967,10212
0.0597,3143
-0.056,7356
-0.215,9727
-0.0546,7393
-0.0085,4886
-0.114,9164
-0.0118,5084
-0.0228,6851
0.0386,3681
-0.0879,7123
0.209,1911
0.0395,3555
-0.0351,6161
-0.148,7899
0.0195,4121
0.349,399
0.217,607
-0.0731,6325
-0.0622,7970
0.0412,3921
-0.116,7863
0.00579,4918
-0.143,8998
0.18,1464
-0.0266,6165
-0.00868,5589
-0.0164,5947
0.09,3073
0.13,2013
0.0116,4546
-0.0395,7550
0.0327,3653
0.0362,4228
0.114,2066
0.123,2938
0.348,2346
-0.0161,5587
0.0905,1449
0.0112,4502
-0.277,10073
-0.0531,5705
0.141,1981
0.00591,4821
-0.0669,8162
-0.041,7486
0.0475,3821
0.0752,2865
0.209,1559
-0.368,10288
0.0378,2761
-0.108,7767
0.208,1017
0.931,160
0.233,669
0.0829,3230
-0.101,6172
-0.361,9841
-0.0284,6289
-0.0451,6938
0.0229,4233
-0.0399,6418
0.128,1658
-0.328,10282
0.102,1854
-0.125,8049
-0.15,9831
-0.122,10143
-0.232,8960
0.381,818
0.136,2563
0.0789,3830
0.146,1220
0.108,1379
0.361,11
-0.037,6241
-0.165,9162
0.0736,3133
0.0689,2290
0.0666,3315
0.361,477
0.162,872
0.113,2093
0.0692,3846
-0.242,9721
0.0289,3113
0.145,1591
0.0651,2941
0.0521,3622
-0.105,8438
0.147,1210
0.132,2357
-0.144,9211
-0.0868,7632
0.291,657
-0.141,9286
-0.0177,5566
0.458,112
-0.0577,6660
0.127,2471
0.112,2402
-0.0813,7302
0.0281,3681
-0.133,8476
-0.0498,6190
0.0587,3570
-0.0303,5438
-0.226,8735
0.0804,1646
-0.169,10177
0.0832,3714
-0.0296,6289
-0.358,10359
-0.337,9921
0.158,1074
0.0979,1834
0.0903,2688
0.016,4487
-0.184,9246
-0.05,5460
0.144,405
-0.172,8729
-0.0649,7599
-0.0679,5663
0.0899,3160
0.102,1511
0.0721,1725
-0.0624,7291
-0.157,9061
0.0392,4169
0.364,595
-0.108,7924
0.00424,5122
-0.194,9223
0.282,1047
-0.0305,6052
-0.0357,5809
-0.0333,5492
-0.0879,9019
-0.0055,5453
-0.0173,5936
-0.162,9088
0.0404,2867
0.0779,3947
-0.0504,7711
-0.03,6444
-0.231,9420
-0.103,7549
-0.167,8488
-0.912,9719
0.0202,4298
-0.0997,9165
-0.124,8928
0.0621,2585
-0.0306,6431
0.303,1102
0.118,772
-0.188,4272
-0.153,8068
0.0833,1102
-0.035,7045
-0.108,7559
-0.042,7067
0.141,1658
1.34,1038
-0.248,7060
0.561,1985
-0.909,9892
-0.598,9057
-0.214,9226
-0.123,7438
-0.153,9304
0.318,314
-0.0976,9618
-0.0178,6065
-0.498,8775
-0.292,9600
0.133,2414
0.222,2482
-0.162,9175
-0.118,9826
-0.269,8397
0.00162,4894
-0.102,8550
0.0824,2307
0.124,2506
0.0882,1788
-0.254,10178
-0.266,9844
0.353,158
0.0484,3919
0.0276,4138
-0.0765,7996
-0.123,7730
-0.0735,9121
-0.191,9506
0.267,2476
-0.0669,7664
0.0922,1809
-0.181,9502
-0.102,8133
-0.418,10317
0.0431,3981
-0.191,9956
-0.0253,5964
0.299,173
-0.0122,5244
-0.124,8752
-0.105,6801
-0.0545,6515
-0.0818,8190
0.0962,3435
0.0143,4625
-0.193,9206
0.168,1213
0.132,1523
0.00499,4913
-0.0131,5637
-0.278,9656
-0.0241,5455
0.266,2541
-0.0143,6783
-0.154,9934
0.0347,4115
0.258,1192
0.21,1270
-0.45,10463
0.159,458
0.00923,4216
-0.0302,9154
-0.0505,6885
-0.0867,6418
0.163,1149
0.228,1295
0.0135,4553
0.113,2168
0.191,1331
0.0387,4277
-0.148,8166
0.119,2652
0.102,1358
-0.02,5801
-0.0211,5400
-0.221,9632
0.101,2356
-0.0106,5728
-0.116,9341
-0.164,8874
-0.225,10114
-0.458,10448
-0.149,9565
0.164,1599
-0.0704,7700
0.00788,4680
0.535,1218
0.26,1112
0.243,1084
0.332,1361
-0.0136,5767
0.129,1720
0.21,1236
-0.0865,5984
0.264,944
0.102,3042
