coef,rank
-0.0714,4988
0.293,926
0.0406,3952
-0.0971,6227
-0.139,6200
0.18,1142
0.173,451
-0.00257,4928
0.207,1240
0.241,871
-0.145,9507
0.0325,3498
-0.0673,7713
-0.0504,6431
-0.141,7117
-0.6,9865
0.0285,3422
-0.0484,8219
-0.14,9135
-0.0156,5566
0.0442,4091
0.000643,4745
-0.0647,7000
-0.0434,6379
0.207,2390
0.0891,3180
0.207,301
0.272,2798
-0.129,7685
0.135,1306
-0.182,9543
0.244,2263
0.0269,4325
0.197,2261
0.0623,2754
-0.0653,8259
-0.059,7332
0.205,1745
-0.28,10292
-0.0268,5650
-0.0216,5736
-0.0501,8480
-0.0493,6221
0.103,1961
0.296,413
-0.133,7884
0.0164,3866
0.191,21
-0.215,9125
0.0961,2115
0.142,1577
-0.151,8154
0.11,2383
-0.0374,7077
0.473,31
-0.301,10157
-0.324,8372
0.0576,3752
-0.0871,9186
-0.016,5749
-0.194,8940
-0.0605,6651
-0.0615,7837
-0.00748,5628
-0.0623,7584
-0.126,9728
0.151,681
0.274,119
-0.164,9232
0.139,3299
0.0266,3925
0.0181,4213
0.102,2400
-0.261,9937
-0.354,10274
-0.182,9922
-0.161,9915
0.178,583
-0.174,10247
-0.129,9185
0.318,2358
0.176,1887
-0.0784,8895
0.0393,3379
0.11,1891
0.0339,4324
0.114,1819
-0.124,6751
0.0473,2570
-0.0538,8220
-0.0276,5803
0.0284,4339
0.296,936
-0.214,9352
-0.187,9291
-0.0663,7866
0.0526,3721
0.0618,2492
0.0291,4093
-0.108,8108
-0.00154,5130
-0.014,5597
-0.0995,8704
-0.209,9059
-0.277,9289
0.0267,4505
0.168,2126
-0.0364,5937
-0.0896,7210
-0.149,8646
-0.0825,5857
-0.0876,6813
0.0776,1748
0.0143,4279
0.17,1378
-0.00289,5173
-0.0205,5826
0.154,1694
0.0594,3478
0.103,949
0.0258,4072
-0.0219,6198
0.0558,3922
-0.0735,5881
0.0051,4867
0.0273,4491
0.15,2422
0.0846,2665
-0.0753,6964
0.124,1937
-0.0111,5525
-0.183,9906
-0.0436,5978
-0.0548,7227
0.0931,3191
-0.281,9135
-0.0574,7426
0.0367,3804
0.417,700
-0.00242,5284
-0.268,9915
-0.306,10273
-0.0528,6552
-0.0601,7580
-0.0105,5207
0.0555,3783
0.0405,3304
-0.0493,6037
0.0431,3666
0.0197,4188
-0.476,8696
0.00445,5067
-0.0911,6210
0.0733,2921
-0.118,8225
-0.0448,6674
0.145,2537
0.131,1603
-0.255,9948
0.0342,3983
0.358,288
-0.121,10109
-0.0889,7596
0.0566,3773
-0.121,9450
-0.0555,7795
0.141,1720
-0.0381,6853
0.188,1032
-0.146,7281
0.137,1219
0.0694,2429
-0.0491,8497
-0.0182,5666
0.107,1278
-0.0968,7278
0.212,2257
-0.0576,8597
0.0441,3225
0.087,2990
0.0534,3003
-0.0862,8736
-0.0892,9222
-0.000534,5275
-0.00119,5258
-0.147,9787
0.0338,4157
-0.0989,8802
0.882,117
-0.0391,6864
0.0698,2676
-0.0568,8823
0.0856,2268
-0.0904,7188
-0.0452,5668
-0.165,10057
-0.126,8624
0.41,474
-0.0582,8289
0.0695,3440
0.0336,3849
0.0181,4539
0.00384,4784
0.129,2192
-0.000627,5052
0.129,2537
-0.13,8714
0.00562,4756
-0.0179,5788
-0.00444,5382
-0.0532,7418
0.462,85
-0.118,7782
-0.269,10135
0.0149,3948
-0.0216,6032
-0.045,6728
0.0801,2800
0.126,2904
1.75,656
0.139,1729
0.0191,4172
0.0194,4003
-0.293,10156
-0.161,7527
-0.176,8976
0.0134,4573
0.0113,4376
-0.0472,7796
0.177,1820
-0.18,9599
-0.0886,6644
0.139,2591
0.03,3181
-0.114,7928
-0.123,8164
-0.111,5869
-0.0303,5776
-0.0534,6013
0.0796,3912
-0.316,9482
0.0152,4476
-0.186,10099
0.0631,2949
-0.088,8028
-0.061,6535
0.214,1386
-0.112,8855
-0.198,9314
0.00128,5044
0.000744,5096
0.716,35
-0.195,7942
0.0682,3588
0.184,2722
-0.0847,7903
0.121,1121
0.0203,4223
0.0691,3146
0.104,2523
0.0973,2647
-0.281,10468
-0.00161,5288
0.106,2782
-0.00917,5381
0.0593,3272
0.177,2731
-0.0512,6300
-0.0476,8383
0.0313,4138
0.00122,4904
-0.0343,5534
0.312,109
-0.119,8675
0.0436,4068
-0.212,10084
0.183,935
0.458,108
0.182,743
0.391,23
-0.13,7670
-0.154,8828
-0.201,9073
0.0114,4600
0.0177,4455
-0.0751,8733
-0.233,9927
0.0286,4237
0.404,156
-0.0566,6039
-0.0442,5681
-0.0947,9395
-0.107,9241
0.0259,4610
0.0756,2597
0.0183,4795
0.096,3488
-0.0174,5649
0.133,1139
0.181,1160
0.0991,2269
-0.0464,6277
-0.386,9535
0.205,83
-0.229,9495
-0.076,8027
-0.393,9729
-0.351,10260
-0.0812,8366
0.0177,4220
0.247,172
-0.148,8889
-0.238,8820
-0.29,9635
0.00805,4867
0.425,659
-0.167,8802
0.256,1249
-0.0953,8124
-0.0782,6774
0.276,1807
0.123,817
-0.0567,7316
0.042,3613
-0.0331,5908
0.0502,2433
0.514,1165
0.0316,3879
0.0309,3710
0.0319,4319
-0.0597,6479
0.0536,3707
0.46,2046
0.174,436
-0.114,9503
-0.0622,7187
-0.0299,6379
-0.178,10115
0.00586,4764
0.0718,1865
-0.506,7763
-0.0405,5876
0.00829,4614
0.0782,1375
-0.197,9171
-0.153,10155
0.221,726
0.445,2400
-0.096,5356
-0.649,7967
-0.961,10020
0.857,1071
0.0166,4477
0.451,260
0.103,2314
-0.0317,5629
0.0497,2679
0.0477,2226
0.639,1535
0.284,1025
-0.0501,5952
-0.109,5762
0.0234,4278
0.0123,4428
0.589,397
0.0249,4382
0.0119,4778
0.0601,2894
0.223,1226
-0.123,9599
0.069,3116
0.0453,4168
0.0805,2927
0.049,3909
-0.0892,7080
-0.0159,5722
0.272,857
-0.0424,7776
-0.199,9609
-0.582,10067
0.173,747
-0.0531,6781
-0.193,9657
-0.0468,6542
-0.329,9947
-0.0658,7048
-0.064,7299
0.138,1058
-0.0553,6742
-0.165,8062
0.33,103
0.0869,3394
-0.0559,6553
0.0427,3646
0.393,706
0.042,3684
0.047,4084
0.349,124
-0.0855,7902
-0.0521,7191
-0.0239,6031
0.0755,3437
0.194,1401
0.25,2656
-0.0763,10341
0.101,1691
-0.362,10291
-0.278,9752
-0.0429,6120
0.24,961
0.102,1311
0.105,354
0.0249,1751
0.107,2100
0.251,1560
0.106,2122
-0.00761,5119
-0.0128,5997
0.0334,4068
-0.0929,7288
-0.277,10251
0.0752,3486
0.0678,3478
0.0245,3974
-0.0696,7251
0.0828,3242
-0.165,8830
-0.101,7901
-0.0911,9076
0.0849,2147
-0.146,8573
-0.135,8901
0.0876,3463
-0.112,8849
0.315,354
-0.0744,7820
0.00368,4936
0.554,1150
0.475,191
0.185,1726
-0.174,7369
0.0052,4850
0.338,102
0.19,1463
0.232,2328
-0.128,7672
0.187,1804
-0.0369,6677
-0.122,7126
-0.248,8868
0.0982,2730
0.0609,3520
0.228,497
0.177,517
-0.0749,9179
-0.0644,6569
0.214,828
0.169,1616
0.215,574
-0.177,10133
0.0135,4728
-0.293,10211
0.0317,4371
-0.0612,6708
-0.0733,7074
0.305,45
0.139,1268
-0.189,9358
0.0858,3023
-0.0224,6020
0.153,1142
-0.0736,7296
-0.198,9128
-0.152,9758
-0.483,10393
0.0937,2241
0.014,4524
-0.00223,5107
0.0863,3585
-0.0309,6557
-0.0709,6852
0.225,1244
0.5,3
0.149,915
0.128,797
-0.162,9970
0.111,1290
0.0539,3129
-0.21,9883
0.0368,1782
-0.00374,5128
-0.133,9417
0.169,2698
0.183,2362
0.161,706
0.136,1588
-0.0225,6124
-0.0618,6797
0.178,1146
-0.0491,5995
-0.0514,7110
-0.0341,6977
0.00215,5038
-0.284,9535
0.0557,3333
0.684,177
-0.176,8320
0.131,2562
-0.119,9636
-0.296,8189
-0.264,9230
0.0105,4859
-0.049,5335
0.00671,4570
-0.00899,5803
0.0831,2189
-0.145,8971
-0.416,10359
0.163,1635
0.00983,4556
-0.183,9772
-0.407,9953
0.278,733
-0.306,10126
0.872,113
0.123,848
0.0758,2679
0.212,969
-0.0487,6856
-0.0772,7627
-0.036,5842
-0.0639,7868
-0.0174,6309
-0.0402,4360
-0.322,5458
-0.327,7976
0.00483,5001
0.0302,4284
-0.0638,7585
0.0908,2860
0.000519,4887
-0.124,8473
0.055,3457
0.218,1057
0.273,353
-0.156,9605
-0.497,9410
0.146,3098
0.0389,3494
0.136,2186
0.131,1361
-0.123,8203
-0.226,9703
-0.257,10269
0.082,2880
0.0752,3010
-0.0426,6370
0.0228,4296
0.417,94
-0.179,9613
-0.0325,6413
-0.129,9158
-0.0407,6550
-0.123,8724
0.132,2205
0.046,3051
0.119,1407
0.175,1593
-0.03,5941
0.0103,4584
-0.339,10447
0.952,3
-0.245,10235
-0.095,9188
0.0487,4132
0.00612,4937
-0.0407,5881
-0.0485,5672
-0.0493,7073
-0.158,9204
0.000654,5007
0.128,1055
-0.132,9722
-0.0594,6256
0.0713,2452
-0.0258,6171
0.133,1712
0.0689,2796
-0.0986,7010
0.0826,3811
-0.0245,6688
-0.0938,7869
0.0782,3211
-0.179,9317
0.264,396
0.0337,3711
-0.225,10044
-0.137,9575
0.00194,5117
-0.0602,6033
0.175,1095
-0.0417,5985
0.101,1943
0.107,1136
0.0498,4216
0.0679,2271
0.0621,3858
-0.273,9420
-0.00649,5195
0.0109,4580
-0.0268,5804
-0.119,8937
-0.0533,6223
0.0649,3430
-0.186,9876
0.0392,3249
0.0373,3182
-0.116,8272
-0.102,8416
0.112,1988
-0.0467,7050
-0.0236,5667
-0.0598,7631
0.396,2473
0.195,2877
-0.0117,5600
0.0695,1929
-0.028,6565
-0.0634,7815
0.0415,3854
0.0255,4416
0.00845,4885
-0.00309,5483
-0.0233,5985
-0.321,10323
0.785,9
-0.129,7899
-0.123,8912
-0.0646,6596
-1.31,10439
-0.175,9598
0.144,2463
-0.166,8768
0.0624,2646
0.115,2069
0.0425,4190
0.199,384
-0.0922,5984
-0.185,8447
-0.0455,7530
0.549,85
-0.268,6509
-0.24,5843
0.203,1703
0.00775,4862
-0.153,9492
